Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,778808.0,213.72,217.89,223.0,216.0,221.21,7.49
2024-01-02,392131.0,221.21,219.71,220.98,213.0,213.86,-7.35
2024-01-03,467831.0,213.86,214.0,217.49,210.0,211.06,-2.8
2024-01-04,2436393.0,211.06,212.9,226.89,211.06,226.89,15.83
2024-01-05,2904055.0,226.89,228.96,243.91,228.96,243.91,17.02
2024-01-08,2065571.0,243.91,245.75,259.0,240.0,243.94,0.03
2024-01-09,2684865.0,243.94,247.5,262.24,242.01,262.24,18.3
2024-01-10,3127241.0,262.24,269.0,281.91,266.02,281.91,19.67
2024-01-11,2919873.0,281.91,286.1,289.0,275.5,281.71,-0.2
2024-01-12,1861797.0,281.71,280.01,283.15,260.6,264.85,-16.86
2024-01-15,967104.0,264.85,261.01,269.95,257.49,259.61,-5.24
2024-01-16,1216942.0,259.61,247.15,263.9,244.0,256.02,-3.59
2024-01-17,823011.0,256.02,251.07,265.0,251.07,259.13,3.11
2024-01-18,1283184.0,259.13,261.9,268.0,253.0,259.24,0.11
2024-01-19,2318784.0,259.24,258.0,278.0,258.0,274.59,15.35
2024-01-22,1633053.0,274.59,274.59,276.44,254.0,254.06,-20.53
2024-01-23,689600.0,254.06,250.1,258.0,244.0,250.53,-3.53
2024-01-24,1123651.0,250.53,251.98,255.3,242.06,245.11,-5.42
2024-01-25,619111.0,245.11,243.0,251.88,236.0,237.65,-7.46
2024-01-26,379422.0,237.65,237.0,237.98,225.01,226.34,-11.31
2024-01-29,745912.0,226.34,222.0,237.5,222.0,227.24,0.9
2024-01-30,333371.0,227.24,240.0,240.0,223.0,225.45,-1.79
2024-01-31,416615.0,225.45,225.5,232.0,224.22,228.94,3.49
2024-02-01,537997.0,228.94,228.01,228.99,212.99,214.35,-14.59
2024-02-02,366579.0,214.35,215.0,218.0,210.5,211.82,-2.53
2024-02-06,315619.0,211.82,214.0,216.88,212.02,214.42,2.6
2024-02-07,728973.0,214.42,214.52,221.5,214.52,219.06,4.64
2024-02-09,680348.0,219.06,214.9,214.9,207.0,209.96,-9.1
2024-02-12,423273.0,209.96,210.0,212.0,200.0,204.14,-5.82
2024-02-13,946665.0,204.14,204.97,217.0,192.5,210.83,6.69
2024-02-14,1066339.0,210.83,215.99,223.98,208.11,215.77,4.94
2024-02-15,756411.0,215.77,216.5,217.0,202.5,207.24,-8.53
2024-02-16,342078.0,207.24,204.0,207.99,194.0,195.8,-11.44
2024-02-19,310055.0,195.8,195.3,204.2,190.3,202.93,7.13
2024-02-20,292467.0,202.93,203.8,209.99,201.03,202.46,-0.47
2024-02-21,889638.0,202.46,210.0,217.64,206.0,217.0,14.54
2024-02-22,1842872.0,217.0,217.0,231.97,216.99,227.26,10.26
2024-02-23,941736.0,227.26,226.0,228.5,219.5,221.65,-5.61
2024-02-26,1128259.0,221.65,220.94,230.5,220.31,224.87,3.22
2024-02-27,599771.0,224.87,224.47,227.0,215.02,217.25,-7.62
2024-02-28,436861.0,217.25,215.3,224.5,212.01,220.04,2.79
2024-02-29,356467.0,220.04,221.1,223.5,218.0,218.33,-1.71
2024-03-01,1767387.0,218.33,216.5,231.5,216.5,226.57,8.24
2024-03-04,1642645.0,226.57,228.05,236.0,227.0,228.9,2.33
2024-03-05,1348794.0,228.9,228.9,237.0,228.0,232.98,4.08
2024-03-06,1709714.0,232.98,236.0,245.0,235.5,237.78,4.8
2024-03-07,1138653.0,237.78,238.0,239.0,231.0,235.13,-2.65
2024-03-08,2255774.0,235.13,235.99,248.0,233.27,243.84,8.71
2024-03-11,2312528.0,243.84,243.99,257.5,240.0,248.74,4.9
2024-03-12,1157992.0,248.74,246.55,247.99,230.08,230.51,-18.23
2024-03-13,806608.0,230.51,230.22,235.0,213.22,214.92,-15.59
2024-03-14,1102213.0,214.92,215.0,231.04,215.0,230.77,15.85
2024-03-15,1287624.0,230.77,231.99,239.99,228.52,231.09,0.32
2024-03-18,440063.0,231.09,231.5,234.7,224.51,226.22,-4.87
2024-03-19,446454.0,226.22,227.01,231.5,225.6,227.49,1.27
2024-03-20,290900.0,227.49,227.99,229.46,224.25,225.19,-2.3
2024-03-21,360136.0,225.19,225.6,228.9,214.11,216.01,-9.18
2024-03-22,283501.0,216.01,216.0,218.0,211.0,214.22,-1.79
2024-03-25,113221.0,214.22,214.02,216.0,211.0,212.92,-1.3
2024-03-26,409340.0,212.92,214.5,221.5,214.5,219.26,6.34
2024-03-27,186644.0,219.26,220.38,221.0,214.5,215.26,4.0
2024-03-28,363849.0,215.26,215.99,220.75,215.99,217.71,2.45
2024-03-29,339680.0,217.71,219.99,224.49,216.2,222.89,5.18
2024-04-01,493634.0,222.89,224.0,227.5,222.0,225.85,2.96
2024-04-02,1739478.0,225.85,227.1,239.0,224.0,229.53,3.68
2024-04-03,629991.0,229.53,229.48,233.9,228.1,229.26,-0.27
2024-04-04,516744.0,229.26,230.0,233.69,227.0,231.73,2.47
2024-04-08,549321.0,231.73,232.01,236.1,229.31,231.4,-0.33
2024-04-09,1105200.0,231.4,233.0,240.5,231.0,233.23,1.83
2024-04-15,835406.0,233.23,229.02,237.88,227.02,235.11,1.88
2024-04-16,817695.0,235.11,237.5,242.0,233.2,234.1,-1.01
2024-04-17,360401.0,234.1,233.0,237.15,232.0,232.34,-1.76
2024-04-18,2181770.0,232.34,238.44,244.9,223.55,238.68,6.34
2024-04-19,1990745.0,238.68,240.01,256.58,240.01,256.58,17.9
2024-04-22,1251649.0,256.58,262.1,275.82,262.0,275.82,19.24
2024-04-23,3276251.0,275.82,284.48,292.0,275.0,281.49,5.67
2024-04-24,1268381.0,281.49,282.9,284.0,275.1,278.92,-2.57
2024-04-25,2509870.0,278.92,281.7,299.84,277.0,299.84,20.92
2024-04-26,3522253.0,299.84,305.0,321.95,305.0,315.71,15.87
2024-04-29,3563631.0,315.71,317.0,339.0,317.0,321.77,6.06
2024-04-30,3479790.0,321.77,324.99,329.98,300.51,305.59,-16.18
2024-05-02,2242277.0,305.59,303.02,313.13,295.0,308.94,3.35
2024-05-03,2800741.0,308.94,311.0,328.98,309.0,327.1,18.16
2024-05-06,3356360.0,327.1,330.0,344.0,330.0,335.91,8.81
2024-05-07,3789104.0,335.91,336.0,336.0,310.72,313.27,-22.64
2024-05-08,2108100.0,313.27,315.0,317.89,295.0,314.62,1.35
2024-05-09,3377071.0,314.62,320.0,328.9,310.0,314.72,0.1
2024-05-10,1238858.0,314.72,315.0,323.5,306.0,313.04,-1.68
2024-05-13,1798387.0,313.04,313.99,323.8,312.01,320.28,7.24
2024-05-14,1363517.0,320.28,320.0,324.0,314.44,316.07,-4.21
2024-05-15,846970.0,316.07,317.94,320.0,308.57,310.98,-5.09
2024-05-16,369781.0,310.98,309.9,311.0,301.01,304.14,-6.84
2024-05-17,408872.0,304.14,305.9,310.51,301.9,303.02,-1.12
2024-05-20,508845.0,303.02,305.0,309.2,296.0,304.81,1.79
2024-05-21,633217.0,304.81,305.02,315.0,303.0,310.85,6.04
2024-05-22,878434.0,310.85,314.9,317.75,301.1,303.26,-7.59
2024-05-23,425529.0,303.26,303.5,307.0,299.0,300.5,-2.76
2024-05-24,1098770.0,300.5,305.0,313.98,305.0,306.15,5.65
2024-05-27,2676395.0,306.15,309.99,329.0,304.5,323.34,17.19
2024-05-29,950108.0,323.34,325.0,326.4,312.2,313.31,-10.03
2024-05-30,605105.0,313.31,315.0,315.13,309.05,309.97,-3.34
2024-05-31,1219813.0,309.97,311.0,317.96,310.05,312.79,2.82
2024-06-03,832526.0,312.79,314.0,317.9,309.1,312.7,-0.09
2024-06-04,858416.0,312.7,312.7,320.0,305.11,310.01,-2.69
2024-06-05,641923.0,310.01,309.99,313.0,301.6,303.81,-6.2
2024-06-06,379803.0,303.81,305.0,305.85,293.01,295.31,-8.5
2024-06-07,907475.0,295.31,294.0,298.0,282.3,294.93,-0.38
2024-06-10,324992.0,294.93,297.89,298.01,291.0,294.07,-0.86
2024-06-11,454185.0,294.07,303.99,304.0,294.0,294.87,0.8
2024-06-12,1030806.0,294.87,295.99,316.25,294.0,306.62,11.75
2024-06-13,2176639.0,300.12,303.0,311.18,274.65,309.03,8.91
2024-06-14,457492.0,309.03,311.77,311.77,295.0,297.13,-11.9
2024-06-20,192061.0,297.13,298.99,303.0,297.0,297.98,0.85
2024-06-21,297647.0,297.98,300.98,300.99,291.0,292.82,-5.16
2024-06-24,132345.0,292.82,294.0,295.8,290.0,291.15,-1.67
2024-06-25,148876.0,291.15,292.0,292.88,285.5,286.31,-4.84
2024-06-26,310295.0,286.31,288.4,294.9,280.1,283.09,-3.22
2024-06-27,119792.0,283.09,283.99,285.0,281.0,282.19,-0.9
