Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-05,200.0,261.9,263.0,278.0,263.0,278.0,16.1
2024-01-10,100.0,278.0,294.99,294.99,294.99,294.99,16.99
2024-01-12,100.0,294.99,273.0,273.0,273.0,273.0,-21.99
2024-01-17,100.0,273.0,289.99,289.99,289.99,289.99,16.99
2024-01-29,100.0,287.5,265.94,265.94,265.94,265.94,-21.56
2024-02-01,100.0,265.94,265.0,265.0,265.0,265.0,-0.94
2024-02-06,400.0,265.0,283.0,283.3,283.0,283.3,18.3
2024-02-07,100.0,283.3,304.5,304.5,304.5,304.5,21.2
2024-02-12,200.0,304.5,281.66,281.66,281.66,281.66,-22.84
2024-02-14,100.0,281.66,302.78,302.78,302.78,302.78,21.12
2024-02-16,100.0,302.78,325.45,325.45,325.45,325.45,22.67
2024-02-21,500.0,325.45,349.86,349.86,349.86,349.86,24.41
2024-02-23,200.0,349.86,376.1,376.1,376.1,376.1,26.24
2024-03-06,300.0,376.1,404.31,404.31,404.31,404.31,28.21
2024-03-27,200.0,404.31,434.63,434.63,434.63,434.63,30.32
2024-03-28,100.0,434.63,467.2,467.2,467.2,467.2,32.57
2024-03-29,500.0,467.2,502.2,502.2,502.0,502.05,34.85
2024-04-01,300.0,502.05,530.0,539.7,530.0,536.47,34.42
2024-04-02,300.0,536.47,576.0,576.07,576.0,576.07,39.6
2024-04-03,100.0,576.07,619.28,619.28,619.28,619.28,43.21
2024-04-08,300.0,665.73,700.0,700.0,615.8,615.8,-49.93
2024-04-16,100.0,648.03,696.0,696.0,696.0,696.0,47.97
2024-04-18,100.0,696.0,748.0,748.0,748.0,748.0,52.0
2024-04-19,100.0,748.0,804.0,804.0,804.0,804.0,56.0
2024-04-22,51.0,804.0,864.0,864.0,864.0,864.0,60.0
2024-04-23,219.0,864.0,928.0,928.8,926.99,928.57,64.57
2024-04-24,201.0,928.57,997.99,998.21,997.8,998.21,69.64
2024-04-25,180.0,998.21,1073.0,1073.08,1070.0,1072.52,74.31
2024-04-26,1134.0,1072.52,1072.52,1152.96,1072.52,1152.82,80.3
2024-04-29,344.0,1152.82,1238.0,1239.28,1238.0,1239.14,86.32
2024-04-30,1621.0,1239.14,1155.0,1300.0,1146.2,1149.12,-90.02
2024-05-02,53.0,1149.12,1100.0,1100.0,1062.94,1062.97,-86.15
2024-05-03,2169.0,1062.97,983.25,1118.0,983.25,994.94,-68.03
2024-05-06,73.0,994.94,985.5,985.5,951.02,977.72,-17.22
2024-05-07,486.0,977.72,955.0,955.0,904.39,906.62,-71.1
2024-05-08,939.0,906.62,904.51,950.0,838.62,838.62,68.0
2024-05-09,2394.0,838.62,775.73,848.93,775.72,775.72,-62.9
2024-05-10,371.0,775.72,717.54,717.54,717.54,717.54,-58.18
2024-05-13,763.0,717.54,663.72,699.99,663.72,663.72,-53.82
2024-05-14,519.0,663.72,613.94,613.94,613.94,613.94,-49.78
2024-05-15,513.0,613.94,567.89,567.89,567.89,567.89,-46.05
2024-05-16,599.0,567.89,525.3,525.3,525.3,525.3,-42.59
2024-05-17,4967.0,525.3,485.9,560.0,485.9,552.11,26.81
2024-05-20,4657.0,552.11,570.0,593.52,570.0,593.44,41.33
2024-05-21,5245.0,593.44,620.0,637.95,551.61,615.54,22.1
2024-05-22,1090.0,615.54,620.01,643.97,600.01,602.4,-13.14
2024-05-23,763.0,602.4,626.0,626.0,557.22,574.07,-28.33
2024-05-24,4059.0,574.07,561.01,616.0,561.0,575.46,1.39
2024-05-27,344.0,575.46,609.5,610.48,574.01,579.53,4.07
2024-05-29,2098.0,579.53,585.0,585.0,533.17,534.26,-45.27
2024-05-30,335.0,534.26,555.0,555.0,515.0,518.67,-15.59
2024-05-31,2081.0,518.67,505.0,505.0,477.18,491.66,-27.01
2024-06-03,2138.0,491.66,470.01,510.0,455.0,456.43,-35.23
2024-06-04,234.0,456.43,456.0,465.0,448.21,451.88,-4.55
2024-06-05,2527.0,451.88,444.0,463.0,415.73,420.14,-31.74
2024-06-06,1683.0,420.14,426.0,453.75,410.55,435.12,14.98
2024-06-07,414.0,435.12,464.66,464.66,421.21,434.29,-0.83
2024-06-10,631.0,434.29,459.95,459.95,419.0,421.41,-12.88
2024-06-11,536.0,421.41,450.0,450.0,406.0,414.34,-7.07
2024-06-12,131.0,414.34,401.11,434.99,400.0,405.83,-8.51
2024-06-13,58.0,405.83,420.0,425.0,410.0,405.83,0.0
2024-06-14,136.0,405.83,429.0,435.0,424.99,427.15,21.32
2024-06-20,1082.0,427.15,440.85,440.85,405.2,428.98,1.83
2024-06-21,505.0,428.98,420.0,450.0,410.0,416.11,-12.87
2024-06-24,367.0,416.11,415.0,440.0,410.0,420.78,4.67
2024-06-25,106.0,420.78,438.99,438.99,415.0,421.88,1.1
2024-06-26,223.0,421.88,422.0,433.99,415.0,415.38,-6.5
2024-06-27,20.0,415.38,435.0,435.0,415.0,415.38,0.0
2024-06-28,67.0,415.38,412.0,444.0,412.0,415.38,0.0
2024-07-01,336.0,415.38,410.55,424.99,406.0,406.51,-8.87
2024-07-02,46.0,406.51,415.0,415.01,404.0,406.51,0.0
2024-07-03,461.0,406.51,405.14,419.9,405.14,410.0,3.49
2024-07-04,56.0,410.0,410.0,410.0,410.0,410.0,0.0
2024-07-05,386.0,410.0,418.99,418.99,405.0,409.95,-0.05
2024-07-08,256.0,409.95,420.0,420.0,401.0,417.78,7.83
2024-07-09,1081.0,417.78,402.0,433.0,392.07,400.98,-16.8
2024-07-10,2386.0,400.98,410.98,410.98,362.89,397.67,-3.31
2024-07-11,58.0,397.67,381.11,400.0,381.11,397.67,0.0
2024-07-12,20.0,397.67,399.99,400.0,391.08,397.67,0.0
2024-07-15,189.0,397.67,381.5,399.99,381.5,390.0,-7.67
2024-07-18,1052.0,390.0,396.0,401.0,380.0,383.62,-6.38
2024-07-19,72.0,383.62,390.0,390.0,371.0,383.62,0.0
2024-07-22,7.0,383.62,397.99,397.99,371.0,383.62,0.0
2024-07-23,8.0,383.62,385.0,388.0,374.03,383.62,0.0
2024-07-24,55.0,383.62,389.99,389.99,387.0,383.62,0.0
2024-07-25,251.0,383.62,389.99,389.99,379.0,379.0,-4.62
2024-07-26,11.0,379.0,388.99,388.99,375.0,379.0,0.0
2024-07-29,11.0,379.0,380.0,385.0,380.0,379.0,0.0
2024-07-30,26.0,379.0,387.99,387.99,366.0,379.0,0.0
2024-07-31,52.0,379.0,377.0,377.0,366.0,379.0,0.0
2024-08-01,37.0,379.0,377.0,384.99,363.0,379.0,0.0
2024-08-02,176.0,379.0,383.99,383.99,360.0,371.75,-7.25
2024-08-05,744.0,371.75,379.99,400.0,378.0,398.8,27.05
2024-08-06,23.0,398.8,360.01,400.0,360.01,398.8,0.0
2024-08-07,1483.0,398.8,389.0,399.93,385.0,389.75,-9.05
2024-08-08,218.0,389.75,399.97,399.97,365.0,367.9,-21.85
2024-08-09,2325.0,367.9,385.0,404.69,385.0,404.69,36.79
2024-08-12,3087.0,404.69,445.15,445.16,400.0,445.16,40.47
2024-08-13,1217.0,445.16,489.68,489.68,489.68,489.68,44.52
2024-08-15,163.0,489.68,538.65,538.65,538.65,538.65,48.97
2024-08-16,2380.0,538.65,592.52,592.52,490.0,523.24,-15.41
2024-08-19,1280.0,523.24,523.24,550.0,485.0,490.21,-33.03
2024-08-20,366.0,490.21,450.0,490.0,450.0,488.43,-1.78
2024-08-21,82.0,488.43,465.01,475.0,460.0,470.0,-18.43
2024-08-22,22.0,470.0,445.05,495.0,445.05,470.0,0.0
2024-08-23,1382.0,470.0,477.0,517.0,477.0,517.0,47.0
2024-08-26,3192.0,517.0,530.0,568.7,530.0,568.7,51.7
2024-08-27,1274.0,568.7,625.57,625.57,625.57,625.57,56.87
2024-08-28,921.0,625.57,688.13,688.13,688.13,688.13,62.56
2024-08-29,2647.0,688.13,756.94,756.94,666.1,732.74,44.61
2024-08-30,3410.0,732.74,800.0,806.01,750.1,806.01,73.27
2024-09-02,967.0,806.01,806.1,885.0,726.55,823.9,17.89
2024-09-03,605.0,823.9,823.9,894.0,823.0,868.59,44.69
2024-09-04,420.0,868.59,872.0,949.99,800.1,894.93,26.34
2024-09-05,1548.0,894.93,876.0,984.42,871.0,982.12,87.19
2024-09-06,1444.0,982.12,1046.0,1080.33,1046.0,1080.33,98.21
2024-09-09,803.0,1080.33,1180.0,1180.0,972.3,1104.64,24.31
2024-09-10,856.0,1104.64,1125.0,1125.0,994.18,999.96,-104.68
2024-09-11,1041.0,999.96,905.0,1007.0,899.96,906.93,-93.03
2024-09-12,835.0,906.93,979.0,979.0,817.02,937.64,30.71
2024-09-13,695.0,937.64,925.0,958.0,845.1,920.03,-17.61
2024-09-16,11.0,920.03,833.02,933.0,833.02,920.03,0.0
2024-09-18,182.0,920.03,845.16,910.5,834.0,899.98,-20.05
2024-09-19,576.0,899.98,899.98,929.0,809.98,822.91,-77.07
2024-09-20,241.0,822.91,785.1,864.9,741.11,824.95,2.04
2024-09-23,238.0,824.95,824.0,869.89,824.0,830.69,5.74
2024-09-24,108.0,830.69,854.9,854.9,848.99,849.0,18.31
2024-09-25,470.0,849.0,874.9,933.9,850.0,933.9,84.9
2024-09-26,2401.0,933.9,970.0,1027.29,960.0,1027.29,93.39
2024-09-27,1318.0,1027.29,1077.86,1130.02,998.2,1129.99,102.7
2024-09-30,2323.0,1129.99,1143.5,1143.5,1036.0,1038.31,-91.68
2024-10-01,1935.0,1038.31,1095.0,1129.0,950.1,1116.73,78.42
2024-10-02,1631.0,1116.73,1076.0,1149.0,1005.06,1107.88,-8.85
2024-10-03,82.0,1107.88,1144.2,1144.2,1080.0,1083.49,-24.39
2024-10-04,945.0,1083.49,1119.0,1191.0,1034.1,1175.34,91.85
2024-10-07,617.0,1175.34,1115.0,1165.0,1110.0,1132.3,-43.04
2024-10-08,1535.0,1132.3,1168.9,1245.53,1121.86,1245.53,113.23
2024-10-09,2437.0,1245.53,1369.0,1370.08,1125.0,1348.03,102.5
2024-10-10,2775.0,1348.03,1400.0,1482.83,1213.23,1213.31,-134.72
2024-10-11,111.0,1213.31,1213.32,1213.32,1091.98,1092.67,-120.64
2024-10-14,770.0,1092.67,1194.9,1194.9,983.4,983.4,-109.27
2024-10-15,1894.0,983.4,1025.0,1025.0,885.06,885.06,-98.34
2024-10-16,1401.0,885.06,885.06,920.0,796.55,796.55,-88.51
2024-10-17,9289.0,796.55,721.0,876.21,716.9,876.21,79.66
2024-10-18,530.0,876.21,945.0,945.0,840.0,846.61,-29.6
2024-10-21,750.0,846.61,846.0,879.0,788.0,800.18,-46.43
2024-10-22,545.0,800.18,730.02,850.0,730.02,807.37,7.19
2024-10-23,2523.0,807.37,825.0,888.11,824.99,873.29,65.92
2024-10-24,492.0,873.29,947.0,947.0,850.0,892.35,19.06
2024-10-25,88.0,892.35,875.0,889.0,805.0,844.77,-47.58
2024-10-28,177.0,844.77,847.0,860.0,830.0,844.04,-0.73
2024-10-29,370.0,844.04,844.6,849.5,800.0,816.66,-27.38
2024-10-30,288.0,816.66,838.99,850.0,783.0,835.18,18.52
2024-10-31,661.0,835.18,796.0,850.0,771.01,799.75,-35.43
2024-11-01,64.0,799.75,846.98,847.0,720.0,796.14,-3.61
2024-11-04,1612.0,796.14,753.0,798.77,725.0,782.04,-14.1
2024-11-05,151.0,782.04,810.0,810.0,741.5,780.15,-1.89
