Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,135000.0,8.48,8.8,9.27,8.4,9.07,0.59
2024-01-02,40000.0,9.07,9.45,9.45,9.0,9.0,-0.07
2024-01-03,10000.0,9.0,9.0,9.01,9.0,9.0,0.0
2024-01-04,3500.0,9.0,9.2,9.2,8.8,8.88,-0.12
2024-01-05,16500.0,8.88,8.51,8.99,8.51,8.99,0.11
2024-01-08,9000.0,8.99,8.99,9.15,8.45,8.6,-0.39
2024-01-09,30500.0,8.6,8.98,9.15,8.26,8.4,-0.2
2024-01-10,24000.0,8.4,8.4,8.99,8.21,8.29,-0.11
2024-01-11,71500.0,8.29,8.84,8.84,8.2,8.2,-0.09
2024-01-12,17000.0,8.2,8.21,8.49,8.16,8.21,0.01
2024-01-15,43500.0,8.21,8.25,8.45,8.19,8.25,0.04
2024-01-16,2500.0,8.25,8.25,8.39,8.0,8.39,0.14
2024-01-17,177500.0,8.39,8.0,8.1,7.72,8.0,-0.39
2024-01-18,36500.0,8.0,7.99,8.0,7.81,7.82,-0.18
2024-01-19,11000.0,7.82,8.0,8.2,8.0,8.0,0.18
2024-01-22,99000.0,8.0,7.67,8.0,7.65,8.0,0.0
2024-01-23,45000.0,8.0,8.0,8.0,8.0,8.0,0.0
2024-01-24,60500.0,8.0,8.0,8.04,8.0,8.04,0.04
2024-01-25,136500.0,8.04,8.0,8.0,7.99,8.0,-0.04
2024-01-26,4500.0,8.0,8.0,8.0,8.0,8.0,0.0
2024-01-29,11500.0,8.0,7.8,7.8,7.8,7.8,-0.2
2024-01-30,14000.0,7.8,7.8,8.0,7.8,8.0,0.2
2024-02-07,67000.0,8.0,7.8,7.8,7.4,7.69,-0.31
2024-02-09,2000.0,7.69,7.95,7.95,7.95,7.95,0.26
2024-02-12,313500.0,7.95,7.2,7.2,6.95,7.09,-0.86
2024-02-13,6000.0,7.09,7.09,7.09,7.09,7.09,0.0
2024-02-14,6000.0,7.09,7.12,7.2,7.12,7.2,0.11
2024-02-15,2000.0,7.2,6.8,7.0,6.8,7.0,-0.2
2024-02-16,2500.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-02-19,1500.0,7.0,6.65,6.65,6.65,6.65,-0.35
2024-02-20,168000.0,6.65,7.05,7.05,6.01,6.9,0.25
2024-02-21,14000.0,6.9,7.0,7.44,7.0,7.39,0.49
2024-02-22,28500.0,7.39,7.05,7.35,7.05,7.35,-0.04
2024-02-26,36000.0,7.35,7.2,7.45,6.63,7.0,-0.35
2024-02-27,2500.0,7.0,6.8,7.15,6.8,7.15,0.15
2024-02-28,13500.0,7.15,7.2,7.2,6.52,7.02,-0.13
2024-02-29,17500.0,7.02,7.01,7.06,7.01,7.06,0.04
2024-03-01,19000.0,7.06,7.1,7.34,7.1,7.17,0.11
2024-03-04,20000.0,7.17,7.39,7.43,7.15,7.17,0.0
2024-03-05,10000.0,7.17,7.1,7.1,7.01,7.01,-0.16
2024-03-06,19500.0,7.01,7.38,7.4,7.01,7.2,0.19
2024-03-07,108500.0,7.2,7.02,7.02,6.8,6.8,-0.4
2024-03-08,50000.0,6.8,7.0,7.26,6.4,7.22,0.42
2024-03-11,21500.0,7.22,7.24,7.25,7.21,7.21,-0.01
2024-03-12,5000.0,7.21,7.2,7.2,7.2,7.2,-0.01
2024-03-13,27500.0,7.2,7.2,7.4,7.2,7.21,0.01
2024-03-14,93000.0,7.21,7.2,7.3,7.2,7.3,0.09
2024-03-18,203500.0,7.3,7.15,7.15,7.02,7.05,-0.25
2024-03-19,24000.0,7.05,7.05,7.1,7.0,7.1,0.05
2024-03-20,20500.0,7.1,6.76,7.1,6.72,7.1,0.0
2024-03-21,40500.0,7.1,7.21,7.21,7.1,7.12,0.02
2024-03-22,6500.0,7.12,6.73,7.04,6.71,7.04,-0.08
2024-03-25,24500.0,7.04,7.05,7.05,7.05,7.05,0.01
2024-03-26,87500.0,7.05,7.1,7.1,7.05,7.09,0.04
2024-03-27,36000.0,7.09,7.1,7.1,7.06,7.06,-0.03
2024-03-28,13500.0,7.06,7.07,7.1,7.05,7.05,-0.01
2024-03-29,2000.0,7.05,7.06,7.06,7.05,7.05,0.0
2024-04-01,130000.0,7.05,7.4,7.4,7.0,7.0,-0.05
2024-04-02,21500.0,7.0,7.01,7.01,6.8,6.82,-0.18
2024-04-03,81000.0,6.82,7.0,7.0,6.95,6.96,0.14
2024-04-04,37000.0,6.96,7.13,7.13,7.0,7.02,0.06
2024-04-08,10500.0,7.02,6.95,7.31,6.95,7.08,0.06
2024-04-09,473000.0,7.08,7.12,7.15,7.0,7.04,-0.04
2024-04-15,10000.0,7.04,7.1,7.23,7.1,7.23,0.19
2024-04-16,10500.0,7.23,7.2,7.2,7.2,7.2,-0.03
2024-04-17,14500.0,7.2,7.02,7.2,7.02,7.15,-0.05
2024-04-18,87000.0,7.15,7.01,7.04,7.0,7.03,-0.12
2024-04-19,11500.0,7.03,7.01,7.02,7.01,7.01,-0.02
2024-04-22,112000.0,7.01,7.03,7.03,7.0,7.02,0.01
2024-04-23,13000.0,7.02,7.3,7.3,7.0,7.0,-0.02
2024-04-24,56000.0,7.0,7.0,7.02,7.0,7.02,0.02
2024-04-25,83500.0,7.02,7.02,7.03,7.0,7.0,-0.02
2024-04-26,3000.0,7.0,7.0,7.1,7.0,7.1,0.1
2024-04-29,54500.0,7.1,6.92,6.92,6.9,6.9,-0.2
2024-04-30,61500.0,6.9,7.0,7.0,6.85,6.85,-0.05
2024-05-02,2000.0,6.85,6.51,6.51,6.51,6.51,-0.34
2024-05-03,12500.0,6.51,6.67,7.0,6.63,7.0,0.49
2024-05-06,37000.0,7.0,6.99,7.1,6.8,6.99,-0.01
2024-05-07,26000.0,6.99,7.0,7.0,6.9,7.0,0.01
