Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,11500.0,504.56,510.0,519.0,498.5,514.23,9.67
2024-01-02,3100.0,514.23,510.0,510.0,493.25,503.18,-11.05
2024-01-03,12900.0,503.18,504.0,511.0,504.0,509.9,6.72
2024-01-04,200.0,509.9,503.0,503.0,502.11,502.56,-7.34
2024-01-05,3600.0,502.56,503.01,509.49,500.15,509.0,6.44
2024-01-08,2400.0,509.0,515.5,515.5,502.11,503.0,6.0
2024-01-09,3900.0,503.0,523.7,523.7,500.01,502.0,1.0
2024-01-10,12100.0,502.0,505.0,505.0,493.5,495.91,-6.09
2024-01-11,1600.0,495.91,500.75,501.0,499.0,500.0,4.09
2024-01-12,13700.0,500.0,504.4,513.0,500.0,500.0,0.0
2024-01-15,5600.0,500.0,506.25,506.25,497.05,498.0,2.0
2024-01-16,1100.0,498.0,491.76,499.99,491.25,499.0,1.0
2024-01-17,332200.0,499.0,499.9,512.75,499.9,507.0,8.0
2024-01-18,50000.0,507.0,500.1,510.0,500.0,507.21,0.21
2024-01-19,18800.0,507.21,514.93,531.0,508.0,510.0,2.79
2024-01-22,50400.0,510.0,517.95,517.95,508.0,510.0,0.0
2024-01-23,6900.0,510.0,508.01,524.0,508.01,522.11,12.11
2024-01-24,900.0,522.11,515.01,515.01,515.0,515.0,-7.11
2024-01-25,700.0,515.0,519.99,519.99,513.0,513.0,2.0
2024-01-26,138000.0,513.0,510.1,511.0,495.01,508.58,-4.42
2024-01-29,14000.0,508.58,499.0,501.5,488.25,494.8,-13.78
2024-01-30,7000.0,494.8,490.01,500.0,490.01,494.0,-0.8
2024-01-31,800.0,494.0,493.0,493.0,492.0,493.0,1.0
2024-02-01,17500.0,493.0,495.0,529.0,494.1,506.96,13.96
2024-02-02,11600.0,506.96,516.0,519.9,508.0,512.66,5.7
2024-02-06,2600.0,512.66,509.99,518.0,501.1,513.0,0.34
2024-02-07,7600.0,513.0,524.95,524.95,507.0,508.0,5.0
2024-02-09,31300.0,508.0,500.0,519.25,490.0,508.02,0.02
2024-02-12,15300.0,508.02,500.0,500.5,490.0,490.0,-18.02
2024-02-13,39900.0,490.0,500.0,500.0,476.0,479.78,-10.22
2024-02-14,17200.0,479.78,500.0,500.01,490.0,496.56,16.78
2024-02-15,5700.0,496.56,491.1,491.1,484.0,484.89,-11.67
2024-02-16,10800.0,484.89,482.0,482.0,469.99,471.26,-13.63
2024-02-19,5200.0,471.26,471.26,476.95,465.5,470.05,-1.21
2024-02-20,21600.0,470.05,485.0,505.3,485.0,505.3,35.25
2024-02-21,174600.0,505.3,543.0,543.2,525.0,543.2,37.9
2024-02-22,36500.0,543.2,551.99,556.0,515.0,521.69,-21.51
2024-02-23,40400.0,521.69,510.0,518.1,500.0,512.19,-9.5
2024-02-26,18200.0,512.19,507.9,527.0,507.9,524.24,12.05
2024-02-27,3500.0,524.24,516.5,516.5,510.01,512.0,-12.24
2024-02-28,2800.0,512.0,511.0,514.5,506.01,510.0,2.0
2024-02-29,3800.0,510.0,517.6,518.0,512.0,512.0,2.0
2024-03-01,5800.0,512.0,501.01,520.0,501.01,506.77,-5.23
2024-03-04,6700.0,506.77,508.11,510.0,507.0,510.0,3.23
2024-03-05,2800.0,510.0,505.0,515.0,504.0,514.92,4.92
2024-03-06,1400.0,514.92,515.0,515.0,515.0,515.0,0.08
2024-03-07,3400.0,515.0,510.0,515.0,505.0,510.18,-4.82
2024-03-08,5300.0,510.18,509.0,510.0,500.0,502.22,-7.96
2024-03-11,14887.0,502.22,503.0,520.0,503.0,514.46,12.24
2024-03-12,3423.0,514.46,518.0,518.0,507.0,507.05,-7.41
2024-03-13,13358.0,507.05,510.0,510.0,500.0,500.07,-6.98
2024-03-14,2967.0,500.07,507.0,512.0,501.0,505.12,5.05
2024-03-15,3012.0,505.12,514.0,514.0,503.0,509.0,3.88
2024-03-18,641.0,509.0,510.0,510.0,507.0,507.6,-1.4
2024-03-19,9882.0,507.6,506.5,511.0,506.5,509.2,1.6
2024-03-20,9404.0,509.2,512.45,512.45,507.2,507.52,-1.68
2024-03-21,8163.0,507.52,512.0,515.0,508.16,510.09,2.57
2024-03-22,11100.0,510.09,508.25,515.01,508.25,514.5,4.41
2024-03-25,1843.0,514.5,522.0,522.0,503.0,514.13,-0.37
2024-03-26,4965.0,514.13,515.0,515.55,510.0,512.9,-1.23
2024-03-27,4969.0,512.9,514.98,517.0,508.0,514.52,1.62
2024-03-28,4347.0,514.52,518.01,518.01,513.25,516.53,2.01
2024-03-29,16972.0,516.53,519.0,524.0,505.01,509.44,-7.09
2024-04-01,4708.0,509.44,515.0,515.98,506.0,508.0,-1.44
2024-04-02,12015.0,508.0,514.6,514.6,508.51,510.86,2.86
2024-04-03,24951.0,510.86,511.0,513.0,504.77,508.92,-1.94
2024-04-04,159094.0,508.92,524.01,547.09,515.0,547.09,38.17
2024-04-08,49870.0,547.09,584.0,584.0,552.0,573.13,26.04
2024-04-09,9220.0,573.13,577.0,577.99,568.01,574.77,1.64
2024-04-15,19888.0,574.77,559.0,569.0,558.11,566.35,-8.42
2024-04-16,14462.0,566.35,563.0,567.0,556.0,560.38,-5.97
2024-04-17,8305.0,560.38,545.01,570.0,545.01,565.43,5.05
2024-04-18,26499.0,535.43,535.0,535.0,527.0,533.16,-2.27
2024-04-19,10970.0,533.16,545.0,545.0,520.0,528.97,-4.19
2024-04-22,33787.0,528.97,530.0,535.0,520.0,531.63,2.66
2024-04-23,13632.0,531.63,533.95,542.0,530.0,536.28,4.65
2024-04-24,21084.0,536.28,533.0,555.0,533.0,550.05,13.77
2024-04-25,10688.0,550.05,558.49,560.01,535.0,555.56,5.51
2024-04-26,19028.0,555.56,555.0,580.01,555.0,577.4,21.84
2024-04-29,23345.0,577.4,577.1,605.0,577.1,595.18,17.78
2024-04-30,10471.0,595.18,590.0,597.0,582.0,585.18,10.0
2024-05-02,14396.0,585.18,560.0,605.0,560.0,570.26,-14.92
2024-05-03,17701.0,570.26,584.0,584.0,565.0,569.94,-0.32
2024-05-06,52098.0,569.94,563.26,582.99,563.26,581.87,11.93
2024-05-07,196914.0,581.87,584.5,625.51,572.5,622.99,41.12
2024-05-08,32255.0,622.99,666.0,666.0,610.0,649.82,26.83
2024-05-09,156448.0,649.82,649.99,680.75,640.82,653.67,3.85
2024-05-10,95392.0,653.67,660.0,695.0,659.99,684.76,31.09
2024-05-13,42982.0,684.76,695.0,725.0,695.0,711.87,27.11
2024-05-14,120835.0,711.87,710.0,720.0,695.0,703.63,-8.24
2024-05-15,568650.0,703.63,700.01,710.0,650.86,660.69,-42.94
2024-05-16,34190.0,660.69,672.0,673.88,664.0,670.34,9.65
2024-05-17,33322.0,670.34,678.35,681.98,665.0,678.99,8.65
2024-05-20,4702.0,678.99,684.0,684.8,665.0,671.24,-7.75
2024-05-21,13267.0,671.24,671.25,676.0,655.05,664.56,-6.68
2024-05-22,44404.0,664.56,677.8,680.0,661.0,665.08,0.52
2024-05-23,5353.0,665.08,674.3,674.3,655.0,660.33,-4.75
2024-05-24,30242.0,660.33,671.5,671.5,648.0,670.88,10.55
2024-05-27,49442.0,670.88,671.5,675.19,661.0,673.65,2.77
2024-05-29,46162.0,673.65,663.02,682.0,663.0,678.22,4.57
2024-05-30,11705.0,678.22,678.0,680.0,667.01,677.93,-0.29
