Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,39500.0,2.3,2.29,2.43,2.28,2.3,0.0
2024-01-02,51000.0,2.3,2.44,2.45,2.2,2.27,-0.03
2024-01-03,71000.0,2.27,2.3,2.38,2.26,2.33,0.06
2024-01-04,35000.0,2.33,2.3,2.4,2.3,2.39,0.06
2024-01-08,70500.0,2.36,2.26,2.4,2.26,2.4,0.04
2024-01-12,1667500.0,2.99,3.1,3.2,2.53,2.8,-0.19
2024-01-18,1050500.0,2.37,2.78,2.8,2.22,2.68,0.31
2024-01-19,234000.0,2.68,2.69,2.8,2.6,2.68,0.0
2024-01-22,746500.0,2.68,2.55,2.65,2.4,2.48,-0.2
2024-01-23,149500.0,2.48,2.41,2.63,2.35,2.61,0.13
2024-01-26,230500.0,2.43,2.4,2.45,2.3,2.32,-0.11
2024-01-29,374500.0,2.32,2.5,2.5,2.02,2.11,-0.21
2024-01-30,823000.0,2.11,2.29,2.3,1.9,1.92,-0.19
2024-01-31,320000.0,1.92,2.0,2.0,1.86,1.88,-0.04
2024-02-01,322500.0,1.88,1.95,2.1,1.95,1.99,0.11
2024-02-02,308500.0,1.99,2.01,2.13,1.96,2.0,0.01
2024-02-07,150000.0,2.12,2.14,2.14,2.02,2.1,-0.02
2024-02-13,640500.0,1.81,1.75,1.75,1.31,1.45,-0.36
2024-02-15,539500.0,1.54,1.41,1.5,1.3,1.45,-0.09
2024-02-16,346500.0,1.45,1.44,1.49,1.26,1.35,-0.1
2024-02-19,165500.0,1.35,1.23,1.35,1.2,1.22,-0.13
2024-02-20,519000.0,1.22,1.25,1.35,1.13,1.27,0.05
2024-04-30,1471000.0,1.27,2.27,2.27,1.8,2.02,0.75
2024-05-02,1088000.0,2.02,1.95,1.99,1.55,1.69,-0.33
2024-05-03,342500.0,1.69,1.67,1.73,1.61,1.67,-0.02
2024-05-08,441500.0,1.69,1.67,1.7,1.51,1.54,-0.15
2024-05-09,450500.0,1.54,1.6,1.6,1.49,1.53,-0.01
2024-05-10,22500.0,1.53,1.49,1.64,1.49,1.53,0.0
2024-05-13,1152500.0,1.53,1.56,1.89,1.56,1.84,0.31
2024-05-14,2591500.0,1.84,1.86,2.1,1.86,1.9,0.06
2024-05-15,310500.0,1.9,1.92,1.92,1.75,1.77,-0.13
2024-05-16,494500.0,1.77,1.65,1.75,1.65,1.71,-0.06
2024-05-17,147000.0,1.71,1.9,1.9,1.72,1.73,0.02
2024-05-20,171500.0,1.73,1.8,1.81,1.62,1.65,-0.08
2024-05-21,631500.0,1.65,1.66,1.74,1.51,1.6,-0.05
2024-05-23,237500.0,1.59,1.62,1.77,1.62,1.7,0.11
2024-05-24,282500.0,1.7,1.62,1.86,1.62,1.71,0.01
2024-05-27,19005.0,1.71,1.71,1.78,1.65,1.75,0.04
2024-05-29,63106.0,1.75,1.71,1.71,1.58,1.66,-0.09
2024-05-30,81681.0,1.66,1.69,1.73,1.6,1.63,-0.03
2024-06-03,1742282.0,1.71,1.9,2.39,1.55,2.1,0.39
2024-06-04,1697899.0,2.1,2.0,2.2,1.7,1.89,-0.21
2024-06-05,579672.0,1.89,1.94,1.94,1.76,1.82,-0.07
2024-06-06,7632684.0,1.82,1.89,2.82,1.77,2.82,1.0
2024-06-07,8326166.0,2.82,3.25,3.82,3.03,3.82,1.0
2024-06-10,13274153.0,3.82,4.29,4.82,2.82,2.93,-0.89
2024-06-11,3378541.0,2.93,3.0,3.5,3.0,3.14,0.21
2024-06-12,1222786.0,3.14,3.14,3.5,2.83,2.97,-0.17
2024-06-13,1718679.0,2.97,3.22,3.22,2.75,2.8,-0.17
2024-06-14,314100.0,2.8,2.79,2.8,2.55,2.57,-0.23
2024-06-20,3837258.0,2.57,2.8,3.4,2.6,3.05,0.48
2024-06-21,1021989.0,3.05,3.19,3.19,2.7,2.82,-0.23
2024-06-24,1422337.0,2.82,2.96,3.1,2.69,2.88,0.06
2024-06-25,1145227.0,2.88,2.96,2.96,2.6,2.67,-0.21
2024-06-26,507326.0,2.67,2.6,2.77,2.5,2.54,-0.13
2024-06-27,366881.0,2.54,2.68,2.75,2.58,2.7,0.16
2024-06-28,2464652.0,2.7,2.79,3.14,2.6,2.85,0.15
2024-07-01,755385.0,2.85,2.91,2.97,2.7,2.76,-0.09
2024-07-02,381804.0,2.76,2.9,2.9,2.65,2.83,0.07
2024-07-03,301089.0,2.83,2.9,2.9,2.68,2.74,-0.09
2024-07-04,276536.0,2.74,2.75,2.85,2.65,2.7,-0.04
2024-07-05,535619.0,2.7,2.7,2.9,2.6,2.74,0.04
2024-07-08,94119.0,2.74,2.66,2.85,2.62,2.71,-0.03
2024-07-09,273443.0,2.71,2.79,2.79,2.61,2.68,-0.03
2024-07-10,343472.0,2.68,2.62,2.79,2.5,2.62,-0.06
2024-07-11,501049.0,2.62,2.52,2.6,2.41,2.45,-0.17
2024-07-12,617278.0,2.45,2.58,2.6,2.34,2.45,0.0
2024-07-15,755851.0,2.45,2.45,2.58,2.11,2.31,-0.14
2024-07-18,613042.0,2.31,2.42,2.42,2.01,2.12,-0.19
2024-07-19,546985.0,2.12,2.07,2.24,1.9,2.08,-0.04
2024-07-22,215144.0,2.08,2.15,2.15,2.0,2.03,-0.05
2024-07-23,996765.0,2.03,2.14,2.39,1.95,2.26,0.23
2024-07-24,415327.0,2.26,2.27,2.27,2.01,2.05,-0.21
2024-07-25,743450.0,2.05,2.15,2.36,2.05,2.09,0.04
2024-07-26,642155.0,2.09,2.23,2.23,2.0,2.0,-0.09
2024-07-29,1391119.0,2.0,2.14,2.5,2.0,2.41,0.41
2024-07-30,347789.0,2.41,2.49,2.5,2.3,2.36,-0.05
2024-07-31,1389395.0,2.36,2.42,2.8,2.12,2.28,-0.08
2024-08-01,290098.0,2.28,2.4,2.46,2.26,2.3,0.02
2024-08-02,1273167.0,2.3,2.4,2.65,2.36,2.53,0.23
2024-08-05,1989224.0,2.53,2.55,2.88,2.55,2.79,0.26
2024-08-06,2266599.0,2.79,2.89,2.97,2.61,2.73,-0.06
2024-08-07,4328826.0,2.73,2.83,3.6,2.6,3.11,0.38
2024-08-08,1922786.0,3.11,3.11,3.28,2.92,3.02,-0.09
2024-08-09,812671.0,3.02,3.02,3.15,2.9,3.06,0.04
2024-08-12,3321158.0,3.06,3.09,3.5,3.09,3.42,0.36
2024-08-13,4513948.0,3.42,3.5,3.7,3.02,3.48,0.06
2024-08-15,1588481.0,3.48,3.47,3.69,3.27,3.52,0.04
2024-08-16,1359033.0,3.52,3.6,3.62,3.12,3.16,-0.36
2024-08-19,2153923.0,3.16,3.2,3.29,2.65,2.68,-0.48
2024-08-20,515037.0,2.68,2.75,2.79,2.62,2.7,0.02
2024-08-21,724518.0,2.7,2.8,2.99,2.8,2.92,0.22
2024-08-22,1573460.0,2.92,3.0,3.3,2.9,3.07,0.15
2024-08-23,794152.0,3.07,3.05,3.2,2.9,2.94,-0.13
2024-08-26,212636.0,2.94,2.99,2.99,2.75,2.78,-0.16
2024-08-27,391101.0,2.78,2.89,3.0,2.8,2.94,0.16
2024-08-28,880043.0,2.94,3.01,3.05,2.8,2.84,-0.1
2024-08-29,2297402.0,2.84,2.84,3.35,2.82,3.24,0.4
2024-08-30,9302760.0,3.24,3.34,4.24,3.33,3.69,0.45
2024-09-02,2804744.0,3.69,3.74,3.99,3.44,3.55,-0.14
2024-09-03,3896469.0,3.55,3.7,3.99,3.42,3.78,0.23
2024-09-04,6913214.0,3.78,3.9,4.78,3.83,4.78,1.0
2024-09-05,10405266.0,4.78,5.29,5.47,4.65,4.85,0.07
2024-09-06,2814856.0,4.85,4.6,5.23,4.5,4.57,-0.28
2024-09-09,1630748.0,4.57,4.43,4.74,4.22,4.3,-0.27
2024-09-10,2354921.0,4.3,4.57,4.57,3.9,4.12,-0.18
2024-09-11,369501.0,4.12,4.2,4.2,3.85,3.93,-0.19
2024-09-12,2037878.0,3.93,4.0,4.38,3.9,4.06,0.13
2024-09-13,1705383.0,4.06,4.39,4.39,3.9,3.92,-0.14
2024-09-16,479780.0,3.92,3.75,4.14,3.75,3.93,0.01
2024-09-18,756475.0,3.93,4.1,4.15,3.9,3.92,-0.01
2024-09-19,684673.0,3.92,4.0,4.1,3.8,3.82,-0.1
2024-09-20,669195.0,3.82,3.82,3.99,3.17,3.59,-0.23
2024-09-23,800365.0,3.59,3.69,3.85,3.5,3.7,0.11
2024-09-24,856496.0,3.7,3.78,3.85,3.7,3.7,0.0
2024-09-25,491187.0,3.7,3.8,3.88,3.6,3.69,-0.01
2024-09-26,658849.0,3.69,3.87,3.87,3.6,3.61,-0.08
2024-09-27,234058.0,3.61,3.7,3.7,3.3,3.37,-0.24
2024-09-30,358736.0,3.37,3.67,3.7,3.25,3.27,-0.1
2024-10-01,337984.0,3.27,3.55,3.55,3.15,3.29,0.02
2024-10-02,941604.0,3.29,3.05,3.55,3.05,3.52,0.23
2024-10-03,179571.0,3.52,3.69,3.7,3.31,3.38,-0.14
2024-10-04,36870.0,3.38,3.49,3.49,3.16,3.44,0.06
2024-10-07,50217.0,3.44,3.5,3.5,3.22,3.29,-0.15
2024-10-08,563585.0,3.29,3.5,3.5,3.15,3.18,-0.11
2024-10-09,332623.0,3.18,3.45,3.45,3.08,3.1,-0.08
2024-10-10,127831.0,3.1,3.25,3.25,3.01,3.06,-0.04
2024-10-11,854587.0,3.06,3.22,3.22,2.9,2.92,-0.14
2024-10-14,122221.0,2.92,2.98,3.2,2.92,2.97,0.05
2024-10-15,119684.0,2.97,3.16,3.17,2.85,2.98,0.01
2024-10-16,55744.0,2.98,2.81,3.09,2.81,2.99,0.01
2024-10-17,100070.0,2.99,3.12,3.15,2.88,2.99,0.0
2024-10-18,138238.0,2.99,3.1,3.1,2.88,2.9,-0.09
2024-10-21,354287.0,2.9,3.04,3.18,2.72,3.03,0.13
2024-10-22,288752.0,3.03,3.16,3.17,3.0,3.1,0.07
2024-10-23,377055.0,3.1,2.82,3.15,2.82,2.92,-0.18
2024-10-24,318242.0,2.92,3.0,3.1,2.9,2.92,0.0
2024-10-25,122839.0,2.92,3.0,3.03,2.85,2.89,-0.03
2024-10-28,2934919.0,2.89,3.06,3.64,2.85,3.17,0.28
2024-10-29,712809.0,3.17,2.86,3.34,2.86,3.1,-0.07
2024-10-30,174512.0,3.1,3.2,3.2,2.95,3.01,-0.09
2024-10-31,302115.0,3.01,3.09,3.09,2.94,2.96,-0.05
2024-11-01,415208.0,2.96,3.09,3.09,2.7,2.86,-0.1
2024-11-04,382585.0,2.86,2.75,3.13,2.75,2.87,0.01
2024-11-05,1367367.0,2.87,2.75,2.96,2.7,2.85,-0.02
2024-11-06,833017.0,2.85,2.8,2.94,2.8,2.87,0.02
2024-11-07,1155534.0,2.87,2.9,3.18,2.8,3.07,0.2
2024-11-08,1770164.0,3.07,2.9,2.95,2.51,2.78,-0.29
2024-11-11,1372153.0,2.78,3.4,3.4,2.94,2.96,0.18
2024-11-12,406762.0,2.96,3.08,3.08,2.86,2.88,-0.08
2024-11-13,219466.0,2.88,2.86,3.09,2.86,2.9,0.02
2024-11-14,856609.0,2.9,3.0,3.15,2.9,3.08,0.18
2024-11-15,118170.0,3.08,3.04,3.14,2.91,2.97,-0.11
2024-11-18,4060932.0,2.97,3.1,3.97,3.0,3.33,0.36
2024-11-19,2163745.0,3.33,3.33,3.81,3.33,3.7,0.37
2024-11-20,2694790.0,3.7,3.75,4.2,3.41,3.88,0.18
2024-11-21,1011109.0,3.88,3.99,4.0,3.5,3.69,-0.19
2024-11-22,938894.0,3.69,3.78,3.89,3.21,3.37,-0.32
2024-11-25,212073.0,3.37,3.3,3.5,3.3,3.38,0.01
2024-11-26,649652.0,3.38,3.47,3.47,3.06,3.17,-0.21
2024-11-27,1060213.0,3.17,3.29,3.59,3.03,3.5,0.33
2024-11-28,505849.0,3.5,3.58,3.65,3.38,3.41,-0.09
2024-11-29,189181.0,3.41,3.4,3.58,3.34,3.43,0.02
2024-12-02,625076.0,3.43,3.54,3.6,3.3,3.53,0.1
2024-12-03,293248.0,3.53,3.64,3.65,3.49,3.54,0.01
2024-12-04,338936.0,3.54,3.51,3.57,3.36,3.41,-0.13
2024-12-05,372835.0,3.41,3.56,3.6,3.37,3.47,0.06
2024-12-06,148076.0,3.47,3.5,3.54,3.38,3.45,-0.02
2024-12-09,234541.0,3.45,3.39,3.5,3.39,3.43,-0.02
2024-12-10,706722.0,3.43,3.5,3.5,3.26,3.3,-0.13
2024-12-11,182728.0,3.3,3.3,3.48,3.25,3.31,0.01
2024-12-12,426629.0,3.31,3.33,3.58,3.33,3.35,0.04
2024-12-13,334875.0,3.35,3.28,3.4,3.2,3.23,-0.12
2024-12-16,136998.0,3.23,3.23,3.44,3.23,3.33,0.1
2024-12-17,431959.0,3.33,3.33,3.5,3.17,3.2,-0.13
2024-12-18,471416.0,3.2,3.34,3.34,2.96,3.03,-0.17
2024-12-19,300421.0,3.03,3.14,3.25,3.0,3.01,-0.02
2024-12-20,148485.0,3.01,3.1,3.28,2.95,3.17,0.16
2024-12-23,108208.0,3.17,3.2,3.27,3.1,3.19,0.02
2024-12-24,540517.0,3.19,3.24,3.24,3.0,3.12,-0.07
2024-12-26,65070.0,3.12,3.29,3.29,3.09,3.09,-0.03
2024-12-27,255859.0,3.09,3.2,3.29,3.02,3.21,0.12
2024-12-30,423591.0,3.21,3.25,3.47,3.18,3.3,0.09
2024-12-31,6196050.0,3.3,3.41,4.1,3.4,3.77,0.47
2025-01-02,1161120.0,3.54,3.73,3.87,3.47,3.84,0.3
2025-01-03,391983.0,3.84,3.84,3.9,3.51,3.56,-0.28
2025-01-06,137435.0,3.56,3.55,3.74,3.55,3.59,0.03
2025-01-07,203947.0,3.59,3.69,3.69,3.4,3.51,-0.08
2025-01-08,555641.0,3.51,3.65,3.68,3.42,3.55,0.04
2025-01-09,219588.0,3.55,3.45,3.69,3.45,3.51,-0.04
2025-01-10,212864.0,3.51,3.65,3.7,3.4,3.6,0.09
2025-01-13,194262.0,3.6,3.77,3.77,3.4,3.62,0.02
2025-01-14,64248.0,3.62,3.69,3.69,3.53,3.6,-0.02
2025-01-15,164279.0,3.6,3.66,3.66,3.45,3.55,-0.05
2025-01-16,487391.0,3.55,3.64,3.7,3.45,3.58,0.03
2025-01-17,70150.0,3.58,3.51,3.74,3.5,3.61,0.03
2025-01-20,556348.0,3.61,3.55,3.67,3.38,3.43,-0.18
2025-01-21,789711.0,3.43,3.35,3.75,3.35,3.55,0.12
2025-01-22,173091.0,3.55,3.7,3.7,3.5,3.51,-0.04
