Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,172500.0,55.32,55.98,57.0,54.1,56.06,0.74
2024-01-02,50500.0,56.06,56.95,56.97,56.0,56.01,-0.05
2024-01-03,239000.0,56.01,56.79,56.79,55.11,55.99,-0.02
2024-01-04,30000.0,55.99,56.68,56.68,55.05,55.99,0.0
2024-01-05,42500.0,55.99,56.48,56.48,54.98,55.37,-0.62
2024-01-08,78500.0,55.37,53.7,56.46,53.7,55.08,-0.29
2024-01-09,29500.0,55.08,55.95,55.96,54.13,55.12,0.04
2024-01-10,46500.0,55.12,55.0,55.68,54.67,54.75,-0.37
2024-01-11,135000.0,54.75,54.75,56.0,54.27,55.92,1.17
2024-01-12,20500.0,55.92,56.59,56.59,55.05,56.0,0.08
2024-01-15,38500.0,56.0,56.0,56.0,55.0,55.39,-0.61
2024-01-16,242500.0,55.39,55.04,55.74,54.7,55.27,-0.12
2024-01-17,22000.0,55.27,54.61,55.5,54.6,54.92,-0.35
2024-01-18,931000.0,54.92,55.0,56.7,54.5,56.0,1.08
2024-01-19,172000.0,56.0,57.88,57.88,56.36,56.53,0.53
2024-01-22,18500.0,56.53,56.5,57.72,56.5,57.0,0.47
2024-01-23,1030500.0,57.0,57.9,58.64,56.51,57.72,0.72
2024-01-24,179500.0,57.72,57.75,59.75,57.5,59.38,1.66
2024-01-25,301500.0,59.38,59.0,60.0,56.5,59.89,0.51
2024-01-26,1263000.0,59.89,60.84,61.49,59.0,60.94,1.05
2024-01-29,632500.0,60.94,61.0,62.0,60.0,60.13,-0.81
2024-01-30,59000.0,60.13,60.74,60.75,59.0,59.49,-0.64
2024-01-31,80500.0,59.49,60.87,60.9,59.41,59.99,0.5
2024-02-01,55000.0,59.99,60.0,60.0,59.5,59.8,-0.19
2024-02-02,142500.0,59.8,59.6,60.21,59.5,60.2,0.4
2024-02-06,172000.0,60.2,61.0,61.21,60.0,61.08,0.88
2024-02-07,148500.0,61.08,61.41,61.5,60.35,61.32,0.24
2024-02-09,240000.0,61.32,58.16,60.5,56.72,60.4,-0.92
2024-02-12,77500.0,60.4,59.25,60.0,59.0,59.12,-1.28
2024-02-13,76500.0,59.12,59.0,59.7,58.01,59.0,-0.12
2024-02-14,69500.0,59.0,59.07,60.29,58.5,58.63,-0.37
2024-02-15,89000.0,58.63,59.01,61.1,58.8,59.23,0.6
2024-02-16,371000.0,59.23,59.23,59.89,57.75,58.29,-0.94
2024-02-19,99000.0,58.29,58.5,58.99,57.5,57.68,-0.61
2024-02-20,143000.0,57.68,58.0,58.2,57.0,57.2,-0.48
2024-02-21,45500.0,57.2,58.5,58.5,57.01,57.4,0.2
2024-02-22,15500.0,57.4,57.55,57.87,57.0,57.21,-0.19
2024-02-23,756000.0,57.21,57.25,58.25,57.0,57.99,0.78
2024-02-26,215000.0,57.99,57.25,58.0,57.25,58.0,0.01
2024-02-27,153500.0,58.0,57.75,58.99,57.75,58.28,0.28
2024-02-28,28000.0,58.28,58.4,58.99,58.28,58.99,0.71
2024-02-29,63000.0,58.99,59.0,59.87,58.75,59.36,0.37
2024-03-01,463500.0,59.36,59.45,60.51,59.1,60.42,1.06
2024-03-04,127000.0,60.42,59.6,59.75,59.0,59.02,-1.4
2024-03-05,27500.0,59.02,58.55,59.58,58.16,59.58,0.56
2024-03-06,78000.0,59.58,59.0,59.75,59.0,59.44,-0.14
2024-03-07,151500.0,59.44,59.5,59.5,58.8,59.37,-0.07
2024-03-08,66500.0,59.37,59.99,59.99,59.11,59.14,-0.23
2024-03-11,58000.0,59.14,59.9,59.9,58.57,59.04,-0.1
2024-03-12,16500.0,59.04,58.75,59.49,58.5,59.06,0.02
2024-03-13,44500.0,59.06,59.0,59.1,58.76,58.76,-0.3
2024-03-14,43500.0,58.76,59.0,59.0,58.7,58.88,0.12
2024-03-15,117500.0,58.88,58.99,59.0,58.0,58.48,-0.4
2024-03-18,596000.0,58.48,58.99,59.5,58.5,58.91,0.43
2024-03-19,3392000.0,53.41,51.02,57.42,51.02,56.0,2.59
2024-03-20,307000.0,56.0,55.99,57.42,55.99,56.15,0.15
2024-03-21,57000.0,56.15,57.0,57.0,54.0,54.57,-1.58
2024-03-22,32000.0,54.57,55.35,55.35,53.5,53.78,-0.79
2024-03-25,18000.0,53.78,54.0,54.84,53.98,54.84,1.06
2024-03-26,137500.0,54.84,54.99,55.29,53.15,55.25,0.41
2024-03-27,43500.0,55.25,55.89,55.89,55.1,55.54,0.29
2024-03-28,59000.0,55.54,56.49,57.04,56.35,56.9,1.36
2024-03-29,25000.0,56.9,55.15,57.24,55.15,57.24,0.34
2024-04-01,264500.0,57.24,57.99,57.99,56.01,56.25,-0.99
2024-04-02,4000.0,56.25,56.41,56.99,56.41,56.99,0.74
2024-04-03,174000.0,56.99,56.99,57.18,56.5,57.0,0.01
2024-04-04,966000.0,57.0,56.99,58.5,56.5,58.38,1.38
2024-04-08,71500.0,58.38,58.51,59.3,57.5,57.96,-0.42
2024-04-09,759000.0,57.96,57.5,60.4,57.5,60.01,2.05
2024-04-15,164500.0,60.01,59.0,61.9,59.0,60.79,0.78
2024-04-16,174000.0,60.79,61.4,61.6,60.0,60.99,0.2
2024-04-17,224500.0,60.99,58.05,62.01,58.05,61.58,0.59
2024-04-18,114000.0,61.58,61.85,62.69,61.3,61.45,-0.13
2024-04-19,47000.0,61.45,61.99,61.99,60.12,61.19,-0.26
2024-04-22,200500.0,61.19,61.95,62.62,60.2,61.5,0.31
2024-04-23,55500.0,61.5,61.0,61.0,60.2,60.5,1.0
2024-04-24,1256000.0,60.5,60.5,61.0,58.9,59.14,-1.36
2024-04-25,77000.0,59.14,59.87,61.9,58.31,60.05,0.91
2024-04-26,224000.0,60.05,58.0,61.89,56.02,60.47,0.42
2024-04-29,170500.0,60.47,60.98,61.13,59.41,59.97,-0.5
2024-04-30,207500.0,59.97,59.43,61.0,59.43,60.02,0.05
2024-05-02,205000.0,60.02,60.5,60.99,59.9,60.09,0.07
