Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,640.0,1200.0,1200.0,1290.0,1200.0,1288.47,88.47
2024-01-02,460.0,1288.47,1300.0,1320.0,1300.0,1320.0,31.53
2024-01-03,700.0,1320.0,1320.0,1350.0,1320.0,1350.0,30.0
2024-01-05,40.0,1350.0,1300.0,1300.0,1300.0,1300.0,50.0
2024-01-09,660.0,1300.0,1289.0,1349.0,1250.0,1340.8,40.8
2024-01-10,20.0,1340.8,1300.0,1300.0,1300.0,1300.0,-40.8
2024-01-11,260.0,1300.0,1300.0,1300.0,1250.0,1300.0,0.0
2024-01-12,320.0,1300.0,1295.0,1300.0,1295.0,1300.0,0.0
2024-01-15,100.0,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2024-01-16,300.0,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2024-01-22,100.0,1300.0,1320.0,1320.0,1320.0,1320.0,20.0
2024-01-23,80.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-01-24,320.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-01-25,220.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-01-26,100.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-01-29,660.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-01-31,600.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-02-07,600.0,1323.66,1400.0,1422.0,1400.0,1400.0,76.34
2024-02-12,440.0,1400.0,1320.0,1320.0,1320.0,1320.0,80.0
2024-02-13,400.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-02-15,20.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2024-02-16,2720.0,1320.0,1321.0,1321.0,1320.0,1321.0,1.0
2024-02-19,160.0,1321.0,1320.0,1320.0,1320.0,1320.0,1.0
2024-02-20,80.0,1320.0,1335.0,1335.0,1321.0,1321.07,1.07
2024-02-22,600.0,1321.07,1321.0,1321.0,1321.0,1321.0,-0.07
2024-02-23,2260.0,1321.0,1320.0,1410.0,1320.0,1350.0,29.0
2024-02-26,600.0,1350.0,1331.0,1396.0,1331.0,1362.4,12.4
2024-02-27,320.0,1362.4,1260.22,1350.0,1260.22,1301.0,-61.4
2024-02-28,600.0,1301.0,1281.0,1281.0,1270.0,1280.0,21.0
2024-03-08,220.0,1280.0,1260.0,1260.0,1260.0,1260.0,20.0
2024-03-15,100.0,1260.0,1260.01,1260.01,1260.0,1260.0,0.0
2024-03-19,500.0,1260.0,1260.0,1275.0,1260.0,1260.0,0.0
2024-03-20,100.0,1260.0,1260.0,1260.0,1260.0,1260.0,0.0
2024-03-22,40.0,1260.0,1354.44,1354.44,1353.87,1353.87,93.87
2024-03-27,300.0,1353.87,1260.01,1260.01,1260.0,1260.0,-93.87
2024-03-29,140.0,1230.0,1282.0,1300.0,1282.0,1300.0,70.0
2024-04-01,20.0,1300.0,1225.0,1225.0,1225.0,1300.0,0.0
2024-04-02,20.0,1300.0,1210.01,1210.01,1210.01,1300.0,0.0
2024-04-03,80.0,1300.0,1250.0,1250.5,1250.0,1250.5,-49.5
2024-04-04,120.0,1250.5,1300.0,1300.0,1300.0,1300.0,49.5
2024-04-09,120.0,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2024-04-15,300.0,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2024-04-16,260.0,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2024-04-17,720.0,1300.0,1300.0,1350.0,1300.0,1350.0,50.0
2024-04-18,20.0,1350.0,1300.0,1300.0,1300.0,1300.0,50.0
2024-04-19,160.0,1300.0,1397.49,1397.5,1397.49,1397.49,97.49
2024-04-23,243.0,1397.49,1300.0,1399.99,1300.0,1399.99,2.5
2024-04-25,701.0,1399.99,1300.01,1350.0,1300.0,1350.0,-49.99
2024-04-26,545.0,1350.0,1300.0,1370.0,1255.11,1319.79,-30.21
2024-04-29,497.0,1319.79,1235.0,1235.0,1230.0,1230.0,-89.79
2024-04-30,17.0,1230.0,1300.0,1300.0,1231.0,1230.0,0.0
2024-05-03,570.0,1230.0,1300.0,1300.0,1231.0,1300.0,70.0
2024-05-06,486.0,1300.0,1330.0,1333.0,1231.05,1233.87,-66.13
2024-05-07,2592.0,1233.87,1326.0,1326.41,1300.0,1326.41,92.54
2024-05-08,4562.0,1326.41,1400.0,1425.8,1300.0,1300.01,-26.4
2024-05-09,4320.0,1300.01,1310.0,1350.0,1310.0,1350.0,49.99
2024-05-10,5230.0,1350.0,1400.0,1450.0,1400.0,1444.71,94.71
2024-05-13,610.0,1444.71,1450.0,1498.0,1450.0,1450.0,5.29
2024-05-14,8520.0,1450.0,1480.0,1480.0,1480.0,1480.0,30.0
2024-05-15,9606.0,1480.0,1500.0,1500.0,1451.0,1454.43,-25.57
2024-05-16,16801.0,1454.43,1450.0,1450.0,1430.0,1434.05,-20.38
2024-05-17,17422.0,1434.05,1475.0,1541.0,1330.0,1526.97,92.92
2024-05-20,56.0,1526.97,1526.98,1526.98,1413.11,1429.19,-97.78
2024-05-21,12625.0,1429.19,1400.01,1400.01,1392.51,1400.0,-29.19
2024-05-22,190.0,1400.0,1390.01,1399.0,1305.0,1369.78,-30.22
2024-05-23,12601.0,1369.78,1430.0,1430.0,1430.0,1369.78,0.0
2024-05-24,8919.0,1369.78,1400.0,1472.5,1300.04,1472.5,102.72
2024-05-27,8817.0,1472.5,1490.0,1490.0,1381.15,1472.5,0.0
2024-05-29,20.0,1472.5,1358.7,1358.7,1358.7,1358.7,-113.8
2024-05-30,102.0,1358.7,1359.2,1448.83,1359.2,1367.35,8.65
2024-05-31,234.0,1367.35,1400.0,1400.0,1400.0,1400.0,32.65
2024-06-04,1.0,1400.0,1301.01,1301.01,1301.01,1400.0,0.0
2024-06-05,36.0,1400.0,1400.0,1400.01,1400.0,1400.0,0.0
2024-06-06,65.0,1400.0,1475.0,1475.0,1360.0,1361.67,-38.33
2024-06-07,111.0,1361.67,1400.0,1400.0,1400.0,1400.0,38.33
2024-06-10,7635.0,1400.0,1430.0,1500.0,1306.0,1449.02,49.02
2024-06-11,11099.0,1449.02,1549.0,1549.0,1499.99,1500.0,50.98
2024-06-12,8601.0,1500.0,1500.0,1500.0,1500.0,1500.0,0.0
2024-06-13,9755.0,1500.0,1500.0,1550.0,1500.0,1549.2,49.2
2024-06-14,12680.0,1549.2,1550.0,1599.0,1550.0,1598.99,49.79
2024-06-20,9185.0,1598.99,1617.0,1617.0,1599.0,1601.0,2.01
2024-06-21,4529.0,1601.0,1600.0,1625.0,1600.0,1600.0,1.0
2024-06-25,646.0,1600.0,1510.0,1600.0,1510.0,1600.0,0.0
2024-06-26,502.0,1600.0,1600.0,1685.0,1600.0,1601.67,1.67
2024-06-27,50.0,1601.67,1600.0,1600.0,1600.0,1600.0,-1.67
2024-07-01,450.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0
2024-07-02,790.0,1600.0,1600.0,1605.0,1600.0,1605.0,5.0
2024-07-03,940.0,1605.0,1605.0,1605.0,1600.0,1600.0,5.0
2024-07-04,164.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0
2024-07-05,29.0,1600.0,1460.0,1460.0,1460.0,1460.0,140.0
2024-07-08,6.0,1460.0,1500.0,1500.0,1500.0,1460.0,0.0
2024-07-09,34.0,1460.0,1500.0,1500.0,1500.0,1500.0,40.0
2024-07-11,587.0,1500.0,1590.0,1642.5,1530.0,1530.0,30.0
2024-07-12,71.0,1530.0,1530.0,1530.0,1400.0,1500.0,30.0
2024-07-15,11.0,1500.0,1629.9,1629.9,1550.0,1533.09,33.09
2024-07-19,53.0,1533.09,1570.0,1570.0,1550.0,1551.13,18.04
2024-07-22,3.0,1551.13,1550.0,1550.0,1550.0,1551.13,0.0
2024-07-23,87.0,1551.13,1500.0,1555.0,1500.0,1550.21,-0.92
2024-07-24,22.0,1550.21,1600.0,1620.0,1555.0,1598.86,48.65
2024-07-25,309.0,1598.86,1575.3,1600.0,1550.0,1565.93,-32.93
2024-07-31,2.0,1565.93,1600.0,1600.0,1570.0,1565.93,0.0
2024-08-01,6.0,1565.93,1595.0,1595.0,1590.0,1565.93,0.0
2024-08-02,259.0,1565.93,1570.0,1600.0,1530.0,1600.0,34.07
2024-08-05,10.0,1600.0,1500.25,1520.2,1500.25,1600.0,0.0
2024-08-07,283.0,1600.0,1600.0,1615.0,1600.0,1600.83,0.83
2024-08-08,143.0,1600.83,1600.0,1600.1,1600.0,1600.0,-0.83
2024-08-09,60.0,1600.0,1615.0,1615.0,1600.0,1600.0,0.0
2024-08-12,221.0,1600.0,1560.0,1565.0,1440.0,1508.72,-91.28
2024-08-13,3206.0,1508.72,1599.0,1600.0,1575.0,1599.99,91.27
2024-08-15,4057.0,1599.99,1601.0,1625.0,1600.0,1600.0,0.01
2024-08-16,11866.0,1600.0,1634.0,1760.0,1630.0,1660.29,60.29
2024-08-19,21.0,1660.29,1748.85,1769.99,1748.85,1762.06,101.77
2024-08-20,38.0,1762.06,1938.0,1938.0,1752.0,1752.01,-10.05
2024-08-21,42.0,1752.01,1700.0,1710.0,1608.0,1626.11,-125.9
2024-08-22,23.0,1626.11,1640.0,1725.0,1640.0,1724.0,97.89
2024-08-23,1233.0,1724.0,1896.4,1896.4,1896.4,1896.4,172.4
2024-08-26,13210.0,1896.4,2075.0,2086.04,2075.0,2086.04,189.64
2024-08-27,589.0,2086.04,2294.0,2294.64,2050.0,2055.3,-30.74
2024-08-28,156.0,2055.3,2060.44,2250.0,2050.0,2050.0,-5.3
2024-08-29,297.0,2050.0,1951.0,2060.0,1950.0,2046.66,-3.34
2024-08-30,55.0,2046.66,2100.0,2100.0,2100.0,2100.0,53.34
2024-09-02,67.0,2100.0,2050.0,2095.0,2050.0,2050.0,50.0
2024-09-03,11.0,2025.0,2025.2,2025.2,2025.0,2025.0,0.0
2024-09-04,169.0,2025.0,1996.4,2000.0,1980.0,1987.44,-37.56
2024-09-05,30.0,1987.44,1990.0,1990.0,1950.0,1950.0,-37.44
2024-09-09,125.0,1950.0,1950.0,2095.0,1925.0,1931.85,-18.15
2024-09-10,260.0,1931.85,2000.0,2112.0,1995.0,2069.23,137.38
2024-09-11,37.0,2069.23,2000.0,2000.0,2000.0,2000.0,-69.23
2024-09-12,121.0,2000.0,2000.0,2049.0,2000.0,2000.0,0.0
2024-09-13,41.0,2000.0,2000.0,2000.0,1951.0,1951.0,49.0
2024-09-16,144.0,1951.0,1970.0,2100.0,1970.0,2079.6,128.6
2024-09-18,230.0,2079.6,2000.01,2100.0,2000.0,2000.44,-79.16
2024-09-19,46.0,2000.44,2049.0,2099.9,1917.0,2053.47,53.03
2024-09-20,13.0,2053.47,1903.31,2003.1,1903.31,2053.47,0.0
2024-09-23,13.0,2053.47,2099.88,2099.88,2099.0,2099.34,45.87
2024-09-24,1.0,2099.34,2098.99,2098.99,2098.99,2099.34,0.0
2024-09-30,141.0,2099.34,2099.0,2099.0,2000.0,2000.0,-99.34
2024-10-01,149.0,2000.0,1900.1,2099.0,1900.1,2058.17,58.17
2024-10-02,28.0,2058.17,2030.0,2030.0,2010.0,2010.03,-48.14
2024-10-03,498.0,2010.03,2100.0,2100.0,2100.0,2100.0,89.97
2024-10-07,74.0,2100.0,2210.0,2305.0,2100.0,2285.2,185.2
2024-10-08,28.0,2285.2,2500.0,2500.0,2300.0,2390.0,104.8
2024-10-09,15.0,2390.0,2390.0,2450.0,2165.27,2335.87,-54.13
