Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,11000.0,39.8,39.5,40.0,39.5,40.0,0.2
2024-01-02,7500.0,40.0,39.5,39.5,39.5,39.5,-0.5
2024-01-03,5000.0,39.5,39.8,40.0,39.8,40.0,0.5
2024-01-04,500.0,40.0,37.18,37.18,37.18,37.18,-2.82
2024-01-05,1000.0,37.18,38.0,39.0,38.0,39.0,1.82
2024-01-08,1000.0,39.0,38.0,38.0,37.66,37.83,-1.17
2024-01-10,2000.0,37.83,40.4,40.4,38.01,39.99,2.16
2024-01-11,1500.0,39.99,39.0,39.0,39.0,39.0,-0.99
2024-01-12,7500.0,39.0,40.98,40.98,38.6,38.61,-0.39
2024-01-15,7500.0,38.61,40.0,40.0,39.5,39.5,0.89
2024-01-17,500.0,39.5,37.01,37.01,37.01,37.01,-2.49
2024-01-19,11000.0,37.01,38.0,38.5,37.5,38.5,1.49
2024-01-22,5000.0,38.5,38.88,39.0,38.88,39.0,0.5
2024-01-24,500.0,39.0,39.0,39.0,39.0,39.0,0.0
2024-01-29,1500.0,39.0,39.0,39.0,39.0,39.0,0.0
2024-01-31,500.0,39.0,39.0,39.0,39.0,39.0,0.0
2024-02-07,2000.0,39.0,37.56,40.45,37.56,39.73,0.73
2024-02-15,1000.0,39.73,37.02,39.75,37.02,39.75,0.02
2024-02-16,1500.0,39.75,39.9,39.9,39.0,39.0,-0.75
2024-02-22,13000.0,39.0,41.8,41.93,41.8,41.93,2.93
2024-02-27,1500.0,41.93,41.53,41.53,39.03,39.03,-2.9
2024-02-28,2000.0,39.03,37.11,39.0,37.11,39.0,-0.03
2024-02-29,1000.0,39.0,37.07,37.5,37.07,37.5,-1.5
2024-03-06,1000.0,37.5,38.99,38.99,38.99,38.99,1.49
2024-03-07,500.0,38.99,36.07,36.07,36.07,36.07,-2.92
2024-03-08,2000.0,36.07,38.45,38.5,38.45,38.5,2.43
2024-03-11,3500.0,38.5,35.61,38.5,35.61,38.46,-0.04
2024-03-14,500.0,38.46,40.0,40.0,40.0,40.0,1.54
2024-03-15,2000.0,40.0,39.0,39.0,39.0,39.0,1.0
2024-03-18,500.0,39.0,39.0,39.0,39.0,39.0,0.0
2024-03-19,1000.0,39.0,39.0,39.0,39.0,39.0,0.0
2024-03-21,5000.0,39.0,40.0,40.0,37.0,37.0,2.0
2024-03-25,4000.0,37.0,38.48,38.9,38.0,38.0,1.0
2024-03-26,500.0,38.0,37.5,37.5,37.5,37.5,-0.5
2024-03-29,1500.0,37.5,37.0,37.0,37.0,37.0,-0.5
2024-04-09,1500.0,37.0,37.5,37.5,37.5,37.5,0.5
2024-04-18,500.0,37.5,37.0,37.0,37.0,37.0,-0.5
2024-04-19,2000.0,37.0,38.0,38.0,36.0,36.0,1.0
2024-04-24,3500.0,36.0,37.0,37.0,36.0,36.0,0.0
2024-04-25,1000.0,36.0,37.75,37.75,37.75,37.75,1.75
2024-04-26,1000.0,37.75,37.75,37.75,37.75,37.75,0.0
2024-04-29,2000.0,37.75,35.76,35.76,35.5,35.5,-2.25
2024-04-30,1000.0,35.5,35.5,35.5,35.5,35.5,0.0
2024-05-02,2500.0,35.5,35.0,35.5,35.0,35.5,0.0
2024-05-03,4500.0,35.5,36.0,36.0,36.0,36.0,0.5
2024-05-09,1000.0,36.0,37.4,37.4,37.4,37.4,1.4
2024-05-14,6500.0,37.4,36.0,37.0,36.0,36.5,-0.9
2024-05-15,1500.0,36.5,36.5,36.5,36.2,36.23,-0.27
2024-05-20,500.0,36.23,36.5,36.5,36.5,36.5,0.27
2024-05-22,1000.0,36.5,36.5,36.5,36.5,36.5,0.0
2024-05-23,500.0,36.5,37.0,37.0,37.0,37.0,0.5
2024-05-24,500.0,37.0,36.5,36.5,36.5,36.5,-0.5
2024-05-29,500.0,36.5,0.0,0.0,0.0,36.5,0.0
2024-05-31,501.0,36.5,37.0,37.0,35.05,37.0,0.5
