Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,7500.0,9.91,10.91,10.91,10.91,10.91,1.0
2024-06-04,31.0,10.91,11.91,11.91,11.91,11.68,0.77
2024-06-05,202805.0,11.68,12.68,12.68,12.03,12.68,1.0
2024-06-06,120473.0,12.68,13.49,13.69,13.05,13.69,1.01
2024-06-07,91439.0,13.69,14.79,14.79,14.79,14.79,1.1
2024-06-10,194644.0,14.79,15.9,16.05,13.61,13.75,-1.04
2024-06-11,132676.0,13.75,13.2,14.17,12.58,12.58,-1.17
2024-06-12,97570.0,12.58,12.67,12.68,11.51,11.98,-0.6
2024-06-13,117122.0,11.98,12.1,12.7,11.63,12.01,0.03
2024-06-14,15235.0,12.01,12.49,12.75,12.08,12.4,0.39
2024-06-20,25302.0,12.4,11.81,12.5,11.81,12.33,-0.07
2024-06-21,57741.0,12.33,12.48,12.9,11.8,12.47,0.14
2024-06-24,131906.0,12.47,12.4,12.5,11.35,11.35,-1.12
2024-06-25,100169.0,11.35,11.0,11.16,10.33,10.4,-0.95
2024-06-26,133538.0,10.4,10.59,11.4,10.5,11.4,1.0
2024-06-27,135064.0,11.4,12.43,12.43,12.43,12.43,1.03
2024-06-28,187482.0,12.43,13.5,13.55,13.49,13.55,1.12
2024-07-01,665225.0,13.55,14.0,14.77,12.33,12.33,-1.22
2024-07-02,129649.0,12.33,12.67,12.67,11.22,11.38,-0.95
2024-07-03,41086.0,11.38,11.88,12.3,11.31,12.02,0.64
2024-07-04,59961.0,12.02,12.44,12.5,11.73,11.91,-0.11
2024-07-05,8972.0,11.91,12.4,12.48,11.45,11.52,-0.39
2024-07-08,23751.0,11.52,11.4,12.0,11.3,11.44,-0.08
2024-07-09,19553.0,11.44,11.99,11.99,11.0,11.1,-0.34
2024-07-10,43693.0,11.1,10.75,11.2,10.75,11.08,-0.02
2024-07-11,15904.0,11.08,11.25,11.25,10.51,10.6,-0.48
2024-07-12,17941.0,10.6,10.85,11.0,10.1,10.5,-0.1
2024-07-15,18602.0,10.5,10.7,10.8,10.26,10.67,0.17
2024-07-18,26698.0,10.67,11.0,11.0,10.5,10.65,-0.02
2024-07-19,10245.0,10.65,10.99,10.99,10.1,10.7,0.05
2024-07-22,16238.0,10.7,10.89,10.89,10.01,10.29,-0.41
2024-07-23,29743.0,10.29,10.35,10.7,9.88,10.18,-0.11
2024-07-24,10877.0,10.18,10.8,10.89,10.05,10.19,0.01
2024-07-25,163.0,10.19,10.9,10.9,10.41,10.19,0.0
