Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,701000.0,26.19,26.5,27.7,26.5,27.48,1.29
2024-01-02,2020500.0,27.48,27.99,29.54,27.99,29.54,2.06
2024-01-03,3028500.0,29.54,30.59,30.59,28.51,29.17,-0.37
2024-01-04,1175000.0,29.17,29.47,29.75,28.4,29.29,0.12
2024-01-05,1347500.0,29.29,29.5,29.51,28.0,28.19,-1.1
2024-01-08,560500.0,28.19,28.5,28.5,26.76,26.89,-1.3
2024-01-09,1019500.0,26.89,28.5,28.5,27.03,27.24,0.35
2024-01-10,174500.0,27.24,27.08,27.79,27.02,27.15,-0.09
2024-01-11,1336500.0,27.15,27.39,27.6,26.0,26.56,-0.59
2024-01-12,417000.0,26.56,26.7,27.0,26.11,26.26,-0.3
2024-01-15,230000.0,26.26,26.01,26.78,25.91,26.05,-0.21
2024-01-16,202000.0,26.05,26.0,26.55,25.71,26.47,0.42
2024-01-17,177000.0,26.47,26.55,26.69,26.1,26.5,0.03
2024-01-18,111000.0,26.5,26.15,26.15,25.51,25.76,-0.74
2024-01-19,104000.0,25.76,26.23,26.23,25.61,25.81,0.05
2024-01-22,194000.0,25.81,26.15,26.45,25.52,26.19,0.38
2024-01-23,357500.0,26.19,26.21,26.53,25.9,26.18,-0.01
2024-01-24,383000.0,26.18,26.11,26.85,26.0,26.14,-0.04
2024-01-25,333000.0,26.14,26.28,26.44,25.35,25.48,-0.66
2024-01-26,77500.0,25.48,25.3,25.65,25.26,25.4,-0.08
2024-01-29,167500.0,25.4,25.26,25.48,24.72,24.81,-0.59
2024-01-30,257000.0,24.81,24.81,25.1,23.95,24.0,-0.81
2024-01-31,100000.0,24.0,24.05,24.39,24.02,24.08,0.08
2024-02-01,55500.0,24.08,24.11,24.11,23.81,23.97,-0.11
2024-02-02,49500.0,23.97,24.0,24.35,23.75,24.14,0.17
2024-02-06,200500.0,24.14,24.08,24.64,24.01,24.52,0.38
2024-02-07,251500.0,24.52,24.75,25.4,24.75,24.92,0.4
2024-02-09,91500.0,24.92,24.48,24.66,23.9,24.26,-0.66
2024-02-12,137000.0,24.26,23.88,24.1,22.9,23.07,-1.19
2024-02-13,178500.0,23.07,23.07,23.88,22.4,23.18,0.11
2024-02-14,262000.0,23.18,23.9,24.0,23.3,23.47,0.29
2024-02-15,325000.0,23.47,23.5,24.15,22.75,23.74,0.27
2024-02-16,336000.0,23.74,23.62,23.62,22.1,22.49,-1.25
2024-02-19,91000.0,22.49,22.09,23.1,22.0,22.96,0.47
2024-02-20,125500.0,22.96,23.0,23.78,23.0,23.21,0.25
2024-02-21,180000.0,23.21,23.85,24.14,23.45,24.06,0.85
2024-02-22,110000.0,24.06,23.93,24.1,23.7,23.9,-0.16
2024-02-23,134500.0,23.9,23.9,24.25,23.61,24.08,0.18
2024-02-26,179000.0,24.08,23.62,24.4,23.62,23.94,-0.14
2024-02-27,117000.0,23.94,23.91,23.91,23.25,23.3,-0.64
2024-02-28,346500.0,23.3,23.25,24.29,23.0,23.41,0.11
2024-02-29,614000.0,23.41,23.21,24.1,23.2,23.7,0.29
2024-03-01,400500.0,23.7,23.27,23.6,23.01,23.26,-0.44
2024-03-04,123000.0,23.26,23.73,23.73,23.26,23.34,0.08
2024-03-05,286000.0,23.34,23.6,23.6,22.81,22.89,-0.45
2024-03-06,263000.0,22.89,23.0,23.28,22.77,22.89,0.0
2024-03-07,81500.0,22.89,23.0,23.0,22.7,22.77,-0.12
2024-03-08,289000.0,22.77,23.0,23.5,22.7,23.25,0.48
2024-03-11,2421000.0,23.25,23.48,24.99,23.4,24.91,1.66
2024-03-12,1050000.0,24.91,24.95,25.89,24.1,24.9,-0.01
2024-03-13,180500.0,24.9,24.52,24.7,23.65,23.73,-1.17
2024-03-14,498500.0,23.73,23.97,24.85,23.97,24.27,0.54
2024-03-15,1391000.0,24.27,24.5,25.98,24.12,25.03,0.76
2024-03-18,2030500.0,25.03,25.9,26.25,23.5,23.82,-1.21
2024-03-19,246000.0,23.82,23.75,23.89,23.45,23.49,-0.33
2024-03-20,293500.0,23.49,23.75,23.75,23.01,23.13,-0.36
2024-03-21,212500.0,23.13,23.2,23.3,22.82,23.05,-0.08
2024-03-22,59500.0,23.05,22.8,23.0,22.8,22.94,-0.11
2024-03-25,25000.0,22.94,22.94,23.3,22.94,23.29,0.35
2024-03-26,131000.0,23.29,23.63,23.63,22.96,23.06,-0.23
2024-03-27,78000.0,23.06,22.91,23.2,22.91,22.97,-0.09
2024-03-28,99500.0,22.97,23.23,23.42,23.0,23.03,0.06
2024-03-29,106000.0,23.03,23.27,23.4,22.8,22.92,-0.11
2024-04-01,74500.0,22.92,23.01,23.38,22.8,22.87,-0.05
2024-04-02,169000.0,22.87,22.71,23.14,22.71,23.0,0.13
2024-04-03,123500.0,23.0,23.15,23.3,23.0,23.18,0.18
2024-04-04,327500.0,23.18,23.38,23.9,23.01,23.3,0.12
2024-04-08,382500.0,23.3,23.26,23.64,23.26,23.55,0.25
2024-04-09,126000.0,23.55,23.8,23.8,23.4,23.43,-0.12
2024-04-15,160000.0,23.43,23.48,23.8,23.25,23.62,0.19
2024-04-16,297500.0,23.62,23.87,24.05,23.3,23.5,-0.12
2024-04-17,108500.0,23.5,23.5,23.6,23.2,23.32,-0.18
2024-04-18,73000.0,23.32,23.6,23.6,23.32,23.46,0.14
2024-04-19,438500.0,23.46,23.67,24.0,23.3,23.87,0.41
2024-04-22,1163500.0,23.87,24.1,24.9,24.05,24.5,0.63
2024-04-23,463000.0,24.5,24.42,24.74,24.0,24.07,-0.43
2024-04-24,1365500.0,24.07,24.15,25.44,24.02,24.93,0.86
2024-04-25,947000.0,24.93,25.2,25.4,24.6,24.77,-0.16
2024-04-26,176500.0,24.77,24.85,24.85,24.45,24.49,-0.28
2024-04-29,347500.0,24.49,24.78,24.78,24.0,24.06,-0.43
2024-04-30,3656500.0,24.06,24.66,25.86,24.66,25.86,1.8
2024-05-02,1877500.0,25.86,26.31,26.46,24.66,25.02,-0.84
2024-05-03,1274500.0,25.02,25.23,25.51,24.6,24.78,-0.24
2024-05-06,1578500.0,24.78,25.1,25.98,25.0,25.64,0.86
2024-05-07,4258000.0,25.64,25.69,27.48,25.45,26.51,0.87
2024-05-08,2438500.0,26.51,26.87,27.7,26.3,26.5,-0.01
2024-05-09,3804000.0,26.5,27.1,28.1,26.65,27.45,0.95
2024-05-10,4939500.0,27.45,27.7,29.24,27.5,28.59,1.14
2024-05-13,2390966.0,28.59,29.0,30.73,29.0,30.73,2.14
2024-05-14,8387124.0,30.73,32.48,33.03,29.69,33.01,2.28
2024-05-15,7903654.0,33.01,34.15,35.49,33.55,34.01,1.0
2024-05-16,2956702.0,34.01,33.77,35.35,32.56,34.69,0.68
2024-05-17,6000376.0,34.69,35.2,37.29,34.5,37.14,2.45
2024-05-20,3711765.0,37.14,37.0,38.35,34.36,35.54,-1.6
2024-05-21,4023976.0,35.54,35.69,37.7,34.2,36.87,1.33
2024-05-22,4063695.0,36.87,36.49,37.9,34.52,35.31,-1.56
2024-05-23,2246119.0,35.31,35.44,35.5,34.5,34.79,-0.52
2024-05-24,2331717.0,34.79,34.7,36.7,34.7,36.21,1.42
2024-05-27,4498023.0,36.21,36.0,38.21,35.55,37.57,1.36
2024-05-29,1930877.0,37.57,37.23,37.5,34.56,34.92,-2.65
2024-05-30,2500492.0,34.92,34.6,35.39,33.2,34.66,-0.26
2024-05-31,2316301.0,34.66,34.69,36.65,34.55,36.24,1.58
2024-06-03,1608276.0,36.24,36.24,37.0,35.3,35.61,-0.63
2024-06-04,4122991.0,35.61,35.51,35.75,33.3,34.08,-1.53
2024-06-05,4859267.0,34.08,33.99,35.6,33.4,34.72,0.64
2024-06-06,3176934.0,34.72,34.75,35.0,31.94,32.2,-2.52
2024-06-07,4032978.0,32.2,31.9,32.19,29.71,31.42,-0.78
2024-06-10,1361409.0,31.42,31.33,32.55,31.0,31.56,0.14
2024-06-11,2136211.0,31.56,32.5,32.5,28.88,28.93,-2.63
2024-06-12,1659082.0,28.93,28.9,29.75,28.0,28.99,0.06
2024-06-13,3131275.0,28.99,29.2,31.45,29.0,31.45,2.46
2024-06-14,2624855.0,31.45,32.0,34.12,31.8,34.12,2.67
2024-06-20,5255319.0,34.12,35.49,36.8,34.6,35.57,1.45
2024-06-21,3569656.0,35.57,35.88,36.55,35.01,35.39,-0.18
2024-06-24,870782.0,35.39,35.45,35.7,34.72,35.09,-0.3
2024-06-25,1173170.0,35.09,35.0,35.98,34.35,35.69,0.6
2024-06-26,2317270.0,35.69,35.7,36.65,34.6,35.1,-0.59
2024-06-27,1288430.0,35.1,35.0,35.9,34.75,35.7,0.6
2024-06-28,6002350.0,35.7,35.5,37.44,35.01,35.66,-0.04
2024-07-01,1424178.0,35.66,35.97,36.15,34.6,34.85,-0.81
2024-07-02,3727701.0,34.85,35.25,35.55,34.3,35.16,0.31
2024-07-03,2720139.0,35.16,35.28,36.3,35.28,35.5,0.34
2024-07-04,1254948.0,35.5,35.27,35.9,34.76,35.01,-0.49
2024-07-05,2194863.0,35.01,35.35,36.21,35.0,35.38,0.37
2024-07-08,2154016.0,35.38,35.72,36.69,35.29,36.52,1.14
2024-07-09,10534525.0,36.52,36.75,39.99,36.75,39.99,3.47
2024-07-10,7330711.0,39.99,41.23,43.39,40.8,41.75,1.76
2024-07-11,3214151.0,41.75,41.7,42.3,37.81,38.96,-2.79
2024-07-12,4097949.0,38.96,39.2,41.4,36.02,40.65,1.69
2024-07-15,3593005.0,40.65,41.2,42.48,40.1,40.34,-0.31
2024-07-18,4138975.0,40.34,40.8,41.23,39.01,39.56,-0.78
2024-07-19,2208418.0,39.56,40.0,40.62,37.4,38.07,-1.49
2024-07-22,1456928.0,38.07,38.01,38.89,36.69,36.98,-1.09
2024-07-23,1080758.0,36.98,37.26,38.49,37.26,37.89,0.91
2024-07-24,2993802.0,37.89,38.3,39.79,37.89,39.56,1.67
2024-07-25,2621058.0,39.56,39.9,40.7,38.5,38.78,-0.78
2024-07-26,1167997.0,38.78,38.04,38.99,37.0,37.38,-1.4
2024-07-29,1165766.0,37.38,37.4,38.6,37.4,37.93,0.55
2024-07-30,851681.0,37.93,38.39,38.6,37.02,37.21,-0.72
2024-07-31,2962115.0,37.21,37.5,38.3,36.25,36.62,-0.59
2024-08-01,1966734.0,36.62,36.99,37.75,36.13,36.73,0.11
2024-08-02,2870490.0,36.73,37.1,38.75,36.66,37.53,0.8
2024-08-05,875530.0,37.53,37.57,37.69,36.4,36.53,1.0
2024-08-06,842848.0,36.53,36.75,37.5,35.75,36.07,-0.46
2024-08-07,1331493.0,36.07,36.03,37.24,36.0,36.27,0.2
2024-08-08,896314.0,36.27,36.5,37.25,36.31,36.48,0.21
2024-08-09,4669657.0,36.48,36.69,39.3,36.54,37.76,1.28
2024-08-12,2298841.0,37.76,38.33,38.65,36.36,36.69,-1.07
2024-08-13,1939657.0,36.69,36.67,37.91,36.35,37.71,1.02
2024-08-15,2469586.0,37.71,38.4,38.6,36.9,37.2,-0.51
2024-08-16,788281.0,37.2,37.37,37.95,36.65,36.84,-0.36
2024-08-19,854241.0,36.84,37.0,37.1,35.52,35.82,-1.02
2024-08-20,511123.0,35.82,35.99,36.43,35.48,35.66,-0.16
2024-08-21,568409.0,35.66,35.97,36.49,35.95,36.24,0.58
