Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,4739047.0,117.09,117.15,122.45,117.15,121.42,4.33
2024-01-02,2619172.0,121.42,122.0,122.5,119.07,119.88,-1.54
2024-01-03,3967343.0,119.88,119.9,122.44,119.0,119.86,-0.02
2024-01-04,2134504.0,119.86,120.5,121.49,119.5,121.14,1.28
2024-01-05,3494638.0,121.14,121.48,122.45,118.0,120.56,-0.58
2024-01-08,3218293.0,120.56,120.75,123.0,119.85,120.37,-0.19
2024-01-09,2027799.0,120.37,121.0,121.81,119.9,120.27,-0.1
2024-01-10,2058497.0,120.27,120.85,121.8,119.5,119.9,-0.37
2024-01-11,3857614.0,119.9,120.2,121.69,118.9,120.84,0.94
2024-01-12,4664750.0,120.84,121.45,122.25,118.95,119.72,-1.12
2024-01-15,9719333.0,119.72,120.25,124.75,120.05,121.67,1.95
2024-01-16,5372640.0,121.67,121.49,121.85,118.4,119.54,-2.13
2024-01-17,4840874.0,119.54,119.0,120.0,114.82,117.23,-2.31
2024-01-18,3661566.0,117.23,117.0,117.0,114.5,115.97,-1.26
2024-01-19,1140328.0,115.97,116.94,117.57,115.91,116.34,0.37
2024-01-22,1973088.0,116.34,116.5,118.95,115.26,118.12,1.78
2024-01-23,346.0,118.16,116.0,118.9,116.0,118.08,-0.08
2024-01-24,1831819.0,118.01,118.88,118.9,117.0,117.19,-0.82
2024-01-25,2443102.0,117.19,117.65,117.65,115.5,115.84,-1.35
2024-01-26,4125916.0,115.84,115.7,116.19,114.4,114.96,-0.88
2024-01-29,6223575.0,114.96,115.49,115.49,112.5,113.12,-1.84
2024-01-30,5211113.0,113.12,113.5,115.9,112.06,113.68,0.56
2024-01-31,1863499.0,113.68,113.25,114.75,113.25,113.94,0.26
2024-02-01,805437.0,113.94,114.19,114.3,112.3,113.67,-0.27
2024-02-02,3223960.0,113.67,114.49,114.85,113.5,113.99,0.32
2024-02-06,2422556.0,113.99,113.98,115.0,113.25,114.1,0.11
2024-02-07,4544017.0,114.1,114.9,117.99,114.21,117.43,3.33
2024-02-09,4000640.0,117.43,112.98,116.77,110.55,115.78,-1.65
2024-02-12,2234259.0,115.78,114.01,115.49,111.26,113.13,-2.65
2024-02-13,2495415.0,113.13,113.24,116.5,110.51,114.9,1.77
2024-02-14,7365560.0,114.9,116.11,117.4,112.76,113.47,-1.43
2024-02-15,2586542.0,113.47,114.5,114.5,110.69,111.27,-2.2
2024-02-16,3967680.0,111.27,110.05,111.5,108.0,108.32,-2.95
2024-02-19,3626055.0,108.32,107.0,111.41,107.0,110.88,2.56
2024-02-20,2830766.0,110.88,111.99,114.15,110.2,113.09,2.21
2024-02-21,2326149.0,113.09,113.98,114.99,113.7,114.81,1.72
2024-02-22,3172182.0,114.81,114.05,117.0,114.05,114.99,0.18
2024-02-23,4741465.0,110.99,111.01,112.0,109.01,111.61,0.62
2024-02-26,2584745.0,111.61,112.0,113.5,111.94,112.57,0.96
2024-02-27,1371898.0,112.57,113.0,113.2,111.31,111.8,-0.77
2024-02-28,1196247.0,111.8,112.05,112.74,111.02,111.86,0.06
2024-02-29,2126329.0,111.86,112.0,115.0,112.0,114.14,2.28
2024-03-01,950682.0,114.14,114.05,115.0,113.71,114.31,0.17
2024-03-04,2737894.0,114.31,115.0,116.99,114.55,116.06,1.75
2024-03-05,943331.0,116.06,116.49,116.9,115.0,115.52,-0.54
2024-03-06,2380806.0,115.52,115.12,117.5,115.12,116.03,0.51
2024-03-07,1200040.0,116.03,116.05,117.1,114.83,116.73,0.7
2024-03-08,993138.0,116.73,117.0,117.5,116.11,116.38,-0.35
2024-03-11,1518646.0,116.38,116.5,118.0,116.3,117.81,1.43
2024-03-12,663995.0,117.81,117.81,117.99,116.05,116.46,-1.35
2024-03-13,685928.0,116.46,116.2,116.9,114.75,115.29,-1.17
2024-03-14,884046.0,115.29,115.75,116.89,115.51,116.66,1.37
2024-03-15,812642.0,116.66,117.19,117.25,115.25,115.66,1.0
2024-03-18,972772.0,115.66,116.0,117.5,115.5,116.79,1.13
2024-03-19,9327284.0,116.79,116.6,118.4,116.5,116.75,-0.04
2024-03-20,1313321.0,116.75,117.1,117.9,116.3,116.57,-0.18
2024-03-21,1105993.0,116.57,116.98,117.89,116.1,116.52,-0.05
2024-03-22,507108.0,116.52,116.82,116.82,115.05,115.34,-1.18
2024-03-25,361.0,118.09,119.0,120.5,119.0,119.99,1.9
2024-03-26,620435.0,117.9,118.33,118.49,116.9,117.52,-0.38
2024-03-27,36.0,119.51,111.1,124.25,111.1,124.13,4.62
2024-03-28,3430695.0,121.99,122.1,124.3,122.0,122.47,0.48
2024-03-29,776542.0,122.47,122.45,122.45,121.0,121.27,-1.2
2024-04-01,1682584.0,121.27,122.0,122.55,120.31,122.28,1.01
2024-04-02,1037505.0,122.28,122.2,122.71,121.11,121.33,-0.95
2024-04-03,1006208.0,121.33,121.01,122.0,120.5,121.12,-0.21
2024-04-04,3481568.0,121.12,121.94,122.27,120.95,121.74,0.62
2024-04-08,8052933.0,121.74,121.99,126.25,121.9,125.64,3.9
2024-04-09,6033616.0,125.64,127.0,129.01,126.88,127.54,1.9
2024-04-15,9788113.0,127.54,128.5,133.99,127.5,131.08,3.54
2024-04-16,2517747.0,131.08,131.99,133.49,130.3,130.59,-0.49
2024-04-17,3383064.0,130.59,130.1,132.02,128.6,129.67,-0.92
2024-04-18,1876144.0,129.67,130.59,130.59,128.1,128.56,-1.11
2024-04-19,6419447.0,128.56,129.8,133.88,128.0,132.38,3.82
2024-04-22,13.0,134.0,136.0,136.0,136.0,136.0,2.0
2024-04-23,1969582.0,131.61,131.98,132.79,130.5,132.11,0.5
2024-04-24,7181188.0,132.11,132.4,138.5,132.0,134.87,2.76
2024-04-25,1365.0,135.46,135.5,136.9,134.0,134.36,-1.1
2024-04-26,557.0,134.36,134.3,138.0,134.0,137.07,2.71
2024-04-29,13557616.0,137.51,138.01,142.0,131.55,132.61,-4.9
2024-04-30,6109741.0,132.61,132.0,134.25,131.75,132.17,-0.44
2024-05-02,2605188.0,132.17,133.52,134.2,132.02,132.83,0.66
2024-05-03,602.0,133.23,133.5,137.0,133.5,136.39,3.16
2024-05-06,5552608.0,136.35,136.94,139.44,135.61,137.77,1.42
2024-05-07,7473818.0,137.77,138.51,142.0,137.86,139.94,2.17
2024-05-08,5358834.0,139.94,142.43,143.48,138.55,140.08,0.14
2024-05-09,3804568.0,137.58,138.49,139.84,135.11,135.6,-1.98
2024-05-10,4339382.0,135.6,136.45,138.85,135.25,135.99,0.39
2024-05-13,2754228.0,135.99,136.9,138.24,135.9,136.9,0.91
2024-05-14,2617289.0,136.9,137.1,138.11,136.4,137.06,0.16
2024-05-15,2004920.0,137.06,137.5,137.8,135.9,136.74,-0.32
2024-05-16,2210327.0,136.74,136.74,136.9,135.4,135.62,-1.12
2024-05-17,2043699.0,135.62,135.7,137.35,135.21,137.01,1.39
2024-05-20,1940146.0,137.01,136.86,137.49,135.98,136.52,-0.49
2024-05-21,1539000.0,136.52,136.98,136.98,135.7,135.96,-0.56
2024-05-22,2838309.0,135.96,136.0,137.37,135.35,136.37,0.41
2024-05-23,3025811.0,136.37,136.4,137.74,136.02,137.2,0.83
2024-05-24,6648379.0,137.2,137.4,141.0,137.32,139.94,2.74
2024-05-27,6359550.0,139.94,140.0,140.75,138.21,139.12,-0.82
2024-05-29,7447908.0,139.12,139.7,139.9,138.01,139.17,0.05
2024-05-30,80.0,141.54,142.3,142.4,140.5,141.75,0.21
2024-05-31,3989738.0,139.75,139.51,144.9,139.51,143.42,3.67
2024-06-03,150.0,148.97,148.0,148.0,147.0,147.0,-1.97
2024-06-04,2587573.0,142.87,143.5,143.75,140.0,140.8,-2.07
2024-06-05,1575687.0,140.8,140.5,142.25,139.25,140.99,0.19
2024-06-06,1083897.0,140.99,141.49,141.5,139.1,140.73,-0.26
2024-06-07,4351886.0,140.73,139.06,140.95,136.0,140.61,-0.12
2024-06-10,936525.0,140.61,141.0,141.0,137.5,138.1,-2.51
2024-06-11,1235103.0,138.1,139.55,140.0,136.5,137.62,-0.48
2024-06-12,4540108.0,137.62,138.0,138.98,136.3,137.44,-0.18
