Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5653000.0,6.85,6.78,7.25,6.75,7.22,0.37
2024-01-02,3609000.0,7.22,7.29,7.29,6.87,6.91,-0.31
2024-01-03,2291500.0,6.91,6.9,7.09,6.8,6.86,-0.05
2024-01-04,1831000.0,6.86,6.95,6.95,6.62,6.71,-0.15
2024-01-05,4176500.0,6.71,6.75,6.85,6.61,6.7,-0.01
2024-01-08,4477500.0,6.7,6.89,6.89,6.57,6.62,-0.08
2024-01-09,2461500.0,6.62,6.66,6.84,6.48,6.67,0.05
2024-01-10,4261500.0,6.67,6.6,6.79,6.56,6.65,-0.02
2024-01-11,1119000.0,6.65,6.6,6.69,6.57,6.61,-0.04
2024-01-12,1810000.0,6.61,6.7,6.75,6.5,6.68,0.07
2024-01-15,1238500.0,6.68,6.74,6.74,6.46,6.51,-0.17
2024-01-16,948500.0,6.51,6.54,6.55,6.4,6.5,-0.01
2024-01-17,728500.0,6.5,6.5,6.54,6.42,6.5,0.0
2024-01-18,1152000.0,6.5,6.42,6.51,6.36,6.48,-0.02
2024-01-19,798000.0,6.48,6.33,6.6,6.1,6.37,-0.11
2024-01-22,84000.0,6.37,6.31,6.4,6.3,6.33,-0.04
2024-01-23,2041.0,6.43,6.25,6.45,6.24,6.43,0.0
2024-01-24,3394500.0,6.42,6.33,6.66,6.28,6.32,-0.1
2024-01-25,5431500.0,6.32,6.39,6.6,6.29,6.46,0.14
2024-01-26,14252.0,6.5,6.69,6.85,6.44,6.61,0.11
2024-01-29,3325500.0,6.56,6.6,6.6,6.15,6.3,-0.26
2024-01-30,2791000.0,6.3,6.25,6.39,6.0,6.22,-0.08
2024-01-31,971500.0,6.22,6.34,6.54,6.19,6.2,-0.02
2024-02-01,2378000.0,6.2,6.21,6.5,6.21,6.39,0.19
2024-02-02,486000.0,6.39,6.4,6.47,6.35,6.38,-0.01
2024-02-06,2048000.0,6.38,6.43,6.63,6.43,6.6,0.22
2024-02-07,3566500.0,6.6,6.59,6.88,6.55,6.8,0.2
2024-02-09,706500.0,6.8,6.79,6.79,6.45,6.64,-0.16
2024-02-12,2595000.0,6.64,6.51,6.79,6.19,6.25,-0.39
2024-02-13,1766000.0,6.25,6.18,6.45,6.1,6.27,0.02
2024-02-14,1786000.0,6.27,6.31,6.61,6.31,6.59,0.32
2024-02-15,178500.0,6.59,6.4,6.58,6.31,6.41,-0.18
2024-02-16,7194000.0,6.41,6.31,6.55,6.3,6.47,0.06
2024-02-19,1089.0,6.52,6.4,6.52,6.4,6.51,-0.01
2024-02-20,565000.0,6.48,6.5,6.5,6.3,6.32,-0.16
2024-02-21,639000.0,6.32,6.41,6.55,6.4,6.45,0.13
2024-02-22,807500.0,6.45,6.5,6.64,6.37,6.58,0.13
