Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-29,2500.0,14.0,15.05,15.05,15.0,15.0,1.0
2024-01-30,842500.0,15.0,15.9,16.0,15.9,16.0,1.0
2024-01-31,5000.0,16.0,17.2,17.2,17.2,17.2,1.2
2024-02-06,3500.0,17.2,16.9,16.9,16.9,16.9,-0.3
2024-02-07,17000.0,16.9,17.0,17.0,17.0,17.0,0.1
2024-03-21,500.0,17.0,0.0,0.0,0.0,17.0,0.0
2024-04-17,16500.0,17.0,16.5,16.9,16.5,16.9,-0.1
2024-05-02,500.0,16.85,17.5,17.5,17.5,17.5,0.65
2024-05-15,500.0,17.5,18.81,18.81,18.81,18.81,1.31
2024-06-04,100.0,18.81,17.31,17.31,17.31,18.81,0.0
2024-06-05,1.0,18.81,0.0,0.0,0.0,18.81,0.0
2024-06-12,18.0,17.88,16.36,17.37,16.36,17.66,-0.22
2024-06-13,23.0,17.66,16.16,19.15,16.16,17.66,0.0
2024-06-14,11.0,17.66,16.16,17.55,16.16,17.66,0.0
2024-06-20,491.0,17.66,16.16,16.5,16.16,17.66,0.0
2024-06-26,439.0,17.66,0.0,0.0,0.0,17.66,0.0
2024-06-28,1050.0,17.66,16.07,19.0,16.07,16.09,-1.57
2024-07-19,609.0,16.09,15.99,15.99,15.99,16.09,0.0
2024-07-23,90.0,16.09,16.49,16.5,16.49,16.09,0.0
2024-07-25,110.0,16.09,15.51,16.0,15.51,16.09,0.0
2024-08-02,200.0,16.09,15.0,15.0,15.0,16.09,0.0
2024-08-05,801.0,16.09,15.0,15.0,15.0,15.0,-1.09
2024-08-06,159.0,15.0,13.5,14.02,13.5,15.0,0.0
2024-08-07,1403.0,15.0,14.0,16.5,14.0,16.5,1.5
2024-08-08,661.0,16.5,17.9,18.15,17.9,17.96,1.46
2024-08-09,17819.0,17.96,19.76,19.76,16.2,19.02,1.06
2024-08-12,1080.0,19.02,20.82,20.92,20.82,20.92,1.9
2024-08-13,4412.0,20.92,23.01,23.01,19.0,22.99,2.07
2024-08-15,1665.0,22.99,25.29,25.29,25.29,25.29,2.3
2024-08-16,1964.0,25.29,27.82,27.82,27.82,27.82,2.53
2024-08-19,10324.0,27.82,30.6,30.6,30.59,30.6,2.78
2024-08-20,5223.0,30.6,30.6,33.65,30.6,33.65,3.05
2024-08-21,1106.0,33.65,36.5,36.5,34.0,34.0,0.35
2024-08-26,67.0,34.0,30.6,30.6,30.6,33.42,-0.58
2024-08-27,4733.0,33.42,30.08,36.75,30.08,30.1,-3.32
2024-08-28,1389.0,30.1,27.09,32.0,27.09,27.17,-2.93
2024-08-29,1873.0,27.17,25.01,27.5,24.55,24.61,-2.56
2024-08-30,367.0,24.61,24.0,24.0,22.16,24.61,0.0
2024-09-02,160.0,24.61,22.15,22.15,22.15,24.47,-0.14
2024-09-03,3.0,24.47,25.0,25.0,25.0,24.47,0.0
2024-09-04,6.0,24.47,24.0,24.0,24.0,24.47,0.0
2024-09-05,9.0,24.47,23.0,23.0,23.0,24.34,-0.13
2024-09-06,78.0,24.34,24.99,24.99,21.91,24.34,0.0
2024-09-09,107.0,24.34,23.0,23.98,22.01,24.34,0.0
2024-09-10,4150.0,24.34,23.0,26.77,22.0,26.31,1.97
2024-09-11,5321.0,26.31,28.94,28.94,23.68,23.69,-2.62
2024-09-12,2048.0,23.69,23.0,25.99,21.32,25.1,1.41
2024-09-13,2435.0,25.1,22.65,27.5,22.59,26.5,1.4
2024-09-16,4983.0,26.5,24.0,25.49,23.85,23.85,-2.65
2024-09-18,1.0,23.85,24.0,24.0,24.0,23.85,0.0
2024-09-19,16.0,23.85,24.99,24.99,21.48,23.85,0.0
2024-09-20,1421.0,23.85,23.99,23.99,21.47,21.76,-2.09
2024-09-23,24.0,21.76,23.0,23.0,23.0,21.76,0.0
2024-09-24,37.0,21.76,19.58,22.99,19.58,21.76,0.0
2024-09-25,4.0,21.76,21.74,21.74,21.74,21.76,0.0
2024-09-26,59.0,21.76,20.0,20.01,20.0,21.76,0.0
2024-09-27,64.0,21.76,20.0,21.74,20.0,21.76,0.0
2024-09-30,3.0,21.76,21.0,21.0,21.0,21.61,-0.15
2024-10-01,199.0,21.61,19.45,21.96,19.45,21.61,0.0
2024-10-02,375.0,21.61,21.0,21.98,19.99,21.61,0.0
2024-10-03,281.0,21.61,21.75,21.75,21.72,21.61,0.0
2024-10-04,14.0,21.61,19.91,19.91,19.46,21.61,0.0
