Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,103.0,1.9,2.9,2.9,2.9,2.79,0.89
2024-06-04,4957.0,2.79,3.79,3.79,3.79,3.79,1.0
2024-06-05,133410.0,3.79,4.79,4.79,4.5,4.79,1.0
2024-06-06,75201.0,4.79,5.79,5.79,5.79,5.79,1.0
2024-06-07,155615.0,5.79,6.79,6.79,6.0,6.79,1.0
2024-06-10,178635.0,6.79,7.79,7.79,7.5,7.79,1.0
2024-06-11,145196.0,7.79,8.32,8.5,6.79,6.87,-0.92
2024-06-12,56779.0,6.87,6.78,7.4,6.0,7.23,0.36
2024-06-13,29438.0,7.23,7.4,7.75,7.0,7.25,0.02
2024-06-14,45348.0,7.25,7.01,7.5,6.6,7.11,-0.14
2024-06-20,43506.0,7.11,7.5,7.5,6.5,7.0,-0.11
2024-06-21,82796.0,7.0,6.6,7.3,6.0,7.0,0.0
2024-06-24,5003.0,7.0,7.0,7.0,6.5,6.51,-0.49
2024-06-25,10120.0,6.51,6.8,7.0,6.16,6.62,0.11
2024-06-26,313605.0,6.62,7.2,7.62,6.61,7.62,1.0
2024-06-27,100114.0,7.62,8.62,8.62,8.62,8.62,1.0
2024-06-28,582419.0,8.62,9.62,9.62,7.62,7.77,-0.85
2024-07-01,86687.0,7.77,7.95,8.45,6.96,7.06,-0.71
2024-07-02,33294.0,7.06,7.3,7.3,6.56,6.99,-0.07
2024-07-03,35911.0,6.99,7.15,7.15,6.7,7.04,0.05
2024-07-04,31791.0,7.04,7.2,7.2,6.85,6.89,-0.15
2024-07-05,7642.0,6.89,6.82,7.1,6.3,6.5,-0.39
2024-07-08,22026.0,6.5,6.0,6.66,5.9,6.06,-0.44
2024-07-09,244902.0,6.06,6.4,7.06,6.12,6.61,0.55
2024-07-10,19167.0,6.61,6.23,6.68,6.0,6.07,-0.54
2024-07-11,24900.0,6.07,6.4,6.65,5.7,6.21,0.14
2024-07-12,2540.0,6.21,6.44,6.44,5.7,6.01,-0.2
2024-07-15,13761.0,6.01,6.0,6.44,5.6,6.22,0.21
2024-07-18,7025.0,6.22,5.75,6.29,5.75,5.8,-0.42
2024-07-19,3220.0,5.8,5.75,5.75,5.2,5.44,-0.36
2024-07-22,4155.0,5.44,5.1,5.6,5.0,5.02,-0.42
2024-07-23,252755.0,5.02,5.59,6.02,5.5,5.68,0.66
2024-07-24,336252.0,5.68,6.3,6.3,5.35,5.41,-0.27
2024-07-25,196707.0,5.41,5.7,6.41,5.41,6.41,1.0
2024-07-26,536968.0,6.41,6.75,7.41,6.75,7.41,1.0
2024-07-29,260715.0,7.41,8.0,8.0,6.9,7.35,-0.06
2024-07-30,89113.0,7.35,7.65,8.2,6.41,7.0,-0.35
2024-07-31,56759.0,7.0,7.47,7.47,6.3,6.53,-0.47
2024-08-01,3708.0,6.53,6.5,6.9,6.12,6.14,-0.39
2024-08-02,36624.0,6.14,6.4,6.4,5.6,5.76,-0.38
2024-08-05,9657.0,5.76,6.17,6.17,5.65,5.66,-0.1
2024-08-06,7692.0,5.66,5.89,6.1,5.15,6.0,0.34
2024-08-07,91083.0,6.0,6.2,7.0,5.11,6.99,0.99
2024-08-08,185465.0,6.99,7.01,7.99,7.01,7.99,1.0
2024-08-09,331579.0,7.99,8.99,8.99,8.99,8.99,1.0
2024-08-12,1104983.0,8.99,9.99,9.99,7.99,8.0,-0.99
2024-08-13,61881.0,8.0,8.19,8.19,7.41,7.55,-0.45
2024-08-15,39701.0,7.55,7.95,7.95,7.15,7.27,-0.28
2024-08-16,29255.0,7.27,7.95,7.95,6.65,6.97,-0.3
2024-08-19,194145.0,6.97,7.05,7.35,6.42,7.26,0.29
2024-08-20,199643.0,7.26,7.65,8.08,7.0,7.12,-0.14
2024-08-21,14843.0,7.12,7.69,7.69,7.0,7.33,0.21
2024-08-22,261622.0,7.33,7.79,8.33,7.0,8.33,1.0
2024-08-23,504514.0,8.33,9.28,9.33,7.75,7.9,-0.43
2024-08-26,341458.0,7.9,8.0,8.9,7.4,8.53,0.63
2024-08-27,81526.0,8.53,8.64,8.8,8.1,8.17,-0.36
2024-08-28,7440.0,8.17,8.7,8.7,8.0,8.01,-0.16
2024-08-29,100720.0,8.01,8.45,9.01,8.05,8.5,0.49
2024-08-30,320985.0,8.5,8.99,9.5,8.72,9.5,1.0
2024-09-02,255740.0,9.5,9.99,9.99,8.8,9.47,-0.03
2024-09-03,27227.0,9.47,9.5,9.8,9.1,9.17,-0.3
2024-09-04,57352.0,9.17,9.49,9.84,9.0,9.06,-0.11
2024-09-05,29302.0,9.06,9.08,9.3,8.82,8.92,-0.14
2024-09-06,17986.0,8.92,8.5,8.9,8.5,8.5,-0.42
2024-09-09,17185.0,8.5,8.97,9.14,8.65,8.99,0.49
2024-09-10,19211.0,8.99,8.88,9.21,8.15,9.07,0.08
2024-09-11,6321.0,9.07,9.28,9.28,8.86,9.0,-0.07
2024-09-12,7192.0,9.0,9.8,9.8,8.75,8.92,-0.08
2024-09-13,5104.0,8.92,9.49,9.49,8.55,8.62,-0.3
2024-09-16,4004.0,8.62,8.72,8.86,8.6,8.6,-0.02
2024-09-18,9080.0,8.6,8.57,8.6,8.3,8.39,-0.21
2024-09-19,24779.0,8.39,9.3,9.3,8.46,8.5,0.11
2024-09-20,1152.0,8.5,8.88,8.88,8.5,8.66,0.16
2024-09-23,30579.0,8.66,8.3,8.3,7.75,8.23,-0.43
2024-09-24,22575.0,8.23,7.75,8.96,7.75,8.83,0.6
2024-09-25,9707.0,8.83,8.5,9.0,8.2,8.94,0.11
2024-09-26,28733.0,8.94,9.0,9.0,7.94,8.0,-0.94
