Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,203000.0,50.3,51.2,51.2,49.9,50.01,-0.29
2024-01-02,252000.0,50.01,49.99,50.0,49.5,49.5,-0.51
2024-01-03,374000.0,49.5,49.98,51.21,49.31,50.0,0.5
2024-01-04,225500.0,50.0,50.0,50.39,49.53,49.56,-0.44
2024-01-05,16500.0,49.56,50.0,50.69,49.5,50.0,0.44
2024-01-08,21500.0,50.0,50.0,50.0,49.3,49.3,-0.7
2024-01-09,2000.0,49.3,50.0,50.0,50.0,50.0,0.7
2024-01-10,5500.0,50.0,49.25,50.2,49.25,50.2,0.2
2024-01-11,17500.0,50.2,50.0,50.2,49.02,49.93,-0.27
2024-01-12,383500.0,49.93,49.0,51.0,48.0,49.54,-0.39
2024-01-15,43000.0,49.54,50.0,50.0,48.3,48.81,-0.73
2024-01-16,43000.0,48.81,49.0,49.49,48.5,48.97,0.16
2024-01-17,17000.0,48.97,48.5,48.6,48.25,48.42,-0.55
2024-01-18,24000.0,48.42,49.9,49.9,48.0,48.02,-0.4
2024-01-19,78500.0,48.02,48.0,48.02,48.0,48.0,-0.02
2024-01-22,29500.0,48.0,48.01,48.01,47.51,48.0,0.0
2024-01-23,161000.0,48.0,48.0,48.0,47.0,47.74,-0.26
2024-01-24,139000.0,47.74,47.0,47.5,46.0,47.31,-0.43
2024-01-25,66500.0,47.31,47.25,47.5,46.0,46.34,-0.97
2024-01-26,37000.0,46.34,46.01,46.5,45.12,46.29,-0.05
2024-01-29,10000.0,46.29,46.0,46.0,46.0,46.0,-0.29
2024-01-30,9000.0,46.0,45.5,45.9,45.01,45.9,-0.1
2024-01-31,12000.0,45.9,46.0,46.0,45.25,45.3,-0.6
2024-02-01,43500.0,45.3,45.51,45.51,45.0,45.0,-0.3
2024-02-02,131500.0,45.0,45.1,45.5,44.9,45.03,0.03
2024-02-06,78500.0,45.03,45.0,45.25,44.9,45.0,-0.03
2024-02-07,707000.0,45.0,45.5,48.38,42.98,43.6,-1.4
2024-02-09,28000.0,43.6,43.1,44.0,40.33,44.0,0.4
2024-02-12,3500.0,44.0,42.6,43.88,42.55,43.88,-0.12
