Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,10000.0,16.18,15.01,15.01,14.97,15.0,-1.18
2024-01-11,1000.0,15.0,14.4,14.4,14.4,14.4,-0.6
2024-01-18,2000.0,14.4,14.7,15.48,14.7,15.16,0.76
2024-02-01,1000.0,15.16,14.06,14.06,14.06,14.06,-1.1
2024-02-02,1000.0,14.06,15.1,15.11,15.1,15.11,1.05
2024-02-29,1000.0,15.11,13.98,14.11,13.98,14.11,1.0
2024-03-01,500.0,14.11,13.05,13.05,13.05,13.05,-1.06
2024-03-05,1000.0,13.05,14.05,14.05,13.5,13.5,0.45
2024-03-14,1500.0,13.5,12.49,14.5,12.49,14.5,1.0
2024-03-21,500.0,14.5,14.7,14.7,14.7,14.7,0.2
2024-05-13,10500.0,14.7,13.6,13.75,13.6,13.67,-1.03
2024-05-22,5000.0,13.67,13.67,13.67,13.67,13.67,0.0
2024-05-30,3000.0,13.67,13.67,13.67,13.67,13.67,0.0
2024-05-31,1.0,13.67,12.58,12.58,12.58,13.67,0.0
2024-06-03,1.0,13.67,12.62,12.62,12.62,13.67,0.0
2024-06-11,1.0,13.67,12.51,12.51,12.51,13.67,0.0
2024-06-12,2.0,13.67,12.52,13.6,12.52,13.67,0.0
2024-06-14,1100.0,13.67,12.52,12.52,12.52,13.67,0.0
2024-06-20,1.0,13.67,12.51,12.51,12.51,13.67,0.0
2024-06-24,652.0,13.67,13.01,13.01,13.0,13.0,-0.67
2024-06-26,2761.0,13.0,12.01,13.0,12.0,13.0,0.0
2024-06-27,1976.0,13.0,13.01,13.01,13.0,13.0,0.0
2024-07-26,550.0,13.0,11.7,11.7,11.7,11.7,-1.3
2024-07-30,550.0,11.7,11.6,11.6,11.55,11.58,-0.12
2024-08-01,13100.0,11.58,10.5,12.73,10.46,12.72,1.14
2024-08-02,2221.0,12.72,13.99,13.99,13.99,13.99,1.27
2024-08-12,500.0,13.99,13.5,13.5,13.5,13.5,-0.49
2024-08-16,3591.0,13.5,14.84,14.85,14.84,14.85,1.35
2024-08-20,501.0,14.85,14.0,14.0,14.0,14.0,-0.85
2024-08-22,2.0,14.0,13.16,13.35,13.16,14.0,0.0
2024-08-26,50.0,14.0,13.5,13.5,13.5,14.0,0.0
2024-08-27,4150.0,14.0,13.01,14.0,12.8,14.0,0.0
2024-08-30,10.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-09-02,400.0,14.0,14.99,14.99,13.21,14.0,0.0
2024-09-03,15060.0,14.0,15.0,15.4,14.5,14.57,0.57
2024-09-04,4200.0,14.57,15.0,15.1,14.5,14.5,-0.07
2024-09-06,8110.0,14.5,14.5,15.95,14.5,15.94,1.44
2024-09-09,2221.0,15.94,14.61,14.64,14.61,14.62,-1.32
2024-09-11,150.0,14.62,14.1,14.1,14.1,14.62,0.0
2024-09-19,2.0,14.62,14.49,14.49,14.05,14.62,0.0
2024-09-20,500.0,14.62,13.24,13.24,13.2,13.2,-1.42
2024-09-23,1100.0,13.2,12.71,12.71,12.7,12.7,-0.5
2024-09-26,400.0,12.7,12.99,12.99,12.99,12.7,0.0
2024-09-27,500.0,12.7,11.45,11.45,11.45,11.45,-1.25
2024-10-02,1.0,11.45,12.6,12.6,12.6,11.45,0.0
2024-10-03,1.0,11.45,10.36,10.36,10.36,11.45,0.0
2024-10-04,500.0,11.45,11.0,11.0,10.36,10.87,-0.58
2024-10-14,677.0,10.87,10.4,11.96,10.04,10.6,-0.27
2024-10-15,26.0,10.6,11.66,11.66,11.66,10.6,0.0
2024-10-16,3.0,10.6,11.66,11.66,11.66,10.6,0.0
2024-11-05,500.0,10.6,11.66,11.66,11.66,11.66,1.06
2024-11-06,1271.0,11.66,12.83,12.83,12.82,12.83,1.17
2024-11-07,3529.0,12.83,13.99,14.11,13.99,14.08,1.25
2024-11-08,1522.0,14.08,14.99,14.99,13.3,13.7,-0.38
2024-11-11,2556.0,13.7,14.86,15.07,14.5,14.51,0.81
2024-11-12,1122.0,14.51,15.5,15.96,15.5,15.88,1.37
2024-11-13,160.0,15.88,15.5,17.36,15.5,15.88,0.0
2024-11-14,3721.0,15.88,17.45,17.45,14.29,14.29,-1.59
2024-11-15,527.0,14.29,15.72,15.72,13.6,14.03,-0.26
2024-11-18,511.0,14.03,15.39,15.39,12.65,14.17,0.14
2024-11-19,320.0,14.17,15.36,15.36,12.76,14.17,0.0
2024-11-20,121.0,14.17,15.23,15.36,14.25,14.17,0.0
2024-11-21,199.0,14.17,13.62,14.25,13.62,14.17,0.0
2024-11-22,420.0,14.17,14.1,14.99,14.1,14.17,0.0
2024-11-25,10.0,14.17,15.0,15.0,15.0,14.17,0.0
2024-11-26,258.0,14.17,14.0,14.49,14.0,14.17,0.0
2024-11-27,2913.0,14.17,14.3,14.4,12.75,13.34,-0.83
2024-11-28,9001.0,13.34,14.55,14.67,13.0,14.67,1.33
2024-11-29,2702.0,14.67,15.44,15.44,14.0,14.54,-0.13
2024-12-03,500.0,14.54,14.01,14.01,14.0,14.0,-0.54
2024-12-04,201.0,14.0,14.55,14.55,13.55,14.0,0.0
2024-12-06,100.0,14.0,12.7,13.05,12.7,14.0,0.0
2024-12-09,9.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-12-10,2.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-12-11,2.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-12-12,44.0,14.0,13.0,13.5,13.0,14.0,0.0
2024-12-17,546.0,14.0,12.75,14.99,12.75,14.16,0.16
2024-12-18,307.0,14.16,13.0,13.0,13.0,14.16,0.0
2024-12-19,546.0,14.16,12.8,14.98,12.8,12.97,-1.19
2024-12-26,300.0,12.97,12.8,12.8,12.8,12.97,0.0
2024-12-30,2732.0,12.97,14.0,14.27,14.0,14.25,1.28
2024-12-31,95.0,14.25,15.24,15.24,15.24,14.25,0.0
2025-01-08,28100.0,14.25,13.02,15.68,13.02,15.68,1.43
2025-01-09,764.0,15.68,15.72,15.72,14.8,15.6,-0.08
2025-01-10,534.0,15.6,14.06,14.09,14.05,14.06,-1.54
2025-01-13,1100.0,14.06,14.3,14.8,13.5,14.29,0.23
2025-01-14,12921.0,14.29,15.0,15.72,14.2,14.99,0.7
2025-01-15,1975.0,14.99,15.72,16.37,13.49,14.8,-0.19
2025-01-16,2118.0,14.8,14.5,15.67,14.5,14.6,-0.2
2025-01-17,1883.0,14.6,13.15,15.98,13.15,14.76,0.16
2025-01-20,200.0,14.76,14.08,14.1,14.08,14.76,0.0
2025-01-21,1497.0,14.76,14.06,14.99,14.0,14.01,-0.75
2025-01-22,1604.0,14.01,13.31,14.8,13.01,13.62,-0.39
2025-01-23,504.0,13.62,14.75,14.75,13.15,13.15,-0.47
2025-01-24,700.0,13.15,11.84,12.65,11.84,12.65,-0.5
2025-01-27,1020.0,12.65,12.61,12.61,11.7,11.92,-0.73
2025-01-29,630.0,11.92,12.7,12.7,11.93,12.03,0.11
2025-01-31,4297.0,12.03,13.09,13.23,13.09,13.23,1.2
2025-02-03,300.0,13.23,11.94,14.5,11.94,13.23,0.0
2025-02-04,100.0,13.23,0.0,0.0,0.0,13.23,0.0
2025-02-10,5200.0,13.23,13.0,13.0,12.99,13.0,-0.23
2025-02-11,220.0,13.0,13.0,13.0,13.0,13.0,0.0
2025-02-12,10.0,13.0,12.4,12.4,12.4,13.0,0.0
2025-02-13,785.0,13.0,13.74,14.3,13.74,14.22,1.22
2025-02-14,100.0,14.22,12.81,12.81,12.81,14.22,0.0
2025-02-17,168.0,14.22,15.0,15.0,13.25,14.22,0.0
2025-02-18,10.0,14.22,15.0,15.0,14.99,14.22,0.0
2025-02-20,15890.0,14.22,15.54,15.64,15.54,15.64,1.42
2025-02-21,56734.0,15.64,17.0,17.2,16.5,17.2,1.56
2025-02-24,1044.0,17.2,18.79,18.79,18.0,18.75,1.55
2025-02-25,5153.0,18.75,19.5,20.63,16.9,19.87,1.12
2025-02-26,7959.0,19.87,20.9,20.9,17.88,17.88,-1.99
2025-02-27,18198.0,17.88,18.0,18.0,16.09,16.9,-0.98
2025-02-28,30022.0,16.9,17.86,17.86,16.49,16.5,-0.4
2025-03-03,4206.0,16.5,17.9,17.9,14.85,16.05,-0.45
2025-03-04,103.0,16.05,17.2,17.2,14.77,16.05,0.0
2025-03-05,64601.0,16.05,17.4,17.66,15.99,17.66,1.61
2025-03-06,1997.0,17.66,17.75,18.94,16.51,17.43,-0.23
2025-03-07,7625.0,17.43,18.9,18.9,15.69,16.21,-1.22
2025-03-10,17538.0,16.21,16.0,17.83,16.0,17.83,1.62
2025-03-11,17085.0,17.83,17.99,19.61,17.85,19.61,1.78
2025-03-12,8315.0,19.61,19.85,21.57,19.85,21.57,1.96
2025-03-13,15582.0,21.57,23.06,23.73,23.06,23.73,2.16
2025-03-14,48591.0,23.73,25.8,26.1,21.4,25.88,2.15
2025-03-17,61914.0,25.88,26.99,28.47,26.2,28.28,2.4
2025-03-18,35790.0,28.28,28.2,28.2,25.45,25.45,-2.83
2025-03-19,42231.0,25.45,24.99,24.99,22.91,24.03,-1.42
2025-03-20,11023.0,24.03,22.02,24.6,21.63,21.7,-2.33
2025-03-21,12146.0,21.7,22.49,22.7,21.5,21.99,0.29
2025-03-24,8069.0,21.99,23.2,23.2,20.11,21.64,-0.35
