Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2.0,73.35,74.0,74.0,74.0,74.0,0.65
2024-01-15,6.0,73.01,73.0,73.0,72.5,72.5,-0.51
2024-01-16,6.0,72.5,70.0,70.0,70.0,70.0,-2.5
2024-01-17,4.0,70.0,72.0,72.0,72.0,72.0,2.0
2024-01-22,5.0,71.88,66.5,72.39,66.5,67.95,-3.93
2024-01-26,12.0,71.83,71.7,73.0,67.79,72.88,1.05
2024-02-20,82.0,70.88,72.0,72.0,67.2,67.2,-3.68
2024-02-21,11.0,67.2,65.0,65.0,64.1,64.82,-2.38
2024-02-22,5.0,64.82,64.55,66.0,64.36,66.0,1.18
2024-02-23,10.0,66.1,0.0,0.0,0.0,70.92,4.82
2024-02-26,10.0,70.92,0.0,0.0,0.0,72.24,1.32
2024-02-27,1302996.0,70.69,71.5,73.48,70.5,72.51,1.82
2024-02-28,131806.0,72.51,72.4,72.4,71.7,71.82,-0.69
2024-02-29,234168.0,71.82,72.3,73.49,71.08,71.63,-0.19
2024-03-01,118109.0,71.63,71.6,72.0,71.01,71.46,-0.17
2024-03-04,145512.0,71.46,72.0,72.75,71.6,72.13,0.67
2024-03-05,154450.0,72.13,72.28,72.59,70.0,71.12,-1.01
2024-03-06,308424.0,71.12,71.4,72.19,70.7,71.89,0.77
2024-03-07,186928.0,71.89,71.89,72.1,71.02,71.34,-0.55
2024-03-20,10.0,70.63,71.0,71.0,71.0,71.0,0.37
2024-03-29,10.0,72.86,74.0,74.0,74.0,74.0,1.14
2024-04-26,2400.0,74.57,79.99,79.99,69.05,69.05,-5.52
2024-05-07,6.0,83.3,83.3,83.3,82.0,82.0,-1.3
2024-05-09,2.0,79.8,79.8,79.8,79.8,79.8,0.0
2024-05-10,2.0,79.8,85.44,85.44,85.44,85.44,5.64
2024-05-27,2.0,84.38,83.15,83.15,83.15,83.15,-1.23
2024-05-29,1000.0,83.15,88.68,88.69,80.25,84.47,1.32
2024-06-13,30.0,81.0,74.12,74.12,74.12,74.12,-6.88
2024-06-14,1844.0,74.12,67.82,74.0,67.82,69.5,-4.62
2024-06-20,12.0,70.86,75.0,75.44,75.0,75.22,4.36
2024-06-21,620.0,75.36,75.0,75.25,73.0,74.28,-1.08
2024-06-24,22.0,75.81,75.5,75.5,73.77,73.77,-2.04
2024-06-25,210.0,73.77,73.55,74.02,72.5,72.63,-1.14
2024-06-26,386.0,72.63,72.5,73.35,71.7,72.7,0.07
2024-06-27,92.0,72.7,72.7,72.7,71.06,71.34,-1.36
2024-06-28,971.0,71.34,72.0,77.76,71.0,71.7,0.36
2024-07-01,174.0,71.7,70.97,71.09,70.51,71.09,-0.61
2024-07-02,149.0,71.09,70.1,70.1,69.5,69.8,-1.29
2024-07-03,310.0,69.8,68.7,72.0,68.7,71.26,1.46
2024-07-04,613.0,71.26,71.9,73.5,71.9,72.53,1.27
2024-07-05,120.0,72.53,72.0,72.0,70.5,71.18,-1.35
2024-07-08,74.0,71.18,71.3,74.43,71.3,73.37,2.19
2024-07-09,306.0,73.37,74.0,77.58,74.0,77.3,3.93
2024-07-10,28.0,77.3,79.0,79.0,76.2,77.5,0.2
2024-07-11,152.0,77.5,77.5,77.8,77.0,77.5,0.0
2024-07-12,92.0,77.5,77.5,78.5,74.5,77.5,0.0
2024-07-15,85.0,77.5,77.7,78.15,75.45,76.85,-0.65
2024-07-18,299.0,76.85,76.0,81.0,76.0,80.06,3.21
2024-07-19,66.0,80.06,80.0,80.0,76.16,76.17,-3.89
2024-07-22,12.0,76.17,76.98,77.75,76.98,77.28,1.11
2024-07-23,3.0,77.28,75.54,75.54,75.54,75.54,-1.74
2024-07-24,8.0,78.86,84.43,84.43,77.99,78.27,-0.59
2024-07-25,8.0,78.27,77.0,77.49,76.6,77.49,-0.78
2024-07-26,28.0,77.49,76.9,76.93,75.0,76.0,-1.49
2024-07-29,38.0,76.0,76.05,76.37,75.98,75.98,-0.02
2024-07-30,50.0,75.98,76.0,77.7,74.8,75.85,-0.13
2024-07-31,22.0,75.85,73.25,74.5,73.1,74.5,-1.35
2024-08-01,5.0,74.5,74.1,74.1,74.05,74.05,-0.45
2024-08-02,3.0,74.05,74.06,74.06,74.06,74.06,0.01
2024-08-05,4.0,74.06,73.0,73.0,72.0,72.0,-2.06
2024-08-06,6.0,72.0,73.0,78.0,73.0,78.0,6.0
2024-08-07,15.0,78.0,73.0,73.47,73.0,73.0,5.0
