Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-11-25,189386.0,75.72,83.27,83.27,75.0,79.78,4.06
2024-11-26,85004.0,79.78,81.0,81.0,73.5,73.62,-6.16
2024-11-27,260606.0,73.62,74.0,78.99,66.26,66.9,-6.72
2024-11-28,39630.0,66.9,67.0,68.8,61.75,67.92,1.02
2024-11-29,52410.0,67.92,69.0,74.31,65.0,65.3,-2.62
2024-12-02,63099.0,65.3,67.0,67.0,61.0,61.23,-4.07
2024-12-03,205566.0,61.23,63.4,67.35,60.0,66.45,5.22
2024-12-04,67349.0,66.45,71.0,72.3,68.0,69.48,3.03
2024-12-05,52821.0,69.48,70.0,72.3,69.5,69.83,0.35
2024-12-06,242400.0,69.83,73.0,75.9,71.0,71.93,2.1
2024-12-09,22004.0,71.93,71.0,74.0,70.51,71.19,-0.74
2024-12-10,24536.0,71.19,72.98,72.98,64.07,65.92,-5.27
2024-12-11,94251.0,65.92,66.0,72.51,65.0,72.51,6.59
2024-12-12,307300.0,72.51,79.76,79.76,75.15,79.44,6.93
2024-12-13,17705.0,79.44,80.01,84.0,76.56,81.53,2.09
2024-12-16,212436.0,81.53,81.99,83.9,77.0,79.39,-2.14
2024-12-17,26026.0,79.39,79.98,79.98,76.0,77.71,-1.68
2024-12-18,29410.0,77.71,75.0,78.0,73.0,77.12,-0.59
2024-12-19,27601.0,77.12,77.0,77.0,69.55,72.61,-4.51
2024-12-20,45625.0,72.61,71.9,78.0,69.0,74.88,2.27
2024-12-23,11304.0,74.88,74.9,77.0,73.0,73.9,-0.98
2024-12-24,802.0,73.9,72.75,75.0,72.51,73.03,-0.87
2024-12-26,8805.0,73.03,67.07,72.49,67.07,69.49,-3.54
2024-12-27,10376.0,69.49,63.63,69.95,63.56,67.12,-2.37
2024-12-30,139425.0,67.12,65.51,73.83,65.51,73.51,6.39
2024-12-31,96963.0,73.51,73.26,77.0,72.0,74.0,0.49
2025-01-01,3305.0,74.0,73.99,74.0,71.16,73.9,-0.1
2025-01-02,27006.0,73.9,70.05,77.0,70.05,73.77,-0.13
2025-01-03,21231.0,73.77,72.0,74.0,67.0,69.12,-4.65
2025-01-06,7593.0,69.12,68.0,68.0,65.5,67.72,-1.4
2025-01-07,9519.0,67.72,65.0,65.75,62.5,65.0,-2.72
2025-01-08,59228.0,65.0,65.0,68.0,63.0,64.0,1.0
2025-01-09,7052.0,64.0,64.0,64.0,62.05,63.02,-0.98
2025-01-10,15772.0,63.02,63.98,68.0,63.98,65.39,2.37
2025-01-13,2391.0,65.39,65.0,66.0,64.0,64.0,-1.39
2025-01-14,17752.0,64.0,60.15,65.0,60.15,63.0,1.0
2025-01-15,9203.0,63.0,67.0,67.0,62.5,64.91,1.91
