Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2786.0,1199.92,1219.99,1230.0,1210.0,1226.93,27.01
2024-01-02,5891.0,1226.93,1220.01,1259.99,1220.01,1244.44,17.51
2024-01-03,5143.0,1244.44,1264.0,1279.99,1210.1,1267.7,23.26
2024-01-04,1366.0,1267.7,1250.01,1275.91,1250.01,1274.2,6.5
2024-01-05,15277.0,1274.2,1279.93,1344.99,1260.0,1280.83,6.63
2024-01-08,14648.0,1280.83,1297.0,1320.0,1275.0,1287.67,6.84
2024-01-09,27374.0,1287.67,1324.0,1370.0,1276.0,1341.58,53.91
2024-01-10,21396.0,1341.58,1348.0,1408.5,1343.0,1389.8,48.22
2024-01-11,29782.0,1389.8,1410.0,1460.0,1370.0,1446.85,57.05
2024-01-12,7391.0,1446.85,1429.99,1458.9,1418.0,1422.11,-24.74
2024-01-15,12575.0,1422.11,1427.99,1430.0,1375.0,1408.97,-13.14
2024-01-16,136011.0,1408.97,1405.0,1425.0,1325.0,1417.56,8.59
2024-01-17,159012.0,1417.56,1418.0,1459.0,1418.0,1437.35,19.79
2024-01-18,46377.0,1437.35,1457.0,1458.0,1420.0,1437.02,-0.33
2024-01-19,22083.0,1437.02,1440.0,1457.0,1435.0,1442.98,5.96
2024-01-22,9279.0,1442.98,1437.01,1447.98,1435.0,1437.21,-5.77
2024-01-23,4356.0,1437.21,1439.99,1448.99,1400.01,1437.32,0.11
2024-01-24,7318.0,1437.32,1440.0,1449.99,1437.0,1437.11,-0.21
2024-01-25,2996.0,1437.11,1440.0,1446.99,1401.0,1420.35,-16.76
2024-01-26,32537.0,1420.35,1434.99,1469.1,1410.0,1445.77,25.42
2024-01-29,85146.0,1445.77,1449.99,1471.0,1449.98,1465.18,19.41
2024-01-30,15309.0,1465.18,1460.0,1470.0,1455.01,1465.23,0.05
2024-01-31,2497.0,1465.23,1465.5,1477.99,1410.0,1465.01,-0.22
2024-02-01,1446.0,1465.01,1475.88,1475.88,1418.0,1429.97,-35.04
2024-02-02,21036.0,1429.97,1449.99,1470.0,1425.01,1465.01,35.04
2024-02-06,3008.0,1465.01,1460.0,1470.0,1445.0,1466.86,1.85
2024-02-07,2745.0,1466.86,1470.99,1475.0,1456.01,1472.58,5.72
2024-02-09,2226.0,1472.58,1449.0,1476.33,1430.0,1465.87,-6.71
2024-02-12,53866.0,1465.87,1440.0,1470.0,1440.0,1466.51,0.64
2024-02-13,3123.0,1466.51,1489.99,1489.99,1450.0,1480.09,13.58
2024-02-14,2074.0,1480.09,1488.0,1524.99,1488.0,1518.26,38.17
2024-02-15,1828.0,1518.26,1544.99,1544.99,1475.0,1477.27,-40.99
2024-02-16,899.0,1477.27,1499.96,1499.96,1445.0,1450.66,-26.61
2024-02-19,268910.0,1450.66,1524.2,1559.46,1425.0,1501.94,51.28
2024-02-20,1212.0,1501.94,1500.0,1507.86,1480.01,1494.42,-7.52
2024-02-21,24340.0,1494.42,1534.99,1550.01,1491.01,1548.08,53.66
2024-02-22,27215.0,1548.08,1510.0,1524.95,1431.97,1466.01,-82.07
2024-02-23,6416.0,1466.01,1466.01,1495.0,1445.0,1488.34,22.33
2024-02-26,6349.0,1488.34,1490.08,1520.0,1485.0,1512.71,24.37
2024-02-27,2002.0,1512.71,1519.86,1520.0,1500.0,1514.61,1.9
2024-02-28,5561.0,1514.61,1513.0,1544.99,1513.0,1527.47,12.86
2024-02-29,4514.0,1527.47,1530.0,1559.0,1526.0,1526.42,-1.05
2024-03-01,5002.0,1526.42,1520.0,1555.0,1520.0,1546.16,19.74
2024-03-04,2204.0,1546.16,1559.99,1573.0,1547.0,1563.96,17.8
2024-03-05,3500.0,1550.76,1555.0,1574.0,1525.01,1553.45,2.69
2024-03-06,2393.0,1553.45,1572.96,1572.96,1520.0,1549.36,-4.09
2024-03-07,2767.0,1549.36,1574.0,1574.0,1500.0,1547.01,-2.35
2024-03-08,2449.0,1547.01,1550.0,1575.0,1520.0,1554.16,7.15
2024-03-11,3245.0,1554.16,1564.9,1564.9,1530.0,1552.5,-1.66
2024-03-12,853.0,1552.5,1565.0,1565.0,1531.05,1534.72,-17.78
2024-03-13,3988.0,1534.72,1562.0,1562.0,1520.0,1527.42,-7.3
2024-03-14,3035.0,1527.42,1529.89,1549.99,1525.0,1534.62,7.2
2024-03-15,9073.0,1534.62,1555.0,1560.0,1533.01,1556.48,21.86
2024-03-18,522.0,1556.48,1573.6,1573.6,1545.1,1547.22,-9.26
2024-03-19,326091.0,1547.22,1569.0,1601.0,1547.23,1595.8,48.58
2024-03-20,1420.0,1595.8,1595.8,1595.8,1587.0,1589.92,-5.88
2024-03-21,6076.0,1589.92,1599.3,1599.3,1560.1,1587.41,-2.51
2024-03-22,5040.0,1587.41,1596.99,1596.99,1580.0,1590.78,3.37
2024-03-25,2279.0,1590.78,1565.0,1597.95,1565.0,1587.02,-3.76
2024-03-26,639.0,1587.02,1590.0,1590.0,1560.06,1587.25,0.23
2024-03-27,582.0,1587.25,1595.0,1595.0,1587.0,1587.0,-0.25
2024-03-28,12321.0,1587.0,1560.03,1594.49,1555.0,1587.35,0.35
2024-03-29,744.0,1587.35,1589.99,1594.0,1580.0,1589.15,1.8
2024-04-01,55.0,1589.15,1587.0,1590.0,1580.0,1583.26,-5.89
2024-04-02,257.0,1583.26,1589.88,1589.89,1560.0,1566.15,-17.11
2024-04-03,11485.0,1566.15,1566.0,1589.97,1560.0,1587.52,21.37
2024-04-04,469.0,1587.52,1590.0,1590.0,1570.01,1587.0,-0.52
2024-04-08,951.0,1587.0,1590.0,1595.0,1575.0,1591.38,4.38
2024-04-09,2329.0,1591.38,1585.02,1590.0,1550.05,1588.34,-3.04
2024-04-15,2439.0,1588.34,1587.99,1600.1,1575.81,1595.84,7.5
2024-04-16,13903.0,1595.84,1582.0,1595.0,1577.0,1587.07,-8.77
2024-04-17,14465.0,1587.07,1588.99,1589.0,1580.02,1587.01,-0.06
2024-04-18,138.0,1587.01,1582.02,1587.0,1580.0,1581.83,-5.18
2024-04-19,1738.0,1581.83,1589.88,1598.99,1575.0,1580.83,1.0
2024-04-22,1596.0,1580.83,1596.0,1600.0,1580.0,1587.01,6.18
2024-04-23,2177.0,1587.01,1590.0,1590.0,1580.0,1586.6,-0.41
2024-04-24,1262.0,1586.6,1576.0,1587.01,1576.0,1587.0,0.4
2024-04-25,1298.0,1587.0,1582.0,1596.59,1581.1,1587.61,0.61
2024-04-26,1935.0,1587.61,1599.98,1605.0,1590.01,1590.54,2.93
2024-04-29,2045.0,1590.54,1604.7,1679.99,1600.99,1619.99,29.45
2024-04-30,1485.0,1619.99,1635.05,1648.9,1610.0,1610.0,-9.99
2024-05-02,4543.0,1610.0,1600.0,1625.0,1552.0,1597.11,-12.89
2024-05-03,1087.0,1597.11,1609.99,1609.99,1580.0,1599.38,2.27
2024-05-06,2387.0,1599.38,1610.0,1618.0,1600.0,1616.82,17.44
2024-05-07,9274.0,1616.82,1618.8,1635.0,1600.95,1606.15,-10.67
2024-05-08,2313.0,1606.15,1630.0,1630.0,1600.01,1605.83,-0.32
2024-05-09,7607.0,1571.83,1599.5,1604.97,1535.0,1557.92,-13.91
2024-05-10,1976.0,1557.92,1640.0,1640.0,1535.07,1587.17,29.25
2024-05-13,731.0,1587.17,1599.99,1599.99,1570.13,1583.91,-3.26
2024-05-14,1566.0,1583.91,1598.99,1598.99,1575.0,1587.0,3.09
2024-05-15,12761.0,1587.0,1581.01,1595.0,1581.0,1587.0,0.0
2024-05-16,865.0,1587.0,1599.97,1599.97,1580.01,1581.71,-5.29
2024-05-17,367.0,1581.71,1572.11,1589.99,1572.1,1587.58,5.87
2024-05-20,216.0,1587.58,1598.0,1598.0,1575.01,1579.55,-8.03
2024-05-21,1003.0,1579.55,1594.98,1594.98,1571.1,1579.16,-0.39
2024-05-22,854.0,1579.16,1579.18,1588.98,1571.0,1579.89,0.73
2024-05-23,1700.0,1579.89,1579.97,1585.0,1555.0,1567.0,-12.89
2024-05-24,11192.0,1567.0,1584.96,1619.9,1566.01,1611.17,44.17
2024-05-27,4827.0,1611.17,1612.0,1620.0,1580.01,1611.0,-0.17
2024-05-29,40136.0,1611.0,1624.99,1624.99,1605.0,1605.03,-5.97
2024-05-30,325.0,1605.03,1602.03,1615.99,1601.0,1601.29,-3.74
2024-05-31,374.0,1601.29,1590.02,1609.49,1590.0,1590.62,-10.67
2024-06-03,6001.0,1590.62,1592.0,1600.0,1570.0,1598.46,7.84
2024-06-04,258.0,1598.46,1592.0,1604.0,1592.0,1600.0,1.54
2024-06-05,295.0,1600.0,1600.01,1600.01,1593.0,1593.0,7.0
2024-06-06,330.0,1593.0,1593.01,1600.0,1571.0,1589.25,-3.75
2024-06-07,488.0,1589.25,1571.21,1595.0,1560.1,1572.87,-16.38
2024-06-10,63.0,1572.87,1573.01,1585.0,1573.0,1578.72,5.85
2024-06-11,46.0,1578.72,1583.99,1584.99,1579.99,1584.88,6.16
2024-06-12,1068.0,1584.88,1482.01,1589.89,1482.0,1579.84,-5.04
2024-06-13,11228.0,1579.84,1599.99,1620.0,1555.0,1609.75,29.91
2024-06-14,784.0,1609.75,1612.02,1612.02,1580.0,1597.58,-12.17
2024-06-20,1555.0,1597.58,1608.0,1615.0,1581.0,1601.73,4.15
2024-06-21,1251.0,1601.73,1604.99,1609.99,1585.25,1596.22,-5.51
2024-06-24,210.0,1596.22,1596.01,1609.95,1580.0,1590.0,-6.22
2024-06-25,103.0,1590.0,1599.99,1599.99,1581.0,1589.0,1.0
2024-06-26,260.0,1589.0,1590.0,1590.0,1580.5,1581.99,-7.01
2024-06-27,578.0,1581.99,1582.01,1582.02,1575.76,1579.78,-2.21
2024-06-28,271.0,1579.78,1580.0,1580.0,1577.05,1580.0,0.22
2024-07-01,4841.0,1580.0,1586.6,1601.0,1578.0,1600.01,20.01
2024-07-02,5710.0,1600.01,1599.99,1605.0,1580.01,1592.45,-7.56
2024-07-03,3306.0,1592.45,1605.0,1605.0,1588.0,1590.57,-1.88
2024-07-04,777.0,1590.57,1600.02,1614.99,1580.01,1592.0,1.43
2024-07-05,1233.0,1592.0,1608.99,1608.99,1582.0,1599.41,7.41
2024-07-08,401.0,1599.41,1599.0,1599.0,1590.0,1596.98,-2.43
2024-07-09,3077.0,1596.98,1599.99,1599.99,1560.0,1579.61,-17.37
2024-07-10,54839.0,1579.61,1599.0,1612.0,1580.01,1584.74,5.13
2024-07-11,25550.0,1584.74,1581.11,1680.0,1581.1,1590.44,5.7
2024-07-12,6314.0,1590.44,1600.0,1605.0,1578.0,1589.45,-0.99
2024-07-15,334375.0,1589.45,1599.98,1644.99,1599.98,1633.83,44.38
2024-07-18,267018.0,1633.83,1640.0,1661.55,1622.0,1651.39,17.56
2024-07-19,142104.0,1651.39,1660.0,1675.0,1642.01,1666.04,14.65
2024-07-22,122403.0,1666.04,1666.0,1683.03,1625.0,1665.39,-0.65
2024-07-23,65451.0,1665.39,1666.66,1708.0,1666.65,1693.35,27.96
2024-07-24,25825.0,1693.35,1701.0,1714.99,1689.0,1692.99,-0.36
2024-07-25,1380.0,1692.99,1704.99,1704.99,1682.03,1686.34,-6.65
2024-07-26,5119.0,1686.34,1689.99,1699.0,1680.0,1683.0,-3.34
2024-07-29,21926.0,1683.0,1690.0,1718.99,1689.0,1713.45,30.45
2024-07-30,4889.0,1713.45,1714.0,1724.7,1705.0,1705.44,-8.01
2024-07-31,4661.0,1705.44,1705.44,1720.0,1705.0,1708.36,2.92
2024-08-01,30554.0,1708.36,1715.0,1739.0,1700.0,1728.09,19.73
2024-08-02,701.0,1728.09,1745.0,1745.0,1702.25,1714.59,-13.5
2024-08-05,10515.0,1714.59,1710.0,1725.0,1675.0,1680.67,-33.92
2024-08-06,9713.0,1680.67,1680.01,1695.0,1675.01,1685.09,4.42
2024-08-07,53276.0,1685.09,1699.97,1719.0,1685.0,1710.01,24.92
2024-08-08,25419.0,1710.01,1725.0,1725.0,1700.01,1710.68,0.67
2024-08-09,1374.0,1710.68,1703.2,1730.0,1703.2,1718.21,7.53
2024-08-12,14059.0,1718.21,1740.0,1743.0,1705.0,1710.0,-8.21
2024-08-13,149.0,1710.0,1737.0,1737.0,1705.0,1709.01,-0.99
2024-08-15,692.0,1709.01,1739.9,1739.99,1710.0,1710.88,1.87
2024-08-16,1988.0,1710.88,1738.9,1738.9,1700.0,1703.53,-7.35
2024-08-19,25289.0,1703.53,1720.0,1720.0,1700.0,1705.0,1.47
2024-08-20,6548.0,1705.0,1690.01,1734.9,1665.1,1728.87,23.87
2024-08-21,6424.0,1728.87,1687.0,1729.9,1687.0,1724.88,-3.99
2024-08-22,543.0,1724.88,1729.89,1729.9,1700.0,1709.78,-15.1
2024-08-23,1021.0,1709.78,1733.0,1733.0,1700.0,1700.43,-9.35
2024-08-26,7963.0,1700.43,1541.1,1728.0,1541.1,1717.75,17.32
2024-08-27,6774.0,1717.75,1734.9,1734.9,1700.0,1715.12,-2.63
2024-08-28,1176.0,1715.12,1735.0,1735.0,1690.01,1700.48,-14.64
2024-08-29,210.0,1700.48,1735.0,1735.0,1690.0,1704.27,3.79
2024-08-30,1852.0,1704.27,1718.0,1748.0,1710.0,1722.59,18.32
2024-09-02,1208.0,1722.59,1894.84,1894.84,1740.01,1746.55,23.96
2024-09-03,802.0,1746.55,1799.0,1799.0,1724.0,1736.49,-10.06
2024-09-04,2044.0,1736.49,1750.0,1769.98,1720.0,1751.53,15.04
2024-09-05,1110.0,1751.53,1768.0,1779.0,1735.01,1750.7,-0.83
2024-09-06,549.0,1750.7,1779.88,1779.88,1730.0,1768.34,17.64
2024-09-09,534.0,1768.34,1779.0,1779.0,1735.0,1750.0,-18.34
2024-09-10,1405.0,1750.0,1740.01,1768.99,1740.01,1753.49,3.49
2024-09-11,188.0,1753.49,1779.0,1779.89,1738.0,1758.79,5.3
2024-09-12,2384.0,1758.79,1770.0,1800.0,1750.0,1765.62,6.83
2024-09-13,287.0,1765.62,1780.0,1800.0,1765.0,1766.96,1.34
2024-09-16,804.0,1766.96,1799.99,1940.0,1700.0,1747.66,-19.3
2024-09-18,2109.0,1747.66,1748.03,1779.94,1607.02,1750.15,2.49
2024-09-19,10594.0,1750.15,1798.99,1799.0,1740.0,1745.08,-5.07
2024-09-20,3918.0,1745.08,1784.99,1784.99,1731.1,1767.16,22.08
2024-09-23,485.0,1767.16,1787.99,1795.0,1768.0,1770.09,2.93
2024-09-24,19220.0,1770.09,1750.0,1792.99,1730.0,1774.53,4.44
2024-09-25,1662.0,1731.53,1741.0,1754.85,1715.0,1715.97,-15.56
2024-09-26,390.0,1715.97,1751.38,1751.38,1705.0,1721.08,5.11
2024-09-27,2676.0,1721.08,1715.01,1740.21,1710.0,1720.36,-0.72
2024-09-30,9846.0,1720.36,1603.1,1794.4,1600.0,1733.68,13.32
2024-10-01,656.0,1733.68,1749.99,1749.99,1701.0,1732.69,-0.99
2024-10-02,4672.0,1732.69,1734.0,1735.0,1706.2,1730.98,-1.71
2024-10-03,2449.0,1730.98,1740.0,1750.0,1722.15,1735.88,4.9
2024-10-04,470.0,1735.88,1725.0,1898.9,1689.9,1748.97,13.09
2024-10-07,731.0,1748.97,1750.01,1774.0,1726.0,1737.3,-11.67
2024-10-08,250.0,1737.3,1740.0,1760.0,1700.0,1736.29,-1.01
2024-10-09,402.0,1736.29,1705.02,1749.98,1705.02,1738.13,1.84
2024-10-10,77.0,1738.13,1757.0,1760.0,1715.01,1740.01,1.88
2024-10-11,947.0,1740.01,1767.98,1767.99,1735.01,1741.19,1.18
2024-10-14,728.0,1741.19,1765.0,1765.0,1744.0,1745.26,4.07
2024-10-15,4663.0,1745.26,1780.0,1800.0,1726.01,1773.99,28.73
2024-10-16,2385.0,1773.99,1792.0,1845.0,1767.0,1819.6,45.61
2024-10-17,1753.0,1819.6,1790.0,1999.07,1790.0,1862.45,42.85
2024-10-18,1533.0,1862.45,1860.84,1989.99,1820.0,1872.02,9.57
2024-10-21,7772.0,1872.02,1874.0,1940.0,1810.3,1842.93,-29.09
2024-10-22,767.0,1842.93,1874.99,1874.99,1842.97,1846.09,3.16
2024-10-23,1185.0,1846.09,1850.0,1884.47,1810.0,1834.65,-11.44
2024-10-24,245.0,1834.65,1844.99,1845.0,1820.0,1823.78,-10.87
2024-10-25,1149.0,1823.78,1824.0,1834.99,1800.0,1817.93,-5.85
2024-10-28,3612.0,1817.93,1920.0,1949.0,1880.04,1924.25,106.32
2024-10-29,937.0,1924.25,1924.25,1939.99,1920.0,1935.29,11.04
2024-10-30,775.0,1935.29,1950.0,1975.0,1900.0,1909.38,-25.91
2024-10-31,622.0,1909.38,1980.0,1980.0,1896.0,1898.73,-10.65
2024-11-01,926.0,1898.73,1988.9,1988.9,1711.0,1918.78,20.05
2024-11-04,2697.0,1918.78,1984.49,1997.98,1890.0,1989.28,70.5
2024-11-05,2926.0,1989.28,2050.0,2075.0,2050.0,2062.88,73.6
2024-11-06,1075.0,2023.88,2040.0,2040.0,2018.0,2018.98,-4.9
2024-11-07,766.0,2018.98,1900.1,2075.0,1900.1,2009.35,-9.63
2024-11-08,1154.0,2009.35,2000.03,2033.0,2000.0,2026.53,17.18
2024-11-11,1237.0,2026.53,2000.01,2057.91,2000.01,2007.45,-19.08
2024-11-12,1002.0,2007.45,2008.12,2030.0,2005.0,2005.99,-1.46
2024-11-13,967.0,2005.99,2033.99,2033.99,1999.0,1999.39,-6.6
2024-11-14,377.0,1999.39,2000.0,2006.01,2000.0,2001.15,1.76
2024-11-15,355.0,2001.15,2029.96,2029.96,1995.15,2012.34,11.19
2024-11-18,1265.0,2012.34,2028.0,2040.0,1941.0,1995.02,-17.32
2024-11-19,2516.0,1995.02,2000.0,2020.0,1943.0,2010.81,15.79
2024-11-20,728.0,2010.81,2010.8,2027.99,2006.0,2012.55,1.74
2024-11-21,609.0,2012.55,2000.01,2023.87,1972.0,2014.79,2.24
2024-11-22,2007.0,2014.79,2020.0,2020.0,1996.04,2017.83,3.04
2024-11-25,519.0,2017.83,2024.0,2024.0,1995.9,2006.55,-11.28
2024-11-26,1241.0,2006.55,2039.9,2039.9,1965.11,1970.56,-35.99
2024-11-27,1433.0,1970.56,2000.0,2000.0,1960.0,1997.94,27.38
2024-11-28,3427.0,1997.94,1960.1,2020.19,1960.1,1992.5,-5.44
2024-11-29,2293.0,1992.5,2000.0,2019.98,1990.1,2000.24,7.74
2024-12-02,1110.0,2000.24,2001.0,2040.1,2000.11,2026.59,26.35
2024-12-03,4293.0,2026.59,2039.0,2042.0,2000.01,2005.94,-20.65
2024-12-04,4954.0,2005.94,2038.0,2038.0,1980.0,2005.11,-0.83
2024-12-05,4208.0,2005.11,2005.11,2019.98,2000.0,2007.65,2.54
2024-12-06,2550.0,2007.65,1985.1,2042.99,1944.45,2003.16,-4.49
2024-12-09,6105.0,2003.16,1972.0,2050.0,1970.1,2031.09,27.93
2024-12-10,2345.0,2031.09,2058.0,2060.0,2010.0,2011.35,-19.74
2024-12-11,366.0,2011.35,2039.99,2039.99,2003.0,2013.3,1.95
2024-12-12,3083.0,2013.3,2035.0,2035.0,2005.0,2007.99,-5.31
2024-12-13,3289.0,2007.99,2025.0,2040.0,1981.88,2029.32,21.33
2024-12-16,5237.0,2029.32,2029.0,2056.0,2000.0,2036.65,7.33
2024-12-17,1239.0,2036.65,2056.98,2056.98,2010.12,2014.91,-21.74
2024-12-18,12141.0,2014.91,2038.85,2065.0,2010.05,2058.57,43.66
2024-12-19,62247.0,2058.57,2030.01,2259.0,2030.0,2245.36,186.79
2024-12-20,1160.0,2245.36,2061.0,2249.98,2061.0,2228.35,-17.01
2024-12-23,3033.0,2228.35,2249.88,2249.88,2200.0,2239.27,10.92
2024-12-24,4222.0,2239.27,2220.01,2249.0,2085.0,2199.5,-39.77
2024-12-26,2001.0,2199.5,2199.99,2199.99,2150.0,2165.34,-34.16
2024-12-27,2014.0,2165.34,2197.98,2197.98,2130.0,2154.32,-11.02
2024-12-30,1521.0,2154.32,2154.32,2194.1,2127.0,2150.33,-3.99
2024-12-31,3293.0,2150.33,2168.98,2240.39,2125.0,2129.6,-20.73
2025-01-01,4765.0,2129.6,2130.0,2195.0,2125.21,2133.45,3.85
2025-01-02,7192.0,2133.45,2158.1,2167.87,2000.05,2036.49,-96.96
2025-01-03,2102.0,2036.49,2070.32,2100.0,2055.0,2080.74,44.25
2025-01-06,1600.0,2080.74,2060.33,2100.0,2060.0,2082.58,1.84
2025-01-07,278.0,2082.58,2098.99,2098.99,2058.5,2080.56,-2.02
2025-01-08,2126.0,2080.56,2081.0,2116.9,2080.0,2086.23,5.67
2025-01-09,239.0,2086.23,2086.23,2100.26,2050.07,2069.88,-16.35
2025-01-10,636.0,2069.88,2083.26,2084.9,2000.2,2045.36,-24.52
2025-01-13,1459.0,2045.36,2093.95,2093.95,2027.03,2050.81,5.45
2025-01-14,778.0,2050.81,2050.93,2090.8,2050.0,2054.96,4.15
2025-01-15,3268.0,2054.96,2089.0,2089.0,1950.0,2013.77,-41.19
2025-01-16,195.0,2013.77,2039.96,2039.96,2019.0,2029.58,15.81
2025-01-17,707.0,2029.58,2039.0,2059.99,2006.5,2048.51,18.93
2025-01-20,1514.0,2048.51,2060.0,2067.0,2042.0,2065.37,16.86
2025-01-21,433.0,2065.37,2070.88,2075.01,2050.0,2059.21,-6.16
2025-01-22,681.0,2059.21,2065.0,2065.0,2005.05,2042.01,-17.2
2025-01-23,197.0,2042.01,2059.9,2059.9,2045.1,2050.1,8.09
2025-01-24,545.0,2050.1,2050.0,2084.9,2002.02,2060.16,10.06
2025-01-27,278.0,2060.16,2044.01,2060.99,2043.45,2049.28,-10.88
2025-01-28,1025.0,2049.28,2050.0,2064.7,2000.0,2016.28,33.0
2025-01-29,536.0,2016.28,2055.99,2075.0,2002.1,2056.07,39.79
2025-01-30,7552.0,2056.07,2026.0,2125.0,2026.0,2102.58,46.51
2025-01-31,607.0,2102.58,2102.61,2140.0,2100.0,2134.62,32.04
2025-02-03,587.0,2134.62,2173.0,2173.0,2080.05,2099.63,-34.99
2025-02-04,3338.0,2099.63,2139.99,2139.99,2033.0,2063.8,-35.83
2025-02-06,1025.0,2063.8,2098.0,2098.0,2055.0,2066.21,2.41
2025-02-07,619.0,2066.21,2126.95,2126.95,2061.0,2068.72,2.51
2025-02-10,600.0,2068.72,2087.8,2087.8,2065.1,2077.12,8.4
2025-02-11,854.0,2077.12,2065.08,2100.0,2065.01,2089.23,12.11
2025-02-12,1474.0,2089.23,2097.0,2124.0,2097.0,2114.97,25.74
2025-02-13,1347.0,2114.97,2122.99,2122.99,2100.0,2112.82,-2.15
2025-02-14,330.0,2112.82,2113.0,2119.99,2100.5,2104.28,-8.54
2025-02-17,895.0,2104.28,2100.0,2114.99,2100.0,2106.0,1.72
2025-02-18,6000.0,2106.0,2130.0,2150.0,2100.0,2120.17,14.17
2025-02-19,405.0,2120.17,2120.17,2150.0,2110.16,2119.15,-1.02
2025-02-20,1035.0,2119.15,2119.15,2145.0,2119.15,2129.0,9.85
2025-02-21,1205.0,2129.0,2149.96,2149.96,2110.1,2120.41,-8.59
2025-02-24,483.0,2120.41,2119.98,2129.99,2105.0,2112.2,-8.21
2025-02-25,734.0,2112.2,2050.01,2146.0,2050.0,2124.41,12.21
2025-02-26,1585.0,2124.41,2144.0,2144.0,2057.03,2127.96,3.55
2025-02-27,1779.0,2127.96,2143.96,2159.0,2110.02,2148.57,20.61
2025-02-28,3286.0,2148.57,2285.0,2285.0,2115.1,2119.34,-29.23
2025-03-03,679.0,2119.34,2119.99,2140.0,2101.0,2110.51,-8.83
2025-03-04,1117.0,2110.51,2130.0,2135.0,2100.0,2108.52,-1.99
2025-03-05,9292.0,2108.52,2100.0,2125.0,2100.0,2120.01,11.49
2025-03-06,14127.0,2120.01,2149.99,2149.99,2100.11,2109.54,-10.47
2025-03-07,1424.0,2109.54,2148.99,2150.0,2115.03,2139.64,30.1
2025-03-10,3519.0,2102.64,2139.64,2139.64,2081.0,2086.0,-16.64
2025-03-11,849.0,2086.0,2086.0,2099.0,2060.5,2073.83,-12.17
2025-03-12,967.0,2073.83,2097.99,2097.99,2052.0,2064.79,-9.04
2025-03-13,2163.0,2064.79,2096.98,2096.98,2047.5,2049.99,-14.8
2025-03-14,725.0,2049.99,2080.0,2086.79,2049.99,2068.0,18.01
2025-03-17,2245.0,2068.0,2089.0,2093.0,2040.0,2059.91,-8.09
2025-03-18,1477.0,2059.91,2055.0,2079.99,2020.0,2053.19,-6.72
2025-03-19,2888.0,2053.19,2094.99,2094.99,2031.0,2044.67,-8.52
2025-03-20,6412.0,2044.67,2050.03,2085.0,2045.11,2053.69,9.02
