Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,90.0,142.0,142.0,145.63,142.0,145.22,3.22
2024-01-02,63.0,145.22,144.8,144.8,142.01,142.39,-2.83
2024-01-03,189.0,142.39,144.51,153.07,143.93,153.07,10.68
2024-01-04,321.0,153.07,155.0,157.67,148.1,150.24,-2.83
2024-01-05,121.0,150.24,151.99,152.0,147.79,149.08,-1.16
2024-01-08,45.0,149.08,150.99,150.99,144.5,144.69,-4.39
2024-01-09,40.0,144.69,142.5,142.5,141.08,141.89,-2.8
2024-01-10,103.0,141.89,142.0,144.29,141.75,142.0,0.11
2024-01-11,95.0,142.0,143.5,147.5,143.5,146.0,4.0
2024-01-12,37.0,146.0,146.0,146.5,142.31,142.5,-3.5
2024-01-15,54.0,142.5,142.83,144.0,141.25,141.53,-0.97
2024-01-16,42.0,141.53,141.11,141.11,137.7,138.99,-2.54
2024-01-17,137.0,138.99,140.0,144.9,140.0,144.05,5.06
2024-01-18,53.0,144.05,143.01,143.01,138.0,139.0,-5.05
2024-01-19,51.0,139.0,141.0,141.1,138.1,138.21,-0.79
2024-01-22,14.0,140.79,134.0,135.99,134.0,135.99,-4.8
2024-01-23,28.0,135.99,135.99,138.0,135.99,138.0,2.01
2024-01-24,27.0,138.0,139.9,142.0,139.9,141.2,3.2
2024-01-25,215.0,141.2,144.0,144.88,143.01,144.46,3.26
2024-01-26,89.0,144.46,144.0,144.0,143.11,143.55,-0.91
2024-01-29,179.0,143.55,142.8,144.16,142.0,143.86,0.31
2024-01-30,163.0,143.86,142.0,142.5,134.01,135.26,-8.6
2024-01-31,31.0,135.26,134.1,135.0,132.8,134.5,-0.76
2024-02-01,4.0,134.5,133.0,133.0,132.01,132.01,-2.49
2024-02-02,233.0,132.01,134.0,134.5,133.5,134.0,1.99
2024-02-06,41.0,134.0,136.1,137.1,136.0,137.1,3.1
2024-02-07,6.0,137.1,139.87,139.88,138.0,138.0,0.9
2024-02-09,17.0,138.0,134.56,135.2,134.56,135.17,-2.83
2024-02-12,12.0,135.17,132.67,132.67,132.03,132.03,-3.14
2024-02-13,15.0,132.03,126.9,134.99,126.9,133.98,1.95
2024-02-14,50.0,133.98,135.0,136.0,134.91,134.91,0.93
2024-02-15,3.0,134.91,134.0,134.0,134.0,134.0,-0.91
2024-02-16,2.0,134.0,128.0,128.0,128.0,128.0,6.0
2024-02-20,15.0,125.54,118.19,127.36,118.19,125.5,-0.04
2024-02-21,36.0,125.5,129.0,130.0,129.0,129.75,4.25
2024-02-22,154.0,129.75,130.3,130.3,129.99,130.0,0.25
2024-02-23,68.0,130.0,129.01,129.01,128.5,128.99,-1.01
2024-02-26,5.0,131.92,134.82,134.9,134.82,134.85,2.93
2024-02-27,11.0,134.85,137.99,137.99,133.1,134.52,-0.33
2024-02-28,40.0,134.52,136.0,136.7,135.0,135.63,1.11
2024-02-29,11.0,135.63,137.75,138.36,135.0,135.1,-0.53
2024-03-04,11.0,135.65,135.5,136.57,135.25,136.51,0.86
2024-03-05,52.0,136.51,137.0,138.5,133.5,134.82,-1.69
2024-03-06,3.0,134.82,133.5,133.5,132.2,132.2,-2.62
2024-03-07,13.0,132.2,131.01,133.36,131.01,131.01,-1.19
2024-03-08,27.0,131.01,133.69,135.0,133.0,133.82,2.81
2024-03-11,21.0,133.82,137.0,137.0,135.0,136.99,3.17
2024-03-12,9.0,136.99,135.15,135.15,134.0,134.0,-2.99
2024-03-13,8.0,134.0,134.01,134.01,131.0,132.0,2.0
2024-03-14,8.0,132.0,135.0,135.0,133.1,133.12,1.12
