Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-04,500.0,17.0,16.5,16.5,16.5,16.5,-0.5
2024-01-31,3000.0,16.5,16.5,16.5,16.5,16.5,0.0
2024-03-12,1500.0,16.5,16.0,16.0,15.26,15.26,-1.24
2024-03-21,2500.0,15.26,15.25,15.25,15.25,15.25,-0.01
2024-04-08,1000.0,15.25,15.25,15.25,15.25,15.25,0.0
2024-04-09,2500.0,15.25,15.7,15.7,15.0,15.0,-0.25
2024-04-15,1000.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-04-17,1000.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-04-18,1000.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-05-10,3000.0,15.0,0.0,0.0,0.0,15.0,0.0
2024-05-13,3500.0,15.0,13.95,14.4,13.95,14.4,-0.6
2024-05-15,3000.0,14.4,13.33,14.5,13.33,14.5,0.1
2024-05-16,2000.0,14.5,15.1,15.1,15.1,15.1,0.6
2024-05-17,1000.0,15.1,14.6,14.6,14.5,14.5,-0.6
2024-05-23,1000.0,14.5,14.5,14.5,14.5,14.5,0.0
2024-05-31,1.0,14.5,13.34,13.34,13.34,14.5,0.0
2024-06-06,37.0,14.5,13.41,13.41,13.41,14.47,-0.03
2024-06-25,10.0,14.47,13.32,13.32,13.32,14.47,0.0
2024-06-26,47.0,14.47,13.17,13.17,13.17,14.47,0.0
2024-06-28,500.0,14.47,13.17,13.17,13.17,13.17,-1.3
2024-07-03,15000.0,13.17,12.13,12.13,12.0,12.0,-1.17
2024-07-04,6020.0,12.0,12.5,12.9,12.5,12.5,0.5
2024-07-05,580.0,12.5,12.0,12.3,12.0,12.15,-0.35
2024-07-08,17000.0,12.15,12.0,12.0,12.0,12.0,-0.15
2024-07-09,6500.0,12.0,12.0,12.0,12.0,12.0,0.0
2024-07-10,300.0,12.0,11.21,11.21,11.21,12.0,0.0
2024-07-11,1575.0,12.0,11.3,13.0,11.3,12.11,0.11
2024-07-15,1620.0,12.11,11.2,13.25,11.2,13.25,1.14
2024-07-18,1000.0,13.25,13.5,13.5,13.5,13.5,0.25
2024-07-19,3580.0,13.5,12.7,12.7,12.22,12.32,-1.18
2024-07-23,500.0,12.32,12.59,12.59,12.59,12.59,0.27
2024-07-26,137.0,12.59,12.0,12.5,12.0,12.59,0.0
