Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,354666.0,73.02,73.75,76.73,73.5,76.46,3.44
2024-01-02,209997.0,76.46,77.49,77.49,74.3,74.49,-1.97
2024-01-03,2080354.0,74.49,74.89,79.45,74.28,76.74,2.25
2024-01-04,1081365.0,76.74,77.0,77.39,73.7,73.89,-2.85
2024-01-05,1091795.0,73.89,74.24,75.07,71.95,72.54,-1.35
2024-01-08,324227.0,72.54,72.67,73.35,72.0,72.53,-0.01
2024-01-09,673836.0,72.53,73.01,73.6,71.86,73.41,0.88
2024-01-10,101191.0,73.41,73.1,74.65,72.71,72.88,-0.53
2024-01-11,330286.0,72.88,72.09,75.25,72.0,73.76,0.88
2024-01-12,165708.0,73.76,74.0,74.97,72.12,72.88,-0.88
2024-01-15,834370.0,72.88,73.49,73.5,68.0,68.63,-4.25
2024-01-16,1469976.0,68.63,69.2,69.4,66.1,68.91,0.28
2024-01-17,832723.0,68.91,69.98,71.7,68.02,70.97,2.06
2024-01-18,765710.0,70.97,70.1,71.0,69.5,70.58,-0.39
2024-01-19,182219.0,70.58,71.2,71.85,70.01,70.16,-0.42
2024-01-22,105147.0,70.16,70.01,70.52,69.75,70.38,0.22
2024-01-23,375149.0,70.38,70.01,74.0,70.0,73.1,2.72
2024-01-24,8.0,74.72,74.0,74.0,74.0,74.0,-0.72
2024-01-25,298905.0,71.82,73.0,74.2,70.7,72.26,0.44
2024-01-26,326452.0,72.26,73.4,73.4,71.5,72.45,0.19
2024-01-29,1275740.0,72.45,72.0,73.75,71.15,73.25,0.8
2024-01-30,1258269.0,73.25,73.99,73.99,71.5,72.31,-0.94
2024-01-31,158744.0,72.31,73.95,73.95,69.6,70.14,-2.17
2024-02-01,888761.0,70.14,69.51,70.9,69.51,70.0,-0.14
2024-02-02,407275.0,70.0,70.01,71.5,69.5,70.44,0.44
2024-02-06,463917.0,70.44,71.2,73.45,70.25,72.2,1.76
2024-02-07,304967.0,69.7,71.5,71.75,70.0,70.23,0.53
2024-02-09,1253553.0,70.23,70.0,71.48,64.96,70.09,-0.14
2024-02-12,1011809.0,70.09,70.88,70.88,67.15,68.17,-1.92
2024-02-13,152889.0,68.17,67.9,69.99,66.5,69.67,1.5
2024-02-14,128518.0,69.67,70.15,71.5,70.15,70.36,0.69
2024-02-15,64213.0,70.36,69.91,69.91,68.0,68.11,-2.25
2024-02-16,34207.0,68.11,68.01,68.74,65.11,66.54,-1.57
2024-02-19,59117.0,66.54,64.96,67.5,63.26,67.14,0.6
2024-02-20,80299.0,67.14,66.95,67.95,66.4,66.5,-0.64
2024-02-21,114011.0,66.5,67.0,67.5,65.35,66.37,-0.13
2024-02-22,174489.0,66.37,67.4,67.4,65.53,65.94,-0.43
2024-02-23,214319.0,65.94,66.98,66.98,65.3,65.91,-0.03
2024-02-26,264066.0,65.91,66.5,68.0,66.5,67.3,1.39
2024-02-27,130675.0,67.3,67.5,68.0,66.51,66.86,-0.44
2024-02-28,758829.0,66.86,67.0,68.0,66.0,66.28,-0.58
2024-02-29,400846.0,66.28,66.5,67.85,65.15,65.66,-0.62
2024-03-01,332423.0,65.66,65.67,67.5,65.51,66.62,0.96
2024-03-04,292793.0,66.62,67.48,68.25,66.62,67.25,0.63
2024-03-05,526490.0,67.25,67.95,69.5,67.0,67.94,0.69
2024-03-06,135009.0,67.94,68.47,68.47,67.05,67.55,-0.39
2024-03-07,228314.0,67.55,67.25,67.85,66.51,67.31,-0.24
2024-03-08,504769.0,67.31,67.7,69.75,67.5,68.74,1.43
2024-03-11,462181.0,68.74,68.99,71.1,68.99,69.58,0.84
2024-03-12,247128.0,69.58,69.7,70.59,68.5,68.53,-1.05
2024-03-13,146710.0,68.53,68.99,68.99,66.25,66.74,-1.79
2024-03-14,102145.0,66.74,67.1,69.06,67.1,68.39,1.65
2024-03-15,55608.0,68.39,68.5,68.99,67.1,67.86,-0.53
2024-03-18,115752.0,67.86,67.5,68.0,66.9,67.28,-0.58
2024-03-19,70239.0,67.28,66.6,67.5,66.6,66.84,-0.44
2024-03-20,213880.0,66.84,67.5,68.45,67.05,67.24,0.4
2024-03-21,133809.0,67.24,67.11,67.7,66.5,66.55,-0.69
2024-03-22,40051.0,66.55,67.23,67.23,66.0,66.18,-0.37
2024-03-25,22854.0,66.18,66.0,66.97,65.51,65.98,-0.2
2024-03-26,74624.0,65.98,65.71,67.0,65.56,66.64,0.66
2024-03-27,61755.0,66.64,66.98,67.5,66.04,66.81,0.17
2024-03-28,232.0,68.26,68.5,69.29,68.4,68.4,0.14
2024-03-29,142256.0,66.65,66.99,66.99,65.5,65.62,-1.03
2024-04-01,142912.0,65.62,66.15,66.5,65.52,66.2,0.58
2024-04-02,97720.0,66.2,66.45,66.45,64.9,64.99,-1.21
2024-04-03,819013.0,64.99,65.01,69.81,64.65,69.35,4.36
2024-04-04,201366.0,69.35,68.0,69.99,67.5,69.08,-0.27
2024-04-08,1680945.0,69.08,69.26,74.26,68.53,74.12,5.04
2024-04-09,775726.0,74.12,75.5,78.2,75.5,76.25,2.13
2024-04-15,1310995.0,76.25,74.0,76.2,73.71,74.75,-1.5
2024-04-16,2671732.0,74.75,74.32,78.9,74.31,75.04,0.29
2024-04-17,480468.0,75.04,75.25,75.99,72.06,72.41,-2.63
2024-04-18,264294.0,72.41,73.39,73.45,71.81,72.05,-0.36
2024-04-19,1028229.0,72.05,72.06,72.99,69.75,69.99,-2.06
2024-04-22,844924.0,69.99,70.51,72.5,69.15,71.94,1.95
2024-04-23,1005515.0,71.94,72.93,74.54,70.0,70.44,-1.5
2024-04-24,699373.0,70.44,70.31,72.24,70.1,71.53,1.09
2024-04-25,198.0,71.71,71.75,72.1,69.0,70.12,-1.59
2024-04-26,521212.0,69.48,69.5,70.75,68.48,69.57,0.09
2024-04-29,573360.0,69.57,70.0,70.5,69.06,69.27,-0.3
2024-04-30,295806.0,69.27,69.11,69.98,67.01,67.32,-1.95
2024-05-02,405735.0,67.32,68.49,68.49,66.1,67.18,-0.14
2024-05-03,1291234.0,67.18,68.2,70.99,68.0,69.99,2.81
2024-05-06,906479.0,69.99,71.5,73.48,70.5,71.51,1.52
2024-05-07,903515.0,71.51,71.7,73.85,71.0,72.02,0.51
2024-05-08,276732.0,72.02,73.0,73.0,69.91,71.8,-0.22
2024-05-09,242027.0,71.8,72.0,73.5,71.25,73.0,1.2
2024-05-10,2513326.0,73.0,72.1,76.1,72.1,75.32,2.32
2024-05-13,4841016.0,75.32,76.0,80.97,75.55,77.74,2.42
2024-05-14,684304.0,77.74,77.16,78.0,76.01,77.46,-0.28
2024-05-15,403028.0,77.46,77.99,78.0,75.8,76.28,-1.18
2024-05-16,4783472.0,76.28,77.48,82.0,75.5,81.89,5.61
2024-05-17,5630348.0,81.89,83.4,85.2,82.0,84.14,2.25
2024-05-20,2468450.0,84.14,84.95,88.95,82.73,87.43,3.29
2024-05-21,1108843.0,87.43,88.0,88.0,84.25,84.78,-2.65
2024-05-22,448694.0,84.78,84.97,84.97,81.51,83.06,-1.72
2024-05-23,496161.0,83.06,81.71,82.5,80.0,81.95,-1.11
2024-05-24,1557743.0,81.95,82.01,85.0,82.01,83.18,1.23
2024-05-27,372914.0,83.18,83.2,83.85,81.36,81.75,-1.43
2024-05-29,300.0,82.07,81.55,81.7,80.5,81.14,-0.93
2024-05-30,860524.0,80.92,81.78,82.8,80.4,82.07,1.15
2024-05-31,3575562.0,82.07,82.19,88.4,82.19,87.92,5.85
2024-06-03,1213497.0,87.92,87.95,89.4,86.5,86.99,-0.93
2024-06-04,1148037.0,86.99,87.79,87.79,84.52,85.84,-1.15
2024-06-05,1730869.0,85.84,86.0,86.89,81.5,82.31,-3.53
2024-06-06,767641.0,82.31,82.34,83.67,80.11,81.06,-1.25
2024-06-07,1388069.0,81.06,81.3,86.48,77.75,85.07,4.01
2024-06-10,1023.0,86.24,86.5,87.5,84.25,85.53,-0.71
2024-06-11,700992.0,84.94,86.0,87.1,82.75,83.02,-1.92
2024-06-12,299131.0,83.02,83.0,83.6,81.98,83.11,0.09
2024-06-13,1631479.0,83.11,85.0,88.3,85.0,87.25,4.14
2024-06-14,2458278.0,87.25,88.1,89.0,86.4,86.88,-0.37
2024-06-20,3240861.0,86.88,86.9,88.6,85.8,87.91,1.03
2024-06-21,1977958.0,87.91,88.4,89.79,86.5,86.7,-1.21
2024-06-24,547551.0,86.7,86.35,86.99,84.2,84.7,2.0
2024-06-25,638905.0,84.7,84.22,85.99,84.0,84.93,0.23
2024-06-26,1423197.0,84.93,85.0,87.0,84.99,85.32,0.39
2024-06-27,523788.0,85.32,85.25,86.5,84.4,84.98,-0.34
2024-06-28,1138397.0,84.98,86.0,86.0,84.26,84.55,-0.43
2024-07-01,402530.0,84.55,85.0,85.0,82.98,83.17,-1.38
2024-07-02,3641690.0,83.17,84.25,89.98,84.2,89.3,6.13
2024-07-03,1239879.0,89.3,89.74,90.18,86.88,87.06,-2.24
2024-07-04,2307992.0,87.06,87.75,89.2,85.6,86.93,-0.13
2024-07-05,1267291.0,86.93,87.01,88.8,86.2,88.23,1.3
2024-07-08,2005677.0,88.23,88.48,91.0,88.0,89.82,1.59
2024-07-09,2299892.0,89.82,90.98,91.0,88.95,89.26,-0.56
2024-07-10,550115.0,89.26,89.5,90.0,87.2,87.93,-1.33
2024-07-11,1202923.0,87.93,87.55,89.9,87.0,88.74,0.81
2024-07-12,574409.0,88.74,89.0,89.0,82.0,87.92,-0.82
2024-07-15,1777096.0,87.92,89.9,90.01,86.89,87.13,-0.79
2024-07-18,1544977.0,87.13,87.7,89.95,87.14,88.35,1.22
2024-07-19,1390990.0,88.35,88.35,88.35,83.5,84.44,-3.91
2024-07-22,840698.0,84.44,84.96,84.99,80.51,81.79,-2.65
2024-07-23,405538.0,81.79,82.9,84.02,80.2,83.79,2.0
2024-07-24,335405.0,83.79,83.79,84.85,83.1,84.52,0.73
2024-07-25,467084.0,84.52,85.7,85.7,84.0,84.44,-0.08
2024-07-26,378159.0,84.44,84.5,84.5,82.31,83.56,-0.88
2024-07-29,1345890.0,83.56,84.47,84.65,83.38,83.91,0.35
2024-07-30,649296.0,83.91,84.69,84.69,82.6,83.21,-0.7
2024-07-31,256624.0,83.21,83.2,83.98,82.2,83.08,-0.13
2024-08-01,369652.0,83.08,82.98,83.0,80.7,81.86,-1.22
2024-08-02,391115.0,81.86,81.88,83.5,81.1,82.98,1.12
2024-08-05,173018.0,82.98,84.0,84.0,81.5,82.66,-0.32
2024-08-06,154731.0,82.66,82.88,83.2,81.6,82.34,-0.32
2024-08-07,1124491.0,82.34,83.0,83.24,81.01,82.34,0.0
2024-08-08,1272273.0,82.34,82.5,84.1,81.56,83.83,1.49
2024-08-09,107987.0,83.83,83.83,84.51,82.5,82.92,-0.91
2024-08-12,1008929.0,82.92,82.12,84.0,81.7,82.94,0.02
2024-08-13,341400.0,82.94,82.98,82.98,80.5,81.54,-1.4
2024-08-15,422503.0,81.54,81.0,82.3,80.41,81.04,-0.5
2024-08-16,455825.0,81.04,81.48,82.0,80.03,80.55,-0.49
2024-08-19,1116119.0,80.55,80.51,80.52,76.55,77.44,-3.11
2024-08-20,1584281.0,77.44,77.97,77.97,73.2,74.28,-3.16
2024-08-21,1431344.0,74.28,76.0,76.45,74.0,74.78,0.5
