Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,77500.0,50.88,51.24,52.48,51.24,52.43,1.55
2024-01-02,1000.0,52.43,52.63,52.63,52.63,52.63,0.2
2024-01-03,1000.0,52.63,52.88,52.88,52.88,52.88,0.25
2024-01-04,13500.0,52.88,49.05,54.99,49.05,54.65,1.77
2024-01-05,32000.0,54.65,57.05,57.45,52.0,56.54,1.89
2024-01-08,500.0,56.54,0.0,0.0,0.0,56.54,0.0
2024-01-09,32500.0,56.54,52.3,55.85,52.3,54.48,-2.06
2024-01-10,91000.0,54.48,53.99,58.5,53.99,58.27,3.79
2024-01-11,16500.0,58.27,59.95,59.95,53.9,56.38,-1.89
2024-01-15,57000.0,56.38,56.09,60.5,56.09,59.72,3.34
2024-01-16,61500.0,59.72,56.01,60.9,55.24,59.74,0.02
2024-01-17,86000.0,59.74,55.36,61.9,55.31,59.88,0.14
2024-01-19,25500.0,59.88,55.39,59.87,55.39,59.83,-0.05
2024-01-22,42500.0,59.83,55.51,58.68,55.34,58.27,-1.56
2024-01-23,11000.0,58.27,57.05,59.44,57.05,59.31,1.04
2024-01-24,11000.0,59.31,55.37,58.85,55.05,56.98,-2.33
2024-01-25,43500.0,56.98,57.95,57.95,52.71,54.98,2.0
2024-01-26,9500.0,54.98,55.35,55.89,55.35,55.88,0.9
2024-01-30,125500.0,55.88,51.69,60.0,51.69,59.5,3.62
2024-01-31,10500.0,59.5,59.0,63.95,59.0,61.49,1.99
2024-02-01,29000.0,61.49,56.88,62.95,56.88,60.93,-0.56
2024-02-02,2000.0,60.93,60.85,60.85,60.85,60.85,-0.08
2024-02-07,5500.0,60.85,62.7,62.7,58.0,59.99,-0.86
2024-02-09,2500.0,59.99,60.73,60.73,60.73,60.73,0.74
2024-02-12,1500.0,60.73,56.2,59.99,56.2,59.99,-0.74
2024-02-14,15500.0,59.99,55.86,60.95,55.86,60.64,0.65
2024-02-16,6500.0,60.64,61.0,62.74,61.0,62.61,1.97
2024-02-21,1000.0,62.47,57.78,60.94,57.78,60.94,-1.53
2024-03-12,15000.0,60.94,57.0,63.99,57.0,63.41,2.47
2024-03-20,22000.0,63.41,58.65,64.9,58.65,63.83,0.42
2024-03-22,500.0,63.83,63.99,63.99,63.99,63.99,0.16
2024-03-26,500.0,63.99,64.93,64.93,64.93,64.93,0.94
2024-03-29,4000.0,64.93,64.95,65.93,64.95,65.67,0.74
2024-04-03,2500.0,65.67,70.48,70.48,70.48,70.48,4.81
2024-04-04,13500.0,70.48,65.19,71.98,65.19,71.21,0.73
2024-04-08,6000.0,71.21,66.05,73.85,66.05,72.7,1.49
2024-04-09,2000.0,72.7,72.93,72.93,72.93,72.93,0.23
2024-04-15,6000.0,72.93,76.95,76.95,74.45,74.45,1.52
2024-04-16,11000.0,74.45,70.0,74.87,70.0,74.39,-0.06
2024-04-17,107000.0,74.39,71.05,77.8,71.05,77.74,3.35
2024-04-18,4500.0,77.74,78.0,80.0,78.0,79.45,1.71
2024-04-19,3500.0,79.45,80.0,81.9,80.0,81.63,2.18
2024-04-22,104500.0,81.63,81.0,86.75,80.6,84.9,3.27
2024-04-23,85500.0,84.9,89.75,89.75,81.5,87.51,2.61
2024-04-24,5000.0,87.51,88.88,89.0,82.0,85.94,-1.57
2024-04-25,4500.0,85.94,82.08,86.95,82.08,86.77,0.83
2024-05-02,8000.0,86.77,86.88,91.78,86.88,91.21,4.44
2024-05-03,85000.0,91.21,90.0,96.85,84.5,93.8,2.59
2024-05-06,25000.0,93.8,91.0,95.5,87.0,87.0,-6.8
2024-05-07,291500.0,87.0,87.5,93.45,81.5,93.12,6.12
2024-05-08,2000.0,93.12,92.0,92.94,92.0,92.94,-0.18
2024-05-09,21500.0,92.94,95.0,97.0,90.89,95.9,2.96
2024-05-10,16000.0,95.9,90.31,99.0,90.25,96.51,0.61
2024-05-14,23500.0,96.51,92.0,97.4,89.35,96.96,0.45
2024-05-16,19000.0,96.96,92.8,99.8,92.8,98.93,1.97
2024-05-17,26000.0,98.93,93.15,96.95,91.52,94.7,-4.23
2024-05-20,55500.0,94.7,88.55,93.5,87.6,90.42,-4.28
2024-05-21,74500.0,90.42,85.05,91.43,83.65,90.52,0.1
2024-05-23,26500.0,90.52,83.9,93.8,83.9,91.7,1.18
2024-05-24,24500.0,91.7,85.69,90.9,84.85,88.46,-3.24
2024-05-27,74520.0,88.46,82.01,89.35,81.38,85.69,-2.77
2024-05-29,151110.0,85.69,87.95,91.7,80.16,91.7,6.01
2024-05-30,73903.0,91.7,91.44,97.7,86.0,96.25,4.55
2024-05-31,33677.0,96.25,89.25,98.8,88.55,91.78,-4.47
2024-06-03,5251.0,91.78,92.75,92.75,86.81,91.54,-0.24
2024-06-04,11790.0,91.54,85.51,90.7,85.16,90.39,-1.15
2024-06-05,20150.0,90.39,85.01,89.49,85.01,89.08,-1.31
2024-06-06,26042.0,89.08,90.0,92.65,82.55,89.61,0.53
2024-06-07,6327.0,89.61,84.11,87.98,84.11,87.32,-2.29
2024-06-10,49015.0,87.32,81.45,90.99,80.05,90.57,3.25
2024-06-11,86.0,90.57,84.75,89.9,84.75,90.57,0.0
2024-06-12,64.0,90.57,85.01,88.95,85.01,90.57,0.0
2024-06-13,3736.0,90.57,85.05,90.5,85.05,90.38,-0.19
2024-06-14,58402.0,90.38,86.0,91.3,82.71,90.41,0.03
2024-06-20,950.0,90.41,84.05,87.99,84.05,84.05,-6.36
2024-06-21,97637.0,84.05,84.5,90.5,79.0,89.88,5.83
2024-06-24,11011.0,89.88,83.11,90.0,83.11,89.95,0.07
2024-06-25,39013.0,89.95,97.7,97.7,86.7,95.58,5.63
2024-06-26,3797.0,95.58,89.0,97.49,89.0,97.43,1.85
2024-06-27,61329.0,97.43,92.5,105.99,88.67,104.65,7.22
2024-06-28,4299.0,104.65,103.89,103.89,102.0,102.62,-2.03
2024-07-01,19174.0,102.62,95.51,101.48,95.51,101.48,-1.14
2024-07-02,5.0,101.48,96.02,100.95,96.02,101.48,0.0
2024-07-03,5.0,101.48,95.0,100.0,95.0,101.48,0.0
2024-07-04,33504.0,101.48,98.0,99.99,92.59,98.98,-2.5
2024-07-05,17.0,98.98,93.0,98.0,92.5,98.98,0.0
2024-07-08,22810.0,98.98,100.95,104.95,90.0,103.2,4.22
2024-07-09,33802.0,103.2,93.45,99.85,93.45,99.52,-3.68
2024-07-10,113802.0,99.52,98.9,99.95,98.9,99.91,0.39
2024-07-11,12.0,99.91,93.5,98.0,92.5,99.91,0.0
2024-07-12,69687.0,99.91,105.0,109.0,92.0,100.4,0.49
2024-07-15,6505.0,100.4,91.01,99.4,90.9,97.8,-2.6
2024-07-18,30504.0,97.8,95.9,98.77,91.02,98.54,0.74
2024-07-19,77056.0,98.54,106.0,107.9,91.51,106.85,8.31
2024-07-22,36637.0,106.85,100.0,109.48,96.25,108.53,1.68
2024-07-23,36750.0,108.53,100.01,109.8,97.76,108.06,-0.47
2024-07-24,81565.0,108.06,114.49,115.0,97.25,110.16,2.1
2024-07-25,25460.0,110.16,102.02,107.0,99.14,106.44,-3.72
2024-07-29,16.0,106.44,97.5,104.79,97.5,106.44,0.0
2024-07-30,45553.0,106.44,105.9,105.95,98.01,104.6,-1.84
2024-07-31,12257.0,104.6,109.0,109.0,98.25,102.95,-1.65
2024-08-01,200069.0,102.95,100.95,100.95,95.75,102.95,0.0
2024-08-02,112135.0,102.95,95.3,100.85,92.66,98.67,-4.28
2024-08-05,387.0,98.67,96.0,96.0,90.0,98.67,0.0
2024-08-06,43126.0,98.67,89.51,96.0,88.8,95.56,-3.11
2024-08-07,3674.0,95.56,93.75,93.95,86.0,87.26,-8.3
