Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,26100.0,136.07,137.95,139.99,132.95,133.81,-2.26
2024-01-02,13800.0,133.81,135.99,135.99,130.0,132.45,-1.36
2024-01-03,2100.0,132.45,135.45,135.5,134.0,135.0,2.55
2024-01-04,10700.0,135.0,134.0,135.0,132.5,135.0,0.0
2024-01-05,800.0,135.0,134.99,134.99,132.0,132.0,3.0
2024-01-08,2300.0,132.0,132.99,133.0,131.0,131.0,1.0
2024-01-09,100.0,131.0,133.0,133.0,133.0,131.0,0.0
2024-01-10,3200.0,131.0,132.5,133.0,132.5,133.0,2.0
2024-01-11,1100.0,133.0,135.0,135.0,134.5,134.94,1.94
2024-01-12,19300.0,134.94,135.99,145.06,135.99,142.8,7.86
2024-01-15,3800.0,142.8,141.0,141.89,136.21,139.05,-3.75
2024-01-16,18600.0,139.05,138.01,143.9,135.0,140.33,1.28
2024-01-17,6500.0,140.33,139.1,141.1,138.0,140.98,0.65
2024-01-18,5700.0,140.98,136.01,139.98,135.5,137.66,-3.32
2024-01-19,7500.0,137.66,139.8,143.0,139.8,141.67,4.01
2024-01-22,1600.0,141.67,140.01,140.01,140.0,140.0,-1.67
2024-01-23,11900.0,140.0,136.26,141.98,136.0,141.98,1.98
2024-01-24,300.0,141.98,141.98,142.5,141.98,142.25,0.27
2024-01-25,11000.0,142.25,141.5,142.0,141.5,142.0,-0.25
2024-01-26,14200.0,142.0,137.01,138.0,137.0,137.28,-4.72
2024-01-29,400.0,137.28,136.2,139.99,136.2,139.99,2.71
2024-01-30,10900.0,139.99,139.99,140.0,136.0,139.96,-0.03
2024-01-31,1100.0,139.96,137.01,137.01,136.0,136.9,-3.06
2024-02-01,13000.0,136.9,137.0,137.0,133.0,133.53,-3.37
2024-02-06,3000.0,133.53,133.65,139.2,128.0,128.56,-4.97
2024-02-07,15900.0,128.56,137.0,138.2,135.0,137.63,9.07
2024-02-09,6800.0,137.63,131.31,137.0,131.0,137.0,-0.63
2024-02-12,2200.0,137.0,135.01,135.01,135.0,135.0,2.0
2024-02-13,23400.0,135.0,135.0,136.99,131.01,135.29,0.29
2024-02-14,15600.0,135.29,132.59,132.59,132.59,135.29,0.0
2024-02-16,2100.0,135.29,136.99,137.0,136.99,136.99,1.7
2024-02-19,2000.0,136.99,134.01,134.01,134.0,134.0,-2.99
2024-02-20,500.0,134.0,132.0,132.0,132.0,132.0,2.0
2024-02-21,14100.0,132.0,135.99,141.9,133.0,135.67,3.67
2024-02-22,20300.0,135.67,138.0,145.85,138.0,145.19,9.52
2024-02-23,23700.0,145.19,137.0,138.25,134.3,134.3,-10.89
2024-02-26,8200.0,134.3,134.3,134.85,129.55,131.06,-3.24
2024-02-27,15500.0,131.06,133.0,133.51,130.0,131.76,0.7
2024-02-29,3600.0,131.76,131.1,134.44,131.01,132.49,0.73
2024-03-01,6200.0,132.49,132.0,134.5,132.0,134.5,2.01
2024-03-04,1100.0,134.5,133.25,133.25,133.0,133.0,-1.5
2024-03-05,2200.0,133.0,133.01,133.01,132.89,132.89,-0.11
2024-03-06,500.0,132.89,0.0,0.0,0.0,132.89,0.0
2024-03-07,9500.0,132.89,131.03,132.0,131.0,132.0,-0.89
2024-03-08,1600.0,132.0,132.01,132.01,132.0,132.0,0.0
2024-03-11,2500.0,132.0,134.0,135.0,131.56,134.0,2.0
2024-03-12,2900.0,134.0,130.5,132.01,130.5,132.0,2.0
2024-03-13,2200.0,132.0,131.5,131.5,131.0,131.25,-0.75
2024-03-14,3000.0,131.25,131.5,131.5,130.0,130.0,-1.25
2024-03-15,200.0,130.0,129.51,129.51,129.51,129.51,-0.49
2024-03-18,1100.0,129.51,131.99,132.0,131.99,132.0,2.49
2024-03-19,11200.0,132.0,135.0,135.0,132.0,135.0,3.0
2024-03-20,600.0,135.0,137.99,137.99,137.0,137.0,2.0
2024-03-21,22300.0,137.0,130.82,134.9,130.5,131.53,-5.47
2024-03-25,2900.0,131.53,131.5,131.5,130.0,130.93,-0.6
2024-03-26,3900.0,130.93,132.0,132.0,131.0,131.86,0.93
2024-03-27,5000.0,131.86,132.5,132.99,132.0,132.99,1.13
2024-03-28,7400.0,132.99,131.51,133.98,131.5,133.0,0.01
2024-03-29,100.0,133.0,133.0,133.0,133.0,133.0,0.0
2024-04-01,4200.0,133.0,133.0,133.01,133.0,133.0,0.0
2024-04-02,500.0,133.0,130.7,130.7,130.5,130.51,-2.49
2024-04-03,5600.0,130.51,135.99,135.99,131.02,132.99,2.48
2024-04-04,12200.0,132.99,131.01,133.0,130.0,132.5,-0.49
2024-04-08,19000.0,132.5,129.0,133.01,129.0,130.02,-2.48
2024-04-09,9400.0,130.02,132.5,132.85,131.99,132.14,2.12
2024-04-15,6700.0,132.14,130.17,132.0,130.15,131.62,-0.52
2024-04-16,21700.0,131.62,132.0,134.49,131.0,131.94,0.32
2024-04-17,21300.0,121.94,125.99,127.0,125.0,125.0,3.06
2024-04-18,6400.0,125.0,123.01,124.99,121.0,122.1,-2.9
2024-04-19,700.0,122.1,121.0,127.99,121.0,126.9,4.8
