Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,100.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-01-19,100.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-01-24,100.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-01-30,18951.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-01-31,9477.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-01,93750.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-02,18675.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-06,299.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-07,1500.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-09,3113.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-12,1.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-13,500.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-14,5.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-15,1010.0,160.0,160.0,172.0,160.0,160.11,0.11
2024-02-16,67.0,160.11,172.12,172.12,160.0,160.11,0.0
2024-02-19,14.0,160.11,160.0,170.0,160.0,160.11,0.0
2024-02-20,107.0,160.11,170.0,170.0,160.0,160.11,0.0
2024-02-21,2291.0,160.11,160.0,160.0,160.0,160.0,-0.11
2024-02-22,1.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-23,1145.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-26,202.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-27,193.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-02-28,101.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-04,10000.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-05,808.0,160.0,160.0,161.0,160.0,160.41,0.41
2024-03-07,42.0,160.41,160.0,160.01,160.0,160.41,0.0
2024-03-08,507.0,160.41,160.0,160.0,160.0,160.0,-0.41
2024-03-11,1501.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-12,1.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-14,5.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-20,214.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-22,72.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-26,2.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-27,1.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-03-28,1000.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-04-01,1.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-04-04,100.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-04-08,10.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-04-15,10.0,160.0,160.0,160.0,160.0,160.0,0.0
2024-04-16,3.0,160.0,172.0,172.0,172.0,160.06,0.06
