Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,76500.0,13.96,0.0,0.0,0.0,13.96,0.0
2024-01-02,78500.0,13.96,0.0,0.0,0.0,13.96,0.0
2024-01-03,16000.0,13.96,0.0,0.0,0.0,13.96,0.0
2024-01-04,19500.0,13.96,14.82,14.82,14.82,14.82,0.86
2024-01-05,100000.0,14.82,0.0,0.0,0.0,14.82,0.0
2024-01-08,25500.0,14.82,0.0,0.0,0.0,14.82,0.0
2024-01-09,109000.0,14.82,0.0,0.0,0.0,14.82,0.0
2024-01-10,500.0,14.82,0.0,0.0,0.0,14.82,0.0
2024-01-11,500.0,14.82,0.0,0.0,0.0,14.82,0.0
2024-01-12,500.0,14.82,0.0,0.0,0.0,14.82,0.0
2024-01-15,100500.0,14.82,0.0,0.0,0.0,14.73,-0.09
2024-01-16,1000.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-19,10000.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-22,1736500.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-23,21000.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-24,23000.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-25,96500.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-26,34500.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-29,352500.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-30,21500.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-01-31,356500.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-02-01,1000.0,14.73,0.0,0.0,0.0,14.73,0.0
2024-02-02,3000.0,14.73,14.75,14.75,14.75,14.75,0.02
2024-02-06,27000.0,14.75,14.84,14.98,14.84,14.98,0.23
2024-02-07,1730500.0,14.98,14.91,14.91,14.9,14.9,-0.08
2024-02-13,3000.0,14.9,14.5,14.5,14.5,14.5,-0.4
2024-02-16,12000.0,14.5,14.5,14.5,14.41,14.46,-0.04
2024-02-20,58000.0,14.46,14.47,14.47,14.4,14.4,-0.06
2024-02-21,2000.0,13.29,0.0,0.0,0.0,13.29,0.0
2024-02-22,1500.0,13.29,0.0,0.0,0.0,13.29,0.0
2024-02-23,42000.0,13.29,13.6,13.62,13.58,13.62,0.33
2024-02-26,33500.0,13.62,13.86,13.89,13.82,13.89,0.27
2024-02-29,5000.0,13.89,14.25,14.25,14.25,14.25,0.36
2024-03-01,10000.0,14.25,14.47,14.47,14.47,14.47,0.22
2024-03-04,10000.0,14.47,0.0,0.0,0.0,14.47,0.0
2024-03-06,1000.0,14.47,14.66,14.66,14.66,14.66,0.19
2024-03-07,500.0,14.66,14.45,14.45,14.45,14.45,-0.21
2024-03-08,295000.0,14.45,14.45,14.45,14.45,14.45,0.0
2024-03-15,3000.0,14.45,14.47,14.47,14.47,14.47,0.02
2024-03-19,3000.0,14.47,0.0,0.0,0.0,14.47,0.0
2024-03-20,39000.0,14.47,14.55,14.55,14.55,14.55,0.08
2024-03-21,500.0,14.55,14.7,14.7,14.7,14.7,0.15
2024-03-22,500.0,14.7,0.0,0.0,0.0,14.7,0.0
2024-03-25,26500.0,14.7,15.04,15.04,15.04,15.04,0.34
2024-03-27,2000.0,15.04,15.3,15.3,15.3,15.3,0.26
2024-04-08,1000.0,15.3,0.0,0.0,0.0,15.3,0.0
2024-04-09,500.0,15.3,0.0,0.0,0.0,15.3,0.0
2024-04-15,500.0,15.3,0.0,0.0,0.0,15.3,0.0
2024-04-16,5000.0,15.3,0.0,0.0,0.0,15.3,0.0
2024-04-17,56500.0,15.3,16.5,16.5,16.46,16.46,1.16
2024-04-19,1000.0,16.46,16.44,16.44,16.44,16.44,-0.02
2024-04-23,10000.0,16.44,0.0,0.0,0.0,16.44,0.0
2024-04-24,1500.0,16.44,16.56,16.56,16.56,16.56,0.12
2024-04-25,500.0,16.56,16.71,16.71,16.71,16.71,0.15
2024-04-26,1000.0,16.71,0.0,0.0,0.0,16.71,0.0
2024-04-29,1000.0,16.71,16.59,16.62,16.59,16.62,-0.09
2024-05-10,1000.0,16.62,0.0,0.0,0.0,16.62,0.0
2024-05-13,4500.0,16.62,0.0,0.0,0.0,16.62,0.0
2024-05-14,500.0,16.62,0.0,0.0,0.0,16.62,0.0
2024-05-15,300000.0,16.62,17.07,17.09,17.05,17.09,0.47
2024-05-17,5000.0,17.09,0.0,0.0,0.0,17.09,0.0
2024-05-23,4264500.0,17.54,17.49,17.65,17.39,17.51,-0.03
2024-05-27,500.0,17.51,17.77,17.77,17.77,17.77,0.26
2024-05-29,1500.0,17.77,17.72,17.72,17.69,17.69,-0.08
2024-05-30,3500.0,17.69,17.52,17.52,17.52,17.52,-0.17
2024-05-31,500.0,17.52,17.6,17.6,17.6,17.6,0.08
2024-06-04,500.0,17.6,17.43,17.43,17.43,17.43,-0.17
2024-06-05,500.0,17.43,17.24,17.24,17.24,17.24,-0.19
2024-06-07,1500.0,17.24,0.0,0.0,0.0,17.24,0.0
2024-06-10,6500.0,17.24,16.78,16.78,16.78,16.78,-0.46
2024-06-11,500.0,16.78,16.6,16.6,16.6,16.6,-0.18
2024-06-12,1000.0,16.6,16.52,16.6,16.52,16.6,0.0
2024-06-14,1000.0,16.6,0.0,0.0,0.0,16.6,0.0
2024-06-20,23000.0,16.6,18.5,18.55,18.5,18.55,1.95
2024-06-21,2000.0,18.55,0.0,0.0,0.0,18.55,0.0
2024-06-24,1000.0,18.55,18.97,18.99,18.97,18.99,0.44
