Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,300.0,159.57,147.61,169.9,147.61,158.95,-0.62
2024-01-12,1000.0,158.95,147.65,147.65,147.65,147.65,-11.3
2024-01-15,400.0,147.65,137.0,137.0,136.58,136.58,-11.07
2024-01-17,400.0,136.58,126.4,146.82,126.4,145.41,8.83
2024-01-24,1200.0,145.41,156.0,156.32,155.0,155.17,9.76
2024-01-26,500.0,155.17,166.8,166.81,166.8,166.81,11.64
2024-01-31,100.0,166.81,167.0,167.0,167.0,167.0,0.19
2024-02-01,1900.0,167.0,154.48,167.0,154.48,165.2,-1.8
2024-02-02,400.0,165.2,175.0,175.0,174.89,174.95,9.75
2024-02-07,700.0,174.95,175.0,175.0,161.84,164.0,-10.95
2024-02-09,3300.0,164.0,152.0,154.99,151.7,153.35,-10.65
2024-02-12,2500.0,153.35,144.0,144.0,141.85,141.85,-11.5
2024-02-13,1400.0,141.85,131.22,132.0,131.21,131.21,-10.64
2024-02-14,5800.0,131.21,122.06,126.5,121.37,122.0,-9.21
2024-02-15,3700.0,122.0,127.0,131.15,116.0,116.01,-5.99
2024-02-20,3800.0,116.01,120.0,124.71,120.0,124.71,8.7
2024-02-26,2700.0,124.71,125.0,134.06,125.0,134.0,9.29
2024-02-28,200.0,134.0,0.0,0.0,0.0,134.0,0.0
2024-03-01,200.0,134.0,124.0,124.0,124.0,134.0,0.0
2024-03-08,100.0,134.0,130.0,130.0,130.0,134.0,0.0
2024-03-19,1000.0,134.0,132.0,133.0,132.0,133.0,1.0
2024-03-20,100.0,133.0,129.0,129.0,129.0,131.67,-1.33
2024-03-21,200.0,131.67,133.0,133.0,133.0,133.0,1.33
2024-03-28,7000.0,133.0,133.0,133.0,133.0,133.0,0.0
2024-03-29,7000.0,133.0,133.5,133.5,133.5,133.5,0.5
2024-04-01,700.0,133.5,133.0,133.0,133.0,133.0,-0.5
2024-04-02,900.0,133.0,132.5,132.5,132.5,132.5,-0.5
2024-04-03,1400.0,132.5,132.5,135.0,132.5,135.0,2.5
2024-04-17,1200.0,135.0,145.0,145.0,144.99,145.0,10.0
2024-04-18,1700.0,145.0,155.0,155.88,155.0,155.88,10.88
2024-04-19,2500.0,155.88,159.0,167.57,159.0,166.47,10.59
2024-04-22,1799.0,166.47,175.49,178.96,155.0,178.95,12.48
2024-04-23,1202.0,178.95,192.37,192.37,191.99,192.37,13.42
2024-04-24,1244.0,192.37,206.75,206.75,185.0,202.87,10.5
2024-04-25,118.0,202.87,206.75,209.0,203.0,202.87,0.0
2024-04-26,106.0,202.87,211.5,211.5,188.9,202.87,0.0
2024-04-29,2496.0,202.87,202.87,209.0,188.01,205.81,2.94
2024-04-30,3229.0,205.81,221.24,221.24,190.37,190.37,-15.44
2024-05-02,2078.0,190.37,176.09,201.5,176.09,176.1,-14.27
2024-05-03,1.0,176.1,189.3,189.3,189.3,176.1,0.0
2024-05-07,4421.0,176.1,162.89,189.31,162.89,183.5,7.4
2024-05-08,2524.0,183.5,170.55,186.0,170.55,174.0,-9.5
2024-05-09,250.0,174.0,182.99,185.0,182.0,183.09,9.09
2024-05-10,1836.0,183.09,172.1,194.0,172.1,189.0,5.91
2024-05-13,850.0,189.0,183.0,194.99,183.0,189.97,0.97
2024-05-14,3226.0,189.97,189.0,192.0,187.1,188.2,-1.77
2024-05-16,183.0,188.2,200.0,200.0,176.2,188.2,0.0
2024-05-17,259.0,188.2,188.01,190.0,178.0,190.0,1.8
2024-05-20,18.0,190.0,189.0,196.0,176.27,190.0,0.0
2024-05-21,1817.0,190.0,195.0,196.0,190.0,191.21,1.21
2024-05-22,20.0,191.21,191.0,191.0,185.0,191.21,0.0
2024-05-23,1.0,191.21,0.0,0.0,0.0,191.21,0.0
2024-05-24,6.0,191.21,195.0,195.0,194.0,191.21,0.0
2024-05-27,215.0,191.21,195.0,195.0,189.99,189.99,-1.22
2024-05-29,1.0,189.99,190.0,190.0,190.0,189.99,0.0
2024-05-30,4.0,189.99,205.19,205.19,177.1,189.99,0.0
2024-05-31,1303.0,189.99,203.0,203.0,175.0,185.67,-4.32
2024-06-03,601.0,185.67,190.0,190.0,190.0,190.0,4.33
2024-06-04,283.0,190.0,175.27,189.0,175.27,189.0,1.0
2024-06-05,3.0,189.0,189.99,189.99,189.99,189.0,0.0
2024-06-06,1.0,189.0,190.0,190.0,190.0,189.0,0.0
2024-06-07,2201.0,189.0,189.0,190.0,173.88,181.98,-7.02
2024-06-11,152.0,181.98,167.27,192.0,167.27,181.98,0.0
2024-06-12,63.0,181.98,191.0,191.0,167.31,181.98,0.0
2024-06-13,7.0,181.98,167.28,189.0,167.28,181.98,0.0
2024-06-14,2062.0,181.98,195.99,195.99,167.27,193.26,11.28
2024-06-20,2189.0,193.26,208.67,208.67,199.97,204.0,10.74
2024-06-21,127.0,204.0,221.34,221.34,190.0,203.02,-0.98
2024-06-24,540.0,203.02,221.0,221.0,190.0,194.33,-8.69
2024-06-25,3.0,194.33,198.0,198.0,198.0,194.33,0.0
2024-06-26,21.0,194.33,211.82,211.82,195.0,194.33,0.0
2024-06-28,11.0,194.33,190.0,195.0,190.0,194.33,0.0
2024-07-01,10.0,194.33,198.0,198.0,198.0,194.33,0.0
2024-07-02,10.0,194.33,180.0,180.0,180.0,194.33,0.0
2024-07-03,1638.0,194.33,177.0,186.0,176.84,178.06,-16.27
2024-07-04,612.0,178.06,175.9,176.0,163.26,175.68,-2.38
2024-07-05,2.0,175.68,183.99,183.99,178.02,175.68,0.0
2024-07-08,1.0,175.68,184.98,184.98,184.98,175.68,0.0
2024-07-09,1006.0,175.68,186.99,186.99,171.0,172.61,-3.07
2024-07-10,121.0,172.61,186.2,186.2,156.21,172.61,0.0
2024-07-11,384.0,172.61,183.0,183.0,157.0,172.61,0.0
2024-07-12,26.0,172.61,157.1,180.0,157.1,172.61,0.0
2024-07-15,2.0,172.61,183.0,183.0,180.0,172.61,0.0
2024-07-18,418.0,172.61,157.0,185.0,157.0,165.0,-7.61
2024-07-19,403.0,165.0,179.4,179.4,151.0,151.31,-13.69
2024-07-22,511.0,151.31,163.99,163.99,153.79,163.78,12.47
2024-07-23,966.0,163.78,176.0,176.0,155.02,167.14,3.36
2024-07-24,1306.0,167.14,182.0,182.0,153.5,165.04,-2.1
2024-07-25,2.0,165.04,154.8,179.99,154.8,165.04,0.0
2024-07-26,218.0,165.04,177.0,177.0,154.5,165.2,0.16
2024-07-29,2.0,165.2,165.0,165.0,165.0,165.2,0.0
2024-07-30,2.0,165.2,148.68,170.0,148.68,165.2,0.0
2024-07-31,242.0,165.2,152.0,169.0,152.0,152.12,-13.08
2024-08-01,1.0,152.12,0.0,0.0,0.0,152.12,0.0
2024-08-02,104.0,152.12,150.0,159.0,149.0,152.12,0.0
2024-08-05,1505.0,152.12,140.0,140.0,140.0,140.0,-12.12
2024-08-06,97.0,140.0,137.1,146.0,137.1,140.0,0.0
2024-08-07,845.0,140.0,152.0,152.0,139.0,146.86,6.86
2024-08-08,100874.0,146.86,142.8,145.0,140.0,145.0,-1.86
2024-08-12,1285.0,145.0,159.49,159.49,132.0,142.27,-2.73
2024-08-16,118.0,142.27,147.99,148.0,135.0,142.27,0.0
2024-08-19,1170.0,142.27,142.0,154.9,134.0,134.24,-8.03
2024-08-20,250.0,134.24,133.0,133.0,133.0,134.24,0.0
2024-08-21,14.0,134.24,135.0,139.0,135.0,134.24,0.0
2024-08-22,122.0,134.24,137.0,146.0,137.0,134.24,0.0
2024-08-23,890.0,134.24,140.0,140.0,136.0,136.0,1.76
2024-08-26,9.0,136.0,140.0,140.0,140.0,136.0,0.0
2024-08-27,41.0,136.0,137.0,137.0,137.0,136.0,0.0
2024-08-28,600.0,136.0,136.3,136.3,136.0,136.0,0.0
2024-08-29,1566.0,136.0,145.0,149.6,145.0,149.6,13.6
2024-08-30,490.0,149.6,164.56,164.56,164.56,164.56,14.96
2024-09-02,229.0,164.56,181.0,181.0,176.0,180.5,15.94
2024-09-03,366.0,180.5,179.99,180.25,179.99,180.12,-0.38
2024-09-04,21.0,180.12,180.0,180.0,180.0,180.12,0.0
2024-09-06,1.0,180.12,180.0,180.0,180.0,180.12,0.0
2024-09-18,1.0,178.0,0.0,0.0,0.0,178.0,0.0
2024-09-19,1.0,178.0,175.76,175.76,175.76,178.0,0.0
2024-09-20,470.0,178.0,177.0,177.0,160.29,175.85,-2.15
2024-09-23,109.0,175.85,189.44,189.44,158.27,175.85,0.0
2024-09-24,157.0,175.85,158.27,175.0,158.27,175.85,0.0
2024-09-25,933.0,175.85,170.0,170.0,158.27,159.91,-15.94
2024-09-26,2676.0,159.91,143.92,143.93,143.92,143.92,-15.99
2024-09-27,5437.0,143.92,133.0,151.0,130.0,132.6,-11.32
2024-09-30,786.0,132.6,130.0,130.0,128.0,128.0,-4.6
2024-10-01,914.0,128.0,128.0,128.05,128.0,128.01,0.01
2024-10-02,2225.0,128.01,138.2,138.2,124.0,124.54,-3.47
2024-10-03,376.0,124.54,125.0,133.0,125.0,125.02,0.48
