Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,4500.0,13.3,14.49,14.65,14.49,14.65,1.35
2024-01-02,1000.0,14.65,14.7,14.7,14.7,14.7,0.05
2024-01-03,500.0,14.7,14.64,14.64,14.64,14.64,-0.06
2024-01-04,1500.0,14.64,14.41,14.6,14.41,14.6,-0.04
2024-01-08,2000.0,14.6,14.99,14.99,14.91,14.91,0.31
2024-01-09,1020500.0,14.91,14.75,14.75,14.57,14.64,-0.27
2024-01-10,1001500.0,14.64,14.69,14.97,14.69,14.72,0.08
2024-01-11,262500.0,14.72,14.76,15.82,14.75,15.0,0.28
2024-01-12,10000.0,15.0,15.25,15.3,15.25,15.3,0.3
2024-01-15,2000.0,15.3,15.22,15.22,15.22,15.22,-0.08
2024-01-16,1000.0,15.22,0.0,0.0,0.0,15.22,0.0
2024-01-17,681000.0,15.22,14.57,14.57,14.4,14.52,-0.7
2024-01-19,10500.0,14.52,14.42,14.42,14.42,14.42,-0.1
2024-01-22,1000.0,14.42,14.18,14.18,14.18,14.18,-0.24
2024-01-23,6000.0,14.18,14.34,14.66,14.34,14.66,0.48
2024-01-24,1000.0,14.66,14.69,14.76,14.69,14.76,0.1
2024-01-25,3000.0,14.76,14.61,14.67,14.61,14.67,-0.09
2024-01-26,1500.0,14.67,14.16,14.16,14.05,14.05,-0.62
2024-01-29,3000.0,14.05,13.88,13.88,13.84,13.84,-0.21
2024-01-30,500.0,13.84,0.0,0.0,0.0,13.84,0.0
2024-01-31,2000.0,13.84,13.08,13.11,13.08,13.11,-0.73
2024-02-01,1000.0,13.11,12.83,12.83,12.83,12.83,-0.28
2024-02-02,1500.0,12.83,13.27,13.27,13.23,13.23,0.4
2024-02-06,4500.0,13.23,13.41,13.71,13.41,13.71,0.48
2024-02-07,3000.0,13.71,13.92,13.98,13.92,13.98,0.27
2024-02-12,381500.0,13.98,12.5,13.0,12.5,13.0,-0.98
2024-02-13,300000.0,13.0,12.57,12.84,12.57,12.84,-0.16
2024-02-14,6000.0,12.84,13.2,13.2,13.2,13.2,0.36
2024-02-15,5000.0,13.2,13.29,13.29,13.29,13.29,0.09
2024-02-19,8500.0,13.29,12.42,12.99,12.42,12.99,-0.3
2024-02-20,3500.0,12.99,13.06,13.2,13.06,13.2,0.21
2024-02-21,3000.0,13.2,13.17,13.17,13.04,13.04,-0.16
2024-02-22,1000.0,13.04,13.45,13.45,13.45,13.45,0.41
2024-02-23,6000.0,13.45,13.7,13.86,13.7,13.86,0.41
2024-02-26,1000.0,13.86,14.16,14.16,14.16,14.16,0.3
2024-02-27,2500.0,14.16,14.22,14.22,14.07,14.15,-0.01
2024-02-28,1500.0,14.15,14.3,14.36,14.3,14.36,0.21
2024-02-29,2000.0,14.36,14.42,14.53,14.42,14.53,0.17
2024-03-01,1500.0,14.53,14.4,14.59,14.4,14.59,0.06
2024-03-04,5500.0,14.59,14.77,14.77,14.75,14.75,0.16
2024-03-05,1000.0,14.75,14.93,14.93,14.93,14.93,0.18
2024-03-06,1000.0,14.93,15.03,15.03,15.03,15.03,0.1
2024-03-08,5000.0,15.03,15.21,15.21,15.21,15.21,0.18
2024-03-11,4000.0,15.21,15.34,15.42,15.34,15.42,0.21
2024-03-12,3000.0,15.42,15.18,15.18,15.18,15.18,-0.24
2024-03-13,3000.0,15.18,14.73,14.73,14.6,14.6,-0.58
2024-03-14,10000.0,14.6,14.55,14.7,14.55,14.7,0.1
2024-03-15,1000.0,14.7,14.83,14.83,14.83,14.83,0.13
2024-03-18,1000.0,14.83,15.0,15.0,15.0,15.0,0.17
2024-03-19,1000.0,15.0,0.0,0.0,0.0,15.0,0.0
2024-03-20,1000.0,15.0,15.15,15.15,15.15,15.15,0.15
2024-03-21,1000.0,15.15,14.77,14.77,14.77,14.77,-0.38
2024-03-22,1000.0,14.77,14.89,14.89,14.89,14.89,0.12
2024-03-25,1000.0,14.89,14.8,14.8,14.8,14.8,-0.09
2024-03-26,1000.0,14.8,14.88,14.88,14.88,14.88,0.08
2024-03-27,2000.0,14.88,15.02,15.02,14.96,14.96,0.08
2024-03-28,1000.0,14.96,15.14,15.14,15.14,15.14,0.18
2024-03-29,1000.0,15.14,15.1,15.1,15.1,15.1,-0.04
2024-04-01,2500.0,15.1,15.33,15.38,15.3,15.3,0.2
2024-04-02,105000.0,15.3,15.34,15.36,15.3,15.36,0.06
2024-04-03,450500.0,15.36,15.4,15.45,15.4,15.45,0.09
2024-04-04,1000.0,15.45,15.64,15.64,15.64,15.64,0.19
2024-04-08,500.0,15.64,16.8,16.8,16.8,16.8,1.16
2024-04-09,23500.0,16.8,16.28,16.35,16.25,16.26,-0.54
2024-04-15,2000.0,16.26,16.33,16.44,16.33,16.44,0.18
2024-04-16,51500.0,16.44,16.58,16.58,16.36,16.36,-0.08
2024-04-17,351000.0,16.36,16.24,16.29,16.2,16.29,-0.07
2024-04-18,2000.0,16.29,16.0,16.37,16.0,16.37,0.08
2024-04-19,40500.0,16.37,16.81,16.96,16.8,16.96,0.59
2024-04-22,1000.0,16.96,17.31,17.31,17.31,17.31,0.35
2024-04-23,2911000.0,17.31,17.44,17.46,17.3,17.31,0.0
2024-04-24,1000.0,17.31,17.35,17.35,17.35,17.35,0.04
2024-04-25,30500.0,17.35,17.44,17.44,17.44,17.44,0.09
2024-04-29,5000.0,17.44,18.08,18.11,17.84,17.84,0.4
2024-04-30,7000.0,17.84,18.32,18.36,18.28,18.36,0.52
2024-05-02,1000.0,18.36,17.89,17.89,17.89,17.89,-0.47
2024-05-03,3000000.0,17.89,18.3,18.55,18.27,18.53,0.64
2024-05-06,1000.0,18.53,18.99,18.99,18.99,18.99,0.46
2024-05-07,1500.0,18.99,18.94,19.02,18.94,19.02,0.03
2024-05-08,4500.0,19.02,19.0,19.0,19.0,19.0,-0.02
2024-05-09,2000.0,19.0,0.0,0.0,0.0,19.0,0.0
2024-05-10,1000.0,19.0,18.76,18.76,18.76,18.76,-0.24
2024-05-13,1500.0,18.76,18.91,19.0,18.91,19.0,0.24
2024-05-14,5000.0,19.0,19.02,19.08,19.02,19.06,0.06
2024-05-15,267000.0,19.06,19.05,19.28,19.05,19.22,0.16
2024-05-16,161000.0,19.22,18.93,18.93,18.68,18.68,-0.54
2024-05-17,1500.0,18.68,18.75,18.91,18.75,18.91,0.23
2024-05-20,4000.0,18.91,18.51,18.7,18.51,18.7,-0.21
2024-05-21,436000.0,18.7,18.81,18.9,18.73,18.9,0.2
2024-05-22,24000.0,18.9,18.6,18.6,18.6,18.6,-0.3
2024-05-23,3500.0,18.6,18.34,18.49,18.34,18.49,-0.11
2024-05-24,500.0,18.49,18.82,18.82,18.82,18.82,0.33
2024-05-27,501000.0,18.82,18.6,18.8,18.6,18.8,-0.02
2024-05-29,500.0,18.8,0.0,0.0,0.0,18.8,0.0
2024-05-30,2500.0,18.8,18.58,18.58,18.44,18.44,-0.36
2024-05-31,8500.0,18.44,18.65,19.13,18.65,19.05,0.61
2024-06-03,2500.0,19.05,19.18,19.32,19.18,19.32,0.27
2024-06-05,1000.0,19.32,19.22,19.51,19.22,19.51,0.19
2024-06-06,22000.0,19.51,19.31,19.31,18.81,18.82,-0.69
2024-06-07,9000.0,18.82,17.85,18.5,17.85,18.5,-0.32
2024-06-10,11000.0,18.5,18.8,19.05,18.74,19.03,0.53
2024-06-11,5500.0,19.03,18.9,18.9,18.66,18.71,-0.32
2024-06-12,4000.0,18.71,18.59,18.59,18.59,18.59,-0.12
2024-06-13,1354500.0,18.59,19.38,19.75,19.38,19.75,1.16
2024-06-14,403000.0,19.75,20.01,20.01,19.39,19.39,-0.36
2024-06-20,1000.0,19.39,19.86,19.86,19.83,19.83,0.44
2024-06-21,5000.0,19.83,19.58,19.6,19.37,19.6,-0.23
2024-06-24,7500.0,19.6,19.36,19.36,19.2,19.28,-0.32
2024-06-25,22500.0,19.28,19.24,19.27,19.22,19.26,-0.02
2024-06-26,3020500.0,19.26,19.56,19.56,19.33,19.45,0.19
2024-06-27,4002500.0,19.45,19.4,19.46,19.25,19.32,-0.13
2024-06-28,566000.0,19.32,19.31,19.33,19.25,19.32,0.0
2024-07-01,1500.0,19.32,19.35,19.35,19.32,19.32,0.0
2024-07-03,129500.0,19.32,19.53,19.53,19.41,19.44,0.12
2024-07-04,9000.0,19.44,19.7,19.7,19.59,19.63,0.19
2024-07-09,4000.0,19.63,20.37,20.66,20.37,20.66,1.03
2024-07-10,9500.0,20.66,20.7,21.08,20.63,20.78,0.12
2024-07-11,2416000.0,20.78,20.7,20.85,20.68,20.81,0.03
2024-07-12,5058500.0,20.81,20.93,20.97,20.58,20.6,-0.21
2024-07-15,1168500.0,20.6,21.48,22.0,21.48,22.0,1.4
2024-07-18,10000.0,22.0,21.76,21.76,21.76,21.76,-0.24
2024-07-19,1243000.0,21.76,21.76,21.9,21.53,21.53,-0.23
2024-07-22,12000.0,21.53,20.78,20.78,20.59,20.76,-0.77
2024-07-23,12500.0,20.76,20.5,21.34,20.5,21.07,0.31
2024-07-24,2500.0,21.07,21.18,21.18,21.18,21.18,0.11
2024-07-25,2000.0,21.18,20.8,20.8,20.71,20.71,-0.47
2024-07-26,6000.0,20.71,20.51,20.52,20.51,20.52,-0.19
2024-07-29,500.0,20.52,0.0,0.0,0.0,20.52,0.0
2024-07-30,26500.0,20.52,21.17,21.98,20.79,21.02,0.5
2024-07-31,129000.0,21.02,20.85,20.9,20.19,20.24,-0.78
2024-08-01,73000.0,20.24,20.34,20.52,20.25,20.38,0.14
2024-08-02,26000.0,20.38,20.68,22.1,20.68,22.1,1.72
2024-08-05,112000.0,22.1,20.78,20.86,20.25,20.35,-1.75
2024-08-06,159000.0,20.35,20.57,20.8,20.21,20.8,0.45
2024-08-07,60500.0,20.8,20.8,22.0,20.8,21.73,0.93
2024-08-08,1842500.0,21.73,22.8,22.92,20.9,21.29,-0.44
2024-08-09,122000.0,15.93,14.32,17.5,14.32,17.5,1.57
2024-08-12,393500.0,17.5,16.6,17.3,15.41,15.53,-1.97
2024-08-13,77000.0,15.53,15.54,16.49,15.0,15.86,0.33
2024-08-15,20000.0,15.86,16.0,16.13,15.89,16.12,0.26
2024-08-16,15000.0,16.12,15.88,16.79,15.41,16.38,0.26
2024-08-19,238500.0,16.38,15.31,15.31,14.85,15.04,-1.34
2024-08-20,89000.0,15.04,15.15,15.3,15.14,15.27,0.23
2024-08-21,94500.0,15.27,15.97,16.75,15.9,16.75,1.48
2024-08-22,6117500.0,16.75,16.85,16.85,15.27,15.44,-1.31
2024-08-23,403000.0,15.44,15.4,15.49,15.27,15.37,-0.07
2024-08-26,3292500.0,15.37,15.58,15.58,14.92,15.04,-0.33
2024-08-28,845500.0,10.04,11.09,11.09,10.0,10.12,0.08
2024-08-29,46500.0,10.12,10.8,10.8,10.28,10.65,0.53
2024-08-30,169500.0,10.65,10.2,11.3,10.2,11.16,0.51
2024-09-02,143500.0,11.16,11.46,11.47,10.46,10.63,-0.53
2024-09-03,448000.0,10.63,11.07,11.07,10.01,10.08,-0.55
2024-09-04,109500.0,10.08,10.18,10.21,10.15,10.18,0.1
2024-09-05,594500.0,10.18,10.58,10.6,10.03,10.04,-0.14
2024-09-06,36500.0,10.04,10.49,10.49,10.09,10.18,0.14
2024-09-09,61000.0,10.18,10.26,10.26,10.01,10.05,-0.13
2024-09-10,36000.0,10.05,10.75,10.75,10.1,10.15,0.1
2024-09-11,93000.0,10.15,10.24,10.39,10.22,10.31,0.16
2024-09-12,107500.0,10.31,10.3,10.3,10.15,10.15,-0.16
2024-09-13,1100500.0,10.15,10.22,10.39,10.04,10.13,-0.02
2024-09-16,160500.0,10.13,10.1,10.4,9.5,9.59,-0.54
2024-09-18,1183000.0,9.59,9.98,10.28,9.59,10.25,0.66
2024-09-19,563500.0,10.25,10.12,10.24,9.92,10.0,-0.25
2024-09-20,536500.0,10.0,10.13,10.25,9.85,10.05,0.05
2024-09-23,143000.0,10.05,10.14,10.2,9.55,10.16,0.11
2024-09-24,7500.0,10.16,10.2,10.2,10.01,10.02,-0.14
2024-09-25,279500.0,10.02,10.18,10.55,10.18,10.37,0.35
2024-09-26,449000.0,10.37,10.95,10.95,10.21,10.27,-0.1
2024-09-27,181500.0,10.27,10.13,10.32,10.0,10.24,-0.03
2024-09-30,43500.0,10.24,10.27,10.29,10.18,10.29,0.05
2024-10-01,190500.0,10.29,10.33,10.49,10.1,10.42,0.13
2024-10-02,60000.0,10.42,10.5,10.55,10.42,10.44,0.02
