Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,26500.0,17.33,17.25,17.99,17.25,17.44,0.11
2024-01-02,17000.0,17.44,17.5,17.72,17.25,17.25,-0.19
2024-01-03,47000.0,17.25,17.25,18.0,17.2,17.5,0.25
2024-01-04,10000.0,17.5,17.5,17.9,17.35,17.35,-0.15
2024-01-05,6000.0,17.35,17.9,17.99,17.5,17.5,0.15
2024-01-08,19500.0,17.5,17.05,17.9,17.05,17.13,-0.37
2024-01-09,6500.0,17.13,17.0,17.1,16.98,17.1,-0.03
2024-01-10,10000.0,17.1,17.25,17.44,17.0,17.01,-0.09
2024-01-11,5000.0,17.01,17.01,17.05,17.0,17.04,0.03
2024-01-12,5500.0,17.04,17.5,17.55,17.3,17.3,0.26
2024-01-15,25000.0,17.3,17.3,17.3,16.1,16.95,-0.35
2024-01-16,51500.0,16.95,16.93,17.7,16.3,16.95,0.0
2024-01-17,18000.0,16.95,17.1,17.5,16.97,17.2,0.25
2024-01-18,18500.0,16.2,16.2,16.2,15.2,16.0,-0.2
2024-01-19,1500.0,16.0,15.62,15.99,15.62,15.99,-0.01
2024-01-22,13000.0,15.99,16.0,16.0,15.6,15.85,-0.14
2024-01-23,3500.0,15.85,15.7,16.2,15.7,16.2,0.35
2024-01-24,18000.0,16.2,16.0,16.85,16.0,16.6,0.4
2024-01-25,155500.0,16.6,16.9,17.85,16.9,17.5,0.9
2024-01-26,25500.0,17.5,17.79,18.05,16.21,17.0,-0.5
2024-01-29,119000.0,17.0,16.75,18.28,16.75,18.28,1.28
2024-01-30,282000.0,18.28,19.63,19.65,18.0,19.38,1.1
2024-01-31,66500.0,19.38,19.0,20.0,18.01,18.4,-0.98
2024-02-01,9500.0,18.4,18.9,18.93,18.9,18.93,0.53
2024-02-02,15000.0,18.93,18.5,18.5,18.5,18.5,-0.43
2024-02-06,110500.0,18.5,18.0,18.5,18.0,18.05,-0.45
2024-02-07,1000.0,18.05,18.2,18.4,18.2,18.4,0.35
2024-02-09,14000.0,18.4,18.0,18.25,18.0,18.1,-0.3
2024-02-12,14500.0,18.1,18.3,18.3,18.0,18.0,-0.1
2024-02-13,2000.0,18.0,16.65,17.0,16.65,17.0,1.0
2024-02-15,1500.0,17.0,17.51,17.51,17.51,17.51,0.51
2024-02-19,15500.0,17.51,17.51,17.51,17.51,17.51,0.0
2024-02-20,64500.0,17.51,18.7,18.82,18.7,18.82,1.31
2024-02-21,16500.0,18.82,18.5,18.5,18.5,18.5,-0.32
2024-02-22,2000.0,18.5,18.5,19.0,18.5,19.0,0.5
2024-02-23,10000.0,19.0,0.0,0.0,0.0,19.0,0.0
2024-02-26,12000.0,19.0,18.5,19.5,18.5,19.0,0.0
2024-02-27,7500.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-02-28,2000.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-02-29,2500.0,19.0,18.01,18.5,18.01,18.5,-0.5
2024-03-01,500.0,18.5,19.0,19.0,19.0,19.0,0.5
2024-03-04,24000.0,19.0,18.95,20.4,18.5,19.35,0.35
2024-03-07,500.0,19.35,18.05,18.05,18.05,18.05,-1.3
2024-03-11,500.0,18.05,18.5,18.5,18.5,18.5,0.45
2024-03-15,1000.0,18.5,18.54,18.54,18.54,18.54,0.04
2024-03-18,5000.0,18.54,19.9,19.93,19.9,19.93,1.39
2024-03-19,32000.0,19.93,18.9,18.94,18.44,18.94,-0.99
2024-03-20,500.0,18.94,18.92,18.92,18.92,18.92,-0.02
2024-03-21,2000.0,18.92,18.1,18.1,18.1,18.1,-0.82
2024-03-26,5500.0,18.1,18.8,18.8,18.0,18.0,-0.1
2024-03-27,500.0,18.0,18.1,18.1,18.1,18.1,0.1
2024-03-28,1500.0,18.1,18.1,18.1,18.1,18.1,0.0
2024-04-01,7000.0,18.1,18.5,19.46,18.5,19.46,1.36
2024-04-02,8500.0,19.46,19.8,19.9,19.8,19.9,0.44
2024-04-03,500.0,19.9,19.0,19.0,19.0,19.0,-0.9
2024-04-04,10000.0,19.0,18.9,20.43,18.9,20.43,1.43
2024-04-08,3000.0,20.43,19.36,19.5,19.35,19.35,-1.08
2024-04-09,2000.0,19.35,19.7,19.7,19.35,19.37,0.02
2024-04-15,7000.0,19.37,19.85,19.85,19.0,19.5,0.13
2024-04-16,14500.0,19.5,19.0,20.89,19.0,20.37,0.87
2024-04-17,12500.0,20.37,20.5,21.39,20.25,21.39,1.02
2024-04-18,16500.0,21.39,20.3,20.99,19.85,20.84,-0.55
2024-04-19,11000.0,20.84,22.32,22.4,20.5,21.62,0.78
2024-04-22,3000.0,21.62,21.0,21.95,21.0,21.95,0.33
2024-04-24,33000.0,21.95,20.46,22.0,20.46,21.35,-0.6
2024-04-25,17000.0,21.35,21.1,21.85,20.7,21.6,0.25
2024-04-26,500.0,21.6,20.99,20.99,20.99,20.99,-0.61
2024-04-29,13500.0,20.99,20.12,21.85,20.1,21.75,0.76
2024-04-30,51500.0,21.75,20.26,20.26,20.12,20.12,-1.63
2024-05-02,11500.0,20.12,18.74,19.0,18.7,18.71,-1.41
2024-05-03,3500.0,18.71,19.0,19.0,18.22,18.22,-0.49
2024-05-06,28000.0,18.22,18.99,19.2,18.5,18.75,0.53
2024-05-07,15500.0,18.75,19.45,19.7,19.24,19.7,0.95
2024-05-08,17000.0,19.7,19.24,20.25,19.0,19.95,0.25
2024-05-09,12500.0,19.95,19.48,19.48,18.5,18.62,-1.33
2024-05-10,93500.0,18.62,19.0,19.0,18.0,18.42,-0.2
2024-05-13,14000.0,18.42,19.3,19.3,18.7,18.78,0.36
2024-05-14,1500.0,18.78,18.71,18.71,18.7,18.7,-0.08
2024-05-15,1500.0,18.7,18.87,18.87,18.8,18.8,0.1
2024-05-16,2500.0,18.8,18.99,19.0,18.99,19.0,0.2
2024-05-17,500.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-05-20,3000.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-05-21,1500.0,19.0,19.1,19.1,19.05,19.05,0.05
2024-05-22,2500.0,19.05,19.5,19.5,19.0,19.0,-0.05
2024-05-23,5000.0,19.0,19.15,19.15,19.0,19.0,0.0
2024-05-24,36000.0,19.0,19.05,19.05,18.0,19.0,0.0
2024-05-27,37133.0,19.0,19.6,20.48,19.6,20.32,1.32
2024-05-29,37811.0,20.32,20.32,21.45,20.0,20.34,0.02
2024-05-30,20810.0,20.34,20.4,20.4,19.0,19.53,-0.81
2024-05-31,42066.0,19.53,20.2,20.86,19.5,20.75,1.22
2024-06-03,14800.0,20.75,20.0,21.0,19.82,20.18,-0.57
2024-06-04,17991.0,20.18,20.0,20.0,20.0,20.0,-0.18
2024-06-05,5206.0,20.0,20.0,20.35,19.75,19.76,-0.24
2024-06-06,2003.0,19.76,19.8,20.2,19.7,19.7,-0.06
2024-06-07,15001.0,19.7,20.0,20.5,19.6,20.26,0.56
2024-06-10,556.0,20.26,19.9,20.45,19.74,20.45,0.19
2024-06-11,10245.0,20.45,20.0,20.28,19.5,19.5,-0.95
2024-06-12,2369.0,19.5,20.0,20.0,19.5,20.0,0.5
2024-06-13,1700.0,20.0,20.5,20.5,20.0,20.16,0.16
2024-06-14,1506.0,20.16,21.49,21.49,20.3,20.3,0.14
2024-06-20,5500.0,20.3,20.4,20.4,20.0,20.0,-0.3
2024-06-21,5500.0,20.0,20.5,21.7,20.49,21.66,1.66
2024-06-24,18000.0,21.66,21.5,21.5,20.0,20.0,-1.66
2024-06-25,1000.0,20.0,20.0,20.0,20.0,20.0,0.0
2024-06-26,1559.0,20.0,19.61,19.62,19.6,19.6,-0.4
2024-06-27,2500.0,19.6,20.0,20.0,20.0,20.0,0.4
2024-06-28,1023.0,20.0,19.9,20.5,19.9,20.5,0.5
2024-07-02,37595.0,20.5,20.7,22.29,20.3,22.1,1.6
2024-07-03,85527.0,22.1,22.0,22.51,20.11,21.0,-1.1
2024-07-04,1061.0,21.0,21.0,21.34,20.5,21.0,0.0
2024-07-05,4369.0,21.0,22.69,22.73,21.0,21.28,0.28
2024-07-08,2005.0,21.28,20.01,20.99,20.01,20.01,-1.27
2024-07-09,20413.0,20.01,20.59,21.0,20.59,20.7,0.69
2024-07-10,1210.0,20.7,21.24,21.5,20.97,21.41,0.71
2024-07-11,2201.0,21.41,22.0,22.0,20.57,20.58,-0.83
2024-07-12,14093.0,20.58,20.11,22.2,19.0,21.08,0.5
2024-07-15,44704.0,21.08,21.2,21.2,19.71,19.72,-1.36
2024-07-18,25534.0,19.72,19.72,19.94,19.0,19.45,-0.27
2024-07-19,21041.0,19.45,19.02,19.6,19.0,19.2,-0.25
2024-07-22,5101.0,19.2,19.45,19.94,19.45,19.94,0.74
2024-07-23,18011.0,19.94,19.91,20.3,19.91,19.91,-0.03
2024-07-24,39174.0,19.91,20.3,21.0,19.77,20.35,0.44
2024-07-25,4126.0,20.35,19.89,19.89,19.75,19.76,-0.59
2024-07-26,11620.0,19.76,20.39,20.5,19.5,20.14,0.38
2024-07-29,501.0,20.14,20.14,20.14,19.79,20.14,0.0
2024-07-30,8017.0,20.14,19.51,19.99,19.0,19.04,-1.1
2024-07-31,37.0,19.04,19.95,19.95,17.55,19.04,0.0
2024-08-01,5.0,19.04,19.0,19.0,19.0,19.04,0.0
2024-08-02,1045.0,19.04,19.89,19.89,17.36,17.4,-1.64
2024-08-05,8.0,17.4,19.13,19.13,17.1,17.4,0.0
2024-08-06,2602.0,17.4,19.14,19.14,18.0,18.0,0.6
2024-08-07,4065.0,18.0,17.03,18.98,17.0,18.83,0.83
2024-08-08,18.0,18.83,19.23,19.23,19.23,18.83,0.0
2024-08-09,6009.0,18.83,17.52,18.01,17.0,17.99,-0.84
2024-08-12,440.0,17.99,17.01,18.88,17.01,17.99,0.0
2024-08-13,2255.0,17.99,18.79,18.8,18.0,18.0,0.01
2024-08-15,2013.0,18.0,18.0,18.0,17.71,17.71,-0.29
2024-08-16,525.0,17.71,17.71,17.71,17.71,17.71,0.0
2024-08-19,14760.0,17.71,17.72,19.48,17.22,19.06,1.35
