Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,1000.0,10.25,10.58,10.58,10.58,10.58,0.33
2024-01-03,39500.0,10.58,9.58,9.8,9.58,9.58,1.0
2024-01-04,22500.0,9.58,9.8,10.08,9.8,10.0,0.42
2024-01-08,5000.0,10.0,10.23,10.94,10.23,10.94,0.94
2024-01-12,20500.0,10.27,10.29,10.29,10.0,10.28,0.01
2024-01-18,65500.0,11.2,12.2,12.2,12.0,12.2,1.0
2024-01-19,9000.0,12.2,13.2,13.2,13.2,13.2,1.0
2024-01-22,1000.0,13.2,14.2,14.2,14.2,14.2,1.0
2024-01-23,1000.0,14.2,15.27,15.27,15.27,15.27,1.07
2024-01-26,18000.0,17.65,18.97,18.97,18.97,18.97,1.32
2024-01-29,758500.0,18.97,20.39,20.39,20.39,20.39,1.42
2024-01-30,16500.0,20.39,21.92,21.92,21.92,21.92,1.53
2024-01-31,8000.0,21.92,23.56,23.56,23.56,23.56,1.64
2024-02-01,138000.0,23.56,25.33,25.33,25.33,25.33,1.77
2024-02-02,24500.0,25.33,27.23,27.23,27.23,27.23,1.9
2024-02-07,500.0,25.19,0.0,0.0,0.0,23.74,-1.45
2024-02-13,10000.0,20.38,18.85,18.85,18.85,18.85,-1.53
2024-02-15,165500.0,17.57,16.25,18.89,16.25,17.6,0.03
2024-02-16,1000.0,17.6,18.39,18.4,18.39,18.4,0.8
2024-02-19,16000.0,18.4,17.05,17.1,17.02,17.02,-1.38
2024-02-20,16000.0,17.02,16.75,17.49,15.74,15.74,-1.28
2024-02-21,43500.0,15.74,14.57,15.0,14.56,14.61,-1.13
2024-02-22,21000.0,14.61,13.51,13.61,13.51,13.51,-1.1
2024-02-23,42500.0,13.51,13.0,13.0,12.5,12.51,1.0
2024-02-26,3000.0,12.51,12.5,12.5,12.5,12.5,-0.01
2024-02-27,28000.0,12.5,12.05,13.5,12.05,13.5,1.0
2024-02-28,1000.0,13.5,14.45,14.49,14.45,14.49,0.99
2024-02-29,6000.0,14.49,13.4,13.4,13.4,13.4,-1.09
2024-03-01,20000.0,13.4,12.4,12.4,12.4,12.4,1.0
2024-03-04,26500.0,12.4,11.5,12.14,11.4,11.4,1.0
2024-03-05,19000.0,11.4,10.57,10.57,10.4,10.41,-0.99
