Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,8500.0,37.36,37.5,38.0,37.5,38.0,0.64
2024-01-02,5000.0,38.0,37.0,37.73,37.0,37.01,-0.99
2024-01-03,500.0,37.01,36.8,36.8,36.8,36.8,-0.21
2024-01-08,5500.0,36.8,36.5,36.5,35.5,36.21,-0.59
2024-01-09,500.0,36.21,36.5,36.5,36.5,36.5,0.29
2024-01-10,10000.0,36.5,36.8,36.8,36.8,36.8,0.3
2024-01-11,1500.0,36.8,36.8,36.98,36.8,36.89,0.09
2024-01-15,1500.0,36.89,36.5,36.5,36.01,36.06,-0.83
2024-01-16,500.0,36.06,35.51,35.51,35.51,35.51,-0.55
2024-01-17,500.0,35.51,35.56,35.56,35.56,35.56,0.05
2024-01-18,500.0,35.56,35.56,35.56,35.56,35.56,0.0
2024-01-19,36000.0,35.56,36.6,38.23,36.6,38.12,2.56
2024-01-22,1500.0,38.12,38.48,38.48,36.66,36.66,-1.46
2024-01-23,1000.0,36.66,37.25,37.25,37.25,37.25,0.59
2024-01-24,9500.0,37.25,36.5,36.5,36.01,36.45,-0.8
2024-01-25,3000.0,36.45,36.6,36.6,36.25,36.25,-0.2
2024-01-26,4000.0,36.25,36.0,36.0,35.5,35.6,-0.65
2024-01-29,500.0,35.6,36.25,36.25,36.25,36.25,0.65
2024-01-30,500.0,36.25,35.3,35.3,35.3,35.3,-0.95
2024-01-31,3000.0,35.3,36.15,36.19,35.8,35.8,0.5
2024-02-01,7000.0,35.8,35.8,35.8,35.5,35.51,-0.29
2024-02-02,10500.0,35.51,35.5,35.6,35.5,35.52,0.01
2024-02-06,1000.0,35.52,35.55,35.55,35.55,35.55,0.03
2024-02-07,4000.0,35.55,35.03,35.5,35.03,35.45,-0.1
2024-02-09,6000.0,35.45,34.5,35.0,34.5,35.0,-0.45
2024-02-12,14500.0,35.0,35.01,35.01,34.0,34.0,1.0
2024-02-13,500.0,34.0,34.0,34.0,34.0,34.0,0.0
2024-02-14,500.0,34.0,34.8,34.8,34.8,34.8,0.8
2024-02-15,500.0,34.8,35.0,35.0,35.0,35.0,0.2
2024-02-19,1000.0,35.0,33.01,33.01,33.01,33.01,-1.99
2024-02-26,3500.0,33.07,34.4,34.99,34.4,34.97,1.9
2024-02-27,8000.0,34.97,34.35,34.4,33.0,33.5,-1.47
2024-02-29,6000.0,33.5,32.5,34.0,32.5,33.6,0.1
2024-03-01,1000.0,33.6,34.0,34.0,33.5,33.5,-0.1
2024-03-04,10000.0,33.5,34.49,34.49,34.49,34.49,0.99
2024-03-05,2500.0,34.49,33.0,33.6,33.0,33.3,-1.19
2024-03-06,10000.0,33.3,34.49,34.49,34.49,34.49,1.19
2024-03-07,1500.0,34.49,33.2,33.2,33.2,33.2,-1.29
2024-03-11,1000.0,33.2,34.0,34.0,34.0,34.0,0.8
2024-03-13,1500.0,34.0,33.02,33.02,33.02,33.02,-0.98
2024-03-14,2500.0,33.02,33.5,33.6,33.5,33.6,0.58
2024-03-15,5500.0,33.6,33.1,33.33,33.01,33.33,-0.27
2024-03-18,1500.0,33.33,33.03,33.6,33.03,33.5,0.17
2024-03-19,10000.0,33.5,33.2,33.2,32.81,32.95,-0.55
2024-03-20,3500.0,32.95,33.1,33.1,32.85,32.89,-0.06
2024-03-21,500.0,32.89,33.4,33.4,33.4,33.4,0.51
2024-03-26,1500.0,33.4,33.5,33.5,32.6,32.6,-0.8
2024-03-27,1500.0,32.6,32.56,33.0,32.56,33.0,0.4
2024-03-29,9000.0,33.0,32.0,32.5,32.0,32.5,-0.5
2024-04-01,13500.0,32.5,32.51,33.0,32.5,33.0,0.5
2024-04-02,1000.0,33.0,33.3,33.3,33.0,33.0,0.0
2024-04-03,1000.0,33.0,33.06,33.5,33.06,33.5,0.5
2024-04-04,7500.0,33.5,33.89,33.89,33.5,33.85,0.35
2024-04-08,4000.0,33.85,33.85,33.85,33.0,33.02,-0.83
2024-04-09,1000.0,33.02,33.09,33.09,33.09,33.09,0.07
2024-04-15,500.0,33.09,33.5,33.5,33.5,33.5,0.41
2024-04-16,2000.0,33.5,34.0,34.0,33.95,33.95,0.45
2024-04-18,2000.0,33.95,32.55,33.0,32.55,33.0,-0.95
2024-04-19,1500.0,33.0,33.0,33.0,33.0,33.0,0.0
2024-04-22,1000.0,33.0,33.0,33.0,33.0,33.0,0.0
2024-04-23,4500.0,33.0,34.0,35.2,34.0,34.89,1.89
2024-04-24,500.0,34.89,34.01,34.01,34.01,34.01,-0.88
2024-04-26,15500.0,34.01,33.1,36.0,33.0,35.19,1.18
2024-04-29,5500.0,35.19,34.39,34.5,33.12,33.46,-1.73
2024-04-30,5000.0,33.46,33.8,33.8,32.2,33.5,0.04
2024-05-02,1500.0,33.5,32.55,32.55,32.5,32.5,1.0
2024-05-03,3000.0,32.5,32.49,32.95,32.49,32.95,0.45
2024-05-06,1500.0,32.95,34.0,34.95,34.0,34.95,2.0
2024-05-07,500.0,34.95,35.0,35.0,35.0,35.0,0.05
2024-05-09,1500.0,35.0,34.99,34.99,34.99,34.99,-0.01
2024-05-10,41500.0,34.99,35.0,37.0,35.0,36.9,1.91
2024-05-13,15000.0,36.9,34.8,39.67,34.8,36.0,-0.9
2024-05-14,456500.0,36.0,36.4,36.5,36.0,36.0,0.0
2024-05-15,7500.0,36.0,36.99,37.5,36.99,37.45,1.45
2024-05-16,2000.0,37.45,36.5,36.5,36.5,36.5,-0.95
2024-05-17,20000.0,36.5,37.0,38.95,37.0,38.46,1.96
2024-05-21,1500.0,38.46,39.4,39.4,39.0,39.0,0.54
2024-05-22,20000.0,39.0,36.11,38.0,36.08,37.4,-1.6
2024-05-24,1500.0,37.4,38.0,38.0,38.0,38.0,0.6
2024-05-27,10200.0,38.0,37.5,37.87,37.0,37.02,-0.98
2024-05-29,3351.0,37.02,37.0,37.0,36.0,36.04,-0.98
2024-05-30,6343.0,36.04,36.05,36.05,35.1,35.46,-0.58
2024-05-31,6662.0,35.46,35.5,37.0,35.5,36.38,0.92
2024-06-03,1500.0,36.38,36.4,36.4,36.4,36.4,0.02
2024-06-04,4775.0,36.4,35.2,35.8,35.0,35.06,-1.34
2024-06-05,2451.0,35.06,35.0,36.9,35.0,35.46,0.4
2024-06-06,2232.0,35.46,35.0,36.0,35.0,35.0,-0.46
2024-06-07,1395.0,35.0,35.5,35.5,34.5,34.74,-0.26
2024-06-10,2687.0,34.74,34.5,35.98,34.5,35.73,0.99
2024-06-11,1001.0,35.73,35.0,35.5,35.0,35.5,-0.23
2024-06-12,10.0,35.5,36.0,37.99,35.5,35.5,0.0
2024-06-13,6.0,35.5,37.95,37.95,34.89,35.5,0.0
2024-06-14,11465.0,35.5,35.5,36.0,35.0,35.09,-0.41
2024-06-20,4139.0,35.09,35.0,38.0,35.0,36.0,0.91
2024-06-21,704.0,36.0,36.0,36.89,35.4,35.89,-0.11
2024-06-24,2506.0,35.89,35.5,36.0,35.01,35.39,-0.5
2024-06-25,55.0,35.39,35.0,35.0,35.0,35.39,0.0
2024-06-26,5248.0,35.39,35.2,35.6,35.0,35.06,-0.33
2024-06-27,271.0,35.06,35.4,35.6,35.4,35.06,0.0
2024-06-28,18.0,35.06,34.6,34.6,34.6,35.06,0.0
2024-07-01,1215.0,35.06,35.6,36.0,34.61,34.63,-0.43
2024-07-02,2310.0,34.63,35.9,36.1,35.9,36.1,1.47
2024-07-03,2157.0,36.1,36.1,36.49,36.01,36.41,0.31
2024-07-04,1090.0,36.41,39.45,39.45,36.0,36.99,0.58
2024-07-05,900.0,36.99,36.87,36.99,36.03,36.76,-0.23
2024-07-08,1.0,36.76,38.0,38.0,38.0,36.76,0.0
2024-07-09,3270.0,36.76,36.5,37.4,36.2,37.12,0.36
2024-07-10,3701.0,37.12,36.5,36.5,36.2,36.47,-0.65
2024-07-11,1000.0,36.47,36.2,36.2,36.2,36.2,-0.27
2024-07-12,1083.0,36.2,36.1,36.6,36.0,36.05,-0.15
2024-07-15,2.0,36.05,38.0,38.0,36.8,36.05,0.0
2024-07-18,1783.0,36.05,37.57,38.0,36.33,37.84,1.79
2024-07-19,22158.0,37.84,37.0,39.0,37.0,38.87,1.03
2024-07-22,20437.0,38.87,38.8,42.0,37.0,38.38,-0.49
2024-07-23,35615.0,38.38,38.26,42.0,37.17,38.09,-0.29
2024-07-24,49090.0,38.09,38.75,40.5,38.75,38.9,0.81
2024-07-25,1351.0,38.9,39.95,39.95,38.15,39.42,0.52
2024-07-26,2024.0,39.42,39.89,39.89,38.05,39.73,0.31
