Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-05-29,10.0,20.0,20.0,20.0,20.0,20.0,0.0
2024-06-10,15.0,20.0,20.0,20.0,20.0,20.0,0.0
2024-11-26,1.0,20.0,0.0,0.0,0.0,20.0,0.0
2024-12-09,50.0,20.0,20.0,20.0,20.0,20.0,0.0
2024-12-13,5000.0,20.0,22.0,22.0,20.0,20.0,0.0
2024-12-16,1.0,20.0,20.0,20.0,20.0,20.0,0.0
2024-12-19,50.0,20.0,18.0,18.0,18.0,19.98,-0.02
2025-01-02,5000.0,19.98,20.0,20.0,20.0,20.0,0.02
2025-01-06,4923.0,20.0,19.0,19.0,19.0,19.0,1.0
2025-01-09,1.0,19.0,18.0,18.0,18.0,19.0,0.0
2026-01-16,15980.0,20.5,22.55,22.55,22.55,22.55,2.05
2026-01-19,8570.0,22.55,24.81,24.81,24.0,24.81,2.26
2026-01-20,208.0,24.81,0.0,0.0,0.0,26.91,2.1
2026-01-21,1.0,26.91,29.6,29.6,29.6,29.59,2.68
2026-01-22,1.0,29.59,32.55,32.55,32.55,32.05,2.46
2026-01-23,21.0,32.05,35.26,35.26,35.26,32.05,0.0
2026-01-26,1.0,32.05,35.26,35.26,35.26,35.25,3.2
2026-01-27,3.0,35.25,38.78,38.78,38.78,37.77,2.52
2026-01-28,101.0,37.77,41.55,41.55,41.55,41.55,3.78
2026-01-29,1.0,41.55,45.71,45.71,45.71,42.9,1.35
2026-01-30,4.0,42.9,47.19,47.19,47.19,47.19,4.29
