Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,36788.0,5.39,5.48,5.58,5.37,5.54,0.15
2024-01-02,58390.0,5.54,5.57,5.65,5.25,5.4,-0.14
2024-01-03,74732.0,5.4,5.65,5.78,5.51,5.56,0.16
2024-01-04,262.0,5.67,5.98,5.98,5.98,5.98,0.31
2024-01-05,62.0,5.98,6.3,6.3,6.3,6.3,0.32
2024-01-08,1.0,6.3,6.19,6.19,6.19,6.19,-0.11
2024-01-09,56869.0,5.96,6.05,6.08,5.7,5.82,-0.14
2024-01-10,71502.0,5.82,5.85,6.07,5.72,5.78,-0.04
2024-01-11,66490.0,5.78,5.82,6.14,5.66,6.08,0.3
2024-01-12,74465.0,6.08,6.1,6.28,5.9,6.06,-0.02
2024-01-15,29401.0,6.06,6.1,6.18,5.86,5.91,-0.15
2024-01-16,71.0,6.01,6.0,6.4,5.9,6.14,0.13
2024-01-17,104.0,6.14,5.9,5.95,5.9,5.94,-0.2
2024-01-18,27377.0,5.62,5.84,5.84,5.26,5.51,-0.11
2024-01-19,356.0,5.61,5.5,5.55,5.45,5.52,-0.09
2024-01-22,10843.0,5.52,5.8,5.93,5.65,5.71,0.19
2024-01-23,9652.0,5.71,5.64,5.7,5.55,5.63,-0.08
2024-01-24,23454.0,5.63,5.63,5.71,5.39,5.52,-0.11
2024-01-25,39139.0,5.52,5.55,5.61,5.31,5.36,-0.16
2024-01-26,51898.0,5.36,5.27,5.35,5.17,5.23,-0.13
2024-01-29,25474.0,5.23,5.16,5.16,4.88,4.9,-0.33
2024-01-30,15949.0,4.9,4.91,4.94,4.7,4.73,-0.17
2024-01-31,3992.0,4.73,4.76,4.81,4.57,4.62,-0.11
2024-02-01,5792.0,4.62,4.6,4.8,4.48,4.54,-0.08
2024-02-02,4566.0,4.54,4.57,4.83,4.51,4.72,0.18
2024-02-06,8688.0,4.72,4.68,4.83,4.6,4.8,0.08
2024-02-07,10156.0,4.8,4.83,5.0,4.74,4.91,0.11
2024-02-09,8820.0,4.91,4.8,4.8,4.45,4.68,-0.23
2024-02-12,15338.0,4.68,4.64,4.67,4.15,4.24,-0.44
2024-02-13,21630.0,4.24,4.03,4.33,3.8,4.18,-0.06
2024-02-14,12714.0,4.18,4.25,4.54,4.25,4.51,0.33
2024-02-15,17315.0,4.51,4.51,4.64,4.28,4.36,-0.15
2024-02-16,15707.0,4.36,4.39,4.4,4.08,4.14,-0.22
2024-02-19,3400.0,4.14,4.05,4.35,3.93,4.32,0.18
2024-02-20,13303.0,4.32,4.3,4.39,4.23,4.26,-0.06
2024-02-21,6613.0,4.26,4.48,4.5,4.22,4.31,0.05
2024-02-22,30747.0,4.31,4.2,4.33,4.2,4.21,-0.1
2024-02-23,29080.0,4.21,4.15,4.41,4.15,4.38,0.17
2024-02-26,20273.0,4.48,4.59,4.72,4.48,4.52,0.04
2024-02-27,16326.0,4.52,4.64,4.78,4.53,4.61,0.09
2024-02-28,19737.0,4.61,4.65,4.94,4.65,4.87,0.26
2024-02-29,22383.0,4.87,4.81,5.1,4.81,4.97,0.1
2024-03-01,10338.0,4.97,4.99,5.06,4.85,4.94,-0.03
2024-03-04,13855.0,4.94,5.05,5.15,4.97,5.09,0.15
