Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-04,6667.0,101.5,0.0,0.0,0.0,101.5,0.0
2024-01-17,3315.0,101.5,0.0,0.0,0.0,101.5,0.0
2024-02-23,7143.0,101.5,0.0,0.0,0.0,101.5,0.0
2024-02-26,2000.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-03-14,1000.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-03-19,400.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-03-26,14286.0,101.5,0.0,0.0,0.0,101.5,0.0
2024-04-22,200.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-04-25,1750.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-05-06,10.0,101.5,0.0,0.0,0.0,101.5,0.0
2024-05-09,290.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-06-03,31000.0,101.5,0.0,0.0,0.0,101.5,0.0
2024-06-04,750.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-06-11,31000.0,101.5,101.75,101.75,101.75,101.75,0.25
2024-06-20,150.0,101.75,0.0,0.0,0.0,101.75,0.0
2024-06-27,1600.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-07-03,150.0,101.75,0.0,0.0,0.0,101.75,0.0
2024-07-18,7600.0,101.75,0.0,0.0,0.0,101.75,0.0
2024-08-06,6667.0,101.75,0.0,0.0,0.0,101.75,0.0
2024-08-09,1000.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-08-26,1230.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-09-11,200.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-09-24,1500.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-10-08,75965.0,101.75,0.0,0.0,0.0,101.75,0.0
2024-11-06,55000.0,101.75,102.7,102.7,102.7,102.7,0.95
2024-11-25,200.0,99.81,0.0,0.0,0.0,99.81,0.0
2024-11-26,5.0,102.7,100.0,100.0,100.0,102.7,0.0
2024-12-11,2930.0,102.7,102.5,102.5,102.5,102.7,0.0
2024-12-27,10909.0,102.7,0.0,0.0,0.0,102.7,0.0
2025-01-21,7932.0,102.7,102.5,102.5,102.5,102.7,0.0
2025-02-25,252.0,102.7,102.5,102.5,102.5,102.7,0.0
2025-02-26,252.0,102.7,102.5,102.5,102.5,102.7,0.0
2025-03-19,265.0,99.81,102.25,102.25,102.25,102.25,2.44
2025-06-16,190.0,102.25,0.0,0.0,0.0,102.25,0.0
2025-06-18,12000.0,102.7,101.45,101.45,101.45,101.45,-1.25
2025-06-24,60.0,102.25,0.0,0.0,0.0,102.25,0.0
2025-07-15,130.0,102.25,0.0,0.0,0.0,102.25,0.0
2025-07-18,2570.0,102.25,0.0,0.0,0.0,102.25,0.0
2025-08-05,100.0,101.45,0.0,0.0,0.0,101.45,0.0
2025-09-11,100000.0,101.45,100.95,100.95,100.95,100.95,-0.5
2025-10-21,295.0,102.4,0.0,0.0,0.0,102.4,0.0
2025-11-27,356.0,102.4,0.0,0.0,0.0,102.4,0.0
2025-12-16,234.0,100.95,0.0,0.0,0.0,100.95,0.0
2025-12-30,1400.0,100.95,0.0,0.0,0.0,100.95,0.0
2026-01-06,200.0,100.95,0.0,0.0,0.0,100.95,0.0
