Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,9100.0,333.78,340.0,350.0,338.15,340.59,6.81
2024-01-02,4200.0,340.59,340.0,342.0,337.0,337.74,-2.85
2024-01-03,500.0,337.74,339.0,340.0,338.51,338.51,0.77
2024-01-04,1900.0,338.51,339.01,339.01,335.0,336.01,-2.5
2024-01-05,1300.0,336.01,334.01,341.5,334.01,340.0,3.99
2024-01-08,800.0,340.0,340.0,341.9,338.01,338.01,-1.99
2024-01-09,1800.0,338.01,340.5,340.5,339.0,340.5,2.49
2024-01-10,1100.0,340.5,340.0,340.0,339.01,339.51,-0.99
2024-01-11,1800.0,339.51,341.92,341.92,340.0,341.5,1.99
2024-01-12,2200.0,341.5,344.0,344.0,321.0,336.0,-5.5
2024-01-15,2200.0,336.0,341.99,342.0,335.05,339.2,3.2
2024-01-16,700.0,339.2,328.5,339.99,328.5,333.11,-6.09
2024-01-17,300.0,333.11,334.0,337.0,333.14,337.0,3.89
2024-01-18,3200.0,337.0,332.0,338.0,331.0,332.0,5.0
2024-01-19,4700.0,332.0,338.0,343.0,335.1,342.49,10.49
2024-01-22,13100.0,342.49,336.0,367.99,336.0,350.0,7.51
2024-01-23,12300.0,350.0,355.0,364.0,340.0,342.51,-7.49
2024-01-24,5000.0,342.51,342.51,348.0,336.0,339.96,-2.55
2024-01-25,1100.0,339.96,340.04,340.04,336.25,336.25,-3.71
2024-01-26,500.0,336.25,337.0,344.0,335.51,335.51,-0.74
2024-01-29,1300.0,335.51,336.5,336.5,335.0,335.07,-0.44
2024-01-30,1400.0,335.07,334.56,334.56,330.2,331.52,-3.55
2024-01-31,400.0,331.52,331.54,331.54,331.53,331.53,0.01
2024-02-01,2100.0,331.53,328.55,336.0,328.0,335.0,3.47
2024-02-02,600.0,335.0,338.0,338.0,335.0,337.0,2.0
2024-02-06,100.0,337.0,335.0,335.0,335.0,335.0,2.0
2024-02-07,200.0,335.0,343.0,343.0,340.0,340.0,5.0
2024-02-09,900.0,340.0,336.0,336.0,330.0,330.75,-9.25
2024-02-12,1100.0,330.75,329.09,336.0,325.0,326.25,-4.5
2024-02-13,200.0,326.25,332.0,332.0,332.0,332.0,5.75
2024-02-14,400.0,332.0,334.0,334.0,333.06,333.32,1.32
2024-02-15,3900.0,333.32,340.0,340.0,330.0,330.0,-3.32
2024-02-16,4600.0,330.0,325.01,350.0,325.01,348.05,18.05
2024-02-19,1900.0,348.05,340.0,340.0,334.0,335.0,-13.05
2024-02-20,3500.0,335.0,338.0,341.0,338.0,340.0,5.0
2024-02-21,600.0,340.0,342.0,345.0,340.01,345.0,5.0
2024-02-22,3300.0,345.0,340.02,344.5,339.9,340.0,5.0
2024-02-23,1000.0,340.0,340.0,340.0,340.0,340.0,0.0
2024-02-26,5400.0,340.0,335.0,361.44,335.0,350.0,10.0
2024-02-27,2000.0,350.0,345.0,357.9,344.15,352.0,2.0
2024-02-28,7800.0,352.0,355.0,361.0,351.05,358.0,6.0
2024-02-29,6100.0,358.0,359.9,360.0,348.0,351.0,7.0
2024-03-01,8800.0,351.0,324.68,324.68,324.68,324.68,-26.32
2024-03-04,28400.0,324.68,300.33,317.0,300.33,301.32,-23.36
2024-03-05,6500.0,301.32,301.0,309.95,287.0,298.0,-3.32
2024-03-06,2300.0,298.0,309.95,309.95,300.0,304.99,6.99
2024-03-07,1700.0,304.99,305.0,307.0,298.31,301.31,-3.68
2024-03-08,2800.0,301.31,313.0,313.0,309.0,309.89,8.58
2024-03-11,1400.0,309.89,302.1,308.9,302.0,306.0,-3.89
2024-03-12,400.0,306.0,304.0,304.0,302.05,302.05,-3.95
2024-03-13,2900.0,302.05,302.0,302.0,300.01,301.02,-1.03
2024-03-14,4100.0,301.02,301.05,305.0,300.0,300.72,-0.3
2024-03-15,2100.0,300.72,310.0,313.0,302.0,302.0,1.28
2024-03-18,1300.0,302.0,302.5,305.7,302.0,305.7,3.7
2024-03-19,6400.0,305.7,304.8,305.0,300.0,300.21,-5.49
2024-03-20,2700.0,300.21,300.01,302.0,300.0,300.0,-0.21
2024-03-21,1300.0,300.0,301.15,304.0,297.0,300.0,0.0
2024-03-22,600.0,300.0,293.01,298.5,293.0,294.21,-5.79
2024-03-25,200.0,294.21,295.15,303.99,295.15,299.57,5.36
2024-03-26,1700.0,299.57,299.57,299.57,291.0,298.8,-0.77
2024-03-28,5900.0,298.8,298.8,300.0,292.0,293.32,-5.48
2024-03-29,12200.0,293.32,299.89,299.89,273.16,282.38,-10.94
2024-04-01,1900.0,282.38,289.0,291.85,277.0,278.7,-3.68
2024-04-02,200.0,278.7,276.0,280.99,276.0,280.99,2.29
2024-04-03,1600.0,280.99,275.05,277.99,275.0,277.0,-3.99
2024-04-04,2400.0,277.0,276.97,276.97,274.0,274.77,-2.23
2024-04-08,4900.0,274.77,270.1,275.89,270.0,273.6,-1.17
2024-04-09,900.0,273.6,272.1,277.69,272.1,276.89,3.29
2024-04-15,3900.0,276.89,270.9,273.99,269.0,269.99,-6.9
2024-04-16,1300.0,269.99,268.5,274.89,268.1,271.0,1.01
2024-04-17,1800.0,271.0,270.0,277.89,270.0,270.87,-0.13
2024-04-18,1000.0,270.87,270.01,274.85,270.0,274.85,3.98
2024-04-19,700.0,274.85,266.5,273.6,266.07,272.0,-2.85
2024-04-22,2802.0,272.0,270.0,277.0,270.0,272.0,0.0
2024-04-23,5047.0,272.0,276.85,276.85,270.0,274.55,2.55
2024-04-24,1076.0,274.55,275.99,275.99,274.0,274.99,0.44
2024-04-25,1935.0,274.99,276.0,277.0,272.1,275.9,0.91
2024-04-26,735.0,275.9,279.0,279.0,270.1,272.13,-3.77
2024-04-29,2351.0,272.13,277.7,277.7,266.0,267.34,-4.79
2024-04-30,1391.0,267.34,270.0,272.0,267.01,270.04,2.7
2024-05-02,9745.0,270.04,290.29,290.29,290.29,290.29,20.25
2024-05-03,17969.0,290.29,312.06,312.06,302.0,312.06,21.77
2024-05-06,17625.0,312.06,335.46,335.46,325.05,335.46,23.4
2024-05-07,18243.0,335.46,349.0,349.0,316.25,319.28,-16.18
2024-05-08,8442.0,319.28,320.0,320.0,307.35,310.05,-9.23
2024-05-09,10642.0,310.05,310.0,333.0,305.1,317.95,7.9
2024-05-10,9658.0,317.95,315.0,338.0,315.0,315.92,-2.03
2024-05-13,4976.0,315.92,320.0,327.0,315.5,317.95,2.03
2024-05-14,2596.0,317.95,322.0,322.0,315.0,317.17,-0.78
2024-05-15,4541.0,317.17,314.44,322.99,314.44,319.71,2.54
2024-05-16,2773.0,319.71,320.0,320.0,310.0,312.96,-6.75
2024-05-17,394.0,312.96,312.5,318.64,312.5,314.7,1.74
2024-05-20,5133.0,314.7,314.0,320.0,308.1,309.03,-5.67
2024-05-21,3154.0,309.03,311.0,312.25,286.02,305.0,-4.03
2024-05-22,5021.0,305.0,305.0,305.0,299.0,301.81,-3.19
2024-05-23,156.0,301.81,304.8,304.8,300.0,302.09,0.28
2024-05-24,1194.0,302.09,308.9,308.9,286.0,300.42,-1.67
2024-05-27,709.0,300.42,304.7,304.7,298.0,299.73,-0.69
2024-05-29,16326.0,299.73,295.1,323.71,290.1,295.05,-4.68
2024-05-30,2433.0,295.05,299.8,300.0,294.0,299.0,3.95
2024-05-31,1095.0,299.0,305.0,305.0,294.1,296.24,-2.76
2024-06-03,81.0,296.24,305.0,305.0,295.0,296.24,0.0
2024-06-04,126.0,296.24,303.0,303.0,292.1,302.06,5.82
2024-06-05,1206.0,302.06,301.99,303.0,296.0,296.78,-5.28
2024-06-06,728.0,296.78,293.0,300.0,293.0,293.86,-2.92
2024-06-07,5102.0,293.86,298.84,312.0,281.1,294.7,0.84
2024-06-10,714.0,294.7,296.0,296.0,285.1,289.54,-5.16
2024-06-11,439.0,289.54,294.9,294.9,285.1,289.63,0.09
2024-06-12,205.0,289.63,285.0,290.0,285.0,288.1,-1.53
2024-06-13,754.0,288.1,290.0,293.0,285.15,286.06,-2.04
2024-06-14,223.0,286.06,299.0,299.0,291.89,291.9,5.84
2024-06-20,10427.0,291.9,296.99,315.0,295.02,308.73,16.83
2024-06-21,4871.0,308.73,305.01,312.0,303.0,306.0,-2.73
2024-06-24,34470.0,306.0,300.1,320.0,300.0,305.47,-0.53
2024-06-25,4522.0,305.47,302.1,318.88,297.0,297.03,-8.44
2024-06-26,3014.0,297.03,306.9,306.9,295.0,298.69,1.66
2024-06-27,12913.0,298.69,307.0,307.0,290.0,293.66,-5.03
2024-06-28,1500.0,293.66,290.0,304.9,286.2,288.61,-5.05
2024-07-01,3191.0,288.61,293.0,299.99,288.99,291.06,2.45
2024-07-02,900.0,291.06,287.0,293.9,287.0,293.5,2.44
2024-07-03,1500.0,293.5,292.0,297.89,291.05,295.02,1.52
2024-07-04,2261.0,295.02,296.1,302.0,292.0,299.48,4.46
2024-07-05,1090.0,299.48,302.9,314.0,295.5,298.39,-1.09
2024-07-08,3066.0,298.39,313.0,313.0,271.0,296.97,-1.42
2024-07-09,3757.0,296.97,295.0,309.4,295.0,300.04,3.07
2024-07-10,3559.0,300.04,304.0,304.44,293.01,294.46,-5.58
2024-07-11,1373.0,294.46,290.01,298.99,290.0,290.29,-4.17
2024-07-12,101.0,290.29,299.0,299.0,295.0,295.0,4.71
2024-07-15,4026.0,295.0,303.99,303.99,295.0,296.0,1.0
2024-07-18,1855.0,296.0,300.0,300.0,292.5,299.65,3.65
2024-07-19,258.0,299.65,298.0,298.9,292.5,294.08,-5.57
2024-07-22,3548.0,294.08,290.0,292.0,285.0,289.75,-4.33
2024-07-23,1725.0,289.75,298.4,298.4,286.87,293.11,3.36
2024-07-24,662.0,293.11,293.99,298.0,293.99,297.99,4.88
2024-07-26,135.0,297.99,297.0,297.0,293.0,293.1,-4.89
2024-07-29,2610.0,293.1,298.0,298.0,290.0,290.57,-2.53
2024-07-30,1322.0,290.57,293.0,293.0,288.0,288.0,-2.57
2024-08-01,251.0,288.0,282.05,291.94,282.05,288.04,0.04
2024-08-02,363.0,288.04,293.0,293.0,285.2,289.01,0.97
2024-08-05,237.0,289.01,296.5,296.5,291.9,291.96,2.95
2024-08-06,190.0,291.96,291.9,291.9,281.1,290.88,-1.08
2024-08-07,1626.0,290.88,282.3,289.0,282.3,287.96,-2.92
2024-08-08,780.0,287.96,294.0,294.0,284.99,285.0,-2.96
2024-08-09,500.0,285.0,292.0,292.0,284.5,289.97,4.97
2024-08-12,14208.0,289.97,283.01,309.9,281.02,304.34,14.37
2024-08-13,8776.0,304.34,313.33,318.0,305.99,306.07,1.73
2024-08-15,4254.0,306.07,305.0,318.0,305.0,313.13,7.06
2024-08-16,4627.0,313.13,310.0,318.0,305.0,308.51,-4.62
2024-08-19,1151.0,308.51,306.0,309.0,306.0,308.0,-0.51
2024-08-20,215.0,308.0,313.9,313.9,302.5,306.73,-1.27
2024-08-21,675.0,306.73,307.0,313.99,303.5,309.85,3.12
2024-08-22,1057.0,309.85,302.2,309.0,302.0,302.02,-7.83
2024-08-23,4476.0,302.02,302.2,325.0,302.2,324.81,22.79
2024-08-26,1057.0,324.81,319.0,319.0,315.99,315.99,-8.82
2024-08-27,1374.0,315.99,304.3,315.0,304.3,314.0,-1.99
2024-08-28,312.0,314.0,313.95,313.95,304.5,305.55,-8.45
2024-08-29,731.0,305.55,310.0,311.89,306.15,306.18,0.63
2024-08-30,373.0,306.18,310.0,321.99,306.0,309.1,2.92
2024-09-02,194.0,309.1,303.0,314.0,303.0,306.19,-2.91
2024-09-03,2416.0,306.19,314.8,314.8,307.0,311.27,5.08
2024-09-04,308.0,311.27,300.05,311.0,300.05,309.88,-1.39
2024-09-05,206.0,309.88,306.0,310.0,306.0,309.0,-0.88
2024-09-06,713.0,309.0,302.0,310.0,302.0,307.75,-1.25
2024-09-09,635.0,307.75,304.16,310.0,304.16,306.0,-1.75
2024-09-10,4639.0,306.0,305.25,325.0,305.25,313.58,7.58
2024-09-11,16292.0,313.58,305.0,339.99,305.0,322.48,8.9
2024-09-12,12060.0,322.48,315.0,348.0,315.0,334.1,11.62
2024-09-13,5968.0,334.1,335.0,340.0,330.0,331.39,-2.71
2024-09-16,1247.0,331.39,331.39,338.95,330.0,332.27,0.88
2024-09-18,1547.0,332.27,320.01,340.0,320.01,330.05,-2.22
2024-09-19,9034.0,330.05,320.0,336.0,320.0,323.93,-6.12
2024-09-20,1577.0,323.93,315.15,329.0,311.12,324.27,0.34
2024-09-23,2227.0,324.27,318.0,322.99,315.0,315.23,-9.04
2024-09-24,445.0,315.23,329.99,330.0,312.0,323.24,8.01
2024-09-25,236.0,323.24,327.99,327.99,313.15,322.99,-0.25
2024-09-26,188.0,322.99,335.0,335.0,317.0,322.51,-0.48
2024-09-27,738.0,322.51,310.16,312.15,310.1,312.1,-10.41
2024-09-30,2622.0,312.1,324.9,324.9,301.1,304.92,-7.18
2024-10-01,1252.0,304.92,304.02,308.9,303.0,304.0,-0.92
2024-10-02,126.0,304.0,309.89,309.89,300.2,308.68,4.68
2024-10-03,661.0,308.68,306.0,309.69,306.0,308.02,-0.66
2024-10-04,848.0,308.02,314.95,314.95,308.02,310.0,1.98
2024-10-07,3547.0,310.0,314.9,314.9,279.0,291.27,-18.73
2024-10-08,45329.0,291.27,263.12,274.95,262.14,262.14,-29.13
2024-10-09,11039.0,262.14,260.0,279.0,260.0,264.53,2.39
2024-10-10,2823.0,264.53,269.04,269.04,250.0,260.11,-4.42
2024-10-11,2293.0,260.11,266.9,267.0,250.02,264.98,4.87
2024-10-14,3624.0,264.98,264.98,267.0,258.0,259.32,-5.66
2024-10-15,7567.0,259.32,257.0,264.9,250.0,253.12,-6.2
2024-10-16,5095.0,253.12,253.5,264.0,253.5,257.22,4.1
2024-10-17,1038.0,257.22,260.0,260.0,255.15,258.98,1.76
2024-10-18,8537.0,258.98,259.98,259.98,245.11,249.95,-9.03
2024-10-21,757.0,249.95,253.5,253.5,250.0,252.46,2.51
2024-10-22,21465.0,252.46,254.0,265.0,254.0,257.44,4.98
2024-10-23,11733.0,257.44,258.1,267.0,252.9,260.51,3.07
2024-10-24,58817.0,260.51,262.85,286.56,260.0,275.8,15.29
2024-10-25,12473.0,275.8,275.8,277.86,261.0,261.76,-14.04
2024-10-28,5200.0,261.76,268.9,270.0,259.0,264.04,2.28
2024-10-29,19760.0,264.04,264.04,283.9,260.11,277.49,13.45
2024-10-30,330.0,277.49,277.0,277.0,270.0,270.03,-7.46
2024-10-31,11743.0,270.03,272.0,280.0,255.0,260.32,-9.71
2024-11-01,3508.0,260.32,258.0,264.0,256.0,259.09,-1.23
2024-11-04,482.0,259.09,259.09,262.49,259.07,259.6,0.51
2024-11-05,7047.0,259.6,259.6,263.7,254.0,257.21,-2.39
2024-11-06,13094.0,257.21,268.9,268.9,253.01,254.76,-2.45
2024-11-07,28125.0,254.76,260.0,268.0,254.01,254.97,0.21
2024-11-08,12435.0,254.97,257.98,263.59,254.51,254.99,0.02
2024-11-11,8200.0,254.99,258.33,260.0,255.0,259.7,4.71
2024-11-12,1916.0,259.7,260.0,264.95,255.0,259.71,0.01
2024-11-13,773.0,259.71,260.0,260.0,257.02,257.66,-2.05
2024-11-14,107.0,257.66,256.01,264.42,256.01,256.42,-1.24
2024-11-15,448.0,256.42,262.9,262.99,256.16,260.11,3.69
2024-11-18,10769.0,260.11,255.2,261.0,255.15,255.9,-4.21
2024-11-19,6720.0,255.9,255.01,259.77,255.0,256.43,0.53
2024-11-20,3387.0,256.43,261.99,261.99,255.0,257.12,0.69
2024-11-21,4877.0,257.12,260.0,260.01,256.0,256.79,-0.33
2024-11-22,1336.0,256.79,259.98,259.98,251.0,253.41,-3.38
2024-11-25,2117.0,253.41,259.44,259.44,253.41,259.0,5.59
2024-11-26,1435.0,259.0,255.0,264.9,250.0,250.43,-8.57
2024-11-27,1470.0,250.43,251.52,256.98,251.5,252.89,2.46
2024-11-28,2541.0,252.89,253.01,257.0,253.0,253.03,0.14
2024-11-29,2067.0,253.03,260.0,260.0,252.0,256.01,2.98
2024-12-02,2179.0,256.01,250.3,258.75,250.3,252.66,-3.35
2024-12-03,21672.0,252.66,259.99,270.0,259.0,264.96,12.3
2024-12-04,35401.0,264.96,273.98,289.0,266.0,279.67,14.71
2024-12-05,16026.0,279.67,279.67,283.0,266.5,273.69,-5.98
2024-12-06,2712.0,273.69,273.8,280.0,266.0,272.8,-0.89
2024-12-09,3535.0,272.8,272.0,274.0,268.0,270.51,-2.29
2024-12-10,3449.0,270.51,270.11,275.98,264.0,268.99,-1.52
2024-12-11,1594.0,268.99,268.0,272.0,268.0,268.64,-0.35
2024-12-12,7355.0,268.64,273.59,273.59,268.8,270.21,1.57
2024-12-13,36384.0,270.21,270.0,290.0,270.0,275.19,4.98
2024-12-16,1035.0,275.19,274.95,274.99,271.8,274.5,-0.69
2024-12-17,16695.0,274.5,272.0,277.99,269.0,269.99,-4.51
2024-12-18,1724.0,269.99,270.0,270.01,263.0,269.92,-0.07
2024-12-19,2637.0,269.92,269.0,269.0,260.0,261.25,-8.67
2024-12-20,119.0,261.25,268.99,268.99,261.2,263.46,2.21
2024-12-23,228.0,263.46,264.0,271.8,264.0,265.88,2.42
2024-12-24,18.0,265.88,269.0,269.0,265.66,265.88,0.0
2024-12-26,5029.0,265.88,266.01,271.0,266.01,267.0,1.12
2024-12-27,14176.0,267.0,269.95,280.0,256.01,265.75,-1.25
2024-12-30,336.0,265.75,264.97,269.0,262.12,268.71,2.96
2024-12-31,267.0,268.71,269.7,269.7,265.2,269.2,0.49
2025-01-01,1193.0,269.2,270.0,284.99,270.0,277.4,8.2
2025-01-02,2237.0,277.4,275.0,284.99,275.0,275.06,-2.34
2025-01-03,407.0,275.06,283.95,283.95,271.11,271.95,-3.11
2025-01-06,265.0,271.95,277.0,281.99,272.1,272.54,0.59
2025-01-07,56.0,272.54,279.0,279.0,273.0,272.54,0.0
2025-01-08,392.0,272.54,279.99,279.99,257.1,267.01,-5.53
2025-01-09,3300.0,267.01,265.0,265.01,262.0,262.41,-4.6
2025-01-10,411.0,262.41,264.0,267.9,263.0,267.9,5.49
2025-01-13,5727.0,267.9,270.0,270.0,251.0,260.6,-7.3
2025-01-14,3940.0,260.6,267.5,282.0,265.12,265.37,4.77
2025-01-15,15262.0,265.37,265.76,282.0,265.75,275.0,9.63
2025-01-16,690.0,275.0,281.95,281.95,265.1,278.55,3.55
2025-01-17,4119.0,278.55,283.93,289.0,270.0,284.4,5.85
2025-01-20,1251.0,284.4,290.0,300.0,275.05,277.09,-7.31
2025-01-21,2371.0,277.09,294.0,294.0,271.12,272.12,-4.97
2025-01-22,1663.0,272.12,284.0,284.0,265.01,270.0,-2.12
2025-01-23,656.0,270.0,270.0,271.2,256.0,270.09,0.09
2025-01-24,2646.0,270.09,270.0,279.0,260.1,274.99,4.9
2025-01-27,674.0,274.99,278.99,278.99,271.5,271.97,-3.02
2025-01-28,1483.0,271.97,270.0,274.9,268.02,270.36,-1.61
2025-01-29,23.0,270.36,270.0,270.0,264.55,270.36,0.0
2025-01-30,1408.0,270.36,280.0,280.0,261.05,270.0,-0.36
2025-01-31,358.0,270.0,270.0,279.0,261.1,266.03,-3.97
2025-02-03,510.0,266.03,265.02,267.0,265.02,266.0,-0.03
2025-02-04,200.0,266.0,270.0,270.0,270.0,270.0,4.0
2025-02-06,720.0,270.0,270.0,270.0,265.5,265.5,-4.5
2025-02-07,650.0,265.5,258.0,272.95,258.0,267.98,2.48
2025-02-10,9.0,267.98,268.0,271.7,268.0,267.98,0.0
2025-02-11,1802.0,267.98,262.01,269.0,262.0,267.97,-0.01
2025-02-12,17.0,267.97,267.67,267.67,266.8,267.97,0.0
2025-02-13,6234.0,267.97,263.0,271.8,260.0,260.28,-7.69
2025-02-14,2398.0,260.28,261.0,265.0,260.05,262.0,1.72
2025-02-17,2605.0,262.0,258.55,263.55,258.55,260.32,-1.68
2025-02-18,1567.0,260.32,255.0,270.0,246.0,265.87,5.55
2025-02-19,4018.0,265.87,279.0,279.0,260.0,260.74,-5.13
