Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-03-21,350.0,662.19,612.53,612.53,612.53,612.53,-49.66
2024-04-29,87.0,605.69,560.26,560.26,560.26,560.26,-45.43
2024-05-14,148.0,560.26,518.24,518.24,518.24,518.24,-42.02
2024-05-16,369.0,518.24,479.37,515.0,479.37,480.71,-37.53
2024-05-17,32.0,480.71,444.66,444.66,444.66,460.73,-19.98
2024-05-20,201.0,460.73,426.18,426.18,426.18,426.18,-34.55
2024-05-21,1099.0,426.18,426.18,458.0,394.22,449.0,22.82
2024-05-22,303.0,449.0,415.33,465.0,415.33,416.48,-32.52
2024-05-23,2287.0,416.48,387.01,435.0,387.0,432.5,16.02
2024-05-24,395.0,432.5,410.1,450.0,401.1,438.11,5.61
2024-05-29,108.0,438.11,430.0,430.0,415.0,415.0,-23.11
2024-06-03,27.0,415.0,388.0,388.03,388.0,415.0,0.0
2024-06-04,293.0,415.0,390.01,425.0,384.0,398.4,-16.6
2024-06-05,1.0,398.4,390.0,390.0,390.0,398.4,0.0
2024-06-06,70.0,398.4,378.0,380.0,375.0,377.54,-20.86
2024-06-07,103.0,377.54,363.0,363.0,355.0,359.95,-17.59
2024-06-10,1.0,359.95,390.0,390.0,390.0,359.95,0.0
2024-06-11,1.0,359.95,0.0,0.0,0.0,359.95,0.0
2024-06-12,32.0,359.95,350.0,350.0,350.0,359.95,0.0
2024-06-13,336.0,359.95,390.0,390.0,329.5,345.05,-14.9
2024-06-14,100.0,345.05,359.95,359.95,359.95,359.95,14.9
2024-06-21,1.0,359.95,330.0,330.0,330.0,359.95,0.0
2024-06-24,63.0,359.95,340.02,340.02,340.0,359.95,0.0
2024-06-25,114.0,359.95,335.2,350.0,335.01,342.04,-17.91
2024-06-26,50.0,342.04,350.0,350.0,350.0,342.04,0.0
2024-06-28,1.0,342.04,359.2,359.2,359.2,342.04,0.0
2024-07-03,63.0,342.04,312.0,360.0,312.0,342.04,0.0
2024-07-04,881.0,342.04,354.9,354.9,319.99,320.0,-22.04
2024-07-05,15.0,320.0,339.0,339.0,337.5,320.0,0.0
2024-07-08,543.0,320.0,318.0,318.0,317.0,317.01,-2.99
2024-07-09,269.0,317.01,318.0,318.0,314.0,316.28,-0.73
2024-07-10,8.0,316.28,317.01,340.0,317.01,316.54,0.26
2024-07-12,3.0,316.54,300.0,339.98,300.0,316.54,0.0
2024-07-15,2.0,316.54,340.0,340.0,335.0,316.54,0.0
2024-07-18,1754.0,316.54,325.49,346.61,325.49,332.14,15.6
2024-07-19,1083.0,332.14,359.0,363.65,325.02,363.08,30.94
2024-07-22,710.0,363.08,332.0,385.0,332.0,336.58,-26.5
2024-07-23,116.0,336.58,302.92,360.0,302.92,309.11,-27.47
2024-07-24,461.0,309.11,320.05,340.02,320.05,340.02,30.91
2024-07-25,100.0,340.02,327.02,327.02,327.02,327.02,13.0
2024-07-26,236.0,327.02,327.02,347.86,327.02,342.09,15.07
2024-07-29,71.0,342.09,342.0,342.0,342.0,342.09,0.0
2024-07-30,187.0,342.09,368.9,376.3,368.9,372.87,30.78
