Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,10500.0,7.7,7.9,8.16,7.9,8.12,0.42
2024-01-02,2000.0,8.12,7.8,7.9,7.7,7.9,-0.22
2024-01-04,31000.0,7.9,7.7,8.0,7.7,8.0,0.1
2024-01-05,2000.0,8.0,7.71,7.99,7.71,7.99,-0.01
2024-01-08,8500.0,7.99,7.72,7.72,7.5,7.5,-0.49
2024-01-09,2000.0,7.5,7.5,7.5,7.5,7.5,0.0
2024-01-10,4000.0,7.5,7.31,7.31,7.3,7.3,-0.2
2024-01-11,33500.0,7.3,7.11,7.11,7.0,7.01,-0.29
2024-01-12,9000.0,7.01,7.3,7.35,7.3,7.31,0.3
2024-01-17,1000.0,7.31,7.07,7.07,7.07,7.07,-0.24
2024-01-23,500.0,7.07,7.01,7.01,7.01,7.01,-0.06
2024-01-29,500.0,7.01,7.0,7.0,7.0,7.0,-0.01
2024-02-02,1500.0,7.0,6.7,7.0,6.6,6.77,-0.23
2024-02-06,500.0,6.77,7.0,7.0,7.0,7.0,0.23
2024-02-07,11500.0,7.0,7.2,7.2,6.06,6.98,-0.02
2024-02-12,1000.0,6.98,0.0,0.0,0.0,6.98,0.0
2024-02-14,6000.0,6.98,6.9,7.0,6.9,7.0,0.02
2024-02-15,1000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-02-22,13500.0,7.0,6.7,6.7,6.22,6.6,-0.4
2024-02-23,500.0,6.6,0.0,0.0,0.0,6.6,0.0
2024-02-27,500.0,6.6,6.95,6.95,6.95,6.95,0.35
2024-02-28,5000.0,6.95,6.97,7.0,6.97,7.0,0.05
2024-03-01,500.0,7.0,7.1,7.1,7.1,7.1,0.1
2024-03-04,10500.0,7.1,7.0,7.45,7.0,7.3,0.2
2024-03-05,500.0,7.3,7.4,7.4,7.4,7.4,0.1
2024-03-06,2000.0,7.4,7.1,7.1,7.1,7.1,-0.3
2024-03-07,500.0,7.1,7.1,7.1,7.1,7.1,0.0
2024-03-08,3500.0,7.1,7.45,7.45,7.15,7.39,0.29
2024-03-11,500.0,7.39,7.4,7.4,7.4,7.4,0.01
2024-03-13,1000.0,7.4,7.1,7.1,7.1,7.1,-0.3
2024-03-15,500.0,7.1,7.1,7.1,7.1,7.1,0.0
2024-03-19,1500.0,7.1,6.8,7.4,6.8,7.3,0.2
2024-03-20,10500.0,7.3,7.3,7.4,7.3,7.4,0.1
2024-03-22,500.0,7.4,7.15,7.15,7.15,7.15,-0.25
2024-03-28,500.0,7.15,7.1,7.1,7.1,7.1,-0.05
2024-04-04,1000.0,7.1,7.1,7.1,7.1,7.1,0.0
2024-04-08,5000.0,7.1,7.0,7.0,7.0,7.0,-0.1
2024-04-09,8500.0,7.0,6.8,7.51,6.8,7.51,0.51
2024-04-15,70500.0,7.51,7.5,8.17,7.0,7.89,0.38
2024-04-16,4500.0,7.89,7.9,8.1,7.9,8.1,0.21
2024-04-17,287500.0,8.1,8.1,8.88,8.1,8.58,0.48
2024-04-18,439500.0,8.58,8.65,9.58,8.65,9.58,1.0
2024-04-19,619000.0,9.58,10.4,10.58,9.85,10.36,0.78
2024-04-22,284000.0,10.36,11.05,11.1,9.36,10.46,0.1
2024-04-23,21500.0,10.46,10.05,10.09,9.8,10.08,-0.38
2024-04-24,49000.0,10.08,10.47,10.47,10.0,10.08,0.0
2024-04-25,21000.0,10.08,9.12,10.25,9.08,10.0,-0.08
2024-04-26,8500.0,10.0,10.23,10.23,9.56,9.81,-0.19
2024-04-29,16500.0,9.81,9.01,10.0,9.01,9.63,-0.18
2024-04-30,10500.0,9.63,9.01,9.01,9.0,9.0,-0.63
2024-05-02,1000.0,9.0,8.44,8.44,8.44,8.44,-0.56
2024-05-03,26500.0,8.44,8.85,9.09,8.85,9.09,0.65
2024-05-06,1000.0,9.09,9.09,9.1,9.09,9.1,0.01
2024-05-07,8500.0,9.1,8.29,8.8,8.28,8.79,-0.31
2024-05-08,6000.0,8.79,8.74,8.9,8.45,8.45,-0.34
2024-05-09,11500.0,8.45,8.5,8.5,8.4,8.4,-0.05
2024-05-10,70000.0,8.4,8.02,8.69,8.0,8.5,0.1
2024-05-13,71500.0,8.5,8.5,9.0,8.5,9.0,0.5
2024-05-14,12500.0,9.0,9.0,9.5,9.0,9.5,0.5
2024-05-15,2500.0,9.5,9.0,9.25,9.0,9.25,-0.25
2024-05-16,70000.0,9.25,8.7,9.5,8.6,8.78,-0.47
2024-05-17,15000.0,8.78,9.05,9.35,8.99,9.02,0.24
2024-05-20,13500.0,9.02,9.0,9.0,9.0,9.0,-0.02
2024-05-21,500.0,9.0,9.1,9.1,9.1,9.1,0.1
2024-05-22,1500.0,9.1,8.45,8.98,8.45,8.98,-0.12
2024-05-23,21000.0,8.98,9.05,9.5,9.05,9.3,0.32
2024-05-24,74000.0,9.3,8.5,10.25,8.5,10.25,0.95
2024-05-27,31507.0,10.25,10.3,10.3,9.25,9.51,-0.74
2024-05-29,144100.0,9.51,9.9,9.93,9.0,9.0,-0.51
2024-05-30,21003.0,9.0,9.39,9.39,8.12,8.99,-0.01
2024-05-31,22210.0,8.99,9.0,9.0,8.71,8.85,-0.14
2024-06-03,57700.0,8.85,8.51,8.51,8.3,8.3,-0.55
2024-06-04,51397.0,8.3,8.5,8.5,7.99,8.05,-0.25
2024-06-05,502.0,8.05,8.01,8.29,8.01,8.29,0.24
2024-06-06,3053.0,8.29,8.5,8.58,8.2,8.51,0.22
2024-06-07,1350.0,8.51,8.3,8.35,8.2,8.33,-0.18
2024-06-10,2102.0,8.33,8.01,8.17,7.53,7.59,-0.74
2024-06-11,10503.0,7.59,8.25,8.59,7.9,8.23,0.64
2024-06-12,8039.0,8.23,8.49,8.7,8.1,8.26,0.03
2024-06-13,12414.0,8.26,8.26,8.5,7.7,8.02,-0.24
2024-06-14,12879.0,8.02,8.02,8.02,7.6,7.72,-0.3
2024-06-20,3429.0,7.72,7.89,8.2,7.89,7.95,0.23
2024-06-21,5901.0,7.95,8.2,8.4,8.15,8.23,0.28
2024-06-24,17240.0,8.23,8.23,8.23,7.27,7.99,-0.24
2024-06-25,3497.0,7.99,7.95,8.01,7.6,7.99,0.0
2024-06-26,21.0,7.99,7.7,8.1,7.7,7.99,0.0
2024-06-27,2624.0,7.99,7.7,8.2,7.7,8.0,0.01
2024-06-28,34552.0,8.0,8.0,8.0,7.25,7.53,-0.47
2024-07-01,11293.0,7.53,7.6,7.8,7.35,7.75,0.22
2024-07-02,4870.0,7.75,7.78,7.9,7.78,7.89,0.14
2024-07-03,123104.0,7.89,7.51,8.5,7.51,8.4,0.51
2024-07-04,15562.0,8.4,8.55,8.6,8.15,8.38,-0.02
2024-07-05,3099.0,8.38,8.2,8.49,8.0,8.3,-0.08
2024-07-08,4128.0,8.3,8.0,8.95,8.0,8.5,0.2
2024-07-09,30797.0,8.5,8.5,8.6,8.35,8.46,-0.04
2024-07-10,35802.0,8.46,8.21,8.5,8.2,8.25,-0.21
2024-07-11,18213.0,8.25,8.47,8.58,8.21,8.5,0.25
2024-07-12,2100.0,8.5,8.69,8.69,8.41,8.42,-0.08
2024-07-15,33155.0,8.42,8.59,8.7,8.3,8.64,0.22
2024-07-18,105567.0,8.64,8.8,9.5,8.71,8.87,0.23
2024-07-19,18614.0,8.87,9.2,9.44,8.7,8.89,0.02
2024-07-22,15161.0,8.89,9.0,9.3,9.0,9.0,0.11
2024-07-23,80059.0,9.0,9.0,9.31,8.0,9.23,0.23
2024-07-24,91948.0,9.23,9.35,9.49,8.8,9.44,0.21
2024-07-25,18945.0,9.44,9.4,9.84,9.2,9.49,0.05
2024-07-26,106170.0,9.49,9.35,9.69,9.0,9.03,-0.46
2024-07-29,31711.0,9.03,9.4,9.48,8.8,8.82,-0.21
2024-07-30,158302.0,8.82,9.0,9.28,8.8,9.01,0.19
2024-07-31,7001.0,9.01,8.99,9.0,8.82,8.93,-0.08
2024-08-01,41653.0,8.93,8.52,8.97,8.52,8.97,0.04
2024-08-02,14371.0,8.97,8.61,9.0,8.01,8.9,-0.07
2024-08-05,8100.0,8.9,8.88,8.99,8.6,8.8,-0.1
2024-08-06,121161.0,8.8,8.99,9.29,8.97,9.17,0.37
2024-08-07,7255.0,9.17,9.17,9.17,8.72,8.73,-0.44
