Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,103700.0,118.44,116.0,127.32,116.0,126.08,7.64
2024-01-02,52800.0,126.08,125.0,135.0,124.0,128.22,2.14
2024-01-03,8600.0,128.22,130.99,132.4,127.08,127.5,-0.72
2024-01-04,1400.0,127.5,125.0,129.85,125.0,126.96,-0.54
2024-01-05,5900.0,126.96,129.99,129.99,124.5,125.03,-1.93
2024-01-08,6900.0,125.03,129.9,129.9,123.52,123.6,-1.43
2024-01-09,2400.0,123.6,124.99,124.99,122.55,122.62,-0.98
2024-01-10,6100.0,122.62,121.5,123.0,120.0,120.51,-2.11
2024-01-11,1400.0,120.51,121.2,125.94,121.2,125.0,4.49
2024-01-12,2800.0,125.0,123.5,124.44,121.01,121.93,-3.07
2024-01-15,10100.0,121.93,127.4,127.45,120.0,123.38,1.45
2024-01-16,100.0,123.38,128.35,128.35,128.35,123.38,0.0
2024-01-17,700.0,123.38,119.0,122.75,117.97,120.3,-3.08
2024-01-18,1000.0,120.3,120.0,120.0,120.0,120.0,-0.3
2024-01-19,2900.0,120.0,127.99,127.99,117.5,120.71,0.71
2024-01-24,600.0,120.71,122.0,127.0,122.0,126.45,5.74
2024-01-25,2100.0,126.45,118.15,121.0,118.1,119.33,-7.12
2024-01-26,500.0,119.33,122.9,124.0,122.9,123.67,4.34
2024-01-29,6000.0,123.67,127.49,127.49,114.5,126.75,3.08
2024-01-30,6500.0,126.75,122.0,122.0,117.24,117.24,-9.51
2024-01-31,2400.0,117.24,118.45,119.44,114.15,119.44,2.2
2024-02-01,200.0,119.44,128.0,128.0,128.0,128.0,8.56
2024-02-02,11300.0,128.0,127.74,127.74,118.4,118.6,-9.4
2024-02-06,1800.0,118.6,119.9,119.9,115.1,117.72,-0.88
2024-02-07,800.0,117.72,116.5,121.48,116.5,121.48,3.76
2024-02-09,2100.0,121.48,112.37,116.5,112.37,116.5,-4.98
2024-02-12,500.0,116.5,122.9,122.9,111.11,111.7,-4.8
2024-02-13,1900.0,111.7,112.0,112.0,108.0,108.27,-3.43
2024-02-14,2400.0,108.27,115.94,115.94,110.0,111.17,2.9
2024-02-15,300.0,111.17,109.5,112.89,109.5,111.46,0.29
2024-02-16,4400.0,111.46,111.0,111.0,103.1,103.31,-8.15
2024-02-19,3100.0,103.31,101.0,104.05,101.0,103.08,-0.23
2024-02-20,1200.0,103.08,103.53,107.89,102.01,106.01,2.93
2024-02-21,2800.0,106.01,111.99,111.99,107.0,108.04,2.03
2024-02-22,100.0,108.04,114.44,114.44,114.44,108.04,0.0
2024-02-23,4100.0,108.04,112.9,115.0,110.0,110.0,1.96
2024-02-26,1900.0,110.0,117.65,117.65,110.0,110.04,0.04
2024-02-27,1100.0,110.04,110.0,110.0,110.0,110.0,-0.04
2024-02-29,7500.0,110.0,109.0,115.66,108.0,115.66,5.66
2024-03-01,7700.0,115.66,121.98,121.98,113.0,116.9,1.24
2024-03-04,300.0,116.9,114.15,117.98,114.15,116.7,-0.2
2024-03-05,1700.0,116.7,122.85,122.85,113.15,116.11,-0.59
2024-03-06,9600.0,116.11,117.0,117.49,111.0,112.0,-4.11
2024-03-07,9900.0,112.0,114.0,114.89,112.0,112.0,0.0
2024-03-08,400.0,112.0,114.0,118.74,114.0,118.74,6.74
2024-03-11,4300.0,118.74,113.0,115.0,110.1,111.06,-7.68
2024-03-12,3200.0,111.06,108.1,111.9,108.1,108.84,-2.22
2024-03-13,6900.0,108.84,107.5,107.5,101.0,103.72,-5.12
2024-03-14,2300.0,103.72,107.5,111.48,106.05,106.96,3.24
2024-03-15,8500.0,106.96,105.0,114.98,105.0,114.98,8.02
2024-03-18,61700.0,114.98,117.0,123.6,117.0,122.63,7.65
2024-03-19,38600.0,122.63,122.0,130.0,119.1,126.69,4.06
2024-03-20,42900.0,126.69,128.9,132.0,120.5,121.69,5.0
2024-03-21,10700.0,121.69,119.31,124.75,117.0,117.17,-4.52
2024-03-22,6700.0,117.17,118.0,118.0,114.0,114.71,-2.46
2024-03-25,4500.0,114.71,119.0,119.0,107.01,111.01,-3.7
2024-03-26,9500.0,111.01,112.0,116.0,108.0,113.26,2.25
2024-03-28,72900.0,113.26,118.0,121.75,117.25,121.65,8.39
2024-03-29,2900.0,121.65,120.0,122.0,120.0,120.0,-1.65
2024-04-01,20300.0,120.0,127.49,129.0,122.0,126.9,6.9
2024-04-02,28200.0,126.9,126.0,126.0,117.5,118.45,-8.45
2024-04-03,5500.0,118.45,118.5,118.89,118.0,118.0,-0.45
2024-04-04,24000.0,118.0,122.8,122.81,117.0,120.96,2.96
2024-04-08,7500.0,120.96,121.2,121.2,117.3,119.42,-1.54
2024-04-09,11600.0,119.42,119.9,125.0,117.2,120.05,0.63
2024-04-15,126800.0,120.05,122.95,129.05,121.0,128.5,8.45
2024-04-16,88600.0,128.5,129.01,131.5,121.0,122.53,-5.97
