Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,30.0,0.0,21460.0,0.0,0.0,22309.0,849.0
2024-01-02,30.0,0.0,22309.0,0.0,0.0,22245.0,64.0
2024-01-03,30.0,0.0,22245.0,0.0,0.0,22301.0,56.0
2024-01-04,30.0,0.0,22301.0,0.0,0.0,22291.0,10.0
2024-01-05,30.0,0.0,21925.0,0.0,0.0,21792.0,133.0
2024-01-08,30.0,0.0,22157.0,0.0,0.0,22070.0,87.0
2024-01-09,30.0,0.0,22070.0,0.0,0.0,22039.0,31.0
2024-01-10,30.0,0.0,21676.0,0.0,0.0,21547.0,129.0
2024-01-11,30.0,0.0,21547.0,0.0,0.0,21775.0,228.0
2024-01-12,30.0,0.0,22140.0,0.0,0.0,22154.0,14.0
2024-01-15,30.0,0.0,22154.0,0.0,0.0,22056.0,98.0
2024-01-16,30.0,0.0,21692.0,0.0,0.0,21485.0,207.0
2024-01-17,30.0,0.0,21846.0,0.0,0.0,21832.0,14.0
2024-01-18,30.0,0.0,21832.0,0.0,0.0,21703.0,129.0
2024-01-19,30.0,0.0,21343.0,0.0,0.0,21339.0,4.0
2024-01-22,30.0,0.0,22150.0,0.0,0.0,22476.0,326.0
2024-01-23,30.0,0.0,21653.0,0.0,0.0,21792.0,139.0
2024-01-24,30.0,0.0,22160.0,0.0,0.0,22304.0,144.0
2024-01-25,30.0,0.0,22304.0,0.0,0.0,22079.0,225.0
2024-01-26,30.0,0.0,22079.0,0.0,0.0,21873.0,206.0
2024-01-29,30.0,0.0,21534.0,0.0,0.0,22244.0,710.0
2024-01-30,30.0,0.0,22244.0,0.0,0.0,21945.0,299.0
2024-01-31,30.0,0.0,21945.0,0.0,0.0,22018.0,73.0
2024-02-01,30.0,0.0,22018.0,0.0,0.0,22210.0,192.0
2024-02-02,30.0,0.0,22210.0,0.0,0.0,22347.0,137.0
2024-02-06,30.0,0.0,22347.0,0.0,0.0,22620.0,273.0
2024-02-07,30.0,0.0,22620.0,0.0,0.0,22711.0,91.0
2024-02-09,30.0,0.0,22711.0,0.0,0.0,22230.0,481.0
2024-02-12,30.0,0.0,22230.0,0.0,0.0,21539.0,691.0
2024-02-13,30.0,0.0,21539.0,0.0,0.0,21576.0,37.0
2024-02-14,30.0,0.0,21234.0,0.0,0.0,21499.0,265.0
2024-02-15,30.0,0.0,21499.0,0.0,0.0,21001.0,498.0
2024-02-16,30.0,0.0,20578.0,0.0,0.0,20159.0,419.0
2024-02-19,30.0,0.0,20906.0,0.0,0.0,21151.0,245.0
2024-02-20,30.0,0.0,21151.0,0.0,0.0,21088.0,63.0
2024-02-21,30.0,0.0,21088.0,0.0,0.0,21513.0,425.0
2024-02-22,30.0,0.0,21513.0,0.0,0.0,21638.0,125.0
2024-02-23,30.0,0.0,21638.0,0.0,0.0,21894.0,256.0
2024-02-26,30.0,0.0,21894.0,0.0,0.0,22050.0,156.0
2024-02-27,30.0,0.0,22050.0,0.0,0.0,22075.0,25.0
2024-02-28,30.0,0.0,22075.0,0.0,0.0,22271.0,196.0
2024-02-29,30.0,0.0,22271.0,0.0,0.0,22653.0,382.0
2024-03-01,30.0,0.0,22653.0,0.0,0.0,22878.0,225.0
2024-03-04,30.0,0.0,22878.0,0.0,0.0,23144.0,266.0
2024-03-05,30.0,0.0,23144.0,0.0,0.0,22994.0,150.0
2024-03-06,30.0,0.0,22994.0,0.0,0.0,22920.0,74.0
2024-03-07,30.0,0.0,22920.0,0.0,0.0,22790.0,130.0
2024-03-08,30.0,0.0,22790.0,0.0,0.0,22641.0,149.0
2024-03-11,30.0,0.0,22641.0,0.0,0.0,22632.0,9.0
2024-03-12,30.0,0.0,22632.0,0.0,0.0,22347.0,285.0
2024-03-13,30.0,0.0,22347.0,0.0,0.0,22042.0,305.0
2024-03-14,30.0,0.0,22502.0,0.0,0.0,22749.0,247.0
2024-03-15,30.0,0.0,22284.0,0.0,0.0,22085.0,199.0
2024-03-18,30.0,0.0,22085.0,0.0,0.0,22050.0,35.0
2024-03-19,30.0,0.0,21681.0,0.0,0.0,21854.0,173.0
2024-03-20,30.0,0.0,22226.0,0.0,0.0,22224.0,2.0
2024-03-21,30.0,0.0,22224.0,0.0,0.0,22009.0,215.0
2024-03-22,30.0,0.0,22009.0,0.0,0.0,21881.0,128.0
2024-03-25,30.0,0.0,22341.0,0.0,0.0,22464.0,123.0
2024-03-26,30.0,0.0,22002.0,0.0,0.0,22120.0,118.0
2024-03-27,30.0,0.0,22120.0,0.0,0.0,22317.0,197.0
2024-03-28,30.0,0.0,21942.0,0.0,0.0,22104.0,162.0
2024-03-29,30.0,0.0,22955.0,0.0,0.0,22844.0,111.0
2024-04-01,30.0,0.0,22844.0,0.0,0.0,22780.0,64.0
2024-04-02,30.0,0.0,23156.0,0.0,0.0,23137.0,19.0
2024-04-03,30.0,0.0,22290.0,0.0,0.0,22565.0,275.0
2024-04-04,30.0,0.0,22565.0,0.0,0.0,22699.0,134.0
2024-04-08,30.0,0.0,22699.0,0.0,0.0,23163.0,464.0
2024-04-09,30.0,0.0,23163.0,0.0,0.0,23302.0,139.0
2024-04-15,30.0,0.0,23302.0,0.0,0.0,23347.0,45.0
2024-04-16,30.0,0.0,23347.0,0.0,0.0,23345.0,2.0
2024-04-17,30.0,0.0,23345.0,0.0,0.0,23248.0,97.0
2024-04-18,30.0,0.0,23248.0,0.0,0.0,23207.0,41.0
2024-04-19,30.0,0.0,23207.0,0.0,0.0,23448.0,241.0
2024-04-22,30.0,0.0,23448.0,0.0,0.0,23624.0,176.0
2024-04-23,30.0,0.0,23624.0,0.0,0.0,23610.0,14.0
2024-04-24,30.0,0.0,23610.0,0.0,0.0,23837.0,227.0
2024-04-25,30.0,0.0,23837.0,0.0,0.0,23764.0,73.0
2024-04-26,30.0,0.0,23764.0,0.0,0.0,24034.0,270.0
2024-04-29,30.0,0.0,24034.0,0.0,0.0,24800.0,766.0
2024-04-30,30.0,0.0,24800.0,0.0,0.0,24617.0,183.0
2024-05-02,30.0,0.0,24617.0,0.0,0.0,24434.0,183.0
2024-05-03,30.0,0.0,24434.0,0.0,0.0,24770.0,336.0
2024-05-06,30.0,0.0,24770.0,0.0,0.0,24945.0,175.0
2024-05-07,30.0,0.0,24945.0,0.0,0.0,24773.0,172.0
2024-05-08,30.0,0.0,24773.0,0.0,0.0,24668.0,105.0
2024-05-09,30.0,0.0,24668.0,0.0,0.0,24490.0,178.0
2024-05-10,30.0,0.0,24490.0,0.0,0.0,24494.0,4.0
2024-05-13,30.0,0.0,24494.0,0.0,0.0,24686.0,192.0
2024-05-14,30.0,0.0,24686.0,0.0,0.0,25017.0,331.0
2024-05-15,30.0,0.0,25017.0,0.0,0.0,25124.0,107.0
2024-05-16,30.0,0.0,25124.0,0.0,0.0,25187.0,63.0
2024-05-17,30.0,0.0,25187.0,0.0,0.0,25214.0,27.0
2024-05-20,30.0,0.0,25214.0,0.0,0.0,25074.0,140.0
2024-05-21,30.0,0.0,25074.0,0.0,0.0,25111.0,37.0
2024-05-22,30.0,0.0,25111.0,0.0,0.0,25034.0,77.0
2024-05-23,30.0,0.0,25034.0,0.0,0.0,25051.0,17.0
2024-05-24,30.0,0.0,25051.0,0.0,0.0,25351.0,300.0
2024-05-27,30.0,0.0,25351.0,0.0,0.0,25163.0,188.0
2024-05-29,30.0,0.0,24337.0,0.0,0.0,24034.0,303.0
2024-05-30,30.0,0.0,24850.0,0.0,0.0,24818.0,32.0
2024-05-31,30.0,0.0,24818.0,0.0,0.0,25142.0,324.0
2024-06-03,30.0,0.0,25142.0,0.0,0.0,24989.0,153.0
2024-06-04,30.0,0.0,24578.0,0.0,0.0,24266.0,312.0
2024-06-05,30.0,0.0,25179.0,0.0,0.0,25018.0,161.0
2024-06-06,30.0,0.0,25018.0,0.0,0.0,24911.0,107.0
2024-06-07,30.0,0.0,24409.0,0.0,0.0,24289.0,120.0
2024-06-10,30.0,0.0,24790.0,0.0,0.0,24549.0,241.0
2024-06-11,30.0,0.0,24549.0,0.0,0.0,24258.0,291.0
2024-06-12,30.0,0.0,23768.0,0.0,0.0,23796.0,28.0
2024-06-13,30.0,0.0,23425.0,0.0,0.0,24647.0,1222.0
2024-06-14,30.0,0.0,25525.0,0.0,0.0,25712.0,187.0
2024-06-20,30.0,0.0,25712.0,0.0,0.0,26468.0,756.0
2024-06-21,30.0,0.0,26468.0,0.0,0.0,26461.0,7.0
2024-06-24,30.0,0.0,25546.0,0.0,0.0,25362.0,184.0
2024-06-25,30.0,0.0,26271.0,0.0,0.0,26135.0,136.0
2024-06-26,30.0,0.0,26135.0,0.0,0.0,26322.0,187.0
2024-06-27,30.0,0.0,25815.0,0.0,0.0,25853.0,38.0
