Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,23200.0,0.7,1.7,1.7,1.7,1.7,1.0
2024-06-04,412453.0,1.7,2.7,2.7,2.0,2.7,1.0
2024-06-05,178603.0,2.7,3.68,3.7,3.5,3.7,1.0
2024-06-06,16154.0,3.7,4.7,4.7,4.7,4.7,1.0
2024-06-07,180712.0,4.7,5.7,5.7,5.31,5.67,0.97
2024-06-10,319917.0,5.67,6.48,6.48,4.67,4.67,1.0
2024-06-11,159847.0,4.67,4.1,4.3,3.67,3.71,-0.96
2024-06-12,17046.0,3.71,3.71,4.0,3.5,3.69,-0.02
2024-06-13,11123.0,3.69,3.56,4.18,3.31,3.53,-0.16
2024-06-14,31861.0,3.53,3.6,3.8,2.82,3.25,-0.28
2024-06-20,7113.0,3.25,3.85,3.85,3.35,3.7,0.45
2024-06-21,15226.0,3.7,3.5,4.44,3.36,3.36,-0.34
2024-06-24,7396.0,3.36,3.8,3.8,3.31,3.36,0.0
2024-06-25,5.0,3.36,3.0,3.5,3.0,3.36,0.0
2024-06-26,26949.0,3.36,4.25,4.25,2.51,3.1,-0.26
2024-06-27,13230.0,3.1,3.1,3.79,3.1,3.45,0.35
2024-06-28,243666.0,3.45,3.85,4.45,3.5,4.43,0.98
2024-07-01,54475.0,4.43,4.06,4.73,4.06,4.21,-0.22
2024-07-02,164318.0,4.21,4.0,5.21,4.0,5.21,1.0
2024-07-03,133677.0,5.21,5.45,5.45,4.6,4.77,-0.44
2024-07-04,55499.0,4.77,4.55,4.9,4.4,4.51,-0.26
2024-07-05,19591.0,4.51,4.8,4.8,4.15,4.42,-0.09
2024-07-08,4.0,4.42,4.0,4.8,4.0,4.42,0.0
2024-07-09,14017.0,4.42,4.8,4.8,4.16,4.26,-0.16
2024-07-10,1616.0,4.26,4.8,4.8,4.2,4.3,0.04
2024-07-11,128185.0,4.3,4.5,4.9,4.15,4.6,0.3
2024-07-12,33149.0,4.6,4.25,4.89,4.25,4.62,0.02
2024-07-15,25884.0,4.62,4.6,5.15,4.35,5.0,0.38
2024-07-18,36549.0,5.0,4.6,4.8,4.0,4.06,-0.94
2024-07-19,4617.0,4.06,4.1,4.1,3.71,4.0,-0.06
2024-07-22,34703.0,4.0,4.79,4.79,3.5,3.61,-0.39
2024-07-23,57309.0,3.61,3.1,3.84,3.1,3.38,-0.23
2024-07-24,81688.0,3.38,3.49,4.14,3.15,3.73,0.35
2024-07-25,14919.0,3.73,3.73,4.3,3.73,4.17,0.44
2024-07-26,79677.0,4.17,4.29,4.29,3.59,3.6,-0.57
2024-07-29,240140.0,3.6,3.7,4.6,3.7,4.6,1.0
2024-07-30,117905.0,4.6,5.49,5.6,5.49,5.6,1.0
2024-07-31,20706.0,5.6,6.6,6.6,6.6,6.6,1.0
2024-08-01,6573.0,6.6,7.6,7.6,7.6,7.6,1.0
2024-08-02,730973.0,7.6,8.6,8.6,6.6,6.6,1.0
2024-08-05,109393.0,6.6,5.9,6.39,5.7,5.77,-0.83
2024-08-06,53798.0,5.77,5.49,6.35,5.3,5.85,0.08
2024-08-07,78200.0,5.85,5.74,6.4,5.15,6.1,0.25
2024-08-08,13011.0,6.1,6.09,6.43,5.82,5.92,-0.18
2024-08-09,32416.0,5.92,5.15,6.65,5.15,6.4,0.48
2024-08-12,126265.0,6.4,7.0,7.0,6.0,6.01,-0.39
2024-08-13,192870.0,6.01,6.44,6.44,5.05,5.31,-0.7
2024-08-15,53113.0,5.31,5.69,5.69,5.0,5.53,0.22
2024-08-16,48456.0,5.53,5.6,5.6,5.1,5.1,-0.43
2024-08-19,9818.0,5.1,5.48,5.48,4.85,4.89,-0.21
2024-08-20,22730.0,4.89,4.61,4.89,4.5,4.88,-0.01
2024-08-21,168038.0,4.88,5.2,5.88,5.0,5.88,1.0
2024-08-22,194433.0,5.88,6.49,6.8,5.6,5.98,0.1
2024-08-23,56511.0,5.98,6.7,6.7,5.25,5.55,-0.43
2024-08-26,13357.0,5.55,5.21,5.58,5.11,5.53,-0.02
2024-08-27,60436.0,5.53,5.2,5.64,5.0,5.14,-0.39
2024-08-28,442373.0,5.14,5.3,6.14,5.1,6.14,1.0
2024-08-29,144821.0,6.14,6.3,6.78,5.26,6.16,0.02
2024-08-30,554029.0,6.16,6.35,7.16,5.9,6.25,0.09
2024-09-02,77143.0,6.25,6.25,6.4,5.45,5.99,-0.26
2024-09-03,228785.0,5.99,5.35,5.79,5.35,5.52,-0.47
2024-09-04,356348.0,5.52,5.55,6.52,5.55,6.4,0.88
2024-09-05,76258.0,6.4,6.15,6.5,6.0,6.27,-0.13
2024-09-06,353567.0,6.27,7.0,7.27,6.45,7.27,1.0
2024-09-09,251466.0,7.27,7.8,8.27,7.55,8.21,0.94
2024-09-10,55097.0,8.21,8.29,8.75,7.35,7.61,-0.6
2024-09-11,59189.0,7.61,8.0,8.01,7.1,7.22,-0.39
2024-09-12,357637.0,7.22,6.9,8.22,6.9,8.13,0.91
2024-09-13,136357.0,8.13,8.75,8.75,7.25,7.41,-0.72
2024-09-16,345079.0,7.41,7.2,8.41,7.2,8.41,1.0
2024-09-18,330523.0,8.41,9.4,9.41,7.55,8.12,-0.29
2024-09-19,39601.0,8.12,7.45,8.5,7.45,8.03,-0.09
2024-09-20,25857.0,8.03,8.4,8.75,7.6,7.64,-0.39
2024-09-23,8495.0,7.64,8.2,8.2,7.07,7.53,-0.11
2024-09-24,29908.0,7.53,6.86,7.9,6.86,7.12,-0.41
2024-09-25,72791.0,7.12,7.03,8.12,7.01,8.12,1.0
2024-09-26,176778.0,8.12,8.99,9.12,8.5,9.12,1.0
2024-09-27,201766.0,9.12,9.84,10.12,8.75,9.39,0.27
2024-09-30,81859.0,9.39,9.0,9.85,8.39,8.39,1.0
2024-10-01,34887.0,8.39,8.01,8.74,7.4,7.99,-0.4
2024-10-02,35476.0,7.99,7.2,8.25,7.09,7.63,-0.36
2024-10-03,46247.0,7.63,7.05,8.62,7.0,8.13,0.5
2024-10-04,16118.0,8.13,8.43,8.74,7.75,8.0,-0.13
2024-10-07,4504.0,8.0,8.08,8.1,7.76,7.76,-0.24
2024-10-08,5761.0,7.76,7.5,7.7,7.5,7.52,-0.24
2024-10-09,6669.0,7.52,7.5,7.85,7.5,7.55,0.03
2024-10-10,2392.0,7.55,7.55,7.55,7.15,7.46,-0.09
2024-10-11,4802.0,7.46,7.8,7.8,6.9,6.9,-0.56
2024-10-14,11115.0,6.9,7.3,7.4,6.55,7.0,0.1
2024-10-15,11767.0,7.0,7.48,7.9,6.65,7.5,0.5
2024-10-16,43012.0,7.5,8.35,8.35,7.5,7.72,0.22
2024-10-17,24174.0,7.72,8.0,8.39,7.4,7.4,-0.32
2024-10-18,29631.0,7.4,8.0,8.0,6.4,7.3,-0.1
2024-10-21,6506.0,7.3,7.75,7.75,7.25,7.33,0.03
2024-10-22,15695.0,7.33,7.25,7.25,7.0,7.12,-0.21
2024-10-23,19850.0,7.12,8.11,8.11,6.8,7.14,0.02
2024-10-24,190869.0,7.14,7.01,8.14,7.0,8.14,1.0
2024-10-25,84464.0,8.14,8.99,8.99,8.0,8.61,0.47
2024-10-28,122660.0,8.61,9.45,9.61,7.7,9.61,1.0
2024-10-29,159131.0,9.61,10.15,10.61,9.65,10.61,1.0
2024-10-30,115403.0,10.61,11.25,11.67,11.0,11.66,1.05
2024-10-31,113664.0,11.66,12.5,12.83,11.8,12.71,1.05
