Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,4396.0,778.6,780.0,789.99,775.0,784.28,5.68
2024-01-02,4570.0,784.28,782.0,792.0,765.0,771.64,-12.64
2024-01-03,934.0,771.64,772.5,792.0,766.0,774.68,3.04
2024-01-04,370.0,774.68,780.0,780.0,762.0,767.85,-6.83
2024-01-05,5235.0,767.85,763.67,780.0,720.25,764.06,-3.79
2024-01-08,1278.0,764.06,775.0,778.9,764.0,764.18,0.12
2024-01-09,25278.0,764.18,764.0,779.99,764.0,768.04,3.86
2024-01-10,2103.0,768.04,765.0,788.99,764.0,765.08,-2.96
2024-01-11,1264.0,765.08,770.1,770.1,764.0,764.05,-1.03
2024-01-12,3092.0,764.05,765.0,784.99,764.0,764.31,0.26
2024-01-15,176.0,764.31,774.76,774.76,766.0,767.29,2.98
2024-01-16,464.0,767.29,765.0,765.0,761.0,761.04,-6.25
2024-01-17,281.0,761.04,752.0,764.0,750.0,753.61,-7.43
2024-01-18,648.0,753.61,750.0,752.2,732.0,740.0,-13.61
2024-01-19,383.0,740.0,747.99,795.5,736.11,736.7,-3.3
2024-01-22,580.0,736.7,742.0,742.0,706.01,733.94,-2.76
2024-01-23,2377.0,733.94,730.1,739.99,725.0,729.38,-4.56
2024-01-24,1054.0,729.38,730.0,745.0,730.0,739.09,9.71
2024-01-25,37506.0,739.09,780.0,794.52,762.0,794.52,55.43
2024-01-26,42529.0,794.52,839.0,847.0,780.2,805.97,11.45
2024-01-29,16855.0,805.97,806.0,806.0,770.11,790.22,-15.75
2024-01-30,9415.0,790.22,791.0,796.0,785.0,787.92,-2.3
2024-01-31,2067.0,787.92,800.0,800.0,770.5,776.87,-11.05
2024-02-01,16710.0,776.87,785.18,795.5,780.0,784.66,7.79
2024-02-02,6100.0,757.66,780.11,784.99,748.0,760.77,3.11
2024-02-06,59.0,760.77,760.77,784.0,760.0,760.42,-0.35
2024-02-07,3729.0,760.42,756.01,786.0,750.0,778.6,18.18
2024-02-09,31199.0,778.6,750.11,775.01,750.0,756.34,-22.26
2024-02-12,31071.0,756.34,760.0,760.0,736.01,739.86,-16.48
2024-02-13,1615.0,739.86,736.0,755.02,735.5,751.01,11.15
2024-02-14,1573.0,751.01,768.0,780.0,750.01,771.3,20.29
2024-02-15,1983.0,771.3,775.0,775.0,740.0,749.36,-21.94
2024-02-16,725.0,749.36,750.0,765.0,733.0,742.26,-7.1
2024-02-19,1951.0,742.26,745.0,749.0,731.11,738.03,-4.23
2024-02-20,13319.0,738.03,738.0,766.0,738.0,765.0,26.97
2024-02-21,1077.0,765.0,775.0,780.0,758.0,770.0,5.0
2024-02-22,292.0,770.0,760.1,774.99,752.0,755.53,-14.47
2024-02-23,113.0,755.53,750.0,769.9,750.0,768.9,13.37
2024-02-26,3241.0,768.9,779.0,780.0,751.02,777.18,8.28
2024-02-27,339.0,777.18,778.0,778.0,752.1,755.84,-21.34
2024-02-28,3.0,755.84,762.0,769.95,762.0,755.84,0.0
2024-02-29,2366.0,755.84,777.94,780.0,760.0,774.71,18.87
2024-03-01,2032.0,774.71,773.0,799.0,772.99,783.9,9.19
2024-03-04,3165.0,783.9,789.93,814.0,765.11,801.56,17.66
2024-03-05,1643.0,801.56,780.12,801.0,780.0,799.99,-1.57
2024-03-06,500.0,799.99,780.12,799.89,776.2,781.12,-18.87
2024-03-07,2464.0,781.12,775.0,790.0,745.2,781.07,-0.05
2024-03-08,419.0,781.07,784.99,786.8,766.01,766.64,-14.43
2024-03-11,262.0,766.64,779.98,790.0,772.11,778.05,11.41
2024-03-12,1049.0,778.05,788.0,788.0,750.0,750.12,-27.93
2024-03-13,1122.0,750.12,749.99,755.0,742.57,749.99,-0.13
2024-03-14,7694.0,749.99,750.0,800.0,750.0,791.48,41.49
2024-03-15,7339.0,791.48,778.0,802.0,778.0,800.0,8.52
2024-03-18,15734.0,800.0,802.0,802.0,770.0,799.81,-0.19
2024-03-19,15030.0,799.81,799.0,815.0,799.0,807.48,7.67
2024-03-20,1603.0,807.48,810.0,810.01,791.01,809.78,2.3
2024-03-21,2226.0,809.78,815.0,835.0,810.0,818.62,8.84
2024-03-22,6881.0,818.62,844.99,844.99,791.01,799.32,-19.3
2024-03-25,3663.0,799.32,786.23,818.78,786.22,811.4,12.08
2024-03-26,1719.0,811.4,811.0,818.96,811.0,818.95,7.55
2024-03-27,5291.0,818.95,818.95,825.0,816.0,825.0,6.05
2024-03-28,3665.0,825.0,824.99,830.0,815.0,829.56,4.56
2024-03-29,3327.0,829.56,801.01,880.0,801.01,857.47,27.91
2024-04-01,1151.0,857.47,802.01,856.99,802.01,845.55,-11.92
2024-04-02,153.0,845.55,830.0,849.9,830.0,835.81,-9.74
2024-04-03,360.0,835.81,849.59,849.59,807.01,839.65,3.84
2024-04-04,1044.0,839.65,850.0,860.0,807.0,831.0,-8.65
2024-04-08,35.0,831.0,831.0,849.47,831.0,833.31,2.31
2024-04-09,1452.0,833.31,828.0,850.0,800.55,835.0,1.69
2024-04-15,879.0,835.0,827.0,849.0,827.0,835.22,0.22
2024-04-16,4518.0,835.22,830.11,842.05,830.0,840.02,4.8
2024-04-17,1055.0,840.02,839.99,841.0,835.0,841.0,0.98
2024-04-18,8710.0,841.0,844.9,844.9,822.05,833.9,-7.1
2024-04-19,1017.0,833.9,890.0,890.0,823.01,840.0,6.1
2024-04-22,9665.0,840.0,810.13,850.0,810.13,848.51,8.51
2024-04-23,811.0,848.51,840.05,850.0,840.0,850.0,1.49
2024-04-24,12915.0,850.0,835.0,888.0,830.11,856.93,6.93
2024-04-25,1880.0,856.93,842.0,878.98,793.0,851.05,-5.88
2024-04-26,1878.0,851.05,840.12,850.0,826.11,845.2,-5.85
2024-04-29,1316.0,845.2,831.11,847.85,821.0,821.62,-23.58
2024-04-30,1576.0,821.62,821.0,821.0,800.0,802.13,-19.49
2024-05-02,1819.0,802.13,801.99,802.0,780.0,795.07,-7.06
2024-05-03,542.0,795.07,780.11,810.0,780.0,803.28,8.21
2024-05-06,9887.0,803.28,790.11,814.0,780.11,808.0,4.72
2024-05-07,11.0,808.0,795.05,809.0,795.05,808.0,0.0
2024-05-08,286.0,808.0,809.9,809.9,790.01,795.0,13.0
2024-05-09,691.0,795.0,819.99,819.99,780.12,795.91,0.91
2024-05-10,26332.0,795.91,835.36,855.6,835.36,855.6,59.69
2024-05-13,10554.0,855.6,918.0,918.0,821.0,884.57,28.97
2024-05-14,1337.0,884.57,880.0,884.0,880.0,881.01,-3.56
2024-05-15,4220.0,881.01,889.9,900.0,887.0,888.32,7.31
2024-05-16,827.0,888.32,888.89,899.0,880.0,880.0,-8.32
2024-05-17,8713.0,880.0,882.01,938.0,880.0,899.02,19.02
2024-05-20,4070.0,899.02,900.0,910.0,890.0,903.3,4.28
2024-05-21,18850.0,903.3,903.3,924.99,902.0,914.89,11.59
2024-05-22,1051.0,914.89,915.0,915.0,881.0,886.55,-28.34
2024-05-23,15620.0,886.55,881.0,894.99,880.0,890.02,3.47
2024-05-24,17797.0,890.02,860.12,899.49,860.12,890.0,-0.02
2024-05-27,7169.0,890.0,890.0,895.01,870.0,877.37,-12.63
2024-05-29,15231.0,877.37,889.99,925.0,889.0,920.37,43.0
2024-05-30,3581.0,920.37,894.01,924.89,894.01,913.79,-6.58
2024-05-31,7852.0,913.79,910.0,924.97,890.0,917.23,3.44
2024-06-03,2331.0,917.23,924.0,924.0,881.1,908.0,-9.23
2024-06-04,7016.0,908.0,900.11,915.0,900.0,914.83,6.83
2024-06-05,12162.0,914.83,915.0,915.0,904.91,908.44,-6.39
2024-06-06,5406.0,908.44,910.0,915.0,890.0,895.79,-12.65
2024-06-07,21964.0,895.79,885.53,885.53,880.0,884.5,-11.29
2024-06-10,2925.0,884.5,884.51,915.0,875.0,900.1,15.6
2024-06-11,4259.0,900.1,900.0,910.0,899.98,900.38,0.28
2024-06-12,10721.0,900.38,913.47,916.0,905.99,906.17,5.79
2024-06-13,6485.0,906.17,915.0,915.0,885.11,914.98,8.81
2024-06-14,318.0,914.98,914.98,914.98,900.21,902.0,-12.98
2024-06-20,1223.0,902.0,899.01,915.0,899.01,912.3,10.3
2024-06-21,2773.0,912.3,911.0,915.0,900.0,905.0,-7.3
2024-06-24,3223.0,905.0,910.0,915.5,910.0,913.68,8.68
2024-06-25,7736.0,913.68,916.0,920.0,909.99,913.46,-0.22
2024-06-26,2303.0,913.46,915.0,925.0,915.0,921.39,7.93
2024-06-27,1254.0,921.39,924.0,925.0,902.0,924.76,3.37
2024-06-28,3494.0,924.76,929.0,930.0,927.9,929.49,4.73
2024-07-01,721.0,929.49,930.0,930.0,899.0,913.88,-15.61
2024-07-02,3564.0,913.88,903.0,925.0,903.0,923.62,9.74
2024-07-03,5577.0,923.62,910.0,925.0,903.0,922.19,-1.43
2024-07-04,17676.0,922.19,922.19,927.0,919.0,920.0,-2.19
2024-07-05,253.0,920.0,960.0,960.0,902.0,922.52,2.52
2024-07-08,495.0,922.52,928.0,930.0,915.0,924.81,2.29
2024-07-09,1425.0,924.81,915.0,925.0,900.0,921.15,-3.66
2024-07-10,2597.0,921.15,924.1,959.47,916.0,917.99,-3.16
2024-07-11,4.0,917.99,924.99,924.99,915.0,917.99,0.0
2024-07-12,20724.0,917.99,920.01,927.55,920.0,921.0,3.01
2024-07-15,1202.0,921.0,915.0,929.0,914.01,925.02,4.02
2024-07-18,1354.0,925.02,940.0,940.0,925.0,928.84,3.82
2024-07-19,4121.0,928.84,943.88,943.88,925.0,925.98,-2.86
2024-07-22,1307.0,925.98,949.99,955.0,905.0,905.11,-20.87
2024-07-23,30062.0,905.11,934.0,969.8,926.0,966.36,61.25
2024-07-24,23660.0,966.36,989.49,1000.0,965.0,993.65,27.29
2024-07-25,27884.0,993.65,985.0,1038.0,922.66,950.1,-43.55
2024-07-26,6747.0,950.1,955.0,979.99,931.01,941.14,-8.96
2024-07-29,1786.0,941.14,960.0,960.0,940.0,947.92,6.78
2024-07-30,1490.0,947.92,968.0,968.0,940.0,941.08,-6.84
2024-07-31,2739.0,941.08,937.0,938.9,920.0,920.08,21.0
2024-08-01,1729.0,920.08,915.0,933.99,901.0,910.28,-9.8
2024-08-02,2726.0,910.28,915.0,949.0,910.0,917.0,6.72
2024-08-05,3448.0,917.0,949.5,949.5,928.0,939.0,22.0
2024-08-06,2487.0,939.0,944.5,947.0,933.9,934.77,-4.23
2024-08-07,4319.0,934.77,930.11,989.0,890.0,927.54,-7.23
2024-08-08,1665.0,927.54,934.95,939.98,926.02,929.51,1.97
2024-08-09,1462.0,929.51,939.0,945.0,922.0,930.0,0.49
2024-08-12,3494.0,930.0,930.01,950.0,920.0,925.38,-4.62
2024-08-13,4795.0,925.38,921.0,938.0,910.11,916.8,-8.58
2024-08-15,11065.0,916.8,924.99,929.49,910.0,910.06,-6.74
2024-08-16,1893.0,910.06,906.51,923.0,906.5,913.64,3.58
2024-08-19,2045.0,913.64,927.99,930.0,915.0,923.66,10.02
2024-08-20,4222.0,923.66,920.0,939.0,861.0,925.14,1.48
2024-08-21,2678.0,925.14,910.12,938.0,901.0,904.11,-21.03
2024-08-22,4692.0,904.11,919.0,930.0,916.0,921.16,17.05
2024-08-23,17819.0,921.16,921.0,1000.0,915.51,997.03,75.87
2024-08-26,15148.0,997.03,989.0,1000.0,960.01,999.62,2.59
2024-08-27,3368.0,999.62,1010.0,1010.0,981.0,982.02,-17.6
2024-08-28,3507.0,982.02,998.0,998.0,975.01,987.13,5.11
2024-08-29,2251.0,987.13,985.0,990.0,980.0,980.61,-6.52
2024-08-30,101856.0,980.61,980.0,1025.0,980.0,1002.09,21.48
2024-09-02,1682.0,1002.09,1009.0,1018.0,1000.0,1000.47,-1.62
2024-09-03,2508.0,1000.47,1005.0,1016.0,1005.0,1012.71,12.24
2024-09-04,33332.0,1012.71,1012.0,1019.98,1002.5,1014.51,1.8
2024-09-05,1863.0,1014.51,1020.0,1020.0,1005.01,1007.4,-7.11
2024-09-06,2051.0,1007.4,1010.0,1019.96,1010.0,1014.99,7.59
2024-09-09,27493.0,1014.99,1020.0,1020.0,1008.0,1019.0,4.01
2024-09-10,11488.0,1019.0,1012.0,1022.0,1012.0,1018.99,-0.01
2024-09-11,16204.0,1018.99,1019.0,1020.0,1015.05,1016.47,-2.52
2024-09-12,11147.0,1016.47,1010.01,1023.0,1010.0,1017.35,0.88
2024-09-13,1921.0,1017.35,1023.9,1059.99,1020.0,1029.94,12.59
2024-09-16,2874.0,1029.94,1059.99,1065.0,1023.7,1045.61,15.67
2024-09-18,7354.0,1012.61,1000.0,1035.99,1000.0,1015.18,2.57
2024-09-19,82322.0,1015.18,1005.01,1116.7,999.0,1075.91,60.73
2024-09-20,4591.0,1075.91,1060.0,1075.0,1020.01,1055.22,-20.69
2024-09-23,3951.0,1055.22,1064.9,1065.0,1010.1,1017.97,-37.25
2024-09-24,1315.0,1017.97,1016.0,1016.0,1000.0,1008.9,-9.07
2024-09-25,4560.0,1008.9,1019.0,1040.0,1011.0,1028.12,19.22
2024-09-26,2484.0,1028.12,1055.0,1075.0,1015.0,1015.3,-12.82
2024-09-27,840.0,1015.3,1024.0,1024.0,1012.0,1020.13,4.83
2024-09-30,4186.0,1020.13,1015.0,1090.0,1002.11,1051.03,30.9
2024-10-01,3851.0,1051.03,1050.0,1098.0,1006.0,1050.76,-0.27
2024-10-02,4421.0,1050.76,1015.05,1035.0,1015.0,1021.9,-28.86
2024-10-03,5918.0,1021.9,1040.0,1040.0,1015.0,1015.99,-5.91
2024-10-04,7030.0,1015.99,1025.0,1049.89,1011.0,1040.53,24.54
2024-10-07,8727.0,1040.53,1041.0,1080.0,1041.0,1071.66,31.13
2024-10-08,28956.0,1071.66,1080.0,1166.44,1055.0,1143.24,71.58
2024-10-09,70425.0,1143.24,1144.0,1257.56,1143.24,1257.56,114.32
2024-10-10,8494.0,1257.56,1285.0,1370.0,1175.0,1193.58,-63.98
2024-10-11,14382.0,1193.58,1199.99,1199.99,1140.0,1163.17,-30.41
2024-10-14,3915.0,1163.17,1179.9,1179.9,1120.0,1149.73,-13.44
2024-10-15,1479.0,1149.73,1150.0,1157.0,1120.0,1124.2,-25.53
2024-10-16,2561.0,1124.2,1139.0,1140.0,1100.0,1123.26,-0.94
2024-10-17,2628.0,1123.26,1123.0,1135.0,1120.0,1120.42,-2.84
2024-10-18,1231.0,1120.42,1135.0,1150.0,1131.0,1144.97,24.55
2024-10-21,1145.0,1144.97,1184.0,1200.0,1157.0,1180.0,35.03
2024-10-22,4411.0,1180.0,1110.0,1200.0,1110.0,1175.0,5.0
2024-10-23,3776.0,1175.0,1189.0,1240.0,1189.0,1210.0,35.0
2024-10-24,12832.0,1210.0,1238.0,1242.0,1210.0,1236.97,26.97
2024-10-25,4000.0,1236.97,1344.99,1344.99,1200.0,1229.06,-7.91
2024-10-28,3218.0,1229.06,1200.0,1228.9,1160.33,1197.88,-31.18
2024-10-29,1445.0,1197.88,1240.0,1240.0,1165.0,1195.75,-2.13
2024-10-30,1213.0,1195.75,1196.0,1200.0,1160.5,1181.01,-14.74
2024-10-31,228.0,1181.01,1200.0,1200.0,1160.1,1173.73,-7.28
2024-11-01,2391.0,1173.73,1173.73,1174.0,1160.0,1170.0,-3.73
2024-11-04,704.0,1170.0,1219.0,1220.0,1175.0,1199.17,29.17
2024-11-05,2741.0,1199.17,1209.0,1210.0,1170.0,1181.41,-17.76
2024-11-06,441.0,1181.41,1180.01,1194.0,1180.01,1193.0,11.59
2024-11-07,3444.0,1193.0,1180.0,1193.0,1175.0,1175.07,-17.93
2024-11-08,1231.0,1175.07,1209.0,1209.0,1110.11,1174.97,-0.1
2024-11-11,1974.0,1174.97,1175.01,1196.0,1175.0,1190.0,15.03
2024-11-12,13254.0,1190.0,1180.01,1210.0,1168.0,1194.7,4.7
2024-11-13,5653.0,1194.7,1199.0,1199.0,1165.0,1170.0,-24.7
2024-11-14,1929.0,1170.0,1171.0,1193.9,1161.0,1174.43,4.43
2024-11-15,1926.0,1174.43,1162.02,1180.0,1158.0,1164.44,-9.99
2024-11-18,2908.0,1164.44,1160.0,1193.4,1155.0,1171.02,6.58
2024-11-19,3508.0,1171.02,1165.0,1179.99,1165.0,1169.02,2.0
2024-11-20,1629.0,1169.02,1175.0,1180.0,1165.0,1166.6,-2.42
2024-11-21,1426.0,1166.6,1179.9,1179.9,1161.0,1169.94,3.34
2024-11-22,5832.0,1169.94,1170.0,1170.0,1155.0,1158.7,-11.24
2024-11-25,645.0,1158.7,1169.5,1170.0,1157.9,1158.24,-0.46
2024-11-26,6566.0,1158.24,1154.51,1169.69,1120.0,1138.09,-20.15
2024-11-27,4406.0,1138.09,1166.63,1166.63,1126.5,1143.92,5.83
2024-11-28,2253.0,1143.92,1149.49,1150.0,1130.0,1148.92,5.0
2024-11-29,4351.0,1148.92,1150.0,1150.0,1140.0,1141.33,-7.59
2024-12-02,186091.0,1141.33,1141.33,1179.98,1139.0,1162.63,21.3
2024-12-03,9736.0,1162.63,1170.0,1174.74,1150.0,1162.02,-0.61
2024-12-04,59344.0,1162.02,1177.77,1185.0,1155.0,1156.82,-5.2
2024-12-05,10463.0,1156.82,1140.0,1181.0,1140.0,1153.04,-3.78
2024-12-06,4049.0,1153.04,1170.0,1170.0,1141.0,1142.72,-10.32
2024-12-09,25456.0,1142.72,1143.0,1148.0,1028.45,1094.88,-47.84
2024-12-10,30574.0,1094.88,1140.0,1150.0,1085.0,1131.45,36.57
2024-12-11,72933.0,1131.45,1142.4,1145.0,1120.0,1130.5,-0.95
2024-12-12,24546.0,1130.5,1144.0,1144.0,1041.0,1116.63,-13.87
2024-12-13,11489.0,1116.63,1118.0,1135.0,1081.01,1097.86,-18.77
2024-12-16,26049.0,1097.86,1105.0,1199.92,1063.0,1135.15,37.29
2024-12-17,13985.0,1135.15,1111.0,1135.15,1070.0,1079.91,-55.24
2024-12-18,11608.0,1079.91,1092.0,1124.98,1049.93,1055.05,-24.86
2024-12-19,7061.0,1055.05,1098.0,1098.0,1025.0,1025.42,-29.63
2024-12-20,3346.0,1025.42,1027.01,1073.98,1026.01,1038.81,13.39
2024-12-23,11241.0,1038.81,1058.0,1099.0,1040.03,1051.1,12.29
2024-12-24,88061.0,1051.1,1050.6,1120.0,1042.0,1073.95,22.85
