Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-12-18,110.0,63.91,70.3,70.3,70.3,70.3,6.39
2024-12-19,43959.0,70.3,77.33,77.33,75.0,77.33,7.03
2024-12-20,24912.0,77.33,85.06,85.06,85.06,85.06,7.73
2024-12-23,68618.0,85.06,93.57,93.57,77.1,93.57,8.51
2024-12-24,54455.0,93.57,102.93,102.93,97.5,102.82,9.25
2024-12-26,21550.0,102.82,111.99,113.1,111.97,113.1,10.28
2024-12-27,8780.0,113.1,124.41,124.41,124.41,124.41,11.31
2024-12-30,2651.0,124.41,136.85,136.85,136.85,136.85,12.44
2024-12-31,4295.0,136.85,150.54,150.54,150.54,150.54,13.69
2025-01-02,54522.0,165.59,178.0,182.15,168.01,182.15,16.56
2025-01-03,45780.0,182.15,200.37,200.37,195.12,200.37,18.22
2025-01-06,12977.0,200.37,220.41,220.41,220.3,220.41,20.04
2025-01-07,115678.0,220.41,242.45,242.45,198.37,198.37,-22.04
2025-01-08,44226.0,198.37,180.0,188.0,178.53,178.53,-19.84
2025-01-09,15395.0,178.53,160.68,169.0,160.68,160.68,-17.85
2025-01-10,3904.0,160.68,144.61,144.61,144.61,144.61,-16.07
2025-01-13,45484.0,144.61,130.15,159.07,130.15,159.07,14.46
2025-01-14,10086.0,159.07,174.98,174.98,174.98,174.98,15.91
2025-01-15,111398.0,174.98,192.48,192.48,157.48,172.7,-2.28
2025-01-16,24863.0,172.7,175.0,175.0,158.0,160.29,-12.41
2025-01-17,19625.0,160.29,145.5,160.0,145.5,155.97,-4.32
2025-01-20,26721.0,155.97,155.97,160.0,143.5,153.87,-2.1
2025-01-21,7182.0,153.87,156.0,156.0,146.0,146.96,-6.91
2025-01-22,13157.0,146.96,146.8,149.74,135.2,137.26,-9.7
2025-01-23,30434.0,137.26,144.9,150.99,135.05,150.99,13.73
2025-01-24,74302.0,150.99,156.51,166.09,152.09,157.06,6.07
2025-01-27,17755.0,157.06,160.6,164.0,156.81,158.51,1.45
2025-01-28,13036.0,158.51,159.99,159.99,143.12,150.62,-7.89
2025-01-29,16561.0,150.62,149.9,150.0,137.24,140.3,-10.32
2025-01-30,3884.0,140.3,143.99,145.78,140.0,144.89,4.59
2025-01-31,9890.0,144.89,156.0,156.15,147.35,150.22,5.33
2025-02-03,9378.0,150.22,152.22,162.0,148.0,151.3,1.08
2025-02-04,25260.0,151.3,157.99,157.99,138.01,141.03,-10.27
2025-02-06,5228.0,141.03,144.99,144.99,138.0,138.13,-2.9
2025-02-07,9677.0,138.13,140.0,144.74,132.0,133.2,-4.93
2025-02-10,2413.0,133.2,136.0,136.0,132.05,134.16,0.96
2025-02-11,18100.0,134.16,133.05,141.0,133.0,138.4,4.24
2025-02-12,7158.0,138.4,137.15,142.0,137.15,139.93,1.53
2025-02-13,2624.0,139.93,144.4,144.4,138.6,139.37,-0.56
2025-02-14,7375.0,139.37,142.89,142.89,136.0,136.02,-3.35
2025-02-17,3763.0,136.02,134.11,138.0,122.42,130.13,-5.89
2025-02-18,64358.0,130.13,136.99,136.99,117.12,117.12,-13.01
2025-02-19,49158.0,117.12,119.7,119.7,106.0,109.74,-7.38
2025-02-20,17376.0,109.74,109.98,115.55,106.15,108.07,-1.67
2025-02-21,4318.0,108.07,108.15,112.5,104.0,107.91,-0.16
2025-02-24,7588.0,107.91,110.99,110.99,104.35,104.56,-3.35
2025-02-25,9466.0,104.56,108.0,108.95,103.0,103.04,-1.52
2025-02-26,8827.0,103.04,106.66,110.0,98.1,102.53,-0.51
2025-02-27,11813.0,102.53,98.25,105.0,97.0,99.54,-2.99
2025-02-28,1980.0,99.54,100.0,102.0,97.06,98.35,-1.19
2025-03-03,44399.0,98.35,104.98,104.98,88.52,93.01,-5.34
2025-03-04,7655.0,93.01,95.0,97.98,91.51,97.26,4.25
2025-03-05,35548.0,97.26,99.65,102.32,95.05,98.4,1.14
2025-03-06,169342.0,98.4,95.0,108.24,93.16,99.99,1.59
2025-03-07,22441.0,99.99,100.0,103.25,97.0,99.82,-0.17
2025-03-10,37516.0,99.82,100.0,104.01,98.0,102.42,2.6
2025-03-11,1182.0,102.42,105.74,105.74,101.06,101.65,-0.77
2025-03-12,5887.0,101.65,102.36,103.24,101.0,101.17,-0.48
2025-03-13,6016.0,101.17,103.45,103.45,99.0,101.52,0.35
2025-03-14,11693.0,101.52,103.75,103.75,99.9,100.1,-1.42
2025-03-17,22520.0,100.1,100.0,100.05,95.0,97.63,-2.47
2025-03-18,11277.0,97.63,97.0,98.0,95.0,95.41,-2.22
2025-03-19,25403.0,95.41,95.3,98.0,85.87,90.3,-5.11
2025-03-20,15496.0,90.3,90.31,98.99,90.31,94.73,4.43
2025-03-21,6010.0,94.73,96.5,98.74,92.16,94.15,-0.58
2025-03-24,469.0,94.15,97.49,97.49,92.35,94.75,0.6
2025-03-25,2733.0,94.75,93.05,96.0,92.0,92.86,-1.89
2025-03-26,5223.0,92.86,93.0,95.95,91.02,92.02,-0.84
2025-03-27,3255.0,92.02,93.0,93.0,90.0,90.04,-1.98
2025-04-03,3252.0,90.04,93.45,93.45,90.01,91.01,0.97
2025-04-04,9463.0,91.01,91.7,93.5,90.05,92.36,1.35
2025-04-07,29253.0,92.36,90.03,92.0,83.12,84.83,-7.53
2025-04-08,4224.0,84.83,85.9,86.99,84.0,86.27,1.44
2025-04-09,7019.0,86.27,85.0,88.95,83.5,84.83,-1.44
2025-04-10,6450.0,84.83,86.5,88.98,85.1,86.99,2.16
2025-04-11,22748.0,86.99,86.66,90.99,85.0,86.84,-0.15
2025-04-14,14311.0,86.84,87.0,87.6,85.0,86.91,0.07
2025-04-15,2858.0,86.91,86.99,86.99,85.01,86.17,-0.74
2025-04-16,7148.0,86.17,87.0,87.89,84.7,85.01,-1.16
