Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-19,1000.0,16.0,15.0,15.0,14.8,14.9,-1.1
2024-01-22,1500.0,14.9,13.78,13.78,13.78,13.78,-1.12
2024-01-29,3000.0,11.85,11.51,11.51,10.9,10.9,-0.95
2024-02-02,7000.0,10.9,10.01,10.1,10.0,10.03,-0.87
2024-02-07,2000.0,10.03,10.05,10.05,10.05,10.05,0.02
2024-03-11,2500.0,10.05,10.0,11.05,10.0,11.05,1.0
2024-03-14,16500.0,11.05,10.05,11.5,10.05,11.5,0.45
2024-03-28,6000.0,11.5,10.5,10.51,10.5,10.5,1.0
2024-03-29,8000.0,10.5,10.05,10.05,10.0,10.0,-0.5
2024-04-02,1500.0,10.0,9.15,9.15,9.15,9.15,-0.85
2024-04-03,2000.0,9.15,10.15,10.15,10.0,10.0,0.85
2024-04-22,3500.0,10.0,9.25,9.25,9.25,9.25,-0.75
2024-04-23,4000.0,9.25,9.96,9.96,9.96,9.96,0.71
2024-04-24,1000.0,9.96,10.49,10.49,10.05,10.27,0.31
2024-04-26,500.0,10.27,10.81,10.81,10.81,10.81,0.54
2024-05-14,3000.0,10.81,9.81,10.79,9.81,10.79,-0.02
2024-05-22,500.0,10.79,9.8,9.8,9.8,9.8,-0.99
2024-06-10,500.0,9.8,0.0,0.0,0.0,9.8,0.0
2024-06-11,502.0,9.8,9.4,9.4,9.3,9.8,0.0
2024-06-21,1000.0,9.8,9.11,9.11,9.11,9.11,-0.69
2024-07-03,57000.0,9.11,10.0,10.11,10.0,10.11,1.0
2024-07-04,44853.0,10.11,11.11,11.11,10.99,11.11,1.0
2024-07-05,116301.0,11.11,11.85,12.11,11.24,11.99,0.88
2024-07-08,17400.0,11.99,12.05,13.12,12.0,13.11,1.12
2024-07-09,35650.0,13.11,13.15,14.0,12.71,12.85,-0.26
2024-07-10,3500.0,12.85,11.74,11.76,11.72,11.75,-1.1
2024-07-11,1000.0,11.75,11.75,11.75,11.75,11.75,0.0
2024-07-12,2001.0,11.75,0.0,0.0,0.0,11.75,0.0
2024-07-15,151.0,11.75,10.65,12.75,10.65,11.75,0.0
2024-07-18,2500.0,11.75,11.08,11.08,11.08,11.08,-0.67
2024-07-22,2052.0,11.08,10.06,10.74,10.05,10.15,-0.93
2024-07-23,10001.0,10.15,11.16,11.17,10.75,10.89,0.74
2024-07-24,17401.0,10.89,10.99,11.98,10.99,11.65,0.76
2024-07-25,77326.0,11.65,11.98,12.82,11.98,12.4,0.75
2024-07-26,1003.0,12.4,12.99,12.99,12.0,12.0,-0.4
2024-07-29,12003.0,12.0,11.7,12.8,11.7,11.75,-0.25
