Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,533216.0,26.99,26.0,28.0,26.0,27.63,0.64
2024-01-02,1041397.0,27.63,27.87,28.48,27.56,27.93,0.3
2024-01-03,550475.0,27.93,27.96,28.56,27.75,27.81,-0.12
2024-01-04,150103.0,27.81,27.85,28.05,27.5,27.55,-0.26
2024-01-05,166656.0,27.55,27.65,28.0,27.5,27.54,-0.01
2024-01-08,621162.0,27.54,27.6,28.0,27.45,27.68,0.14
2024-01-09,644605.0,27.68,27.75,28.19,27.51,27.57,-0.11
2024-01-10,408730.0,27.57,27.6,27.8,26.96,27.07,-0.5
2024-01-11,220468.0,27.07,27.34,27.4,26.96,27.09,0.02
2024-01-12,2021342.0,27.09,27.11,27.57,25.06,25.06,-2.03
2024-01-15,3638368.0,25.06,23.99,24.5,23.42,23.5,-1.56
2024-01-16,3474476.0,23.5,23.65,23.65,21.99,22.3,-1.2
2024-01-17,3103286.0,22.3,22.2,23.23,22.2,22.31,0.01
2024-01-18,1110811.0,22.31,22.66,22.66,22.03,22.38,0.07
2024-01-19,7255.0,22.59,22.5,22.5,20.9,21.3,-1.29
2024-01-22,1405484.0,21.54,21.56,21.9,20.8,21.01,-0.53
2024-01-23,992404.0,21.01,21.01,21.4,20.9,21.28,0.27
2024-01-24,950248.0,21.28,21.35,21.5,21.0,21.21,-0.07
2024-01-25,3762084.0,21.21,21.39,22.17,20.9,21.06,-0.15
2024-01-26,2509421.0,21.06,21.0,21.28,20.6,20.75,-0.31
2024-01-29,636271.0,20.75,20.94,20.98,20.5,20.55,-0.2
2024-01-30,1174414.0,20.55,20.65,21.03,19.63,19.8,-0.75
2024-01-31,733058.0,19.8,19.81,20.2,19.8,19.89,0.09
2024-02-01,332849.0,19.89,19.53,20.04,19.53,19.87,-0.02
2024-02-02,775160.0,19.87,19.9,20.44,19.62,20.14,0.27
2024-02-06,567445.0,20.14,20.41,20.65,20.1,20.57,0.43
2024-02-07,691170.0,20.57,20.89,20.99,20.6,20.79,0.22
2024-02-09,349856.0,20.79,20.0,20.5,19.75,20.42,-0.37
2024-02-12,1287335.0,20.42,20.3,20.65,18.89,18.93,-1.49
2024-02-13,824162.0,18.93,18.94,19.8,18.02,19.36,0.43
2024-02-14,951505.0,19.36,19.44,20.25,19.44,19.63,0.27
2024-02-15,389118.0,19.63,19.73,19.99,19.21,19.31,-0.32
2024-02-16,560202.0,19.31,19.3,19.43,18.7,18.85,-0.46
2024-02-19,582740.0,18.85,18.85,18.98,18.06,18.86,0.01
2024-02-20,680006.0,18.86,18.9,19.35,18.9,19.03,0.17
2024-02-21,4470730.0,19.03,19.3,19.9,18.3,18.46,-0.57
2024-02-22,867.0,18.88,19.0,19.0,18.2,18.98,0.1
2024-02-23,1594502.0,18.64,18.7,18.8,18.41,18.5,-0.14
2024-02-26,1325273.0,18.5,18.7,19.12,18.62,19.01,0.51
2024-02-27,857003.0,19.01,19.15,19.25,18.75,18.92,-0.09
2024-02-28,623571.0,18.92,18.9,19.1,18.75,18.8,-0.12
2024-02-29,3538444.0,18.8,18.8,19.6,18.8,19.4,0.6
2024-03-01,647412.0,19.4,19.25,19.5,19.18,19.32,-0.08
2024-03-04,527940.0,19.32,19.49,19.99,19.32,19.35,0.03
2024-03-05,360268.0,19.35,19.5,19.55,19.13,19.21,-0.14
2024-03-06,554470.0,19.21,19.21,19.25,18.9,18.98,-0.23
2024-03-07,297422.0,18.98,19.05,19.09,18.8,18.88,-0.1
2024-03-08,626287.0,18.88,18.82,19.4,18.82,19.22,0.34
2024-03-11,1000142.0,19.22,19.25,19.4,19.2,19.28,0.06
2024-03-12,568357.0,19.28,19.22,19.51,19.05,19.08,-0.2
2024-03-13,550319.0,19.08,19.05,19.38,18.85,18.92,-0.16
2024-03-14,547116.0,18.92,18.93,19.15,18.93,19.02,0.1
2024-03-15,210509.0,19.02,19.13,19.19,18.89,18.96,-0.06
2024-03-18,512509.0,18.96,19.29,19.29,18.8,18.92,-0.04
2024-03-19,835039.0,18.92,18.94,19.01,18.85,18.93,0.01
2024-03-20,659428.0,18.93,19.0,19.21,18.97,19.02,0.09
2024-03-21,512979.0,19.02,19.15,19.21,18.84,18.87,-0.15
2024-03-22,359128.0,18.87,18.85,19.06,18.7,18.87,0.0
2024-03-25,395307.0,18.87,19.0,19.08,18.75,18.92,0.05
2024-03-26,24.0,18.5,18.5,18.5,18.46,18.47,-0.03
2024-03-27,42831026.0,18.98,18.99,19.95,18.9,19.53,0.55
2024-03-28,27228578.0,19.53,19.74,19.89,19.26,19.56,0.03
2024-03-29,8262696.0,19.56,19.52,19.71,19.4,19.51,-0.05
2024-04-01,7227869.0,19.51,19.61,19.76,19.41,19.52,0.01
2024-04-02,4834207.0,19.52,19.6,19.6,19.36,19.48,-0.04
2024-04-03,7455686.0,19.48,19.49,19.79,19.35,19.64,0.16
2024-04-04,8344785.0,18.64,19.04,19.08,18.81,18.99,0.35
2024-04-08,3370774.0,18.99,19.1,19.14,18.82,19.03,0.04
2024-04-09,4168521.0,19.03,19.05,19.09,18.84,18.96,-0.07
2024-04-15,2005239.0,18.96,18.9,19.05,18.74,18.79,-0.17
2024-04-16,2309876.0,18.79,18.88,19.0,18.61,18.68,-0.11
2024-04-17,2805697.0,18.68,18.7,18.76,18.3,18.39,-0.29
2024-04-18,2079752.0,18.39,18.4,18.65,18.17,18.34,-0.05
