Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-05-24,11690.0,10.0,9.0,9.0,9.0,9.0,1.0
2024-05-27,53458.0,9.0,8.0,8.0,8.0,8.0,1.0
2024-05-29,22067.0,8.0,7.0,7.0,7.0,7.0,1.0
2024-05-30,126351.0,7.0,6.0,6.0,6.0,6.0,1.0
2024-05-31,4008132.0,6.0,5.0,5.55,5.0,5.0,1.0
2024-06-03,1219921.0,5.0,4.56,5.0,4.54,4.63,-0.37
2024-06-04,430921.0,4.63,4.75,4.84,4.01,4.37,-0.26
2024-06-05,202784.0,4.37,4.31,4.43,4.13,4.21,-0.16
2024-06-06,514890.0,4.21,4.13,4.35,3.95,4.0,-0.21
2024-06-07,278448.0,4.0,3.85,4.25,3.8,4.15,0.15
2024-06-10,193474.0,4.15,4.3,4.3,3.9,3.91,-0.24
2024-06-11,505071.0,3.91,4.1,4.1,3.45,3.53,-0.38
2024-06-12,288845.0,3.53,3.53,3.66,3.4,3.48,-0.05
2024-06-13,126777.0,3.48,3.59,3.59,3.1,3.42,-0.06
2024-06-14,278367.0,3.42,3.3,3.54,3.12,3.41,-0.01
2024-06-20,83420.0,3.41,3.56,3.56,3.4,3.43,0.02
2024-06-21,158772.0,3.43,3.61,3.61,3.3,3.31,-0.12
2024-06-24,181221.0,3.31,3.19,3.35,3.05,3.14,-0.17
2024-06-25,274102.0,3.14,3.14,3.25,3.02,3.08,-0.06
2024-06-26,333272.0,3.08,3.14,3.55,3.1,3.21,0.13
2024-06-27,119101.0,3.21,3.3,3.34,3.18,3.21,0.0
2024-06-28,191612.0,3.21,3.3,3.3,3.1,3.12,-0.09
2024-07-01,809118.0,3.12,3.27,3.97,3.1,3.74,0.62
2024-07-02,2024533.0,3.74,3.61,4.6,3.61,4.49,0.75
2024-07-03,1540094.0,4.49,4.22,4.94,4.13,4.33,-0.16
2024-07-04,1176028.0,4.33,4.35,4.88,4.21,4.39,0.06
2024-07-05,3196331.0,4.39,4.5,5.25,4.3,4.37,-0.02
2024-07-08,241197.0,4.37,4.5,4.59,3.6,4.21,-0.16
2024-07-09,557670.0,4.21,4.01,4.29,3.9,3.96,-0.25
2024-07-10,215440.0,3.96,4.18,4.18,3.75,3.81,-0.15
2024-07-11,302011.0,3.81,4.09,4.09,3.41,3.44,-0.37
2024-07-12,190906.0,3.44,3.77,4.03,3.21,3.39,-0.05
2024-07-15,186183.0,3.39,3.59,3.59,3.3,3.36,-0.03
2024-07-18,114464.0,3.36,3.36,3.5,3.2,3.3,-0.06
2024-07-19,343618.0,3.3,3.34,3.44,3.15,3.24,-0.06
2024-07-22,60486.0,3.24,3.32,3.34,3.2,3.25,0.01
2024-07-23,103230.0,3.25,3.3,3.3,3.18,3.22,-0.03
2024-07-24,240050.0,3.22,3.3,3.39,3.15,3.24,0.02
2024-07-25,270128.0,3.24,3.39,3.39,3.11,3.19,-0.05
2024-07-26,552582.0,3.19,3.16,3.49,3.02,3.13,-0.06
2024-07-29,455010.0,3.13,3.11,3.29,2.93,3.02,-0.11
2024-07-30,216942.0,3.02,3.05,3.19,3.0,3.0,-0.02
2024-07-31,974112.0,3.0,3.0,3.29,3.0,3.2,0.2
2024-08-01,497547.0,3.2,3.12,3.3,2.85,2.99,-0.21
2024-08-02,115864.0,2.99,3.18,3.18,2.82,2.94,-0.05
2024-08-05,130911.0,2.94,3.09,3.11,2.98,3.0,0.06
2024-08-06,592036.0,3.0,2.97,3.2,2.97,3.16,0.16
2024-08-07,1344450.0,3.16,3.05,3.58,3.05,3.23,0.07
2024-08-08,252527.0,3.23,3.29,3.44,3.1,3.16,-0.07
2024-08-09,82478.0,3.16,3.29,3.29,3.1,3.13,-0.03
2024-08-12,111144.0,3.13,3.22,3.22,3.07,3.07,-0.06
2024-08-13,311720.0,3.07,3.02,3.25,3.0,3.04,-0.03
2024-08-15,344502.0,3.04,3.02,3.19,2.98,3.0,-0.04
2024-08-16,72547.0,3.0,3.14,3.14,2.97,3.03,0.03
2024-08-19,48481.0,3.03,3.0,3.14,3.0,3.03,0.0
2024-08-20,103492.0,3.03,3.11,3.11,2.91,3.0,-0.03
2024-08-21,356291.0,3.0,2.97,3.05,2.97,3.0,0.0
2024-08-22,842613.0,3.0,3.13,3.49,3.0,3.29,0.29
2024-08-23,339423.0,3.29,3.34,3.4,3.12,3.17,-0.12
2024-08-26,58828.0,3.17,3.28,3.29,3.06,3.14,-0.03
2024-08-27,8064.0,3.14,3.25,3.25,3.11,3.14,0.0
