Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,108500.0,4.77,4.9,4.99,4.75,4.87,0.1
2024-01-02,144000.0,4.87,4.9,4.97,4.53,4.57,-0.3
2024-01-03,87000.0,4.57,4.6,4.76,4.41,4.54,-0.03
2024-01-04,110000.0,4.54,4.5,4.58,4.25,4.5,-0.04
2024-01-05,83000.0,4.5,4.5,4.7,4.35,4.6,0.1
2024-01-08,161500.0,4.6,4.6,4.85,4.4,4.61,0.01
2024-01-09,120000.0,4.61,4.69,4.74,4.0,4.23,-0.38
2024-01-10,470000.0,4.23,4.21,4.3,4.0,4.24,0.01
2024-01-11,20500.0,4.24,4.2,4.29,4.2,4.25,0.01
2024-01-12,90000.0,4.25,4.07,4.25,4.0,4.03,-0.22
2024-01-15,59500.0,4.03,4.2,4.28,4.06,4.25,0.22
2024-01-16,24000.0,4.25,4.11,4.3,4.1,4.3,0.05
2024-01-17,4500.0,4.3,4.3,4.3,4.2,4.21,-0.09
2024-01-18,3500.0,4.21,4.11,4.35,4.11,4.35,0.14
2024-01-19,48500.0,4.35,4.36,4.45,4.2,4.28,-0.07
2024-01-22,1000.0,4.28,4.3,4.4,4.3,4.4,0.12
2024-01-23,30500.0,4.4,4.35,4.71,4.35,4.56,0.16
2024-01-24,23500.0,4.56,4.49,4.69,4.4,4.59,0.03
2024-01-25,15500.0,4.59,4.46,4.59,4.45,4.51,-0.08
2024-01-26,18000.0,4.51,4.5,4.8,4.5,4.8,0.29
2024-01-29,41500.0,4.8,4.65,4.65,4.45,4.5,-0.3
2024-01-30,15500.0,4.5,4.5,4.5,4.4,4.4,-0.1
2024-01-31,207000.0,4.4,4.49,4.9,4.49,4.77,0.37
2024-02-01,5500.0,4.77,4.55,4.75,4.54,4.73,-0.04
2024-02-02,24000.0,4.73,4.65,4.7,4.4,4.5,-0.23
2024-02-06,594000.0,4.5,4.5,4.5,4.0,4.02,-0.48
2024-02-07,50000.0,4.02,4.14,4.14,4.0,4.02,0.0
2024-02-09,35000.0,4.02,4.01,4.08,3.96,4.0,-0.02
2024-02-12,51000.0,4.0,4.15,4.15,3.9,4.06,0.06
2024-02-13,13500.0,4.06,4.04,4.04,3.98,3.98,-0.08
2024-02-14,116000.0,3.98,3.87,4.15,3.87,3.97,-0.01
2024-02-15,116000.0,3.97,3.91,4.1,3.9,3.98,0.01
2024-02-16,26500.0,3.98,3.87,4.0,3.86,4.0,0.02
2024-02-19,6000.0,4.0,4.05,4.1,4.05,4.1,0.1
2024-02-20,6000.0,4.1,4.1,4.2,4.1,4.2,0.1
2024-02-21,33500.0,4.2,4.25,4.25,4.0,4.05,-0.15
2024-02-22,28500.0,4.05,4.18,4.2,4.0,4.19,0.14
2024-02-23,4500.0,4.19,4.2,4.3,4.2,4.3,0.11
2024-02-26,1000.0,4.3,4.05,4.25,4.05,4.25,-0.05
2024-02-27,20000.0,4.25,4.25,4.25,4.0,4.03,-0.22
2024-02-28,25500.0,4.03,4.03,4.32,4.0,4.16,0.13
2024-02-29,79000.0,4.16,4.37,4.74,4.37,4.74,0.58
2024-03-01,37500.0,4.74,4.6,4.6,4.5,4.5,-0.24
2024-03-04,1500.0,4.5,4.3,4.72,4.3,4.72,0.22
2024-03-05,3500.0,4.72,4.44,4.65,4.41,4.65,-0.07
2024-03-06,22000.0,4.65,4.5,4.61,4.5,4.5,-0.15
2024-03-07,5000.0,4.5,4.35,4.63,4.35,4.5,0.0
2024-03-08,12000.0,4.5,4.5,4.64,4.5,4.5,0.0
2024-03-11,59500.0,4.5,4.5,4.7,4.4,4.45,-0.05
2024-03-12,16000.0,4.45,4.32,4.32,4.25,4.27,-0.18
2024-03-13,6000.0,4.27,4.26,4.48,4.25,4.27,0.0
2024-03-14,28000.0,4.27,4.25,4.25,4.05,4.11,-0.16
2024-03-15,365500.0,4.11,4.25,4.48,4.25,4.4,0.29
2024-03-18,6000.0,4.4,4.3,4.47,4.25,4.46,0.06
2024-03-19,460000.0,4.46,4.49,4.75,4.4,4.47,0.01
2024-03-20,1500500.0,4.47,4.59,5.47,4.55,5.47,1.0
2024-03-21,2573500.0,5.47,6.45,6.47,5.57,6.01,0.54
2024-03-22,993500.0,6.01,5.65,6.85,5.01,5.11,-0.9
2024-03-25,1196500.0,5.11,5.0,6.11,4.85,5.98,0.87
2024-03-26,3026500.0,5.98,6.1,6.44,4.98,5.06,-0.92
2024-03-27,524000.0,5.06,4.87,5.5,4.87,5.12,0.06
2024-03-28,156000.0,5.12,5.1,5.27,5.0,5.04,-0.08
2024-03-29,44500.0,5.04,5.15,5.32,4.93,5.04,0.0
2024-04-01,126500.0,5.04,5.01,5.18,4.85,4.9,-0.14
2024-04-02,195500.0,4.9,4.9,5.02,4.8,4.8,-0.1
2024-04-03,148000.0,4.8,4.8,4.9,4.76,4.8,0.0
2024-04-04,57500.0,4.8,4.8,4.81,4.75,4.78,-0.02
2024-04-08,43000.0,4.78,4.77,5.0,4.77,4.88,0.1
2024-04-09,134500.0,4.88,4.73,4.94,4.7,4.79,-0.09
2024-04-15,249000.0,4.79,4.89,4.89,4.45,4.74,-0.05
2024-04-16,29000.0,4.74,4.56,4.81,4.55,4.58,-0.16
2024-04-17,214500.0,4.58,4.53,5.19,4.51,4.83,0.25
2024-04-18,180000.0,4.83,4.75,4.99,4.7,4.79,-0.04
2024-04-19,221500.0,4.79,4.76,4.94,4.71,4.76,-0.03
2024-04-22,277500.0,4.76,4.7,4.85,4.63,4.79,0.03
2024-04-23,49000.0,4.79,4.7,4.83,4.7,4.75,-0.04
2024-04-24,89500.0,4.75,4.84,4.9,4.71,4.76,0.01
2024-04-25,66500.0,4.76,4.77,4.94,4.72,4.73,-0.03
2024-04-26,66000.0,4.73,4.8,4.8,4.7,4.79,0.06
2024-04-29,336000.0,4.79,4.85,4.85,4.4,4.43,-0.36
2024-04-30,96500.0,4.43,4.57,4.65,4.47,4.56,0.13
2024-05-02,64500.0,4.56,4.6,4.7,4.51,4.52,-0.04
2024-05-03,78500.0,4.52,4.65,4.84,4.6,4.78,0.26
2024-05-06,139000.0,4.78,4.8,5.0,4.8,4.98,0.2
2024-05-07,701500.0,4.98,4.94,5.5,4.9,5.24,0.26
2024-05-08,101500.0,5.24,5.24,5.35,5.0,5.2,-0.04
