Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,39544.0,2096.1,2103.99,2157.0,2098.0,2147.3,51.2
2024-01-02,35404.0,2147.3,2160.0,2160.0,2080.0,2100.19,-47.11
2024-01-03,58585.0,2100.19,2099.99,2138.0,2071.0,2097.87,-2.32
2024-01-04,13890.0,2097.87,2103.01,2128.44,2085.0,2113.4,15.53
2024-01-05,83318.0,2113.4,2119.99,2163.0,2090.0,2127.39,13.99
2024-01-08,32292.0,2127.39,2148.99,2163.2,2105.0,2116.41,-10.98
2024-01-09,18595.0,2116.41,2120.0,2137.0,2096.0,2105.4,-11.01
2024-01-10,19416.0,2105.4,2109.99,2118.0,2087.42,2097.11,-8.29
2024-01-11,199802.0,2097.11,2098.0,2254.39,2098.0,2254.39,157.28
2024-01-12,218567.0,2254.39,2300.0,2379.99,2260.0,2319.26,64.87
2024-01-15,56869.0,2319.26,2340.0,2353.53,2281.0,2303.31,-15.95
2024-01-16,140873.0,2303.31,2295.0,2338.1,2250.0,2319.35,16.04
2024-01-17,263200.0,2319.35,2324.99,2360.0,2320.0,2348.37,29.02
2024-01-18,122409.0,2348.37,2348.08,2369.0,2285.0,2349.18,0.81
2024-01-19,57516.0,2349.18,2350.0,2481.81,2350.0,2375.37,26.19
2024-01-22,69258.0,2375.37,2370.0,2457.0,2349.01,2428.65,53.28
2024-01-23,135541.0,2428.65,2455.0,2522.0,2401.01,2502.66,74.01
2024-01-24,116599.0,2502.66,2510.0,2540.0,2479.0,2497.21,-5.45
2024-01-25,425967.0,2497.21,2500.0,2569.0,2500.0,2534.66,37.45
2024-01-26,81092.0,2534.66,2528.0,2529.89,2445.0,2452.37,-82.29
2024-01-29,73283.0,2452.37,2448.51,2487.0,2335.0,2353.16,-99.21
2024-01-30,65349.0,2353.16,2341.0,2389.0,2260.0,2292.08,-61.08
2024-01-31,79230.0,2292.08,2335.0,2335.0,2250.0,2259.73,-32.35
2024-02-01,56687.0,2259.73,2265.0,2353.0,2250.0,2328.14,68.41
2024-02-02,18465.0,2230.14,2323.0,2323.0,2227.0,2238.84,8.7
2024-02-06,59478.0,2238.84,2235.0,2329.99,2235.0,2316.57,77.73
2024-02-07,19979.0,2316.57,2315.0,2345.0,2300.07,2330.85,14.28
2024-02-09,54378.0,2330.85,2300.0,2300.0,2200.0,2274.11,-56.74
2024-02-12,57967.0,2274.11,2241.01,2269.99,2130.0,2147.01,-127.1
2024-02-13,157198.0,2147.01,2165.0,2308.04,2100.0,2308.04,161.03
2024-02-14,51186.0,2308.04,2315.0,2389.4,2266.51,2321.78,13.74
2024-02-15,40205.0,2321.78,2320.0,2325.0,2250.0,2267.11,-54.67
2024-02-16,58581.0,2267.11,2201.1,2276.0,2181.9,2198.25,-68.86
2024-02-19,29462.0,2198.25,2200.0,2255.0,2171.71,2202.01,3.76
2024-02-20,28333.0,2202.01,2205.0,2219.0,2150.0,2157.35,-44.66
2024-02-21,43763.0,2157.35,2181.0,2225.0,2152.0,2202.46,45.11
2024-02-22,26828.0,2202.46,2229.0,2255.0,2200.0,2214.68,12.22
2024-02-23,26928.0,2214.68,2220.0,2280.0,2201.0,2266.7,52.02
2024-02-26,42650.0,2266.7,2275.0,2317.8,2250.0,2271.66,4.96
2024-02-27,33713.0,2271.66,2300.0,2334.99,2260.01,2316.87,45.21
2024-02-28,24845.0,2316.87,2319.0,2379.5,2298.44,2327.31,10.44
2024-02-29,21453.0,2327.31,2344.0,2369.99,2335.05,2348.55,21.24
2024-03-01,75621.0,2348.55,2350.0,2524.69,2350.0,2462.05,113.5
