Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,317535.0,172.55,171.25,180.0,171.25,179.07,6.52
2024-01-02,293301.0,179.07,179.94,181.43,177.8,178.16,-0.91
2024-01-03,445499.0,178.16,178.0,180.0,176.11,176.99,-1.17
2024-01-04,73947.0,176.99,178.55,178.55,175.28,176.69,-0.3
2024-01-05,334883.0,176.69,175.15,177.8,174.5,177.11,0.42
2024-01-08,137216.0,177.11,177.75,177.8,175.0,175.18,-1.93
2024-01-09,387254.0,175.18,176.19,177.0,173.5,175.02,-0.16
2024-01-10,129254.0,175.02,175.09,175.76,174.02,175.37,0.35
2024-01-11,156553.0,175.37,175.0,176.0,174.0,175.17,-0.2
2024-01-12,342848.0,175.17,175.2,178.5,173.5,175.39,0.22
2024-01-15,149221.0,175.39,175.5,177.8,175.5,176.21,0.82
2024-01-16,156158.0,176.21,177.25,177.3,173.51,175.0,-1.21
2024-01-17,199819.0,175.0,174.02,177.0,174.02,175.96,0.96
2024-01-18,258712.0,175.96,176.79,177.75,173.11,176.31,0.35
2024-01-19,160238.0,176.31,177.87,178.78,176.11,177.53,1.22
2024-01-22,317787.0,177.53,177.9,178.8,176.2,178.13,0.6
2024-01-23,1285313.0,178.13,179.18,180.0,177.2,178.18,0.05
2024-01-24,173479.0,178.18,178.32,179.48,177.0,178.23,0.05
2024-01-25,387122.0,178.23,178.99,180.02,177.7,177.78,-0.45
2024-01-26,1499028.0,177.78,178.9,178.99,176.22,177.88,0.1
2024-01-29,381346.0,177.88,178.88,178.88,174.6,175.67,-2.21
2024-01-30,759027.0,175.67,177.75,179.96,176.0,178.21,2.54
2024-01-31,287765.0,178.21,177.05,180.0,177.05,179.05,0.84
2024-02-01,176938.0,179.05,180.99,181.0,177.51,180.23,1.18
2024-02-02,195987.0,180.23,180.23,184.7,180.23,184.04,3.81
2024-02-06,1607305.0,184.04,184.0,189.01,183.0,185.76,1.72
2024-02-07,305260.0,185.76,186.05,186.85,185.02,185.61,-0.15
2024-02-09,156627.0,185.61,185.96,190.0,180.1,183.76,-1.85
2024-02-12,352317.0,183.76,181.05,185.0,181.01,182.14,-1.62
2024-02-13,191116.0,182.14,184.0,185.85,178.11,184.65,2.51
2024-02-14,66268.0,184.65,184.5,186.5,182.05,186.06,1.41
2024-02-15,451644.0,186.06,186.1,187.87,184.1,185.53,-0.53
2024-02-16,918448.0,185.53,185.4,187.2,185.0,186.4,0.87
2024-02-19,699953.0,186.4,183.11,188.0,183.0,186.23,-0.17
2024-02-20,215374.0,186.23,187.02,187.75,184.0,184.23,2.0
2024-02-21,323214.0,184.23,186.45,188.0,184.51,187.5,3.27
2024-02-22,916771.0,187.5,188.4,188.75,185.0,187.64,0.14
2024-02-23,277694.0,187.64,187.98,192.5,187.0,191.79,4.15
2024-02-26,176305.0,191.79,191.0,196.0,191.0,193.48,1.69
2024-02-27,440567.0,193.48,194.0,195.29,191.51,193.1,-0.38
2024-02-28,1383363.0,193.1,190.15,198.5,190.15,196.62,3.52
2024-02-29,868142.0,196.62,197.98,200.0,195.97,198.0,1.38
2024-03-01,195687.0,198.0,199.0,201.0,198.51,200.29,2.29
2024-03-04,3220381.0,200.29,200.0,202.49,198.5,200.58,0.29
2024-03-05,144888.0,200.58,201.5,203.0,200.0,201.24,0.66
2024-03-06,559949.0,201.24,201.02,205.5,201.02,203.97,2.73
2024-03-07,4087394.0,203.97,203.2,205.77,201.0,201.6,-2.37
2024-03-08,174300.0,201.6,204.88,204.88,200.0,200.82,-0.78
2024-03-11,515982.0,200.82,201.97,201.97,196.0,198.61,-2.21
2024-03-12,1048818.0,198.61,199.98,199.98,197.55,198.73,0.12
2024-03-13,215985.0,198.73,199.0,200.2,197.51,198.61,-0.12
2024-03-14,344691.0,189.61,188.99,191.9,188.0,188.93,-0.68
2024-03-15,217322.0,188.93,189.49,190.0,186.01,188.91,-0.02
2024-03-18,59655.0,188.91,189.0,189.5,185.9,186.71,-2.2
2024-03-19,791088.0,186.71,189.0,193.5,187.0,192.47,5.76
2024-03-20,139079.0,192.47,192.01,195.0,192.0,193.55,1.08
2024-03-21,313177.0,193.55,194.6,197.0,188.0,195.54,1.99
2024-03-22,309789.0,195.54,195.75,196.0,193.0,194.86,-0.68
2024-03-25,168496.0,194.86,193.25,195.94,193.2,195.06,0.2
2024-03-26,41927.0,195.06,195.77,195.77,193.54,193.83,-1.23
2024-03-27,414428.0,193.83,193.41,198.8,193.41,197.13,3.3
2024-03-28,602903.0,197.13,197.0,200.3,197.0,200.04,2.91
2024-03-29,239673.0,200.04,200.99,203.94,199.91,203.26,3.22
2024-04-01,157131.0,203.26,203.0,205.0,203.0,203.96,0.7
2024-04-02,64276.0,203.96,204.0,206.41,204.0,205.8,1.84
2024-04-03,99896.0,205.8,205.11,206.43,204.01,205.07,-0.73
2024-04-04,142213.0,205.07,201.0,207.8,201.0,207.11,2.04
2024-04-08,332836.0,207.11,205.01,217.5,205.01,216.2,9.09
2024-04-09,747931.0,216.2,216.9,222.0,209.51,214.02,-2.18
2024-04-15,370465.0,214.02,208.1,213.49,204.55,207.21,-6.81
2024-04-16,307624.0,207.21,207.05,209.9,206.2,207.82,0.61
