Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,28000.0,28.3,29.48,30.41,29.48,30.41,2.11
2024-01-03,11000.0,30.41,30.01,30.01,30.01,30.01,-0.4
2024-01-04,500.0,30.01,30.5,30.5,30.5,30.5,0.49
2024-01-05,40000.0,30.5,29.6,29.6,29.5,29.5,1.0
2024-01-08,20000.0,29.5,29.5,29.5,29.5,29.5,0.0
2024-01-09,29000.0,29.5,29.55,29.55,29.5,29.5,0.0
2024-01-10,15000.0,29.5,29.5,29.5,29.5,29.5,0.0
2024-01-11,16000.0,29.5,29.5,30.0,29.45,29.45,-0.05
2024-01-12,25000.0,29.45,30.0,30.0,29.6,29.99,0.54
2024-01-15,3000.0,29.99,30.0,30.0,29.9,29.9,-0.09
2024-01-16,1500.0,29.9,29.9,29.9,29.9,29.9,0.0
2024-01-17,26500.0,29.9,29.45,29.5,29.3,29.3,-0.6
2024-01-18,6000.0,29.3,29.25,29.25,29.01,29.01,-0.29
2024-01-19,500.0,29.01,29.98,29.98,29.98,29.98,0.97
2024-01-22,2500.0,29.98,29.98,29.99,29.98,29.98,0.0
2024-01-23,2000.0,29.98,29.99,29.99,29.99,29.99,0.01
2024-01-24,17000.0,29.99,30.0,30.0,29.01,29.13,-0.86
2024-01-26,184000.0,29.13,29.0,29.9,29.0,29.33,0.2
2024-01-29,3000.0,29.33,0.0,0.0,0.0,29.33,0.0
2024-01-30,4000.0,29.33,0.0,0.0,0.0,29.33,0.0
2024-01-31,500.0,29.33,29.84,29.84,29.84,29.84,0.51
2024-02-01,8500.0,29.84,29.98,30.0,29.6,29.6,-0.24
2024-02-02,16500.0,29.6,30.25,30.75,30.24,30.75,1.15
2024-02-06,240500.0,30.75,33.06,33.06,31.75,32.0,1.25
2024-02-07,140000.0,32.0,32.0,32.45,31.75,31.98,-0.02
2024-02-09,115000.0,31.98,31.75,31.9,31.05,31.3,-0.68
2024-02-12,149500.0,31.3,31.3,31.75,31.3,31.55,0.25
2024-02-13,64000.0,31.55,31.45,33.25,31.4,32.68,1.13
2024-02-14,63000.0,29.18,30.0,30.0,29.0,29.22,0.04
2024-02-15,500.0,29.22,29.22,29.22,29.22,29.22,0.0
2024-02-16,9500.0,29.22,29.0,29.0,28.2,28.21,-1.01
2024-02-19,1500.0,28.21,28.2,28.2,28.02,28.1,-0.11
2024-02-20,5500.0,28.1,28.01,28.99,28.01,28.98,0.88
2024-02-21,6000.0,28.98,28.2,28.95,28.2,28.95,-0.03
2024-02-22,13500.0,28.95,28.99,28.99,28.0,28.74,-0.21
2024-02-23,48500.0,28.74,27.75,28.0,27.1,27.85,-0.89
2024-02-26,21000.0,27.85,27.5,27.5,26.8,26.8,-1.05
2024-02-27,101000.0,26.8,26.8,27.46,26.55,26.55,-0.25
2024-02-28,6500.0,26.55,27.59,27.66,27.0,27.02,0.47
2024-02-29,9500.0,27.02,27.25,27.75,27.25,27.75,0.73
2024-03-01,9500.0,27.75,27.21,27.5,27.1,27.5,-0.25
2024-03-04,26500.0,27.5,27.11,27.45,27.0,27.45,-0.05
2024-03-05,7500.0,27.45,27.12,27.59,27.07,27.14,-0.31
2024-03-06,25000.0,27.14,27.6,28.25,27.11,28.25,1.11
2024-03-07,38000.0,28.25,28.45,29.0,28.45,29.0,0.75
2024-03-08,3500.0,29.0,28.1,28.1,28.02,28.02,-0.98
2024-03-12,7500.0,28.02,28.59,28.6,28.0,28.0,-0.02
2024-03-13,1500.0,28.0,27.76,27.76,27.75,27.75,-0.25
2024-03-14,4000.0,27.75,27.75,27.77,27.75,27.77,0.02
2024-03-15,1500.0,27.77,28.0,28.0,27.94,27.95,0.18
2024-03-19,5000.0,27.95,28.0,28.0,27.86,27.91,-0.04
2024-03-20,7000.0,27.91,27.99,28.0,27.99,28.0,0.09
2024-03-21,13500.0,28.0,27.6,28.18,27.25,28.1,0.1
2024-03-22,1000.0,28.1,28.0,28.0,28.0,28.0,-0.1
2024-03-25,2000.0,28.0,27.51,27.72,27.51,27.72,-0.28
2024-03-26,6500.0,27.72,28.17,28.32,28.17,28.31,0.59
2024-03-27,11000.0,28.31,28.49,28.75,28.49,28.68,0.37
2024-03-29,8000.0,28.68,28.01,28.9,28.01,28.5,-0.18
2024-04-02,21500.0,28.5,28.4,29.0,28.4,29.0,0.5
2024-04-03,4000.0,29.0,28.4,28.5,28.4,28.5,-0.5
2024-04-04,11000.0,28.5,29.25,29.49,29.0,29.0,0.5
2024-04-08,13000.0,29.0,28.52,29.75,28.51,29.74,0.74
2024-04-09,20500.0,29.74,29.8,30.25,29.7,30.1,0.36
2024-04-15,3500.0,30.1,30.1,30.24,30.1,30.24,0.14
2024-04-16,17500.0,30.24,30.25,30.49,30.0,30.25,0.01
2024-04-17,6500.0,30.25,30.0,30.15,29.65,30.15,-0.1
2024-04-18,1500.0,30.15,30.0,30.45,30.0,30.45,0.3
2024-04-19,23500.0,30.45,30.7,30.99,30.0,30.2,-0.25
2024-04-22,4500.0,30.2,30.98,31.24,30.12,30.8,0.6
2024-04-23,28000.0,30.8,30.02,30.2,29.76,30.09,-0.71
2024-04-24,6500.0,30.09,30.1,30.1,30.0,30.04,-0.05
2024-04-25,6500.0,30.04,30.4,30.6,30.4,30.6,0.56
2024-04-26,9000.0,30.6,30.5,30.99,30.5,30.88,0.28
2024-04-29,1500.0,30.88,30.75,30.75,30.75,30.75,-0.13
2024-04-30,6500.0,30.75,30.8,30.9,30.8,30.86,0.11
2024-05-02,1000.0,30.86,30.4,30.6,30.4,30.6,-0.26
2024-05-06,8500.0,30.6,31.0,31.25,31.0,31.23,0.63
2024-05-07,38500.0,31.23,31.49,32.48,31.0,32.0,0.77
2024-05-08,30000.0,32.0,32.39,32.5,32.39,32.49,0.49
2024-05-09,20500.0,32.49,32.7,32.8,32.7,32.8,0.31
2024-05-10,16500.0,32.8,32.97,33.0,32.97,33.0,0.2
2024-05-13,7000.0,33.0,33.24,33.25,33.0,33.04,0.04
2024-05-14,2500.0,33.04,33.45,33.45,32.68,32.68,-0.36
2024-05-15,10500.0,32.68,33.48,33.49,33.0,33.13,0.45
2024-05-16,5500.0,33.13,33.0,33.49,33.0,33.49,0.36
2024-05-17,21500.0,33.49,33.69,33.69,33.0,33.0,-0.49
2024-05-20,8000.0,33.0,32.8,32.8,32.51,32.61,-0.39
2024-05-21,22000.0,32.61,32.25,32.25,31.51,31.9,-0.71
2024-05-22,3000.0,31.9,32.15,32.15,32.15,32.15,0.25
2024-05-23,2500.0,32.15,32.49,32.75,32.49,32.74,0.59
2024-05-24,10000.0,32.74,32.74,32.75,32.5,32.5,-0.24
2024-05-27,36515.0,32.5,32.98,33.23,32.49,32.75,0.25
2024-05-29,1877.0,32.75,33.0,33.0,32.3,32.4,-0.35
2024-05-30,2516.0,32.4,32.5,32.5,32.5,32.5,0.1
2024-05-31,780.0,32.5,32.5,32.5,32.45,32.5,0.0
2024-06-03,1023.0,32.5,32.46,32.49,32.45,32.46,-0.04
2024-06-04,29011.0,32.46,32.45,32.53,32.01,32.49,0.03
2024-06-05,1001.0,32.49,32.45,32.45,32.45,32.45,-0.04
2024-06-06,3014.0,32.45,32.99,32.99,31.76,32.24,-0.21
2024-06-07,4501.0,32.24,31.77,32.0,31.51,31.75,-0.49
2024-06-10,110.0,31.75,32.75,32.75,31.75,31.75,0.0
2024-06-11,2.0,31.75,31.75,31.75,31.75,31.75,0.0
2024-06-12,8603.0,31.75,31.8,31.8,31.0,31.26,-0.49
2024-06-13,19068.0,31.26,31.5,32.25,30.75,32.0,0.74
2024-06-14,2706.0,32.0,31.56,32.0,31.26,31.26,-0.74
2024-06-20,3721.0,31.26,31.25,32.0,31.25,32.0,0.74
2024-06-21,31897.0,32.0,32.3,32.99,32.26,32.5,0.5
2024-06-24,14747.0,32.5,32.55,33.75,32.55,33.39,0.89
2024-06-25,1002.0,33.39,33.96,33.96,33.5,33.5,0.11
2024-06-26,279.0,33.5,33.5,33.5,33.3,33.5,0.0
2024-06-27,1106.0,33.5,33.64,33.64,33.0,33.0,-0.5
2024-06-28,3442.0,33.0,33.99,33.99,33.01,33.01,0.01
2024-07-01,2670.0,33.01,33.15,33.72,33.05,33.05,0.04
2024-07-02,2102.0,33.05,33.96,33.96,32.81,33.05,0.0
2024-07-03,1490.0,33.05,33.95,33.95,33.1,33.49,0.44
2024-07-04,14075.0,33.49,33.97,34.49,33.97,34.49,1.0
2024-07-05,24577.0,34.49,34.6,37.48,34.5,36.54,2.05
2024-07-08,13960.0,36.54,37.49,39.99,35.0,36.9,0.36
2024-07-09,7648.0,36.9,35.0,37.0,35.0,36.66,-0.24
2024-07-10,18886.0,36.66,40.0,40.0,35.7,36.92,0.26
2024-07-11,14284.0,36.92,37.01,38.48,37.01,37.99,1.07
2024-07-12,9661.0,37.99,38.15,39.48,38.15,38.5,0.51
2024-07-15,47378.0,38.5,39.0,39.0,38.26,38.3,-0.2
2024-07-18,7106.0,38.3,39.9,40.98,39.75,40.71,2.41
2024-07-19,4559.0,40.71,38.5,43.98,38.5,42.53,1.82
2024-07-22,11343.0,42.53,43.1,43.95,41.0,42.57,0.04
2024-07-23,17738.0,42.57,42.99,42.99,39.1,40.07,-2.5
2024-07-24,8941.0,40.07,40.0,40.5,40.0,40.49,0.42
2024-07-25,6112.0,40.49,40.01,40.5,40.01,40.22,-0.27
2024-07-26,15290.0,40.22,40.5,40.5,38.11,40.13,-0.09
2024-07-29,45590.0,40.13,38.15,40.5,38.15,40.35,0.22
2024-07-30,13025.0,40.35,40.01,40.5,40.01,40.4,0.05
2024-07-31,7885.0,40.4,36.36,41.98,36.36,40.26,-0.14
2024-08-01,31315.0,40.26,36.23,40.5,36.23,39.17,-1.09
2024-08-02,13351.0,39.17,38.99,40.49,38.1,40.44,1.27
2024-08-05,23386.0,40.44,40.4,40.5,38.0,40.5,0.06
2024-08-06,5185.0,40.5,40.1,40.49,40.01,40.37,-0.13
2024-08-07,3000.0,40.37,40.01,40.3,39.0,40.3,-0.07
2024-08-08,6142.0,40.3,40.25,40.3,37.52,40.0,-0.3
2024-08-09,1990.0,40.0,39.75,40.45,37.22,37.22,-2.78
2024-08-12,101.0,37.22,40.39,40.39,40.3,37.22,0.0
2024-08-13,6665.0,37.22,39.99,40.0,39.5,39.99,2.77
2024-08-15,30524.0,39.99,39.01,39.01,39.0,39.0,-0.99
2024-08-16,5143.0,39.0,39.0,39.5,38.5,38.85,-0.15
2024-08-19,601.0,38.85,38.5,39.98,38.5,38.7,-0.15
2024-08-20,56.0,38.7,39.48,39.48,39.45,38.7,0.0
2024-08-21,708.0,38.7,38.89,39.48,38.45,38.78,0.08
2024-08-22,899.0,38.78,40.4,40.4,39.0,39.0,0.22
2024-08-23,2364.0,39.0,38.99,39.89,38.84,38.84,-0.16
2024-08-26,2302.0,38.84,39.02,39.24,39.01,39.21,0.37
2024-08-27,1714.0,39.21,40.0,40.0,38.57,39.01,-0.2
2024-08-28,3500.0,39.01,39.15,39.5,39.0,39.11,0.1
2024-08-29,15.0,39.11,39.97,39.97,39.97,39.11,0.0
2024-08-30,4143.0,39.11,39.01,39.5,39.0,39.5,0.39
2024-09-02,2152.0,39.5,40.45,40.45,35.97,38.6,-0.9
2024-09-03,1609.0,38.6,35.11,39.56,35.1,38.0,-0.6
2024-09-04,4405.0,38.0,38.19,38.5,37.12,38.0,0.0
2024-09-05,3513.0,38.0,35.05,38.8,35.05,38.0,0.0
2024-09-06,21402.0,38.0,38.5,39.98,35.55,39.0,1.0
2024-09-09,10745.0,39.0,40.37,40.5,39.5,39.9,0.9
2024-09-10,1211.0,39.9,40.01,40.98,39.5,39.62,-0.28
2024-09-11,2217.0,39.62,38.01,40.39,38.01,39.65,0.03
2024-09-12,5049.0,39.65,40.0,40.0,38.55,39.7,0.05
2024-09-13,6075.0,39.7,40.0,40.5,40.0,40.5,0.8
2024-09-16,3202.0,40.5,39.32,40.64,39.19,39.55,-0.95
2024-09-18,3.0,39.55,40.65,40.65,40.0,39.55,0.0
2024-09-19,2086.0,39.55,40.45,40.45,39.6,39.86,0.31
2024-09-20,15043.0,39.86,40.8,42.0,40.0,40.97,1.11
