Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,603653.0,161.36,162.0,166.3,161.36,164.34,2.98
2024-01-02,1194684.0,164.34,165.98,168.99,164.0,166.11,1.77
2024-01-03,936862.0,166.11,167.0,167.93,162.97,163.88,-2.23
2024-01-04,249269.0,163.88,164.0,165.0,161.77,163.2,-0.68
2024-01-05,520864.0,163.2,163.99,164.49,162.0,162.83,-0.37
2024-01-08,174594.0,162.83,164.5,164.5,162.0,162.73,-0.1
2024-01-09,214549.0,162.73,162.4,163.5,159.76,161.34,-1.39
2024-01-10,779204.0,161.34,161.2,162.4,156.01,157.72,-3.62
2024-01-11,1362772.0,157.72,158.71,162.5,157.0,159.23,1.51
2024-01-12,1352892.0,159.23,161.0,163.9,158.56,160.9,1.67
2024-01-15,597573.0,160.9,162.0,164.0,160.5,161.26,0.36
2024-01-16,397173.0,161.26,161.0,162.0,160.0,160.09,-1.17
2024-01-17,2778728.0,160.09,161.5,164.61,160.0,164.39,4.3
2024-01-18,5414426.0,164.39,164.44,164.9,162.01,164.22,-0.17
2024-01-19,909282.0,164.22,164.99,167.0,164.49,164.86,0.64
2024-01-22,1837901.0,164.86,165.5,165.83,164.11,164.92,0.06
2024-01-23,173.0,164.11,165.05,169.0,165.05,168.5,4.39
2024-01-24,1107720.0,168.28,168.71,170.6,167.75,169.73,1.45
2024-01-25,8505529.0,169.73,170.0,174.47,170.0,172.92,3.19
2024-01-26,163.0,172.85,164.1,173.2,164.1,171.0,-1.85
2024-01-29,435690.0,170.35,168.53,169.97,165.8,166.39,-3.96
2024-01-30,461285.0,166.39,166.7,168.0,160.0,160.6,-5.79
2024-01-31,977142.0,160.6,161.4,165.99,160.01,161.12,0.52
2024-02-01,1005572.0,161.12,162.8,167.5,162.01,165.55,4.43
2024-02-02,897500.0,165.55,166.99,168.5,165.0,167.84,2.29
2024-02-06,1884705.0,167.84,169.0,170.01,167.95,168.54,0.7
2024-02-07,846847.0,168.54,169.99,172.44,169.75,170.58,2.04
2024-02-09,1148046.0,170.58,165.06,170.0,161.0,167.92,-2.66
2024-02-12,2231336.0,167.92,167.5,169.99,163.5,166.9,-1.02
2024-02-13,2491967.0,166.9,165.5,170.5,162.02,169.6,2.7
2024-02-14,603754.0,169.6,170.1,171.5,168.5,168.92,-0.68
2024-02-15,5071966.0,168.92,169.98,175.01,166.51,169.23,0.31
2024-02-16,1081197.0,169.23,170.0,171.0,166.5,167.73,-1.5
2024-02-19,89.0,168.0,168.5,169.0,167.1,168.0,0.0
2024-02-20,425981.0,167.71,166.12,168.9,165.1,165.61,-2.1
2024-02-21,935668.0,165.61,168.5,169.4,166.9,168.94,3.33
2024-02-22,1880159.0,168.94,168.01,176.45,168.01,175.4,6.46
2024-02-23,2582739.0,175.4,175.75,182.9,175.75,181.96,6.56
2024-02-26,1982115.0,181.96,183.0,187.98,182.01,184.44,2.48
2024-02-27,1767204.0,184.44,184.0,185.4,182.05,184.23,-0.21
2024-02-28,3097288.0,184.23,184.96,186.2,183.5,184.12,-0.11
2024-02-29,1627314.0,184.12,184.81,189.9,184.25,187.89,3.77
2024-03-01,2838550.0,187.89,189.99,197.0,187.0,195.21,7.32
2024-03-04,643877.0,195.21,196.0,198.2,191.55,193.41,-1.8
2024-03-05,316293.0,193.41,193.0,195.89,192.0,192.73,-0.68
2024-03-06,472381.0,192.73,193.96,194.5,191.5,192.45,-0.28
2024-03-07,806139.0,192.45,194.5,194.5,189.0,190.54,-1.91
2024-03-08,326384.0,190.54,191.0,191.2,188.05,188.46,-2.08
2024-03-11,331290.0,188.46,188.0,188.0,185.46,186.97,-1.49
2024-03-12,679259.0,186.97,186.97,187.95,186.21,187.04,0.07
2024-03-13,1482780.0,187.04,186.5,187.5,185.99,186.49,-0.55
2024-03-14,1429431.0,186.49,186.5,191.8,186.5,190.5,4.01
2024-03-15,987738.0,190.5,191.5,194.5,189.75,192.89,2.39
2024-03-18,1546946.0,192.89,193.0,198.0,193.0,196.36,3.47
