Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,100.0,501.92,505.0,505.0,505.0,505.0,3.08
2024-01-02,50.0,505.0,518.0,518.0,518.0,518.0,13.0
2024-01-03,100.0,518.0,520.95,520.95,520.95,520.95,2.95
2024-01-04,100.0,520.95,500.0,500.0,500.0,500.0,-20.95
2024-01-05,50.0,500.0,535.0,535.0,535.0,535.0,35.0
2024-01-08,100.0,535.0,500.0,549.0,500.0,549.0,14.0
2024-01-09,400.0,549.0,540.0,548.5,540.0,548.5,-0.5
2024-01-31,100.0,548.5,560.3,560.3,560.3,560.3,11.8
2024-02-15,100.0,560.3,518.28,518.28,518.28,518.28,-42.02
2024-02-16,500.0,518.28,479.41,488.0,479.41,488.0,-30.28
2024-02-19,100.0,488.0,452.25,452.25,452.0,452.13,-35.87
2024-02-20,50.0,452.13,465.0,465.0,465.0,452.13,0.0
2024-02-22,100.0,452.13,421.0,425.0,421.0,423.0,-29.13
2024-02-23,250.0,423.0,430.0,438.0,422.0,430.0,7.0
2024-02-26,100.0,430.0,430.0,430.0,411.0,420.5,-9.5
2024-02-27,50.0,420.5,422.0,422.0,422.0,420.5,0.0
2024-02-28,400.0,420.5,410.0,425.0,402.0,415.75,-4.75
2024-02-29,700.0,415.75,420.0,446.0,386.0,433.72,17.97
2024-03-01,650.0,433.72,402.0,421.0,402.0,416.0,-17.72
2024-03-05,150.0,416.0,390.0,400.0,390.0,400.0,16.0
2024-03-06,250.0,400.0,393.0,411.0,390.0,401.0,1.0
2024-03-07,100.0,401.0,372.0,385.0,372.0,378.5,-22.5
2024-03-08,700.0,378.5,406.0,406.89,406.0,406.33,27.83
2024-03-11,250.0,406.33,399.99,408.0,399.99,407.0,0.67
2024-03-12,50.0,407.0,410.0,410.0,410.0,407.0,0.0
2024-03-14,50.0,407.0,381.0,381.0,381.0,407.0,0.0
2024-03-15,1100.0,407.0,381.0,410.0,380.0,390.33,-16.67
2024-03-18,50.0,390.33,394.0,394.0,394.0,390.33,0.0
2024-03-19,700.0,390.33,370.0,413.0,370.0,407.15,16.82
2024-03-20,400.0,407.15,378.1,400.0,378.1,398.5,-8.65
2024-03-21,200.0,398.5,399.0,402.0,399.0,402.0,3.5
2024-03-22,150.0,402.0,390.0,398.0,385.0,391.5,-10.5
2024-03-25,100.0,391.5,400.0,400.0,400.0,400.0,8.5
2024-03-26,750.0,400.0,375.0,399.0,375.0,387.14,-12.86
2024-03-27,100.0,387.14,397.7,398.0,397.7,397.85,10.71
2024-03-28,350.0,397.85,390.0,394.0,380.1,394.0,-3.85
2024-03-29,200.0,394.0,376.0,390.0,376.0,383.03,-10.97
2024-04-01,500.0,383.03,372.0,400.0,370.0,383.38,0.35
2024-04-02,50.0,383.38,370.7,370.7,370.7,383.38,0.0
2024-04-03,350.0,383.38,385.0,389.0,358.0,368.0,-15.38
2024-04-04,400.0,368.0,389.0,390.0,389.0,390.0,22.0
2024-04-08,100.0,390.0,380.0,380.0,380.0,380.0,10.0
2024-04-09,1050.0,380.0,370.0,385.5,370.0,380.5,0.5
2024-04-15,50.0,380.5,400.0,400.0,400.0,380.5,0.0
2024-04-17,100.0,380.5,399.0,399.0,399.0,399.0,18.5
2024-04-19,100.0,399.0,403.0,403.0,403.0,403.0,4.0
2024-04-22,4.0,403.0,376.2,376.2,376.01,403.0,0.0
2024-04-24,137.0,403.0,375.0,405.0,375.0,404.0,1.0
2024-04-26,301.0,404.0,376.0,400.5,376.0,400.48,-3.52
2024-04-29,117.0,400.48,380.0,400.0,380.0,400.0,-0.48
2024-04-30,208.0,400.0,371.5,410.0,371.5,408.78,8.78
2024-05-03,110.0,408.78,409.0,425.5,399.5,420.0,11.22
2024-05-08,251.0,420.0,389.0,416.0,389.0,409.51,-10.49
2024-05-09,490.0,409.51,415.5,415.5,414.99,415.0,5.49
2024-05-10,152.0,415.0,385.0,430.0,385.0,429.99,14.99
2024-05-13,64.0,429.99,429.99,429.99,429.99,429.99,0.0
2024-05-14,120.0,429.99,444.0,445.0,440.0,440.0,10.01
2024-05-15,167.0,440.0,415.0,458.0,407.0,445.0,5.0
2024-05-16,189.0,445.0,477.0,477.0,412.0,468.11,23.11
2024-05-17,9.0,468.11,490.0,495.0,433.98,468.11,0.0
2024-05-20,562.0,468.11,502.75,502.75,433.0,499.22,31.11
2024-05-21,69.0,499.22,536.0,536.0,520.0,525.52,26.3
2024-05-22,1156.0,525.52,564.0,564.0,487.0,509.1,-16.42
2024-05-23,1485.0,509.1,510.0,510.0,470.92,470.92,-38.18
2024-05-24,130.0,470.92,470.92,490.0,470.92,490.0,19.08
2024-05-27,309.0,490.0,490.0,500.0,451.0,496.15,6.15
2024-05-29,9.0,496.15,457.0,495.0,457.0,496.15,0.0
2024-05-30,200.0,496.15,490.0,490.0,490.0,490.0,-6.15
2024-05-31,55.0,490.0,514.83,514.83,500.0,500.0,10.0
2024-06-03,49.0,500.0,460.0,499.0,460.0,500.0,0.0
2024-06-04,101.0,500.0,460.0,497.0,460.0,497.0,3.0
2024-06-05,14.0,497.0,485.0,485.0,485.0,497.0,0.0
2024-06-06,30.0,497.0,457.24,457.24,457.24,497.0,0.0
2024-06-07,420.0,497.0,497.0,536.0,497.0,532.74,35.74
2024-06-11,1343.0,532.74,577.0,577.0,487.46,487.46,-45.28
2024-06-12,1055.0,487.46,446.03,528.89,446.03,511.2,23.74
2024-06-13,2400.0,511.2,497.0,554.65,497.0,530.58,19.38
2024-06-14,316.0,530.58,499.0,555.0,490.0,500.1,-30.48
2024-06-20,1300.0,500.1,498.0,542.4,498.0,541.66,41.56
2024-06-21,1501.0,541.66,540.0,587.5,539.0,582.49,40.83
2024-06-24,55.0,582.49,530.7,530.7,530.07,530.08,-52.41
