Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,19500.0,6.72,6.6,6.8,6.6,6.76,0.04
2024-01-02,518500.0,6.76,6.49,7.76,6.49,7.76,1.0
2024-01-03,933000.0,7.76,8.01,8.72,7.8,8.17,0.41
2024-01-04,145500.0,8.17,8.0,8.25,7.32,7.41,-0.76
2024-01-05,119500.0,7.41,7.65,7.85,7.3,7.55,0.14
2024-01-08,22500.0,7.55,7.5,7.65,7.25,7.29,-0.26
2024-01-09,17000.0,7.29,7.5,7.5,7.01,7.25,-0.04
2024-01-10,329500.0,7.25,7.59,8.25,7.55,7.78,0.53
2024-01-11,17500.0,7.78,7.79,7.9,7.45,7.49,-0.29
2024-01-12,3000.0,7.49,7.49,7.5,7.49,7.5,0.01
2024-01-15,752500.0,7.5,7.3,7.89,7.2,7.46,-0.04
2024-01-16,21000.0,7.46,7.26,7.7,7.21,7.35,-0.11
2024-01-17,47500.0,7.35,7.21,7.25,6.75,6.85,-0.5
2024-01-18,1178000.0,6.85,7.0,7.85,7.0,7.85,1.0
2024-01-19,213500.0,7.85,8.75,8.75,7.26,8.0,0.15
2024-01-22,21000.0,8.0,7.9,8.25,7.66,7.68,-0.32
2024-01-23,54000.0,7.68,7.31,7.98,7.26,7.36,-0.32
2024-01-24,24000.0,7.36,7.49,7.9,7.25,7.25,-0.11
2024-01-25,13000.0,7.25,7.8,7.8,7.05,7.14,-0.11
2024-01-26,14000.0,7.14,7.04,7.39,7.04,7.28,0.14
2024-01-29,4000.0,7.28,7.05,7.05,7.01,7.02,-0.26
2024-01-30,20000.0,7.02,7.01,7.09,6.7,6.77,-0.25
2024-01-31,6000.0,6.77,7.0,7.3,6.67,7.15,0.38
2024-02-01,500.0,7.15,6.86,6.86,6.86,6.86,-0.29
2024-02-02,4500.0,6.86,7.09,7.09,6.7,6.75,-0.11
2024-02-06,53000.0,6.75,6.9,7.74,6.9,7.1,0.35
2024-02-07,17000.0,7.1,7.25,7.5,7.2,7.23,0.13
2024-02-09,6500.0,7.23,6.75,7.2,6.75,7.11,-0.12
2024-02-12,10000.0,7.11,6.9,7.0,6.51,6.77,-0.34
2024-02-13,6000.0,6.77,6.36,6.89,6.33,6.89,0.12
2024-02-14,4500.0,6.89,7.19,7.33,6.91,7.14,0.25
2024-02-15,2500.0,7.14,7.25,7.4,6.85,6.98,-0.16
2024-02-16,8000.0,6.98,6.97,6.97,6.55,6.61,-0.37
2024-02-19,21000.0,6.61,6.4,6.84,6.4,6.4,-0.21
2024-02-20,17000.0,6.4,6.54,6.75,6.5,6.57,0.17
2024-02-21,19500.0,6.57,6.5,6.75,6.45,6.53,-0.04
2024-02-22,39500.0,6.53,6.51,7.22,6.51,7.0,0.47
2024-02-23,18500.0,7.0,7.0,7.29,6.71,6.87,-0.13
2024-02-26,3000.0,6.87,7.29,7.4,7.29,7.34,0.47
2024-02-27,28500.0,7.34,7.0,7.42,6.61,6.82,-0.52
2024-02-28,81000.0,6.82,7.19,7.2,6.76,6.8,-0.02
2024-02-29,149500.0,6.8,7.2,7.49,6.8,6.81,0.01
2024-03-01,11000.0,6.81,7.2,7.25,7.0,7.01,0.2
2024-03-04,39000.0,7.01,7.01,7.21,7.0,7.0,-0.01
2024-03-05,25000.0,7.0,7.2,7.2,6.75,6.89,-0.11
2024-03-06,24500.0,6.89,7.1,7.25,7.0,7.0,0.11
2024-03-07,76000.0,7.0,6.72,7.3,6.7,7.04,0.04
2024-03-08,254500.0,7.04,7.35,8.04,7.35,8.04,1.0
