Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-03-11,2502000.0,10.0,10.06,10.06,10.06,10.06,0.06
2024-03-12,30000.0,10.06,10.03,10.03,9.71,9.91,-0.15
2024-03-13,53000.0,9.91,9.9,9.9,9.81,9.84,-0.07
2024-03-14,11500.0,9.84,9.87,9.88,9.83,9.88,0.04
2024-03-15,4000.0,9.88,9.94,9.94,9.87,9.91,0.03
2024-03-18,124000.0,9.91,9.85,9.88,9.82,9.83,-0.08
2024-03-19,97500.0,9.83,9.83,9.98,9.83,9.98,0.15
2024-03-20,121000.0,9.98,9.83,9.86,9.8,9.83,-0.15
2024-03-21,6500.0,9.83,9.86,9.86,9.79,9.8,-0.03
2024-03-22,3000.0,9.8,9.75,9.75,9.73,9.73,-0.07
2024-03-25,113500.0,9.73,9.75,9.91,9.66,9.91,0.18
2024-03-26,34500.0,9.91,9.99,10.0,9.68,9.95,0.04
2024-03-27,18000.0,9.95,10.04,10.04,10.01,10.01,0.06
2024-03-28,13000.0,10.01,10.14,10.15,10.12,10.12,0.11
2024-03-29,26500.0,10.12,10.14,10.14,10.13,10.14,0.02
2024-04-01,78000.0,10.14,10.9,10.9,10.11,10.11,-0.03
2024-04-02,82500.0,10.11,10.12,10.13,10.09,10.11,0.0
2024-04-03,69500.0,10.11,10.15,10.86,10.15,10.86,0.75
2024-04-04,51000.0,10.86,10.36,10.39,10.33,10.39,-0.47
2024-04-08,54000.0,10.39,10.44,10.53,10.42,10.49,0.1
2024-04-09,9000.0,10.49,10.67,10.69,10.62,10.63,0.14
2024-04-15,49500.0,10.63,10.66,10.66,10.6,10.64,0.01
2024-04-16,13000.0,10.64,10.71,10.75,10.68,10.7,0.06
2024-04-17,104500.0,10.7,10.7,10.7,10.6,10.61,-0.09
2024-04-18,62000.0,10.61,10.61,10.61,10.5,10.51,-0.1
2024-04-19,93500.0,10.51,10.54,10.69,10.53,10.69,0.18
2024-04-22,77500.0,10.69,10.72,10.82,10.71,10.8,0.11
2024-04-23,16000.0,10.8,10.8,10.85,10.77,10.77,-0.03
2024-04-24,83000.0,10.77,10.81,10.98,10.81,10.93,0.16
2024-04-25,56500.0,10.93,10.98,11.01,10.86,10.89,-0.04
2024-04-26,40000.0,10.89,10.89,11.7,10.86,11.22,0.33
2024-04-29,83000.0,11.22,11.25,11.87,10.8,10.85,-0.37
2024-04-30,91000.0,10.85,10.87,11.6,10.78,10.8,-0.05
2024-05-02,66500.0,10.8,11.5,11.5,10.68,10.99,0.19
2024-05-03,43000.0,10.99,10.7,11.3,10.61,10.93,-0.06
2024-05-06,93000.0,10.93,11.04,11.2,10.99,11.1,0.17
2024-05-07,126500.0,11.1,11.0,11.01,10.94,10.95,-0.15
2024-05-08,39000.0,10.95,10.94,10.94,10.85,10.86,-0.09
2024-05-09,31500.0,10.86,10.9,11.4,10.82,11.3,0.44
2024-05-10,137000.0,11.3,11.47,11.47,10.74,10.79,-0.51
2024-05-13,162000.0,10.79,10.84,10.94,10.84,10.9,0.11
2024-05-14,102000.0,10.9,10.91,11.02,10.91,11.01,0.11
2024-05-15,55000.0,11.01,11.02,11.11,11.0,11.0,-0.01
2024-05-16,82000.0,11.0,11.2,11.2,11.01,11.04,0.04
2024-05-17,57500.0,11.04,11.2,11.49,11.02,11.08,0.04
2024-05-20,78000.0,11.08,11.09,11.09,10.97,11.05,-0.03
2024-05-21,68500.0,11.05,11.12,11.19,11.12,11.13,0.08
2024-05-22,63000.0,11.13,11.17,11.2,11.13,11.13,0.0
2024-05-23,669000.0,11.13,11.13,11.19,11.12,11.18,0.05
2024-05-24,33500.0,11.18,11.21,11.3,11.2,11.3,0.12
2024-05-27,35000.0,11.3,11.24,11.3,11.18,11.23,-0.07
