Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,123500.0,51.79,52.98,53.2,51.0,51.65,-0.14
2024-01-02,76000.0,51.65,52.74,52.74,50.0,50.36,-1.29
2024-01-03,266000.0,50.36,50.75,54.0,50.5,52.76,2.4
2024-01-04,81500.0,52.76,52.5,53.98,51.8,53.45,0.69
2024-01-05,32500.0,53.45,53.65,54.2,51.5,53.0,-0.45
2024-01-08,78000.0,53.0,53.98,53.98,51.75,51.95,-1.05
2024-01-09,19000.0,51.95,51.6,51.74,51.0,51.5,-0.45
2024-01-10,24000.0,51.5,51.0,52.0,50.75,51.04,-0.46
2024-01-11,29500.0,51.04,52.1,52.1,50.75,51.0,-0.04
2024-01-12,17500.0,51.0,50.11,50.9,50.0,50.38,-0.62
2024-01-15,5500.0,50.38,48.63,49.3,48.62,49.1,-1.28
2024-01-16,9000.0,49.1,48.15,49.0,47.5,49.0,-0.1
2024-01-17,16000.0,49.0,48.5,48.51,47.5,47.77,-1.23
2024-01-18,24500.0,47.77,47.0,48.26,46.1,47.01,-0.76
2024-01-19,3000.0,47.01,46.26,47.5,46.25,47.3,0.29
2024-01-22,1000.0,47.3,47.5,47.5,47.5,47.5,0.2
2024-01-23,74500.0,47.5,47.5,51.06,47.4,51.06,3.56
2024-01-24,38000.0,51.06,52.09,52.09,49.65,51.0,-0.06
2024-01-25,6500.0,51.0,50.0,50.95,49.5,50.0,1.0
2024-01-26,4000.0,50.0,51.15,51.15,48.25,49.38,-0.62
2024-01-29,14500.0,49.38,45.68,45.68,45.68,45.68,-3.7
2024-01-30,40500.0,45.68,44.0,44.0,42.25,42.25,-3.43
2024-01-31,9000.0,42.25,40.41,40.85,39.5,39.53,-2.72
2024-02-01,18000.0,39.53,40.5,40.55,39.99,40.0,0.47
2024-02-02,7000.0,40.0,40.0,40.0,40.0,40.0,0.0
2024-02-06,19000.0,40.0,40.01,40.01,40.0,40.0,0.0
2024-02-07,16500.0,40.0,40.0,40.0,39.61,40.0,0.0
2024-02-09,44000.0,40.0,39.65,40.0,39.62,40.0,0.0
2024-02-12,9000.0,40.0,40.0,40.0,39.01,39.01,-0.99
2024-02-13,3000.0,39.01,38.7,38.7,38.65,38.65,-0.36
2024-02-14,13000.0,38.65,39.7,39.9,39.0,39.9,1.25
2024-02-15,7000.0,39.9,39.05,40.0,39.01,40.0,0.1
2024-02-16,1000.0,40.0,39.0,39.0,39.0,39.0,1.0
2024-02-19,8000.0,39.0,39.0,39.5,38.0,39.0,0.0
2024-02-20,3500.0,39.0,39.98,40.0,39.98,40.0,1.0
2024-02-21,16000.0,40.0,40.0,40.0,38.25,38.96,-1.04
2024-02-22,39500.0,38.96,39.0,40.0,39.0,39.67,0.71
2024-02-23,6500.0,39.67,39.69,40.0,39.69,40.0,0.33
2024-02-26,27500.0,40.0,40.0,41.07,39.55,40.0,0.0
2024-02-27,15000.0,40.0,40.45,40.45,39.3,39.3,-0.7
2024-02-28,32000.0,39.3,39.3,39.5,38.95,39.0,-0.3
2024-02-29,81500.0,39.0,39.0,39.29,37.0,37.95,-1.05
2024-03-01,51000.0,37.95,37.95,39.0,37.9,38.59,0.64
2024-03-04,39500.0,38.59,38.7,38.7,37.86,38.0,-0.59
