Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-04-08,27500.0,11.4,10.4,10.4,10.4,10.4,1.0
2024-04-09,155500.0,10.4,9.4,11.4,9.4,9.45,-0.95
2024-04-15,117500.0,9.45,9.04,9.25,8.45,8.51,-0.94
2024-04-16,59500.0,8.51,8.02,9.05,8.02,8.68,0.17
2024-04-17,87000.0,8.68,8.75,8.75,8.21,8.4,-0.28
2024-04-18,200000.0,8.4,8.2,8.45,7.81,8.0,-0.4
2024-04-19,543000.0,8.0,7.71,8.0,7.0,7.88,-0.12
2024-04-22,70000.0,7.88,8.0,8.0,7.7,7.82,-0.06
2024-04-23,120500.0,7.82,7.5,8.49,7.4,8.08,0.26
2024-04-24,95500.0,8.08,8.25,8.8,7.81,7.97,-0.11
2024-04-25,48000.0,7.97,8.0,8.4,8.0,8.13,0.16
2024-04-26,155000.0,8.13,7.8,8.9,7.5,8.59,0.46
2024-04-29,909000.0,8.59,8.55,8.95,7.59,8.67,0.08
