Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-03,2000.0,73.9,68.36,75.9,68.36,73.05,-0.85
2024-01-04,500.0,73.05,67.6,67.6,67.6,67.6,-5.45
2024-05-09,1000.0,52.94,49.6,49.6,49.0,49.0,-3.94
2024-05-14,2500.0,46.8,43.29,43.29,43.29,43.29,-3.51
2024-05-15,5500.0,43.29,40.05,42.5,40.04,40.3,-2.99
2024-05-16,2000.0,40.3,38.3,43.24,38.3,42.9,2.6
2024-05-17,500.0,42.9,39.68,39.68,39.68,39.68,-3.22
2024-05-22,1500.0,39.68,37.01,37.01,37.0,37.0,-2.68
2024-05-27,3.0,37.0,39.96,39.96,39.96,37.0,0.0
2024-05-31,1002.0,37.0,34.5,34.5,34.5,34.5,-2.5
2024-06-04,112.0,34.5,37.26,37.26,33.0,34.5,0.0
2024-06-05,326.0,34.5,37.25,37.26,37.0,34.5,0.0
2024-06-06,1.0,34.5,37.0,37.0,37.0,34.5,0.0
2024-06-07,1.0,34.5,36.0,36.0,36.0,34.5,0.0
2024-06-12,1.0,34.5,35.0,35.0,35.0,34.5,0.0
2024-06-14,602.0,34.5,32.0,33.0,32.0,32.0,-2.5
2024-06-20,2.0,32.0,32.26,34.7,32.26,32.0,0.0
2024-06-21,2.0,32.0,33.25,34.71,33.25,32.0,0.0
2024-06-24,2.0,32.0,31.0,31.0,31.0,32.0,0.0
2024-06-25,6.0,32.0,33.0,33.0,33.0,32.0,0.0
2024-06-26,501.0,32.0,32.0,33.69,32.0,32.0,0.0
2024-06-27,50.0,32.0,32.0,32.5,32.0,32.0,0.0
2024-06-28,539.0,32.0,33.9,34.88,33.9,34.33,2.33
2024-07-02,10.0,34.33,32.0,32.0,32.0,34.33,0.0
2024-07-04,14.0,34.33,34.0,37.4,34.0,34.33,0.0
2024-07-09,500.0,34.33,35.0,35.0,35.0,35.0,0.67
2024-07-24,3063.0,35.0,31.61,34.9,31.6,31.68,-3.32
2024-08-01,200.0,31.68,34.75,34.75,34.75,31.68,0.0
2024-08-08,100.0,31.68,32.0,32.0,32.0,31.68,0.0
2024-08-13,200.0,31.68,32.0,32.0,32.0,31.68,0.0
2024-08-15,300.0,31.68,32.0,32.0,32.0,31.68,0.0
2024-08-16,400.0,31.68,32.0,32.0,32.0,31.7,0.02
2024-08-21,1.0,31.7,34.79,34.79,34.79,31.7,0.0
2024-08-22,1.0,31.7,30.0,30.0,30.0,31.7,0.0
2024-08-28,1.0,31.7,34.49,34.49,34.49,31.7,0.0
2024-09-11,4.0,31.7,31.0,31.0,31.0,31.7,0.0
2024-09-18,700.0,31.7,30.1,30.1,30.1,30.1,-1.6
2024-09-19,3.0,30.1,28.0,33.11,28.0,30.1,0.0
2024-09-20,1.0,30.1,33.11,33.11,33.11,30.1,0.0
2024-10-02,1.0,30.1,28.0,28.0,28.0,30.1,0.0
2024-10-03,1000.0,30.1,30.0,30.0,30.0,30.0,-0.1
2024-10-07,500.0,30.0,32.0,32.0,32.0,32.0,2.0
2024-10-08,985.0,32.0,34.0,34.0,34.0,34.0,2.0
2024-10-18,532.0,34.0,30.6,32.0,30.6,30.68,-3.32
2024-10-21,562.0,30.68,28.0,32.44,27.65,28.18,-2.5
2024-10-22,102.0,28.18,30.0,30.0,29.99,28.18,0.0
2024-10-24,339.0,28.18,28.18,28.18,28.18,28.18,0.0
2024-10-25,2000.0,28.18,28.45,28.5,28.45,28.5,0.32
2024-10-28,1.0,28.5,28.5,28.5,28.5,28.5,0.0
2024-10-29,201.0,28.5,28.67,28.67,25.67,28.5,0.0
2024-10-31,12.0,28.5,31.35,31.35,28.0,28.5,0.0
2024-11-01,1.0,28.5,29.0,29.0,29.0,28.5,0.0
2024-11-07,33.0,28.5,25.66,25.66,25.66,28.5,0.0
2024-11-11,2000.0,28.5,27.0,27.0,27.0,27.0,-1.5
2024-11-15,1.0,27.0,26.0,26.0,26.0,27.0,0.0
2024-11-22,204.0,27.0,28.5,28.9,24.3,27.0,0.0
2024-11-27,450.0,27.0,26.75,28.0,26.75,27.0,0.0
2024-11-28,200.0,27.0,27.01,27.01,27.01,27.0,0.0
2024-11-29,500.0,27.0,27.0,27.0,27.0,27.0,0.0
2024-12-02,1028.0,27.0,27.0,27.5,27.0,27.01,0.01
2024-12-03,500.0,27.01,28.0,29.0,28.0,28.96,1.95
2024-12-04,200.0,28.96,27.5,29.0,27.5,28.96,0.0
2024-12-05,153.0,28.96,28.0,30.0,28.0,28.96,0.0
2024-12-10,7.0,28.96,31.85,31.85,27.0,28.96,0.0
2024-12-11,47.0,28.96,27.5,27.5,27.5,28.96,0.0
2024-12-16,1800.0,28.96,28.0,31.86,28.0,31.85,2.89
2024-12-17,2504.0,31.85,35.0,35.0,30.0,35.0,3.15
2024-12-19,1000.0,35.0,34.0,34.5,34.0,34.5,-0.5
2024-12-20,8.0,34.5,31.05,31.1,31.05,34.48,-0.02
2024-12-23,999.0,34.48,37.0,37.0,31.03,31.06,-3.42
2024-12-24,120.0,31.06,34.15,34.15,31.99,31.06,0.0
2024-12-26,1.0,31.06,31.5,31.5,31.5,31.06,0.0
2024-12-30,401.0,31.06,29.0,29.0,28.5,31.06,0.0
2025-01-01,1091.0,31.06,28.01,32.74,27.99,28.37,-2.69
2025-01-06,52.0,28.37,30.09,30.8,30.09,28.37,0.0
2025-01-14,338.0,28.37,28.37,28.37,28.37,28.37,0.0
2025-01-22,500.0,28.37,27.0,27.0,27.0,27.0,-1.37
2025-02-07,30827.0,27.0,26.12,29.63,25.5,27.45,0.45
2025-02-10,15.0,27.45,28.0,28.0,28.0,27.45,0.0
2025-02-12,644.0,27.45,28.5,30.2,28.25,29.08,1.63
2025-02-13,1500.0,29.08,27.76,27.76,27.75,27.75,-1.33
2025-02-14,1.0,27.75,28.0,28.0,28.0,27.75,0.0
2025-02-20,3.0,27.75,30.5,30.5,26.53,27.75,0.0
2025-02-21,101.0,27.75,26.53,30.53,26.53,27.75,0.0
2025-02-24,620.0,27.75,30.53,30.53,30.4,30.51,2.76
2025-02-25,500.0,30.51,33.5,33.5,33.5,33.5,2.99
2025-02-28,10.0,33.5,36.8,36.8,36.8,33.5,0.0
2025-03-03,29.0,33.5,35.95,35.95,34.0,33.5,0.0
2025-03-04,1.0,33.5,34.0,34.0,34.0,33.5,0.0
2025-03-05,4.0,33.5,34.9,34.9,34.21,33.5,0.0
2025-03-20,1.0,33.5,32.87,32.87,32.87,33.5,0.0
2025-03-24,1.0,33.5,36.85,36.85,36.85,33.5,0.0
2025-03-25,500.0,33.5,35.67,36.5,35.67,36.5,3.0
2025-04-03,78.0,36.5,34.0,34.0,34.0,36.5,0.0
2025-04-04,1580.0,36.5,32.85,39.75,32.85,39.7,3.2
2025-04-07,223.0,39.7,43.6,43.6,35.73,39.7,0.0
2025-04-08,1261.0,39.7,41.9,41.9,36.11,36.18,-3.52
2025-04-09,299.0,36.18,39.7,39.7,32.56,36.18,0.0
2025-04-10,556.0,36.18,39.7,39.7,32.61,32.64,-3.54
2025-04-11,407.0,32.64,34.0,35.7,31.0,32.64,0.0
2025-04-14,902.0,32.64,35.8,35.8,30.5,30.52,-2.12
2025-04-15,1227.0,30.52,33.5,33.5,28.26,32.0,1.48
2025-04-16,1.0,32.0,34.0,34.0,34.0,32.0,0.0
2025-04-17,503.0,32.0,34.99,34.99,30.0,31.54,-0.46
2025-04-18,500.0,31.54,32.0,32.99,32.0,32.4,0.86
2025-04-21,510.0,32.4,32.4,33.89,30.01,33.32,0.92
2025-04-24,303.0,33.32,33.0,33.0,30.11,33.32,0.0
2025-04-28,10.0,33.32,30.0,30.0,30.0,33.32,0.0
2025-04-29,330.0,33.32,32.0,32.0,32.0,33.32,0.0
2025-05-02,70.0,33.32,32.0,32.0,32.0,33.32,0.0
2025-05-06,72.0,33.32,31.1,35.0,31.1,33.32,0.0
2025-05-13,544.0,33.32,34.0,36.64,34.0,35.95,2.63
2025-05-14,417.0,35.95,35.95,35.95,35.95,35.95,0.0
2025-05-15,3.0,35.95,37.98,37.98,37.98,35.95,0.0
2025-05-19,556.0,35.95,39.53,39.53,32.8,39.48,3.53
2025-05-20,50.0,39.48,35.53,40.59,35.53,39.48,0.0
2025-05-21,141.0,39.48,35.53,40.0,35.53,39.48,0.0
2025-06-02,8053.0,39.48,35.53,40.66,35.53,35.77,-3.71
2025-06-03,435.0,35.77,39.3,39.3,35.77,35.77,0.0
2025-06-04,85.0,35.77,38.9,38.9,32.2,35.77,0.0
2025-06-05,5066.0,35.77,39.35,39.35,32.21,35.77,0.0
2025-06-10,5.0,35.77,38.75,38.75,35.0,35.77,0.0
2025-06-11,1006.0,35.77,38.0,38.0,32.2,32.33,-3.44
2025-06-12,1144.0,32.33,35.49,35.49,32.3,32.36,0.03
2025-06-13,1643.0,32.36,35.4,35.5,29.15,33.84,1.48
2025-06-16,35.0,33.84,37.0,37.0,30.61,33.84,0.0
2025-06-17,1.0,33.84,36.99,36.99,36.99,33.84,0.0
2025-06-18,101.0,33.84,36.9,36.9,35.9,33.84,0.0
2025-06-19,600.0,33.84,35.9,35.9,33.94,33.94,0.1
2025-06-20,505.0,33.94,35.8,35.8,30.61,35.64,1.7
2025-06-23,38.0,35.64,32.5,32.5,32.5,35.64,0.0
2025-06-24,502.0,35.64,37.75,39.2,32.11,39.03,3.39
2025-06-26,415.0,39.03,35.5,38.99,35.5,39.03,0.0
2025-06-27,2.0,39.03,38.0,39.0,38.0,39.03,0.0
2025-06-30,2536.0,39.03,37.75,37.75,35.13,36.27,-2.76
2025-07-01,9.0,36.27,32.66,32.66,32.66,36.27,0.0
2025-07-02,100.0,36.27,32.66,32.66,32.66,36.27,0.0
2025-07-03,2706.0,36.27,35.18,36.0,32.64,35.72,-0.55
2025-07-04,28.0,35.72,32.15,35.5,32.15,35.72,0.0
2025-07-07,21551.0,35.72,35.72,39.29,34.0,39.29,3.57
2025-07-08,39778.0,39.29,42.9,43.22,35.36,43.22,3.93
2025-07-09,266904.0,43.22,47.54,47.54,47.5,47.54,4.32
2025-07-10,366336.0,47.54,47.72,52.29,42.79,48.22,0.68
2025-07-11,67065.0,48.22,49.8,49.8,43.4,44.83,-3.39
2025-07-14,50268.0,44.83,46.4,46.4,40.35,43.15,-1.68
2025-07-15,31641.0,43.15,43.2,43.89,40.21,42.26,-0.89
2025-07-16,9621.0,42.26,42.27,42.27,40.0,40.35,-1.91
2025-07-17,66193.0,40.35,40.35,44.39,40.1,44.39,4.04
2025-07-18,49100.0,44.39,48.25,48.25,42.0,45.69,1.3
2025-07-21,10723.0,45.69,43.66,44.98,42.26,42.51,-3.18
2025-07-22,11937.0,42.51,42.6,44.3,41.55,42.99,0.48
2025-07-23,4130.0,42.99,45.49,45.49,42.25,42.6,-0.39
2025-07-24,32402.0,42.6,41.05,45.9,38.52,42.22,-0.38
2025-07-25,32143.0,42.22,42.25,45.0,40.2,44.68,2.46
2025-07-29,12421.0,44.44,45.5,45.5,41.61,43.52,-0.92
2025-07-30,1737.0,43.52,43.52,44.99,42.02,44.01,0.49
2025-07-31,4616.0,44.01,44.01,44.85,41.51,43.71,-0.3
2025-08-01,1825.0,43.71,42.45,44.99,40.21,42.43,-1.28
2025-08-04,7594.0,42.43,45.5,45.5,42.43,44.02,1.59
2025-08-05,9559.0,44.02,44.8,44.98,42.6,43.65,-0.37
2025-08-06,3740.0,43.65,45.0,45.0,43.05,43.18,-0.47
2025-08-07,5471.0,43.18,42.61,42.61,42.0,42.5,-0.68
2025-08-08,6454.0,42.5,42.5,43.73,40.5,41.6,-0.9
2025-08-11,4896.0,41.6,41.05,42.5,39.5,40.25,-1.35
2025-08-12,6638.0,40.25,43.0,43.0,40.0,40.42,0.17
2025-08-13,10865.0,40.42,42.0,42.0,39.0,39.1,-1.32
2025-08-15,5941.0,39.1,40.0,41.6,39.0,39.69,0.59
