Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,5000.0,21.58,20.0,20.0,19.96,19.96,-1.62
2024-01-03,1000.0,19.96,19.0,19.1,19.0,19.1,-0.86
2024-01-05,500.0,19.1,20.53,20.53,20.53,20.53,1.43
2024-01-10,500.0,20.53,21.9,21.9,21.9,21.9,1.37
2024-01-11,3000.0,21.9,20.26,20.26,20.26,20.26,-1.64
2024-01-12,1500.0,20.26,20.26,20.26,20.26,20.26,0.0
2024-01-16,1500.0,20.26,18.75,18.75,18.74,18.74,-1.52
2024-01-17,500.0,18.74,18.74,18.74,18.74,18.74,0.0
2024-01-24,1000.0,18.74,18.73,18.74,18.73,18.74,0.0
2024-01-25,2500.0,18.74,17.33,17.33,17.33,17.33,-1.41
2024-01-29,4500.0,17.75,16.42,17.0,16.42,16.65,-1.1
2024-02-01,500.0,16.65,16.0,16.0,16.0,16.0,-0.65
2024-02-07,500.0,16.0,16.3,16.3,16.3,16.3,0.3
2024-02-22,500.0,16.25,16.2,16.2,16.2,16.2,-0.05
2024-02-29,500.0,16.2,15.0,15.0,15.0,15.0,-1.2
2024-03-08,500.0,15.0,0.0,0.0,0.0,15.0,0.0
2024-03-12,500.0,15.0,15.02,15.02,15.02,15.02,0.02
2024-03-25,7500.0,15.02,15.0,16.14,15.0,16.12,1.1
2024-03-27,1000.0,16.12,15.0,15.0,15.0,15.0,-1.12
2024-03-28,1000.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-03-29,500.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-04-08,1000.0,15.0,15.0,15.0,15.0,15.0,0.0
2024-04-15,500.0,15.0,14.9,14.9,14.9,14.9,-0.1
2024-04-16,3500.0,14.9,14.25,14.25,14.25,14.25,-0.65
2024-04-18,2000.0,14.16,14.19,14.19,14.0,14.0,-0.16
2024-04-19,500.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-04-24,15000.0,14.0,13.98,14.2,13.98,14.0,0.0
2024-04-25,12000.0,14.0,14.0,14.1,14.0,14.0,0.0
2024-04-26,6000.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-04-29,500.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-04-30,500.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-05-06,2000.0,14.0,14.0,14.0,14.0,14.0,0.0
2024-05-07,500.0,14.0,13.03,13.03,13.03,13.03,-0.97
2024-05-08,23500.0,13.03,13.15,13.15,13.06,13.06,0.03
2024-05-09,2500.0,13.06,13.0,13.0,13.0,13.0,-0.06
2024-05-10,6000.0,13.0,13.05,13.2,13.0,13.0,0.0
2024-05-13,8000.0,13.0,13.01,13.01,13.0,13.0,0.0
2024-05-14,6000.0,13.0,13.0,13.0,12.08,12.08,-0.92
2024-05-15,108000.0,12.08,13.0,13.08,12.98,13.04,0.96
2024-05-16,43000.0,13.04,14.04,14.04,13.51,13.79,0.75
2024-05-17,25500.0,13.79,14.01,14.01,13.25,13.7,-0.09
2024-05-20,6500.0,13.7,14.4,14.4,13.35,13.43,-0.27
2024-05-21,10500.0,13.43,12.57,12.57,12.57,12.57,-0.86
2024-05-22,100000.0,12.57,13.4,13.57,12.8,12.97,0.4
2024-05-23,2000.0,12.97,0.0,0.0,0.0,12.97,0.0
2024-05-24,40000.0,12.97,13.7,13.7,12.8,12.8,-0.17
2024-05-27,19660.0,12.8,13.46,13.46,12.81,13.0,0.2
2024-05-29,2729.0,13.0,13.0,13.0,12.6,12.66,-0.34
2024-05-30,7032.0,12.66,13.0,13.0,12.66,12.66,0.0
2024-05-31,2003.0,12.66,12.89,13.0,12.66,13.0,0.34
2024-06-03,100.0,13.0,12.66,12.8,12.66,13.0,0.0
2024-06-04,1510.0,13.0,12.8,13.0,12.67,12.8,-0.2
2024-06-05,1111.0,12.8,13.75,13.75,12.3,13.0,0.2
2024-06-06,2102.0,13.0,13.45,13.45,12.32,12.99,-0.01
2024-06-07,1.0,12.99,13.35,13.35,13.35,12.99,0.0
2024-06-10,515.0,12.99,13.11,13.11,13.0,13.11,0.12
2024-06-11,221.0,13.11,13.0,13.0,13.0,13.11,0.0
2024-06-12,502.0,13.11,12.99,12.99,12.23,12.25,-0.86
2024-06-13,500.0,12.25,12.99,12.99,12.99,12.99,0.74
2024-06-14,200.0,12.99,12.99,12.99,12.99,12.99,0.0
2024-06-20,260.0,12.99,12.99,13.0,12.3,12.99,0.0
2024-06-21,3.0,12.99,13.19,13.19,13.15,12.99,0.0
2024-06-24,4801.0,12.99,13.1,13.1,13.0,13.1,0.11
2024-06-25,2058754.0,13.1,12.02,13.6,12.01,12.98,-0.12
2024-06-26,794.0,12.98,12.44,12.78,12.23,12.39,-0.59
2024-06-27,100.0,12.39,12.49,12.49,12.49,12.39,0.0
2024-06-28,2100.0,12.39,13.24,13.24,13.24,12.39,0.0
2024-07-01,2030.0,12.39,12.3,12.3,12.3,12.3,-0.09
2024-07-02,3645.0,12.3,12.1,12.7,12.09,12.12,-0.18
2024-07-03,2513.0,12.12,13.15,13.15,11.61,12.26,0.14
2024-07-04,3642.0,12.26,12.04,12.99,12.01,12.19,-0.07
2024-07-05,1.0,12.19,12.88,12.88,12.88,12.19,0.0
2024-07-08,937.0,12.19,12.88,12.99,12.19,12.28,0.09
2024-07-09,27078.0,12.28,12.19,13.45,11.5,12.98,0.7
2024-07-10,11001.0,12.98,11.81,12.86,11.8,11.84,-1.14
2024-07-11,4712.0,11.84,11.75,12.45,11.5,11.67,-0.17
2024-07-12,67.0,11.67,12.67,12.67,11.95,11.67,0.0
2024-07-15,594.0,11.67,11.67,11.7,11.67,11.68,0.01
2024-07-18,54.0,11.68,12.59,12.59,12.49,11.68,0.0
2024-07-19,11011.0,11.68,11.65,11.8,11.2,11.5,-0.18
2024-07-22,601.0,11.5,11.5,12.33,11.5,11.65,0.15
2024-07-23,8415.0,11.65,12.4,12.4,10.61,10.65,1.0
2024-07-24,105.0,10.65,11.45,11.45,11.45,10.65,0.0
2024-07-25,10.0,10.65,11.15,11.15,11.15,10.65,0.0
2024-07-26,1.0,10.65,10.8,10.8,10.8,10.65,0.0
2024-07-29,100.0,10.65,11.29,11.29,11.29,10.65,0.0
2024-07-30,201.0,10.65,11.3,11.3,10.9,10.65,0.0
2024-07-31,1952.0,10.65,11.01,11.3,11.01,11.03,0.38
2024-08-02,1399.0,11.03,11.02,11.03,11.02,11.03,0.0
2024-08-05,4619.0,11.03,11.02,12.1,11.02,11.66,0.63
2024-08-06,3090.0,11.66,12.29,12.29,11.22,11.91,0.25
2024-08-07,3822.0,11.91,12.25,12.25,11.05,12.22,0.31
2024-08-08,34998.0,12.22,12.0,13.0,12.0,13.0,0.78
2024-08-09,1892.0,13.0,12.06,13.25,12.05,13.24,0.24
2024-08-12,5687.0,13.24,12.32,12.9,12.32,12.37,-0.87
2024-08-13,19646.0,12.37,13.5,13.5,12.51,12.99,0.62
2024-08-15,4258.0,12.99,12.8,13.0,12.55,12.56,-0.43
2024-08-16,5218.0,12.56,13.49,13.49,12.63,12.7,0.14
2024-08-19,2808.0,12.7,11.5,13.45,11.5,12.5,-0.2
2024-08-20,300.0,12.5,12.6,12.6,12.6,12.5,0.0
2024-08-21,304.0,12.5,11.67,12.97,11.67,12.5,0.0
2024-08-22,1.0,12.5,12.5,12.5,12.5,12.5,0.0
2024-08-23,13035.0,12.5,13.49,13.75,12.65,13.12,0.62
2024-08-26,86.0,13.12,12.01,13.9,12.01,13.12,0.0
2024-08-27,33.0,13.12,13.84,13.84,12.3,13.12,0.0
2024-08-28,39876.0,13.12,14.4,14.4,12.55,12.58,-0.54
2024-08-29,6003.0,12.58,12.58,12.99,12.25,12.45,-0.13
2024-08-30,30020.0,12.45,12.99,13.0,12.99,13.0,0.55
2024-09-02,4035.0,13.0,12.99,12.99,12.55,12.55,-0.45
2024-09-03,2524.0,12.55,12.52,12.52,12.0,12.0,-0.55
2024-09-04,2431.0,12.0,12.75,12.75,11.6,12.06,0.06
2024-09-05,6053.0,12.06,12.86,13.0,11.61,13.0,0.94
2024-09-06,2001.0,13.0,13.49,13.5,12.1,13.5,0.5
2024-09-09,2.0,13.5,12.36,12.5,12.36,13.5,0.0
2024-09-10,36320.0,13.5,13.0,13.0,12.99,12.99,-0.51
2024-09-11,42217.0,12.99,13.99,13.99,12.2,13.0,0.01
2024-09-12,14653.0,13.0,13.0,14.3,12.98,14.22,1.22
2024-09-13,52475.0,14.22,13.5,15.64,13.5,15.45,1.23
2024-09-16,21268.0,15.45,15.45,16.5,13.91,15.78,0.33
2024-09-18,24070.0,15.78,16.1,16.25,14.2,14.5,-1.28
2024-09-19,1322.0,14.5,14.01,14.25,14.0,14.0,-0.5
2024-09-20,10000.0,14.0,13.01,13.01,12.6,12.7,-1.3
2024-09-23,512.0,12.7,13.0,13.0,12.7,12.99,0.29
2024-09-25,1221.0,12.99,13.0,13.7,12.6,12.92,-0.07
2024-09-26,500.0,12.92,12.55,12.55,12.55,12.55,-0.37
2024-09-27,999.0,12.55,12.55,12.55,12.0,12.0,-0.55
2024-09-30,711.0,12.0,12.98,12.98,12.01,12.66,0.66
2024-10-01,203.0,12.66,12.66,12.66,11.67,12.66,0.0
2024-10-02,1636.0,12.66,12.22,13.0,12.0,12.62,-0.04
2024-10-03,4701.0,12.62,12.01,12.73,12.01,12.24,-0.38
2024-10-04,201.0,12.24,12.98,12.98,12.98,12.24,0.0
2024-10-07,5.0,12.24,13.3,13.3,13.3,12.24,0.0
2024-10-08,912.0,12.24,13.39,13.39,12.0,12.99,0.75
2024-10-09,801.0,12.99,12.0,12.99,12.0,12.45,-0.54
2024-10-10,1.0,12.45,12.98,12.98,12.98,12.45,0.0
2024-10-11,29.0,12.45,13.0,13.07,13.0,12.45,0.0
2024-10-14,44.0,12.45,12.99,12.99,12.01,12.45,0.0
2024-10-15,4513.0,12.45,11.51,12.99,11.51,12.82,0.37
2024-10-16,2078362.0,12.82,13.8,14.1,12.15,14.1,1.28
2024-10-17,288861.0,14.1,15.51,15.51,15.51,15.51,1.41
2024-10-18,1414655.0,15.51,17.06,17.06,15.35,17.06,1.55
2024-10-21,2676393.0,17.06,17.05,18.77,15.35,15.35,-1.71
2024-10-22,2998061.0,15.35,14.58,14.9,13.82,13.82,-1.53
2024-10-23,7084886.0,13.82,12.44,13.49,12.44,12.48,-1.34
2024-10-24,969282.0,12.48,12.12,12.5,11.5,12.07,-0.41
2024-10-25,647789.0,12.07,12.1,12.25,11.1,11.22,-0.85
2024-10-28,352901.0,11.22,11.22,11.49,10.82,11.01,-0.21
2024-10-29,146366.0,11.01,11.2,11.2,10.74,10.75,-0.26
2024-10-30,56370.0,10.75,10.71,10.97,10.7,10.75,0.0
2024-10-31,62204.0,10.75,10.98,10.98,10.5,10.6,-0.15
