Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,84500.0,11.81,12.2,12.4,12.2,12.38,0.57
2024-01-02,34500.0,12.38,12.5,12.53,12.37,12.37,-0.01
2024-01-03,105000.0,12.37,12.28,12.56,12.28,12.45,0.08
2024-01-04,34500.0,12.45,12.43,12.44,12.32,12.39,-0.06
2024-01-05,17000.0,12.39,12.4,12.59,12.3,12.52,0.13
2024-01-08,30500.0,12.52,12.4,12.75,12.3,12.35,-0.17
2024-01-09,59500.0,12.35,12.01,12.35,11.93,12.19,-0.16
2024-01-10,92500.0,12.19,12.29,12.41,12.26,12.27,0.08
2024-01-11,76000.0,12.27,12.3,12.38,12.3,12.38,0.11
2024-01-12,26500.0,12.38,12.5,12.54,12.44,12.45,0.07
2024-01-15,44000.0,12.45,12.54,12.55,12.4,12.4,-0.05
2024-01-16,19500.0,12.4,12.25,12.27,12.2,12.25,-0.15
2024-01-17,16000.0,12.25,12.21,12.3,12.11,12.13,-0.12
2024-01-18,27000.0,12.13,12.19,12.19,11.99,12.05,-0.08
2024-01-19,5000.0,12.05,12.25,12.25,12.1,12.12,0.07
2024-01-22,126000.0,12.12,12.13,12.25,12.07,12.25,0.13
2024-01-23,51500.0,12.25,12.3,12.47,12.24,12.4,0.15
2024-01-24,57500.0,12.4,12.5,12.62,12.5,12.62,0.22
2024-01-25,35000.0,12.62,12.53,12.57,12.39,12.41,-0.21
2024-01-26,81000.0,12.41,12.37,12.41,12.32,12.36,-0.05
2024-01-29,62500.0,12.36,12.25,12.25,12.0,12.02,-0.34
2024-01-30,27000.0,12.02,12.05,12.1,11.75,11.88,-0.14
2024-01-31,13500.0,11.88,11.96,12.01,11.93,11.93,0.05
2024-02-01,28000.0,11.93,11.91,11.97,11.85,11.97,0.04
2024-02-02,116000.0,11.97,12.04,12.19,11.99,12.18,0.21
2024-02-06,20500.0,12.18,12.25,12.36,12.25,12.35,0.17
2024-02-07,129500.0,12.35,12.48,12.48,12.35,12.43,0.08
2024-02-09,56000.0,12.43,12.35,12.35,12.0,12.19,-0.24
2024-02-12,121500.0,12.19,11.9,11.9,11.54,11.64,-0.55
2024-02-13,99000.0,11.64,11.3,11.66,11.25,11.49,-0.15
2024-02-14,33000.0,11.49,11.81,11.83,11.65,11.71,0.22
2024-02-15,26500.0,11.71,11.74,11.74,11.45,11.45,-0.26
2024-02-16,50500.0,11.45,11.35,11.35,11.15,11.17,-0.28
2024-02-19,5000.0,11.17,11.17,11.35,11.17,11.35,0.18
2024-02-20,78000.0,11.35,11.5,11.63,11.49,11.49,0.14
2024-02-21,48500.0,11.49,11.55,11.66,11.55,11.66,0.17
2024-02-22,85000.0,11.66,11.71,11.8,11.71,11.79,0.13
2024-02-23,2000.0,11.79,11.78,11.89,11.78,11.81,0.02
2024-02-26,27500.0,11.81,12.17,12.25,12.1,12.12,0.31
2024-02-27,41000.0,12.12,12.13,12.19,12.01,12.01,-0.11
2024-02-28,7000.0,12.01,12.1,12.22,12.06,12.21,0.2
2024-02-29,27000.0,12.21,12.24,12.45,12.24,12.4,0.19
2024-03-01,74000.0,12.4,12.45,12.57,12.45,12.55,0.15
2024-03-04,67000.0,12.55,12.76,12.85,12.65,12.81,0.26
2024-03-05,129500.0,12.81,12.75,12.76,12.63,12.68,-0.13
2024-03-06,39500.0,12.68,12.78,12.8,12.72,12.75,0.07
2024-03-07,57500.0,12.75,12.81,12.81,12.56,12.56,-0.19
2024-03-08,16500.0,12.56,12.7,12.71,12.69,12.71,0.15
2024-03-11,97500.0,12.71,12.67,12.77,12.66,12.66,-0.05
