Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-03,5500.0,55.25,54.0,55.0,53.8,54.45,-0.8
2024-01-04,500.0,54.45,58.45,58.45,58.45,58.45,4.0
2024-01-05,3000.0,58.45,56.0,56.0,56.0,56.0,-2.45
2024-01-08,10000.0,56.0,55.5,55.5,55.01,55.01,-0.99
2024-01-09,8000.0,55.01,54.0,54.01,54.0,54.0,-1.01
2024-01-10,7500.0,54.0,54.05,55.5,54.0,55.5,1.5
2024-01-11,3000.0,55.5,54.25,54.25,54.25,54.25,-1.25
2024-02-06,500.0,54.25,55.5,55.5,55.5,55.5,1.25
2024-02-13,2000.0,55.5,57.0,57.0,57.0,57.0,1.5
2024-02-15,500.0,57.0,53.51,53.51,53.51,53.51,-3.49
2024-02-19,1500.0,53.51,49.51,50.1,49.5,50.1,-3.41
2024-02-20,500.0,50.1,53.86,53.86,53.86,53.86,3.76
2024-02-26,4000.0,53.86,51.11,51.11,51.0,51.06,-2.8
2024-03-04,1500.0,51.06,47.77,52.0,47.77,52.0,0.94
2024-03-18,1000.0,52.0,55.85,55.9,55.85,55.9,3.9
2024-03-20,500.0,55.9,52.0,52.0,52.0,52.0,-3.9
2024-03-28,3500.0,52.0,48.3,48.3,48.3,48.3,-3.7
2024-03-29,500.0,48.3,51.02,51.02,51.02,51.02,2.72
2024-04-03,2000.0,51.02,48.8,48.8,48.51,48.59,-2.43
2024-04-08,500.0,48.59,51.0,51.0,51.0,51.0,2.41
2024-04-17,9500.0,51.0,47.18,54.0,47.18,48.36,-2.64
2024-04-22,3000.0,48.36,50.0,50.0,50.0,50.0,1.64
2024-04-25,500.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-05-03,500.0,50.0,49.75,49.75,49.75,49.75,-0.25
2024-05-06,500.0,49.75,50.0,50.0,50.0,50.0,0.25
2024-05-08,500.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-05-10,500.0,50.0,50.5,50.5,50.5,50.5,0.5
2024-05-15,500.0,50.5,51.0,51.0,51.0,51.0,0.5
2024-05-16,500.0,51.0,51.5,51.5,51.5,51.5,0.5
2024-05-20,1500.0,51.5,51.0,51.0,51.0,51.0,-0.5
2024-05-21,500.0,51.0,52.5,52.5,52.5,52.5,1.5
2024-05-29,1.0,52.5,52.5,52.5,52.5,52.5,0.0
2024-05-30,1.0,52.5,54.99,54.99,54.99,52.5,0.0
2024-05-31,10.0,52.5,52.5,52.5,52.4,52.5,0.0
2024-06-03,2.0,52.5,52.49,52.49,51.0,52.5,0.0
2024-06-04,455.0,52.5,56.0,56.0,51.76,52.5,0.0
2024-06-05,2.0,52.5,56.7,56.7,52.5,52.5,0.0
2024-06-06,3.0,52.5,49.2,49.2,49.2,52.5,0.0
2024-06-07,295.0,52.5,51.5,51.5,48.51,52.5,0.0
2024-06-10,1.0,52.5,51.99,51.99,51.99,52.5,0.0
2024-06-11,4.0,52.5,51.99,51.99,51.99,52.5,0.0
2024-06-12,1.0,52.5,52.5,52.5,52.5,52.5,0.0
2024-06-13,2.0,52.5,56.0,56.0,48.15,52.5,0.0
2024-06-14,10.0,52.5,51.99,51.99,51.99,52.5,0.0
2024-06-20,3.0,52.5,56.0,56.0,55.0,52.5,0.0
2024-06-21,344.0,52.5,52.5,52.5,48.65,52.5,0.0
2024-06-24,1.0,52.5,52.5,52.5,52.5,52.5,0.0
2024-06-25,1.0,52.5,52.5,52.5,52.5,52.5,0.0
2024-06-26,352.0,52.5,48.73,52.48,48.5,52.5,0.0
2024-06-27,53.0,52.5,50.0,51.0,50.0,52.5,0.0
2024-06-28,23.0,52.5,51.0,51.0,49.02,52.5,0.0
2024-07-01,3.0,52.5,51.9,51.98,51.9,52.5,0.0
2024-07-02,17.0,52.5,52.0,52.0,51.99,52.5,0.0
2024-07-03,251.0,52.5,52.3,52.5,52.3,52.5,0.0
2024-07-04,7.0,52.5,51.98,51.99,51.98,52.5,0.0
2024-07-08,8.0,52.5,48.6,48.6,48.0,52.5,0.0
2024-07-09,8.0,52.5,52.0,52.5,52.0,52.5,0.0
2024-07-10,57.0,52.5,51.5,51.5,48.0,52.5,0.0
2024-07-11,8.0,52.5,48.6,48.6,48.56,52.5,0.0
