Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,27600.0,145.0,147.0,148.9,146.0,146.88,1.88
2024-01-02,71600.0,146.88,147.01,150.0,145.0,148.6,1.72
2024-01-03,220300.0,148.6,148.02,151.89,146.1,149.8,1.2
2024-01-04,21700.0,149.8,148.5,151.5,147.0,149.0,-0.8
2024-01-05,277574.0,149.0,148.0,155.6,148.0,150.86,1.86
2024-01-08,72345.0,150.86,150.0,155.85,150.0,154.53,3.67
2024-01-09,126768.0,154.53,155.0,161.01,155.0,160.55,6.02
2024-01-10,22681.0,160.55,161.0,161.0,157.0,157.56,-2.99
2024-01-11,241650.0,157.56,157.02,165.0,157.02,158.36,0.8
2024-01-12,56412.0,158.36,156.71,161.99,156.71,160.04,1.68
2024-01-15,27324.0,160.04,161.0,162.0,158.1,158.5,-1.54
2024-01-16,49856.0,158.5,159.5,159.5,155.3,157.43,-1.07
2024-01-17,33942.0,157.43,156.95,157.95,155.0,155.09,-2.34
2024-01-18,2214291.0,155.09,154.5,164.5,154.5,163.46,8.37
2024-01-19,41980.0,163.46,163.0,164.94,160.0,160.9,-2.56
2024-01-22,10924.0,160.9,163.3,163.3,158.51,159.12,-1.78
2024-01-23,65751.0,159.12,161.0,163.0,155.0,161.93,2.81
2024-01-24,80150.0,161.93,161.05,164.02,160.02,163.01,1.08
2024-01-25,50042.0,163.01,162.0,167.99,162.0,162.46,-0.55
2024-01-26,21429.0,162.46,163.0,164.0,158.51,160.16,-2.3
2024-01-29,48816.0,160.16,164.0,164.0,159.0,161.12,0.96
2024-01-30,39008.0,161.12,163.79,163.79,159.0,160.84,-0.28
2024-01-31,15735.0,160.84,160.22,163.0,158.0,158.8,-2.04
2024-02-01,49794.0,158.8,162.95,163.0,158.1,162.45,3.65
2024-02-02,2157.0,162.45,162.9,162.9,159.76,161.03,-1.42
2024-02-06,7842.0,161.03,161.03,163.79,159.77,159.98,-1.05
2024-02-07,6025.0,159.98,162.99,162.99,160.0,160.78,0.8
2024-02-09,42885.0,160.78,150.0,160.0,148.72,152.92,-7.86
