Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,858482.0,25.95,26.0,27.24,26.0,27.01,1.06
2024-01-02,360765.0,27.01,27.25,27.41,26.85,27.0,-0.01
2024-01-03,1072362.0,27.0,26.88,27.8,26.53,27.55,0.55
2024-01-04,730266.0,27.55,27.51,28.0,27.0,27.78,0.23
2024-01-05,206201.0,27.78,27.5,28.17,27.1,27.47,-0.31
2024-01-08,134461.0,27.47,27.31,27.6,27.01,27.26,-0.21
2024-01-09,104809.0,27.26,27.79,27.99,27.0,27.23,-0.03
2024-01-10,53544.0,27.23,27.49,27.5,27.13,27.21,-0.02
2024-01-11,531308.0,27.21,27.48,28.69,27.48,28.42,1.21
2024-01-12,201054.0,28.42,28.75,28.9,28.2,28.48,0.06
2024-01-15,266533.0,28.48,28.96,28.96,28.3,28.74,0.26
2024-01-16,211289.0,28.74,28.7,28.7,27.76,28.24,-0.5
2024-01-17,30859.0,28.24,28.4,28.4,27.6,27.71,-0.53
2024-01-18,104056.0,27.71,27.4,27.51,26.76,27.45,-0.26
2024-01-19,102654.0,27.45,27.98,27.98,27.0,27.29,-0.16
2024-01-22,89363.0,27.29,27.29,27.48,26.7,26.78,-0.51
2024-01-23,130421.0,26.78,26.31,27.49,26.31,26.85,0.07
2024-01-24,291364.0,26.85,27.45,27.55,27.0,27.5,0.65
2024-01-25,447930.0,27.5,27.7,28.33,27.5,28.01,0.51
2024-01-26,152456.0,28.01,27.89,28.4,27.72,28.0,-0.01
2024-01-29,140394.0,28.0,28.46,28.46,27.5,27.91,-0.09
2024-01-30,50908.0,27.91,27.46,27.9,26.5,26.93,-0.98
2024-01-31,15786.0,26.93,27.74,27.74,26.98,27.06,0.13
2024-02-01,36512.0,27.06,26.54,27.0,26.32,26.65,-0.41
2024-02-02,179877.0,26.65,26.98,27.2,26.26,26.86,0.21
2024-02-06,179637.0,26.86,26.93,27.5,26.5,27.2,0.34
2024-02-07,56912.0,27.2,27.5,27.58,26.53,27.15,-0.05
