Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,1000.0,3.75,3.7,4.29,3.7,4.29,0.54
2024-01-04,7000.0,4.29,4.5,4.5,4.5,4.5,0.21
2024-01-08,30500.0,4.5,4.45,4.97,4.3,4.5,0.0
2024-01-12,67000.0,5.81,6.3,6.3,5.13,5.24,-0.57
2024-01-18,27000.0,4.74,4.25,4.9,4.2,4.58,-0.16
2024-01-19,5000.0,4.58,4.79,4.8,4.19,4.6,0.02
2024-01-23,12000.0,4.6,4.74,4.98,4.7,4.7,0.1
2024-01-26,5000.0,4.25,0.0,0.0,0.0,4.25,0.0
2024-01-29,18000.0,4.25,3.92,3.92,3.75,3.79,-0.46
2024-01-30,19000.0,3.79,3.72,3.72,3.5,3.57,-0.22
2024-01-31,17500.0,3.57,4.0,4.0,3.92,3.92,0.35
2024-02-01,26500.0,3.92,3.5,4.1,3.5,4.06,0.14
2024-02-02,109500.0,4.06,3.81,4.0,3.8,3.89,-0.17
2024-02-07,19500.0,4.09,4.2,4.2,3.95,3.95,-0.14
2024-02-13,11000.0,3.5,3.96,4.05,3.96,4.05,0.55
2024-02-15,40500.0,3.79,3.78,4.0,3.75,3.97,0.18
2024-02-19,41000.0,3.97,3.99,3.99,3.7,3.7,-0.27
2024-02-20,43500.0,3.7,3.42,4.3,3.42,4.15,0.45
2024-02-21,226000.0,4.15,4.49,5.15,4.49,5.06,0.91
2024-02-22,196500.0,5.06,4.5,5.8,4.5,5.35,0.29
2024-02-23,130500.0,5.35,5.49,5.78,5.25,5.57,0.22
2024-02-26,75500.0,5.57,6.0,6.0,5.2,5.5,-0.07
2024-02-27,18000.0,5.5,4.72,4.95,4.72,4.92,-0.58
2024-02-28,49500.0,4.92,4.92,5.48,4.76,5.1,0.18
2024-02-29,42000.0,5.1,5.0,5.24,4.4,4.73,-0.37
2024-03-01,1000.0,4.73,4.45,4.7,4.45,4.7,-0.03
2024-03-04,10500.0,4.7,4.61,4.61,4.5,4.52,-0.18
2024-03-05,120000.0,4.52,4.5,4.5,4.0,4.41,-0.11
2024-03-06,90500.0,4.41,4.1,5.25,4.05,4.43,0.02
2024-03-08,43000.0,4.3,4.89,5.0,4.5,4.5,0.2
2024-03-11,53500.0,4.5,4.97,5.0,4.67,5.0,0.5
2024-03-12,1500.0,5.0,5.4,5.4,5.0,5.0,0.0
2024-03-13,39500.0,5.0,4.7,4.7,4.4,4.69,-0.31
2024-03-14,14000.0,4.69,4.4,4.98,4.3,4.98,0.29
2024-03-18,2000.0,4.98,4.17,4.41,4.17,4.41,-0.57
2024-03-21,500.0,4.41,0.0,0.0,0.0,4.41,0.0
2024-03-25,13000.0,4.41,4.11,4.32,4.0,4.32,-0.09
2024-03-26,5000.0,4.32,4.33,4.33,4.33,4.33,0.01
2024-03-29,30500.0,4.33,4.25,4.25,4.2,4.2,-0.13
2024-04-01,2500.0,4.2,4.94,4.94,4.25,4.25,0.05
2024-04-02,500.0,4.25,4.75,4.75,4.75,4.75,0.5
2024-04-03,1500.0,4.75,4.74,4.74,4.74,4.74,-0.01
2024-04-04,24000.0,4.74,4.5,4.5,4.3,4.32,-0.42
2024-04-08,500.0,4.32,4.8,4.8,4.8,4.8,0.48
2024-04-09,2000.0,4.8,4.84,4.85,4.84,4.85,0.05
2024-04-15,5000.0,4.85,4.4,4.4,4.4,4.4,-0.45
2024-04-16,24000.0,4.4,4.31,4.4,4.15,4.38,-0.02
2024-04-17,31000.0,4.38,4.25,4.26,4.04,4.11,-0.27
2024-04-18,9000.0,4.11,4.29,4.29,3.85,4.16,0.05
2024-04-19,2000.0,4.16,4.25,4.35,4.25,4.35,0.19
2024-04-22,3500.0,4.35,4.32,4.35,4.19,4.19,-0.16
2024-04-23,17000.0,4.19,4.11,4.28,4.11,4.28,0.09
2024-04-24,3000.0,4.28,4.12,4.3,4.12,4.3,0.02
2024-04-25,7500.0,4.3,4.11,4.2,4.1,4.2,-0.1
2024-04-26,12000.0,4.2,4.06,4.19,4.0,4.06,-0.14
2024-05-03,5000.0,4.14,4.01,4.09,3.81,4.09,-0.05
2024-05-06,21500.0,4.09,3.84,4.33,3.84,4.1,0.01
2024-05-07,31000.0,4.1,4.1,4.25,4.0,4.01,-0.09
2024-05-09,1000.0,4.01,4.01,4.01,4.01,4.01,0.0
2024-05-15,7000.0,4.01,4.01,4.38,3.91,3.98,-0.03
2024-05-16,3500.0,3.98,4.01,4.01,3.98,3.98,0.0
2024-05-20,1000.0,3.98,4.34,4.34,4.25,4.25,0.27
2024-05-21,1500.0,4.25,3.91,3.91,3.9,3.9,-0.35
2024-05-22,22000.0,3.9,3.98,4.2,3.86,3.93,0.03
2024-05-23,6000.0,3.93,3.91,4.0,3.88,4.0,0.07
2024-05-24,500.0,4.0,4.09,4.09,4.09,4.09,0.09
2024-05-27,6502.0,4.09,4.05,4.05,3.9,4.05,-0.04
2024-05-29,7.0,4.05,4.09,4.09,3.74,4.05,0.0
2024-05-30,4.0,4.05,4.09,4.1,3.76,4.05,0.0
2024-06-03,27000.0,4.05,3.78,3.88,3.6,3.77,-0.28
2024-06-04,71771.0,3.77,3.7,4.1,3.6,4.0,0.23
2024-06-05,11002.0,4.0,3.8,4.0,3.7,3.8,-0.2
2024-06-06,8492.0,3.8,3.82,4.5,3.8,4.15,0.35
2024-06-07,103630.0,4.15,4.2,4.95,3.7,4.78,0.63
2024-06-10,10600.0,4.78,4.79,4.8,4.11,4.14,-0.64
2024-06-11,36745.0,4.14,3.9,4.97,3.6,4.01,-0.13
2024-06-12,212034.0,4.01,4.4,5.01,4.4,4.73,0.72
2024-06-13,923.0,4.73,4.55,4.89,4.55,4.89,0.16
2024-06-14,259488.0,4.89,4.05,5.75,4.05,5.42,0.53
2024-06-20,277565.0,5.42,5.44,6.42,5.44,6.42,1.0
2024-06-21,124833.0,6.42,6.5,7.39,6.37,7.21,0.79
2024-06-24,262536.0,7.21,7.26,7.4,6.36,7.03,-0.18
2024-06-25,111096.0,7.03,7.2,7.7,7.0,7.41,0.38
2024-06-26,80254.0,7.41,7.49,7.82,7.25,7.51,0.1
2024-06-27,16792.0,7.51,7.0,7.5,7.0,7.25,-0.26
2024-06-28,54004.0,7.25,7.05,7.2,7.0,7.11,-0.14
2024-07-01,64327.0,7.11,7.45,7.6,7.0,7.1,-0.01
2024-07-02,115976.0,7.1,7.0,7.2,7.0,7.16,0.06
2024-07-03,35106.0,7.16,7.05,7.4,7.05,7.15,-0.01
2024-07-04,223499.0,7.15,7.0,7.37,7.0,7.02,-0.13
2024-07-05,189873.0,7.02,7.01,7.35,7.0,7.0,-0.02
2024-07-08,25251.0,7.0,7.88,7.88,7.0,7.05,0.05
2024-07-09,100751.0,7.05,7.0,7.05,7.0,7.0,-0.05
2024-07-10,126001.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-07-11,58812.0,7.0,7.28,7.28,7.0,7.0,0.0
2024-07-12,26840.0,7.0,7.0,7.0,6.3,6.6,-0.4
2024-07-15,31124.0,6.6,6.31,7.18,6.31,6.99,0.39
2024-07-18,10009.0,6.99,6.57,7.1,6.57,7.0,0.01
2024-07-19,35568.0,7.0,7.0,7.0,6.7,7.0,0.0
2024-07-22,118609.0,7.0,6.51,7.25,6.0,6.56,-0.44
2024-07-23,20501.0,6.56,7.2,7.2,6.05,6.26,-0.3
2024-07-24,76000.0,6.26,6.35,6.4,6.0,6.23,-0.03
2024-07-25,26302.0,6.23,6.95,6.95,6.03,6.59,0.36
2024-07-26,24001.0,6.59,6.5,6.65,6.05,6.44,-0.15
2024-07-29,29953.0,6.44,6.26,6.31,6.02,6.07,-0.37
2024-07-30,188676.0,6.07,6.5,7.07,6.0,7.07,1.0
2024-07-31,164761.0,7.07,7.15,8.07,7.15,8.07,1.0
2024-08-01,329398.0,8.07,8.84,9.07,8.25,8.49,0.42
2024-08-02,116739.0,8.49,8.0,8.3,7.51,7.86,-0.63
2024-08-05,14719.0,7.86,8.0,8.0,7.11,7.55,-0.31
2024-08-06,40729.0,7.55,7.9,8.25,7.15,8.1,0.55
2024-08-07,69818.0,8.1,7.25,8.6,7.25,8.55,0.45
2024-08-08,103238.0,8.55,8.51,9.2,8.5,9.01,0.46
2024-08-09,60611.0,9.01,9.5,9.5,8.75,8.75,-0.26
2024-08-12,44551.0,8.75,8.65,8.7,7.75,7.8,-0.95
2024-08-13,1025.0,7.8,8.19,8.25,7.55,7.8,0.0
2024-08-15,15003.0,7.8,8.49,8.49,7.5,7.53,-0.27
2024-08-16,22005.0,7.53,8.45,8.45,7.0,7.12,-0.41
2024-08-19,2501.0,7.12,7.0,7.97,6.4,7.0,-0.12
2024-08-20,3.0,7.0,7.98,7.98,7.02,7.0,0.0
2024-08-21,105520.0,7.0,7.75,7.99,6.66,7.97,0.97
2024-08-22,10470.0,7.97,8.1,8.38,7.16,7.68,-0.29
2024-08-23,7671.0,7.68,7.5,8.49,7.5,7.53,-0.15
2024-08-26,811.0,7.53,8.4,8.4,7.61,8.21,0.68
2024-08-27,5.0,8.21,8.65,8.65,7.6,8.21,0.0
2024-08-28,16004.0,8.21,8.25,8.25,7.8,7.95,-0.26
2024-08-29,27306.0,7.95,7.55,8.25,7.55,8.02,0.07
2024-08-30,77117.0,8.02,8.35,8.35,7.23,7.5,-0.52
2024-09-02,9200.0,7.5,7.5,7.85,7.36,7.44,-0.06
2024-09-03,4120.0,7.44,7.01,7.6,7.01,7.04,-0.4
2024-09-04,139295.0,7.04,7.95,8.04,7.15,8.04,1.0
2024-09-05,219027.0,8.04,9.04,9.04,8.71,9.04,1.0
2024-09-06,183610.0,9.04,9.4,9.99,8.04,8.05,-0.99
2024-09-09,19618.0,8.05,8.05,8.05,7.31,7.63,-0.42
2024-09-10,94129.0,7.63,8.49,8.63,7.23,8.42,0.79
2024-09-11,115643.0,8.42,9.42,9.42,9.0,9.42,1.0
2024-09-12,336448.0,9.42,10.42,10.42,10.35,10.42,1.0
