Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1529759.0,27.97,28.24,29.6,28.1,29.3,1.33
2024-01-02,1662333.0,29.3,29.62,29.75,27.99,28.2,-1.1
2024-01-03,1006822.0,28.2,28.49,28.8,27.91,28.07,-0.13
2024-01-04,1080741.0,28.07,28.01,28.59,28.01,28.15,0.08
2024-01-05,2235500.0,28.15,28.78,28.78,27.2,27.54,-0.61
2024-01-08,614977.0,27.54,27.82,27.82,27.0,27.47,-0.07
2024-01-09,347568.0,27.47,27.74,27.74,27.27,27.37,-0.1
2024-01-10,866544.0,27.37,27.6,27.6,26.99,27.13,-0.24
2024-01-11,968573.0,27.13,27.45,28.38,27.1,28.17,1.04
2024-01-12,603458.0,28.17,28.49,28.7,27.7,28.06,-0.11
2024-01-15,707529.0,28.06,28.17,28.25,27.2,28.13,0.07
2024-01-16,940088.0,28.13,27.45,28.35,27.14,27.8,-0.33
2024-01-17,422748.0,27.8,27.5,28.2,27.5,27.61,-0.19
2024-01-18,559503.0,27.61,27.94,27.94,26.75,27.12,-0.49
2024-01-19,12.0,27.3,27.52,27.52,27.2,27.2,-0.1
2024-01-22,12.0,27.2,27.59,28.0,27.0,28.0,0.8
2024-01-23,620837.0,27.89,27.8,27.89,27.4,27.51,-0.38
2024-01-24,309563.0,27.51,27.51,27.75,27.45,27.63,0.12
2024-01-25,526659.0,27.63,27.82,27.82,27.3,27.36,-0.27
2024-01-26,327824.0,27.36,26.68,27.69,26.68,27.01,-0.35
2024-01-29,295610.0,27.01,27.48,27.48,26.66,26.7,-0.31
2024-01-30,669849.0,26.7,26.99,27.1,25.8,25.9,-0.8
2024-01-31,283236.0,25.9,26.49,26.56,26.05,26.5,0.6
2024-02-01,377463.0,26.5,26.35,26.8,25.7,25.94,-0.56
2024-02-02,241845.0,25.94,26.33,26.85,26.0,26.49,0.55
2024-02-06,760137.0,26.49,26.5,26.88,26.2,26.79,0.3
2024-02-07,1003846.0,26.79,27.0,27.2,26.7,26.81,0.02
2024-02-09,225498.0,26.81,26.28,27.24,25.12,26.43,-0.38
2024-02-12,455585.0,26.43,26.4,26.4,25.25,25.48,-0.95
2024-02-13,50.0,26.3,24.75,24.75,24.33,24.33,-1.97
2024-02-14,747.0,23.82,24.78,25.0,23.66,24.9,1.08
2024-02-15,725154.0,24.7,24.9,25.55,24.51,24.77,0.07
2024-02-16,478966.0,24.77,25.0,25.0,24.35,24.54,-0.23
2024-02-19,327940.0,24.54,24.41,25.19,24.02,24.91,0.37
2024-02-20,418670.0,24.91,24.8,25.65,24.65,25.17,0.26
2024-02-21,644154.0,25.17,26.35,26.49,25.66,25.79,0.62
2024-02-22,284723.0,25.79,25.26,26.65,25.26,25.68,-0.11
2024-02-23,567086.0,25.68,25.68,26.05,25.42,25.6,-0.08
2024-02-26,3401424.0,25.6,26.4,26.4,23.72,23.97,-1.63
2024-02-27,523391.0,23.97,23.98,24.1,23.75,23.77,-0.2
2024-02-28,569381.0,23.77,24.0,24.18,23.5,23.9,0.13
2024-02-29,999100.0,23.9,23.51,24.6,23.51,24.47,0.57
2024-03-01,298936.0,24.47,24.25,24.7,24.25,24.58,0.11
2024-03-04,368289.0,24.58,24.7,24.74,24.36,24.6,0.02
2024-03-05,280668.0,24.6,24.5,24.63,24.0,24.07,-0.53
2024-03-06,353818.0,24.07,24.05,24.37,24.02,24.21,0.14
2024-03-07,699945.0,24.21,24.01,24.59,24.01,24.45,0.24
2024-03-08,2980884.0,24.45,24.05,25.77,24.05,25.63,1.18
2024-03-11,5263635.0,25.63,25.79,27.55,25.5,27.55,1.92
2024-03-12,2543683.0,27.55,28.0,28.35,25.95,26.73,-0.82
2024-03-13,1169551.0,26.73,26.73,27.8,26.52,26.89,0.16
2024-03-14,2865985.0,26.89,27.5,28.2,27.25,27.57,0.68
2024-03-15,473957.0,27.57,27.5,27.72,26.75,26.88,-0.69
2024-03-18,418375.0,26.88,26.8,27.39,26.5,26.6,-0.28
2024-03-19,923669.0,26.6,26.3,27.17,26.2,26.44,-0.16
2024-03-20,349696.0,26.44,26.4,26.9,26.05,26.3,-0.14
2024-03-21,1006063.0,26.3,26.6,26.64,26.0,26.41,0.11
2024-03-22,190863.0,26.41,26.4,26.48,26.1,26.16,-0.25
2024-03-25,133.0,26.2,26.6,26.7,25.7,26.38,0.18
2024-03-26,75.0,26.38,26.25,26.35,26.0,26.23,-0.15
2024-03-27,736.0,26.23,26.0,26.31,26.0,26.2,-0.03
2024-03-28,802800.0,26.1,26.1,26.4,26.0,26.28,0.18
2024-03-29,478996.0,26.28,26.05,26.3,26.05,26.21,-0.07
2024-04-01,878987.0,26.21,26.05,26.5,26.0,26.2,-0.01
2024-04-02,368764.0,26.2,26.02,26.48,26.02,26.26,0.06
2024-04-03,252673.0,26.26,26.21,26.56,26.2,26.27,0.01
2024-04-04,383676.0,26.27,26.1,26.75,26.1,26.64,0.37
2024-04-08,1475050.0,26.64,26.98,27.9,26.57,27.68,1.04
2024-04-09,765933.0,27.68,27.7,28.35,27.3,27.4,-0.28
2024-04-15,561526.0,27.4,26.71,27.79,26.71,27.28,-0.12
2024-04-16,425376.0,27.28,27.3,27.55,26.66,26.91,-0.37
2024-04-17,533902.0,26.91,26.6,27.15,26.46,26.52,-0.39
2024-04-18,259273.0,26.52,26.9,26.9,26.21,26.4,-0.12
2024-04-19,485597.0,26.4,26.6,26.6,26.2,26.35,-0.05
2024-04-22,806033.0,26.35,26.61,26.79,26.41,26.59,0.24
2024-04-23,20.0,27.34,26.56,26.56,26.0,26.4,-0.94
2024-04-24,714394.0,25.95,26.0,26.44,25.75,25.86,-0.09
2024-04-25,930289.0,25.86,26.09,26.19,25.52,26.0,0.14
2024-04-26,2307358.0,26.0,26.02,26.96,25.81,26.79,0.79
2024-04-29,6353469.0,26.79,27.0,27.6,25.5,26.05,-0.74
2024-04-30,894078.0,26.05,26.35,26.35,25.76,26.05,0.0
2024-05-02,1541625.0,26.05,26.1,26.95,26.07,26.77,0.72
2024-05-03,3664296.0,26.77,27.0,28.78,27.0,28.78,2.01
2024-05-06,6873998.0,28.78,30.94,30.94,29.55,29.72,0.94
