Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1904303.0,99.47,100.5,106.93,100.5,106.93,7.46
2024-01-02,2099892.0,106.93,108.5,109.5,105.5,106.75,-0.18
2024-01-03,864193.0,106.75,106.51,107.86,104.4,104.76,-1.99
2024-01-04,841943.0,104.76,104.95,106.85,101.92,105.97,1.21
2024-01-05,1022453.0,105.97,106.49,108.25,100.01,104.23,-1.74
2024-01-08,452777.0,104.23,105.0,105.4,102.2,102.46,-1.77
2024-01-09,699585.0,102.46,103.7,104.0,100.1,101.5,-0.96
2024-01-10,1549741.0,101.5,102.99,105.58,101.75,102.93,1.43
2024-01-11,712799.0,102.93,104.05,104.8,102.53,103.19,0.26
2024-01-12,1069980.0,103.19,103.99,105.51,100.35,100.81,-2.38
2024-01-15,781886.0,100.81,101.99,102.5,100.01,100.35,-0.46
2024-01-16,720837.0,100.35,100.35,100.95,98.6,100.49,0.14
2024-01-17,1571905.0,100.49,100.49,103.4,97.52,98.64,-1.85
2024-01-18,530345.0,98.64,98.0,98.94,96.1,97.57,-1.07
2024-01-19,487974.0,97.57,98.74,99.99,96.05,96.57,1.0
2024-01-22,389605.0,96.57,97.85,97.9,95.02,97.14,0.57
2024-01-23,1425836.0,97.14,98.0,101.3,96.07,100.13,2.99
2024-01-24,1124091.0,100.13,101.0,102.4,99.47,100.07,-0.06
2024-01-25,479912.0,100.07,100.0,100.3,97.12,97.82,-2.25
2024-01-26,563700.0,97.82,96.11,98.0,94.49,94.94,-2.88
2024-01-29,207821.0,94.94,95.29,95.3,92.11,92.71,-2.23
2024-01-30,684395.0,92.71,92.98,95.4,88.0,89.04,-3.67
2024-01-31,534596.0,89.04,88.6,91.5,88.6,89.56,0.52
2024-02-01,196385.0,89.56,90.85,90.85,87.0,89.06,-0.5
2024-02-02,486177.0,89.06,88.53,92.75,88.53,91.29,2.23
2024-02-06,489797.0,91.29,92.0,94.4,90.6,93.91,2.62
2024-02-07,618378.0,93.91,93.91,96.7,93.91,96.09,2.18
2024-02-09,582679.0,96.09,95.15,95.15,89.01,91.94,-4.15
2024-02-12,989060.0,91.94,92.99,93.0,87.0,90.77,-1.17
2024-02-13,1886805.0,90.77,91.5,97.58,88.01,97.29,6.52
2024-02-14,2386220.0,97.29,100.0,103.0,99.01,100.24,2.95
2024-02-15,995803.0,100.24,100.01,101.5,97.01,97.56,-2.68
2024-02-16,853427.0,97.56,95.65,99.2,93.62,94.78,-2.78
2024-02-19,65.0,97.43,94.05,98.12,94.05,98.12,0.69
2024-02-20,2159.0,96.63,98.0,101.8,98.0,98.67,2.04
2024-02-21,2204528.0,98.48,103.0,105.87,100.6,105.87,7.39
2024-02-22,2440378.0,105.87,108.0,113.81,107.32,113.81,7.94
2024-02-23,8323.0,115.85,121.99,122.5,116.41,120.48,4.63
2024-02-26,3836317.0,118.33,119.0,127.2,117.6,127.2,8.87
2024-02-27,8155097.0,127.2,130.8,135.0,125.0,128.63,1.43
2024-02-28,4197026.0,128.63,126.0,130.95,124.0,126.04,-2.59
2024-02-29,5175330.0,126.04,127.0,130.74,125.31,126.89,0.85
2024-03-01,2238268.0,126.89,125.8,128.2,122.22,125.7,-1.19
2024-03-04,4208114.0,125.7,127.99,130.25,124.25,127.68,1.98
2024-03-05,7570112.0,127.68,128.75,137.26,128.5,137.26,9.58
2024-03-06,6288330.0,137.26,141.0,141.88,135.5,136.83,-0.43
2024-03-07,5776330.0,136.83,128.0,137.9,128.0,133.72,-3.11
2024-03-08,3306505.0,133.72,133.8,136.95,132.5,133.11,-0.61
2024-03-11,6760953.0,133.11,134.4,139.98,132.76,135.65,2.54
2024-03-12,4389026.0,135.65,135.51,139.15,129.15,131.13,-4.52
2024-03-13,3707951.0,131.13,130.06,133.5,121.3,121.33,-9.8
2024-03-14,3770809.0,121.33,124.0,130.43,123.0,129.87,8.54
2024-03-15,2938817.0,129.87,132.0,133.25,127.06,127.98,-1.89
2024-03-18,1902406.0,127.98,127.51,130.77,123.7,124.45,-3.53
2024-03-19,1637094.0,124.45,124.45,127.75,123.5,124.28,-0.17
2024-03-20,1661340.0,124.28,125.0,127.65,123.0,124.06,-0.22
2024-03-21,1189740.0,124.06,123.11,125.0,117.41,118.41,-5.65
2024-03-22,3515095.0,118.41,120.05,126.31,120.0,121.38,2.97
2024-03-25,521.0,123.91,123.0,123.0,121.25,121.6,-2.31
2024-03-26,1025223.0,119.22,120.12,122.4,119.3,120.96,1.74
2024-03-27,1304349.0,120.96,121.11,124.29,121.0,122.3,1.34
2024-03-28,1624977.0,122.3,123.5,125.47,122.61,124.24,1.94
2024-03-29,663179.0,124.24,124.5,124.97,121.15,121.58,-2.66
2024-04-01,638062.0,121.58,121.5,122.5,120.4,120.71,-0.87
2024-04-02,648400.0,120.71,120.25,121.0,118.8,119.18,-1.53
2024-04-03,1090611.0,119.18,119.5,123.0,118.51,119.62,0.44
2024-04-04,1438582.0,119.62,119.99,122.99,119.99,120.75,1.13
2024-04-08,3519199.0,120.75,122.05,126.95,121.55,124.59,3.84
2024-04-09,1065978.0,124.59,125.8,125.88,122.3,122.7,-1.89
2024-04-15,1236990.0,122.7,122.4,123.5,121.0,121.66,-1.04
2024-04-16,3406147.0,121.66,122.0,125.9,121.7,122.24,0.58
2024-04-17,1397406.0,122.24,122.52,123.44,121.1,121.41,-0.83
